steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
2810225723,33207,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2810271549,33208,-2,0,9.9100585938,-0.7345214844,-2.1700683594,-22.0731707317,6.5243902439,13.3536585366,-27.8998605007,-34.9498252509,-27.2998635007
2810314023,33209,-2,0,8.9960937500,1.7226562500,-2.7275390625,-1.6768292683,0.3963414634,-13.2012195122,-26.9998650007,-35.0998245009,-28.9498552507
2810332854,33210,-2,0,9.0176269531,1.8997070313,-2.8041015625,-3.9939024390,1.7073170732,-14.3597560976,-26.9998650007,-35.0998245009,-28.9498552507
2810349005,33211,-2,0,9.1516113281,2.2514160156,-2.8160644531,-6.4329268293,2.4695121951,-13.7195121951,-26.9998650007,-35.0998245009,-28.9498552507
2810416519,33212,-2,0,9.1061523438,2.6342285156,-2.8112792969,-6.9512195122,3.6890243902,-10.1524390244,-26.5498672507,-33.8998305008,-27.8998605007
2810441442,33213,-2,0,9.0152343750,2.7083984375,-2.7993164063,-5.2439024390,5.3048780488,-6.4939024390,-26.5498672507,-33.8998305008,-27.8998605007
2810451462,33214,-2,0,9.0319824219,2.6988281250,-2.8375976563,-2.0121951220,6.3109756098,-4.0853658537,-26.5498672507,-33.8998305008,-27.8998605007
2810481868,33215,-2,0,9.1755371094,2.4715332031,-2.8280273438,1.4939024390,6.0975609756,-3.4756097561,-26.5498672507,-33.8998305008,-27.8998605007
2810540157,33216,-2,0,9.1755371094,2.4715332031,-2.8280273438,4.4512195122,4.5121951220,-1.2195121951,-26.5498672507,-33.8998305008,-27.8998605007
2810546411,33217,-2,0,9.2855957031,2.2777343750,-2.7825683594,5.2743902439,2.0121951220,-0.7621951220,-26.5498672507,-33.8998305008,-27.8998605007
2810576794,33218,-2,0,9.1898925781,2.1437500000,-2.7586425781,5.3353658537,0.4573170732,-2.7134146341,-26.6998665007,-33.7498312508,-28.7998560007
2810608424,33219,-2,0,9.1348632813,2.1916015625,-2.7012207031,5.7012195122,0.3963414634,-4.3597560976,-26.6998665007,-33.7498312508,-28.7998560007
2810664797,33220,-2,0,8.9554199219,2.4667480469,-2.8352050781,10.1219512195,2.7134146341,-7.3475609756,-26.6998665007,-33.7498312508,-28.7998560007
2810674175,33221,-2,0,8.8956054688,2.6749023438,-2.9309082031,16.4939024390,5.3658536585,-10.4573170732,-26.6998665007,-33.7498312508,-29.2498537507
2810700091,33222,-2,0,8.8956054688,2.6701171875,-2.8710937500,22.8963414634,7.6524390244,-12.6829268293,-26.6998665007,-33.7498312508,-29.2498537507
2810736020,33223,-2,0,8.9960937500,2.7586425781,-2.9955078125,29.3597560976,9.6341463415,-11.7073170732,-26.6998665007,-33.7498312508,-29.2498537507
2810782881,33224,-2,0,8.9602050781,2.7347167969,-2.9644042969,35.7012195122,11.9512195122,-11.4939024390,-26.5498672507,-32.3998380008,-28.9498552507
2810795282,33225,-2,0,8.9051757813,2.8375976563,-2.9428710938,42.6219512195,13.5060975610,-12.6219512195,-26.5498672507,-32.3998380008,-28.9498552507
2810826627,33226,-2,0,9.1133300781,2.6437988281,-2.8399902344,46.9817073171,13.0792682927,-11.6768292683,-26.5498672507,-32.3998380008,-28.9498552507
2810855367,33227,-2,0,9.2473144531,2.3638671875,-2.7490722656,47.3780487805,11.5548780488,-9.1158536585,-26.6998665007,-34.9498252509,-28.9498552507
2810898076,33228,-2,0,9.2784179688,1.9930175781,-2.5504882813,42.0731707317,9.3292682927,-6.2195121951,-26.6998665007,-34.9498252509,-27.7498612507
2810917525,33229,-2,0,9.2879882813,1.9188476563,-2.4691406250,34.9085365854,6.8902439024,-6.9817073171,-26.6998665007,-34.9498252509,-27.7498612507
2810955179,33230,-2,0,9.0559082031,2.1820312500,-2.6031250000,32.5000000000,7.7134146341,-8.2012195122,-26.6998665007,-34.9498252509,-27.7498612507
2810983899,33231,-2,0,9.0917968750,2.1174316406,-2.5313476563,30.0914634146,8.9634146341,-7.6524390244,-26.6998665007,-34.9498252509,-27.7498612507
2811012772,33232,-2,0,9.2425292969,2.0958984375,-2.4906738281,27.8963414634,8.2621951220,-6.5853658537,-26.6998665007,-34.9498252509,-27.7498612507
2811064493,33233,-2,0,9.5057128906,2.0432617188,-2.5361328125,23.0182926829,2.3475609756,-6.9817073171,-26.6998665007,-34.9498252509,-27.7498612507
2811082921,33234,-2,0,9.4889648438,1.9714843750,-2.6772949219,16.8597560976,-4.6341463415,-6.5853658537,-28.7998560007,-35.5498222509,-28.1998590007
2811109754,33235,-2,0,9.1827148438,2.3016601563,-2.7658203125,12.4695121951,-6.5853658537,-1.9817073171,-28.7998560007,-35.5498222509,-28.1998590007
2811138488,33236,-2,0,8.6300292969,3.0290039063,-3.1845214844,18.0792682927,-2.5609756098,-0.5792682927,-28.7998560007,-35.5498222509,-28.1998590007
2811169212,33237,-2,0,8.7257324219,2.7825683594,-3.1582031250,27.5609756098,3.7195121951,2.0426829268,-27.4498627507,-36.8998155009,-28.0498597507
2811199124,33238,0,0,9.0941894531,2.3255859375,-3.0385742188,33.9329268293,5.9146341463,1.7987804878,-27.4498627507,-36.8998155009,-28.0498597507
2811227911,33239,0,0,9.3549804688,1.7681152344,-2.9237304688,33.6890243902,3.0487804878,0.6707317073,-27.4498627507,-36.8998155009,-28.0498597507
2811261667,33240,0,0,9.3884765625,1.2848144531,-2.8375976563,26.6463414634,-1.7987804878,1.4329268293,-27.4498627507,-36.8998155009,-27.7498612507
2811289484,33241,0,0,9.4339355469,1.1173339844,-2.9021972656,14.5426829268,-6.9207317073,4.2073170732,-27.4498627507,-36.8998155009,-27.7498612507
2811330454,33242,0,0,8.9625976563,1.2776367188,-3.1390625000,4.9085365854,-9.5121951220,5.4573170732,-27.4498627507,-36.8998155009,-27.7498612507
2811381123,33243,0,0,8.7927246094,1.3541992188,-3.2012695313,-3.6890243902,-7.9878048780,2.0731707317,-26.2498687507,-37.0498147509,-28.1998590007
2811390337,33244,0,0,8.7089843750,1.8040039063,-3.3496093750,-6.4024390244,-3.5365853659,-1.4634146341,-26.2498687507,-37.0498147509,-28.1998590007
2811418512,33245,0,0,8.8501464844,1.8159667969,-3.3567871094,-5.1829268293,2.1646341463,-5.3353658537,-26.2498687507,-37.0498147509,-28.1998590007
2811452841,33246,0,0,8.9913085938,1.8542480469,-3.2993652344,-4.4817073171,2.3170731707,-1.7987804878,-26.2498687507,-37.0498147509,-28.1998590007
2811491768,33247,0,0,9.1109375000,1.8853515625,-3.2299804688,-3.4451219512,2.5000000000,4.1463414634,-26.2498687507,-37.0498147509,-28.1998590007
2811509507,33248,0,0,9.0894042969,1.8040039063,-3.1605957031,-2.9573170732,2.4390243902,2.7134146341,-26.2498687507,-37.0498147509,-28.1998590007
2811538740,33249,0,0,8.9027832031,1.8327148438,-3.1893066406,-2.1341463415,3.5060975610,-2.8963414634,-26.6998665007,-37.6498117509,-27.2998635007
2811566473,33250,0,0,9.0032714844,1.8375000000,-3.1534179688,-1.3414634146,2.1036585366,-3.9939024390,-26.6998665007,-37.6498117509,-27.2998635007
2811629500,33251,0,0,9.2162109375,2.1892089844,-3.2945800781,3.5670731707,2.5000000000,-1.7682926829,-26.6998665007,-37.6498117509,-27.2998635007
2811639481,33252,0,0,9.0630859375,1.9403808594,-3.2228027344,4.1768292683,1.0365853659,-3.3231707317,-26.6998665007,-37.6498117509,-27.2998635007
2811670568,33253,0,0,8.9386718750,1.9308105469,-3.2251953125,2.7743902439,1.3109756098,-6.7378048780,-28.1998590007,-36.4498177509,-29.2498537507
2811700607,33254,0,0,8.9338867188,1.8662109375,-3.1940917969,-0.3353658537,1.7073170732,-5.3353658537,-28.1998590007,-36.4498177509,-29.2498537507
2811730463,33255,0,0,8.9602050781,1.9738769531,-3.2515136719,-1.7987804878,3.1707317073,-2.8963414634,-28.1998590007,-36.4498177509,-29.2498537507
2811760513,33256,0,0,8.8812500000,2.1006835938,-3.3472167969,-1.4329268293,3.5975609756,-2.8048780488,-25.9498702506,-36.4498177509,-28.0498597507
2811796720,33257,0,0,9.0008789063,2.0671875000,-3.3543945313,-0.7012195122,2.5000000000,-2.1646341463,-25.9498702506,-36.4498177509,-28.0498597507
2811847248,33258,0,0,9.1468261719,1.8805664063,-3.3089355469,-1.5548780488,0.6097560976,-1.2500000000,-25.9498702506,-36.4498177509,-28.0498597507
2811861590,33259,0,0,8.8884277344,1.9140625000,-3.2228027344,-2.7134146341,1.4634146341,-1.9512195122,-28.1998590007,-36.1498192509,-27.2998635007
