steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
4023057714,0,4,4,4,4,4,4,4,4,4,4
4023099185,1,4,4,4,4,4,4,4,4,4,4
4023115303,2,4,4,4,4,4,4,4,4,4,4
4023150299,3,4,4,4,4,4,4,4,4,4,4
4023180231,4,4,4,4,4,4,4,4,4,4,4
4023215630,5,4,4,4,4,4,4,4,4,4,4
4023237815,6,4,4,4,4,4,4,4,4,4,4
4023272801,7,4,4,4,4,4,4,4,4,4,4
4023300572,8,4,4,4,4,4,4,4,4,4,4
4023336533,9,4,4,4,4,4,4,4,4,4,4
4023368185,10,4,4,4,4,4,4,4,4,4,4
4023395113,11,4,4,4,4,4,4,4,4,4,4
4023452443,12,4,4,4,4,4,4,4,4,4,4
4023461359,13,4,4,4,4,4,4,4,4,4,4
4023490466,14,4,4,4,4,4,4,4,4,4,4
4023561421,15,4,4,4,4,4,4,4,4,4,4
4023570467,16,4,4,4,4,4,4,4,4,4,4
4023580398,17,4,4,4,4,4,4,4,4,4,4
4023616236,18,4,4,4,4,4,4,4,4,4,4
4023694224,19,4,4,4,4,4,4,4,4,4,4
4023701342,20,4,4,4,4,4,4,4,4,4,4
4023708657,21,4,4,4,4,4,4,4,4,4,4
4023743832,22,4,4,4,4,4,4,4,4,4,4
