steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
4023057714,0,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4023099185,1,-2,0,8.5630371094,0.5550781250,-4.4621582031,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4023115303,2,-2,0,8.6013183594,0.5790039063,-4.6057128906,-1.6158536585,3.7195121951,-0.1524390244,-19.1999040005,-36.4498177509,-35.8498207509
4023150299,3,-2,0,8.8333984375,0.5550781250,-4.6463867188,-1.3719512195,3.1707317073,0.1524390244,-19.1999040005,-36.4498177509,-35.8498207509
4023180231,4,-2,0,8.7041992188,0.4928710938,-4.5961425781,-1.6158536585,2.2560975610,0.9756097561,-19.1999040005,-36.4498177509,-35.8498207509
4023215630,5,-2,0,8.6587402344,0.5239746094,-4.5650390625,-1.8292682927,1.9817073171,0.6402439024,-20.2498987505,-36.5998170009,-33.7498312508
4023237815,6,-2,0,8.6563476563,0.5718261719,-4.6463867188,-1.5243902439,1.4024390244,-0.1524390244,-20.2498987505,-36.5998170009,-33.7498312508
4023272801,7,-2,0,8.5917480469,0.5909667969,-4.6416015625,-0.1524390244,1.2195121951,-1.6463414634,-20.2498987505,-36.5998170009,-33.7498312508
4023300572,8,-2,0,8.6970214844,0.5455078125,-4.6033203125,0.7926829268,2.1646341463,-2.0731707317,-19.6499017505,-36.4498177509,-33.8998305008
4023336533,9,-2,0,8.6802734375,0.4809082031,-4.5722167969,0.7012195122,2.1646341463,-1.9207317073,-19.6499017505,-36.4498177509,-33.8998305008
4023368185,10,-2,0,8.6946289063,0.4856933594,-4.5458984375,-0.0914634146,2.0426829268,-1.7378048780,-19.6499017505,-36.4498177509,-33.8998305008
4023395113,11,-2,0,8.6754882813,0.5479003906,-4.5052246094,-1.2500000000,2.5304878049,-1.2500000000,-19.9499002505,-36.1498192509,-33.8998305008
4023452443,12,-2,0,8.7089843750,0.6172851563,-4.5793945313,-1.4024390244,2.9878048780,-0.9756097561,-19.9499002505,-36.1498192509,-33.8998305008
4023461359,13,-2,0,8.6802734375,0.6101074219,-4.5458984375,-0.9146341463,2.8353658537,-0.6707317073,-19.9499002505,-36.1498192509,-33.8998305008
4023490466,14,-2,0,8.6730957031,0.5526855469,-4.4693359375,-0.6402439024,2.8353658537,-0.5182926829,-19.1999040005,-34.9498252509,-34.6498267509
4023561421,15,-2,0,8.7089843750,0.5120117188,-4.4908691406,-0.8536585366,3.2012195122,0.0609756098,-19.1999040005,-34.9498252509,-34.6498267509
4023570467,16,-2,0,8.7137695313,0.5335449219,-4.4932617188,-1.6768292683,3.2621951220,0.5792682927,-19.1999040005,-34.9498252509,-34.6498267509
4023580398,17,-2,0,8.7400878906,0.5455078125,-4.4860839844,-1.9512195122,3.1707317073,0.7317073171,-18.8999055005,-36.4498177509,-34.3498282509
4023616236,18,-2,0,8.7735839844,0.5766113281,-4.5076171875,-1.8597560976,2.2560975610,0.3963414634,-18.8999055005,-36.4498177509,-34.3498282509
4023694224,19,-2,0,8.7448730469,0.5909667969,-4.5052246094,-1.4024390244,1.4634146341,-0.0609756098,-18.8999055005,-36.4498177509,-34.3498282509
4023701342,20,-2,0,8.7448730469,0.5909667969,-4.5052246094,-0.6097560976,0.6402439024,-0.4878048780,-20.2498987505,-36.2998185009,-34.4998275009
4023708657,21,-2,0,8.6898437500,0.5455078125,-4.5291503906,-0.3963414634,0.5487804878,-0.6097560976,-20.2498987505,-36.2998185009,-34.4998275009
4023743832,22,-2,0,8.7233398438,0.5263671875,-4.5100097656,-0.8841463415,0.6402439024,-0.5792682927,-20.2498987505,-36.2998185009,-34.4998275009
