steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
3129680162,11328,4,4,4,4,4,4,4,4,4,4
3129723197,11329,4,4,4,4,4,4,4,4,4,4
3129766862,11330,4,4,4,4,4,4,4,4,4,4
3129786804,11331,4,4,4,4,4,4,4,4,4,4
3129804834,11332,4,4,4,4,4,4,4,4,4,4
3129835898,11333,4,4,4,4,4,4,4,4,4,4
3129887922,11334,4,4,4,4,4,4,4,4,4,4
3129915766,11335,4,4,4,4,4,4,4,4,4,4
3129931441,11336,4,4,4,4,4,4,4,4,4,4
3129975771,11337,4,4,4,4,4,4,4,4,4,4
3130006760,11338,4,4,4,4,4,4,4,4,4,4
3130032965,11339,4,4,4,4,4,4,4,4,4,4
3130053296,11340,4,4,4,4,4,4,4,4,4,4
3130086370,11341,4,4,4,4,4,4,4,4,4,4
3130129386,11342,4,4,4,4,4,4,4,4,4,4
3130157017,11343,4,4,4,4,4,4,4,4,4,4
3130184193,11344,4,4,4,4,4,4,4,4,4,4
3130210744,11345,4,4,4,4,4,4,4,4,4,4
3130272120,11346,4,4,4,4,4,4,4,4,4,4
3130280875,11347,4,4,4,4,4,4,4,4,4,4
3130329499,11348,4,4,4,4,4,4,4,4,4,4
3130356957,11349,4,4,4,4,4,4,4,4,4,4
3130361742,11350,4,4,4,4,4,4,4,4,4,4
3130408395,11351,4,4,4,4,4,4,4,4,4,4
3130439554,11352,4,4,4,4,4,4,4,4,4,4
3130470624,11353,4,4,4,4,4,4,4,4,4,4
3130494795,11354,4,4,4,4,4,4,4,4,4,4
3130527456,11355,4,4,4,4,4,4,4,4,4,4
3130564601,11356,4,4,4,4,4,4,4,4,4,4
3130597938,11357,4,4,4,4,4,4,4,4,4,4
3130613919,11358,4,4,4,4,4,4,4,4,4,4
3130663370,11359,4,4,4,4,4,4,4,4,4,4
3130681570,11360,4,4,4,4,4,4,4,4,4,4
3130722610,11361,4,4,4,4,4,4,4,4,4,4
3130750645,11362,4,4,4,4,4,4,4,4,4,4
3130778032,11363,4,4,4,4,4,4,4,4,4,4
3130835841,11364,4,4,4,4,4,4,4,4,4,4
3130843394,11365,4,4,4,4,4,4,4,4,4,4
3130881552,11366,4,4,4,4,4,4,4,4,4,4
3130902651,11367,4,4,4,4,4,4,4,4,4,4
3130951813,11368,4,4,4,4,4,4,4,4,4,4
3130979651,11369,4,4,4,4,4,4,4,4,4,4
3130998853,11370,4,4,4,4,4,4,4,4,4,4
3131027478,11371,4,4,4,4,4,4,4,4,4,4
3131068466,11372,4,4,4,4,4,4,4,4,4,4
3131098505,11373,4,4,4,4,4,4,4,4,4,4
3131114479,11374,4,4,4,4,4,4,4,4,4,4
3131184578,11375,4,4,4,4,4,4,4,4,4,4
3131191919,11376,4,4,4,4,4,4,4,4,4,4
3131215925,11377,4,4,4,4,4,4,4,4,4,4
3131258549,11378,4,4,4,4,4,4,4,4,4,4
3131301502,11379,4,4,4,4,4,4,4,4,4,4
3131312181,11380,4,4,4,4,4,4,4,4,4,4
3131342058,11381,4,4,4,4,4,4,4,4,4,4
3131371908,11382,4,4,4,4,4,4,4,4,4,4
3131422209,11383,4,4,4,4,4,4,4,4,4,4
3131427893,11384,4,4,4,4,4,4,4,4,4,4
3131471884,11385,4,4,4,4,4,4,4,4,4,4
3131499509,11386,4,4,4,4,4,4,4,4,4,4
3131538351,11387,4,4,4,4,4,4,4,4,4,4
3131580255,11388,4,4,4,4,4,4,4,4,4,4
3131590791,11389,4,4,4,4,4,4,4,4,4,4
3131623657,11390,4,4,4,4,4,4,4,4,4,4
3131659655,11391,4,4,4,4,4,4,4,4,4,4
3131686436,11392,4,4,4,4,4,4,4,4,4,4
3131718443,11393,4,4,4,4,4,4,4,4,4,4
3131750845,11394,4,4,4,4,4,4,4,4,4,4
3131781609,11395,4,4,4,4,4,4,4,4,4,4
3131811473,11396,4,4,4,4,4,4,4,4,4,4
3131841527,11397,4,4,4,4,4,4,4,4,4,4
3131895917,11398,4,4,4,4,4,4,4,4,4,4
3131903672,11399,4,4,4,4,4,4,4,4,4,4
3131933273,11400,4,4,4,4,4,4,4,4,4,4
3131963574,11401,4,4,4,4,4,4,4,4,4,4
3132017511,11402,4,4,4,4,4,4,4,4,4,4
3132034829,11403,4,4,4,4,4,4,4,4,4,4
3132057466,11404,4,4,4,4,4,4,4,4,4,4
3132086665,11405,4,4,4,4,4,4,4,4,4,4
3132139831,11406,4,4,4,4,4,4,4,4,4,4
3132177794,11407,4,4,4,4,4,4,4,4,4,4
3132203421,11408,4,4,4,4,4,4,4,4,4,4
