steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
2780783921,46424,4,4,4,4,4,4,4,4,4,4
2780812716,46425,4,4,4,4,4,4,4,4,4,4
2780856307,46426,4,4,4,4,4,4,4,4,4,4
2780887767,46427,4,4,4,4,4,4,4,4,4,4
2780914896,46428,4,4,4,4,4,4,4,4,4,4
2780939311,46429,4,4,4,4,4,4,4,4,4,4
2780968729,46430,4,4,4,4,4,4,4,4,4,4
2781003902,46431,4,4,4,4,4,4,4,4,4,4
2781038985,46432,4,4,4,4,4,4,4,4,4,4
2781058900,46433,4,4,4,4,4,4,4,4,4,4
2781095135,46434,4,4,4,4,4,4,4,4,4,4
2781123810,46435,4,4,4,4,4,4,4,4,4,4
2781162813,46436,4,4,4,4,4,4,4,4,4,4
2781184738,46437,4,4,4,4,4,4,4,4,4,4
2781217362,46438,4,4,4,4,4,4,4,4,4,4
2781259024,46439,4,4,4,4,4,4,4,4,4,4
2781286524,46440,4,4,4,4,4,4,4,4,4,4
2781308866,46441,4,4,4,4,4,4,4,4,4,4
2781346648,46442,4,4,4,4,4,4,4,4,4,4
2781377442,46443,4,4,4,4,4,4,4,4,4,4
2781418900,46444,4,4,4,4,4,4,4,4,4,4
2781437207,46445,4,4,4,4,4,4,4,4,4,4
2781477748,46446,4,4,4,4,4,4,4,4,4,4
2781498392,46447,4,4,4,4,4,4,4,4,4,4
2781527854,46448,4,4,4,4,4,4,4,4,4,4
2781573816,46449,4,4,4,4,4,4,4,4,4,4
2781601272,46450,4,4,4,4,4,4,4,4,4,4
2781618722,46451,4,4,4,4,4,4,4,4,4,4
2781652004,46452,4,4,4,4,4,4,4,4,4,4
2781688113,46453,4,4,4,4,4,4,4,4,4,4
2781725437,46454,4,4,4,4,4,4,4,4,4,4
2781744022,46455,4,4,4,4,4,4,4,4,4,4
2781782292,46456,4,4,4,4,4,4,4,4,4,4
2781832504,46457,4,4,4,4,4,4,4,4,4,4
2781868144,46458,4,4,4,4,4,4,4,4,4,4
2781873481,46459,4,4,4,4,4,4,4,4,4,4
2781911632,46460,4,4,4,4,4,4,4,4,4,4
2781957455,46461,4,4,4,4,4,4,4,4,4,4
2781967825,46462,4,4,4,4,4,4,4,4,4,4
2781992413,46463,4,4,4,4,4,4,4,4,4,4
2782029741,46464,4,4,4,4,4,4,4,4,4,4
2782070887,46465,4,4,4,4,4,4,4,4,4,4
2782094674,46466,4,4,4,4,4,4,4,4,4,4
2782126399,46467,4,4,4,4,4,4,4,4,4,4
2782148078,46468,4,4,4,4,4,4,4,4,4,4
2782182644,46469,4,4,4,4,4,4,4,4,4,4
2782217974,46470,4,4,4,4,4,4,4,4,4,4
2782255333,46471,4,4,4,4,4,4,4,4,4,4
2782282207,46472,4,4,4,4,4,4,4,4,4,4
2782317236,46473,4,4,4,4,4,4,4,4,4,4
2782350343,46474,4,4,4,4,4,4,4,4,4,4
2782378728,46475,4,4,4,4,4,4,4,4,4,4
2782404322,46476,4,4,4,4,4,4,4,4,4,4
2782438233,46477,4,4,4,4,4,4,4,4,4,4
2782470283,46478,4,4,4,4,4,4,4,4,4,4
2782538672,46479,4,4,4,4,4,4,4,4,4,4
2782548239,46480,4,4,4,4,4,4,4,4,4,4
2782581195,46481,4,4,4,4,4,4,4,4,4,4
2782605239,46482,4,4,4,4,4,4,4,4,4,4
2782626427,46483,4,4,4,4,4,4,4,4,4,4
2782654104,46484,4,4,4,4,4,4,4,4,4,4
2782680901,46485,4,4,4,4,4,4,4,4,4,4
2782727883,46486,4,4,4,4,4,4,4,4,4,4
2782749860,46487,4,4,4,4,4,4,4,4,4,4
2782783720,46488,4,4,4,4,4,4,4,4,4,4
2782821109,46489,4,4,4,4,4,4,4,4,4,4
2782843801,46490,4,4,4,4,4,4,4,4,4,4
2782876662,46491,4,4,4,4,4,4,4,4,4,4
2782905155,46492,4,4,4,4,4,4,4,4,4,4
2782937826,46493,4,4,4,4,4,4,4,4,4,4
2782972764,46494,4,4,4,4,4,4,4,4,4,4
2783003934,46495,4,4,4,4,4,4,4,4,4,4
2783051982,46496,4,4,4,4,4,4,4,4,4,4
2783059043,46497,4,4,4,4,4,4,4,4,4,4
2783090248,46498,4,4,4,4,4,4,4,4,4,4
2783129857,46499,4,4,4,4,4,4,4,4,4,4
2783192921,46500,4,4,4,4,4,4,4,4,4,4
2783196812,46501,4,4,4,4,4,4,4,4,4,4
2783214404,46502,4,4,4,4,4,4,4,4,4,4
2783253145,46503,4,4,4,4,4,4,4,4,4,4
2783292120,46504,4,4,4,4,4,4,4,4,4,4
2783312698,46505,4,4,4,4,4,4,4,4,4,4
2783343310,46506,4,4,4,4,4,4,4,4,4,4
2783401179,46507,4,4,4,4,4,4,4,4,4,4
2783407770,46508,4,4,4,4,4,4,4,4,4,4
2783436030,46509,4,4,4,4,4,4,4,4,4,4
2783465799,46510,4,4,4,4,4,4,4,4,4,4
2783493451,46511,4,4,4,4,4,4,4,4,4,4
2783532625,46512,4,4,4,4,4,4,4,4,4,4
2783568983,46513,4,4,4,4,4,4,4,4,4,4
2783587952,46514,4,4,4,4,4,4,4,4,4,4
2783645141,46515,4,4,4,4,4,4,4,4,4,4
2783667702,46516,4,4,4,4,4,4,4,4,4,4
2783685965,46517,4,4,4,4,4,4,4,4,4,4
2783725392,46518,4,4,4,4,4,4,4,4,4,4
2783757459,46519,4,4,4,4,4,4,4,4,4,4
2783807024,46520,4,4,4,4,4,4,4,4,4,4
2783823603,46521,4,4,4,4,4,4,4,4,4,4
2783844975,46522,4,4,4,4,4,4,4,4,4,4
2783883888,46523,4,4,4,4,4,4,4,4,4,4
2783904605,46524,4,4,4,4,4,4,4,4,4,4
2783942358,46525,4,4,4,4,4,4,4,4,4,4
2783997480,46526,4,4,4,4,4,4,4,4,4,4
2783999759,46527,4,4,4,4,4,4,4,4,4,4
2784026105,46528,4,4,4,4,4,4,4,4,4,4
2784065033,46529,4,4,4,4,4,4,4,4,4,4
2784108820,46530,4,4,4,4,4,4,4,4,4,4
2784125687,46531,4,4,4,4,4,4,4,4,4,4
2784153848,46532,4,4,4,4,4,4,4,4,4,4
2784194144,46533,4,4,4,4,4,4,4,4,4,4
2784232907,46534,4,4,4,4,4,4,4,4,4,4
2784261358,46535,4,4,4,4,4,4,4,4,4,4
2784287838,46536,4,4,4,4,4,4,4,4,4,4
2784316893,46537,4,4,4,4,4,4,4,4,4,4
2784353855,46538,4,4,4,4,4,4,4,4,4,4
2784376721,46539,4,4,4,4,4,4,4,4,4,4
2784399767,46540,4,4,4,4,4,4,4,4,4,4
2784453239,46541,4,4,4,4,4,4,4,4,4,4
2784472010,46542,4,4,4,4,4,4,4,4,4,4
2784501124,46543,4,4,4,4,4,4,4,4,4,4
2784529024,46544,4,4,4,4,4,4,4,4,4,4
2784558987,46545,4,4,4,4,4,4,4,4,4,4
2784600191,46546,4,4,4,4,4,4,4,4,4,4
2784633232,46547,4,4,4,4,4,4,4,4,4,4
2784658358,46548,4,4,4,4,4,4,4,4,4,4
2784693565,46549,4,4,4,4,4,4,4,4,4,4
2784729862,46550,4,4,4,4,4,4,4,4,4,4
2784748528,46551,4,4,4,4,4,4,4,4,4,4
2784787271,46552,4,4,4,4,4,4,4,4,4,4
2784822067,46553,4,4,4,4,4,4,4,4,4,4
2784844868,46554,4,4,4,4,4,4,4,4,4,4
2784873788,46555,4,4,4,4,4,4,4,4,4,4
2784910028,46556,4,4,4,4,4,4,4,4,4,4
2784947494,46557,4,4,4,4,4,4,4,4,4,4
2784973939,46558,4,4,4,4,4,4,4,4,4,4
2785003727,46559,4,4,4,4,4,4,4,4,4,4
2785032383,46560,4,4,4,4,4,4,4,4,4,4
2785084024,46561,4,4,4,4,4,4,4,4,4,4
2785101778,46562,4,4,4,4,4,4,4,4,4,4
2785123723,46563,4,4,4,4,4,4,4,4,4,4
2785178693,46564,4,4,4,4,4,4,4,4,4,4
2785182195,46565,4,4,4,4,4,4,4,4,4,4
2785217847,46566,4,4,4,4,4,4,4,4,4,4
2785254953,46567,4,4,4,4,4,4,4,4,4,4
2785301009,46568,4,4,4,4,4,4,4,4,4,4
2785327430,46569,4,4,4,4,4,4,4,4,4,4
2785346141,46570,4,4,4,4,4,4,4,4,4,4
2785375112,46571,4,4,4,4,4,4,4,4,4,4
2785413580,46572,4,4,4,4,4,4,4,4,4,4
2785441217,46573,4,4,4,4,4,4,4,4,4,4
2785468844,46574,4,4,4,4,4,4,4,4,4,4
2785497751,46575,4,4,4,4,4,4,4,4,4,4
2785534893,46576,4,4,4,4,4,4,4,4,4,4
2785568772,46577,4,4,4,4,4,4,4,4,4,4
2785597259,46578,4,4,4,4,4,4,4,4,4,4
2785648674,46579,4,4,4,4,4,4,4,4,4,4
2785660980,46580,4,4,4,4,4,4,4,4,4,4
2785688682,46581,4,4,4,4,4,4,4,4,4,4
2785723676,46582,4,4,4,4,4,4,4,4,4,4
2785771123,46583,4,4,4,4,4,4,4,4,4,4
2785788753,46584,4,4,4,4,4,4,4,4,4,4
2785816088,46585,4,4,4,4,4,4,4,4,4,4
2785844838,46586,4,4,4,4,4,4,4,4,4,4
2785885757,46587,4,4,4,4,4,4,4,4,4,4
2785912999,46588,4,4,4,4,4,4,4,4,4,4
2785941390,46589,4,4,4,4,4,4,4,4,4,4
2785971144,46590,4,4,4,4,4,4,4,4,4,4
2786005157,46591,4,4,4,4,4,4,4,4,4,4
2786034279,46592,4,4,4,4,4,4,4,4,4,4
2786067423,46593,4,4,4,4,4,4,4,4,4,4
2786095012,46594,4,4,4,4,4,4,4,4,4,4
2786122596,46595,4,4,4,4,4,4,4,4,4,4
2786175453,46596,4,4,4,4,4,4,4,4,4,4
2786188393,46597,4,4,4,4,4,4,4,4,4,4
2786238713,46598,4,4,4,4,4,4,4,4,4,4
2786259964,46599,4,4,4,4,4,4,4,4,4,4
2786277268,46600,4,4,4,4,4,4,4,4,4,4
2786316225,46601,4,4,4,4,4,4,4,4,4,4
2786392236,46602,4,4,4,4,4,4,4,4,4,4
2786398382,46603,4,4,4,4,4,4,4,4,4,4
2786408245,46604,4,4,4,4,4,4,4,4,4,4
2786435118,46605,4,4,4,4,4,4,4,4,4,4
2786480904,46606,4,4,4,4,4,4,4,4,4,4
2786498643,46607,4,4,4,4,4,4,4,4,4,4
2786546119,46608,4,4,4,4,4,4,4,4,4,4
2786590907,46609,4,4,4,4,4,4,4,4,4,4
2786601171,46610,4,4,4,4,4,4,4,4,4,4
2786632304,46611,4,4,4,4,4,4,4,4,4,4
2786659023,46612,4,4,4,4,4,4,4,4,4,4
2786711396,46613,4,4,4,4,4,4,4,4,4,4
2786722400,46614,4,4,4,4,4,4,4,4,4,4
2786749914,46615,4,4,4,4,4,4,4,4,4,4
2786791253,46616,4,4,4,4,4,4,4,4,4,4
2786828369,46617,4,4,4,4,4,4,4,4,4,4
2786857430,46618,4,4,4,4,4,4,4,4,4,4
2786876282,46619,4,4,4,4,4,4,4,4,4,4
2786912474,46620,4,4,4,4,4,4,4,4,4,4
2786939298,46621,4,4,4,4,4,4,4,4,4,4
2787006557,46622,4,4,4,4,4,4,4,4,4,4
2787013539,46623,4,4,4,4,4,4,4,4,4,4
2787034963,46624,4,4,4,4,4,4,4,4,4,4
2787067794,46625,4,4,4,4,4,4,4,4,4,4
2787096549,46626,4,4,4,4,4,4,4,4,4,4
2787128628,46627,4,4,4,4,4,4,4,4,4,4
2787156132,46628,4,4,4,4,4,4,4,4,4,4
2787186582,46629,4,4,4,4,4,4,4,4,4,4
2787216054,46630,4,4,4,4,4,4,4,4,4,4
2787277417,46631,4,4,4,4,4,4,4,4,4,4
