steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
2780783921,46424,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2780812716,46425,-2,0,8.7209472656,-0.9857421875,-4.7085937500,-0.5792682927,1.7073170732,-1.0975609756,-42.1497892511,-39.1498042510,-14.0999295004
2780856307,46426,-2,0,8.5175781250,-0.9809570313,-4.7779785156,-0.8841463415,1.2195121951,-0.5792682927,-41.2497937510,-42.4497877511,-13.1999340003
2780887767,46427,-2,0,8.4936523438,-0.9929199219,-4.8593261719,-0.9146341463,1.2195121951,-0.3658536585,-41.2497937510,-42.4497877511,-13.1999340003
2780914896,46428,-2,0,8.5223632813,-0.9689941406,-4.8593261719,-0.9451219512,1.5548780488,-0.6097560976,-41.2497937510,-42.4497877511,-13.1999340003
2780939311,46429,-2,0,8.5773925781,-0.9713867188,-4.8473632813,-1.0060975610,1.4329268293,-0.9146341463,-41.9997900010,-40.9497952510,-14.6999265004
2780968729,46430,-2,0,8.5127929688,-0.9498535156,-4.8545410156,-0.9451219512,1.4634146341,-0.7926829268,-41.9997900010,-40.9497952510,-14.6999265004
2781003902,46431,-2,0,8.5606445313,-0.9402832031,-4.8401855469,-0.7926829268,1.7987804878,-0.6707317073,-41.9997900010,-40.9497952510,-14.6999265004
2781038985,46432,-2,0,8.5989257813,-0.9474609375,-4.8114746094,-0.6402439024,1.7378048780,-0.7621951220,-43.0497847511,-41.6997915010,-13.9499302503
2781058900,46433,-2,0,8.5582519531,-0.9953125000,-4.8114746094,-0.9451219512,1.5853658537,-0.4878048780,-43.0497847511,-41.6997915010,-13.9499302503
2781095135,46434,-2,0,8.5582519531,-0.9953125000,-4.8114746094,-1.2804878049,1.4024390244,-0.4573170732,-43.0497847511,-41.6997915010,-13.9499302503
2781123810,46435,-2,0,8.5510742188,-0.9809570313,-4.8234375000,-1.4024390244,1.4024390244,-0.7317073171,-41.9997900010,-42.1497892511,-14.2499287504
2781162813,46436,-2,0,8.6228515625,-0.9666015625,-4.8019042969,-1.3109756098,1.3414634146,-0.0304878049,-41.9997900010,-42.1497892511,-14.2499287504
2781184738,46437,-2,0,8.5199707031,-0.9235351563,-4.8066894531,-1.1280487805,1.3109756098,-0.3963414634,-41.9997900010,-42.1497892511,-14.2499287504
2781217362,46438,-2,0,8.5223632813,-0.9570312500,-4.7995117188,-0.7621951220,1.8597560976,-1.0060975610,-41.3997930010,-42.2997885011,-13.6499317503
2781259024,46439,-2,0,8.6156738281,-0.9450683594,-4.7684082031,-0.7317073171,1.2500000000,-0.6097560976,-41.3997930010,-42.2997885011,-13.6499317503
2781286524,46440,-2,0,8.6730957031,-0.9761718750,-4.8425781250,-1.0670731707,0.3658536585,-0.2134146341,-41.3997930010,-42.2997885011,-13.6499317503
2781308866,46441,-2,0,8.5462890625,-0.9594238281,-4.8306152344,-1.1890243902,0.0609756098,-0.3658536585,-43.0497847511,-41.2497937510,-15.7499212504
2781346648,46442,-2,0,8.4553710938,-0.9713867188,-4.8210449219,-1.2195121951,0.5792682927,-0.2743902439,-43.0497847511,-41.2497937510,-15.7499212504
2781377442,46443,-2,0,8.5199707031,-0.9737792969,-4.8186523438,-1.1890243902,1.0365853659,-0.3048780488,-43.0497847511,-41.2497937510,-15.7499212504
2781418900,46444,-2,0,8.5391113281,-0.9666015625,-4.8497558594,-0.8841463415,1.4939024390,-1.0365853659,-43.0497847511,-41.2497937510,-15.7499212504
