steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
2760032762,45884,4,4,4,4,4,4,4,4,4,4
2760088458,45885,4,4,4,4,4,4,4,4,4,4
2760093222,45886,4,4,4,4,4,4,4,4,4,4
2760159812,45887,4,4,4,4,4,4,4,4,4,4
2760163971,45888,4,4,4,4,4,4,4,4,4,4
2760195978,45889,4,4,4,4,4,4,4,4,4,4
2760225033,45890,4,4,4,4,4,4,4,4,4,4
2760261267,45891,4,4,4,4,4,4,4,4,4,4
2760284939,45892,4,4,4,4,4,4,4,4,4,4
2760321189,45893,4,4,4,4,4,4,4,4,4,4
2760371109,45894,4,4,4,4,4,4,4,4,4,4
2760385865,45895,4,4,4,4,4,4,4,4,4,4
2760415239,45896,4,4,4,4,4,4,4,4,4,4
2760450927,45897,4,4,4,4,4,4,4,4,4,4
2760498938,45898,4,4,4,4,4,4,4,4,4,4
2760514958,45899,4,4,4,4,4,4,4,4,4,4
2760536093,45900,4,4,4,4,4,4,4,4,4,4
2760564225,45901,4,4,4,4,4,4,4,4,4,4
2760614673,45902,4,4,4,4,4,4,4,4,4,4
2760635917,45903,4,4,4,4,4,4,4,4,4,4
2760667354,45904,4,4,4,4,4,4,4,4,4,4
2760696201,45905,4,4,4,4,4,4,4,4,4,4
2760731233,45906,4,4,4,4,4,4,4,4,4,4
2760771132,45907,4,4,4,4,4,4,4,4,4,4
2760798868,45908,4,4,4,4,4,4,4,4,4,4
2760815923,45909,4,4,4,4,4,4,4,4,4,4
2760852626,45910,4,4,4,4,4,4,4,4,4,4
2760886074,45911,4,4,4,4,4,4,4,4,4,4
2760923465,45912,4,4,4,4,4,4,4,4,4,4
2760950975,45913,4,4,4,4,4,4,4,4,4,4
2760978893,45914,4,4,4,4,4,4,4,4,4,4
2761035252,45915,4,4,4,4,4,4,4,4,4,4
2761043993,45916,4,4,4,4,4,4,4,4,4,4
2761083252,45917,4,4,4,4,4,4,4,4,4,4
2761108154,45918,4,4,4,4,4,4,4,4,4,4
2761134332,45919,4,4,4,4,4,4,4,4,4,4
2761163447,45920,4,4,4,4,4,4,4,4,4,4
2761199186,45921,4,4,4,4,4,4,4,4,4,4
2761224846,45922,4,4,4,4,4,4,4,4,4,4
2761260855,45923,4,4,4,4,4,4,4,4,4,4
2761289901,45924,4,4,4,4,4,4,4,4,4,4
2761319983,45925,4,4,4,4,4,4,4,4,4,4
2761347908,45926,4,4,4,4,4,4,4,4,4,4
2761402140,45927,4,4,4,4,4,4,4,4,4,4
2761433545,45928,4,4,4,4,4,4,4,4,4,4
2761454150,45929,4,4,4,4,4,4,4,4,4,4
2761471495,45930,4,4,4,4,4,4,4,4,4,4
2761502471,45931,4,4,4,4,4,4,4,4,4,4
2761553658,45932,4,4,4,4,4,4,4,4,4,4
2761600679,45933,4,4,4,4,4,4,4,4,4,4
2761613161,45934,4,4,4,4,4,4,4,4,4,4
2761639732,45935,4,4,4,4,4,4,4,4,4,4
2761672139,45936,4,4,4,4,4,4,4,4,4,4
2761692795,45937,4,4,4,4,4,4,4,4,4,4
2761727998,45938,4,4,4,4,4,4,4,4,4,4
2761754152,45939,4,4,4,4,4,4,4,4,4,4
2761789936,45940,4,4,4,4,4,4,4,4,4,4
2761821106,45941,4,4,4,4,4,4,4,4,4,4
2761851255,45942,4,4,4,4,4,4,4,4,4,4
2761881164,45943,4,4,4,4,4,4,4,4,4,4
2761915997,45944,4,4,4,4,4,4,4,4,4,4
2761945058,45945,4,4,4,4,4,4,4,4,4,4
2761975078,45946,4,4,4,4,4,4,4,4,4,4
2762059939,45947,4,4,4,4,4,4,4,4,4,4
2762064270,45948,4,4,4,4,4,4,4,4,4,4
2762083128,45949,4,4,4,4,4,4,4,4,4,4
2762111333,45950,4,4,4,4,4,4,4,4,4,4
2762145145,45951,4,4,4,4,4,4,4,4,4,4
2762171286,45952,4,4,4,4,4,4,4,4,4,4
2762203183,45953,4,4,4,4,4,4,4,4,4,4
2762224993,45954,4,4,4,4,4,4,4,4,4,4
2762260218,45955,4,4,4,4,4,4,4,4,4,4
2762288095,45956,4,4,4,4,4,4,4,4,4,4
2762329347,45957,4,4,4,4,4,4,4,4,4,4
2762352340,45958,4,4,4,4,4,4,4,4,4,4
2762388302,45959,4,4,4,4,4,4,4,4,4,4
2762415467,45960,4,4,4,4,4,4,4,4,4,4
2762445202,45961,4,4,4,4,4,4,4,4,4,4
2762500932,45962,4,4,4,4,4,4,4,4,4,4
2762512860,45963,4,4,4,4,4,4,4,4,4,4
2762542387,45964,4,4,4,4,4,4,4,4,4,4
2762570020,45965,4,4,4,4,4,4,4,4,4,4
2762618918,45966,4,4,4,4,4,4,4,4,4,4
2762643997,45967,4,4,4,4,4,4,4,4,4,4
2762683812,45968,4,4,4,4,4,4,4,4,4,4
2762694380,45969,4,4,4,4,4,4,4,4,4,4
2762736355,45970,4,4,4,4,4,4,4,4,4,4
2762757826,45971,4,4,4,4,4,4,4,4,4,4
2762791207,45972,4,4,4,4,4,4,4,4,4,4
2762819162,45973,4,4,4,4,4,4,4,4,4,4
2762856350,45974,4,4,4,4,4,4,4,4,4,4
2762893860,45975,4,4,4,4,4,4,4,4,4,4
2762921483,45976,4,4,4,4,4,4,4,4,4,4
2762974369,45977,4,4,4,4,4,4,4,4,4,4
2762978087,45978,4,4,4,4,4,4,4,4,4,4
2763008178,45979,4,4,4,4,4,4,4,4,4,4
2763050104,45980,4,4,4,4,4,4,4,4,4,4
2763088948,45981,4,4,4,4,4,4,4,4,4,4
2763099638,45982,4,4,4,4,4,4,4,4,4,4
2763139083,45983,4,4,4,4,4,4,4,4,4,4
2763168708,45984,4,4,4,4,4,4,4,4,4,4
2763209978,45985,4,4,4,4,4,4,4,4,4,4
2763226091,45986,4,4,4,4,4,4,4,4,4,4
2763258865,45987,4,4,4,4,4,4,4,4,4,4
2763289915,45988,4,4,4,4,4,4,4,4,4,4
2763348396,45989,4,4,4,4,4,4,4,4,4,4
2763355152,45990,4,4,4,4,4,4,4,4,4,4
2763386739,45991,4,4,4,4,4,4,4,4,4,4
2763440213,45992,4,4,4,4,4,4,4,4,4,4
2763451422,45993,4,4,4,4,4,4,4,4,4,4
2763476137,45994,4,4,4,4,4,4,4,4,4,4
2763508026,45995,4,4,4,4,4,4,4,4,4,4
