steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
2760032762,45884,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2760088458,45885,-2,0,8.5893554688,-1.0312011719,-4.6703125000,-1.1585365854,0.7012195122,-0.6707317073,-43.0497847511,-41.2497937510,-12.7499362503
2760093222,45886,-2,0,8.5654296875,-0.9666015625,-4.6942382813,-1.0365853659,1.6463414634,-0.7012195122,-43.7997810011,-40.9497952510,-14.2499287504
2760159812,45887,-2,0,8.5654296875,-0.9666015625,-4.6942382813,-1.0975609756,1.1585365854,-0.7012195122,-43.7997810011,-40.9497952510,-14.2499287504
2760163971,45888,-2,0,8.6132812500,-0.9929199219,-4.7779785156,-0.8231707317,1.1585365854,-0.5487804878,-43.7997810011,-40.9497952510,-14.2499287504
2760195978,45889,-2,0,8.6419921875,-0.9857421875,-4.8162597656,-0.7317073171,1.4939024390,-0.2743902439,-42.8997855011,-41.0997945010,-13.3499332503
2760225033,45890,-2,0,8.4912597656,-0.9618164063,-4.7708007813,-0.5792682927,1.7073170732,-0.8536585366,-42.8997855011,-41.0997945010,-13.3499332503
2760261267,45891,-2,0,8.5965332031,-1.0072753906,-4.7564453125,-0.8841463415,2.0731707317,-0.8841463415,-42.8997855011,-41.0997945010,-13.3499332503
2760284939,45892,-2,0,8.6874511719,-1.0216308594,-4.7636230469,-1.1585365854,1.1585365854,-0.0914634146,-44.3997780011,-40.6497967510,-13.3499332503
2760321189,45893,-2,0,8.6659179688,-0.9881347656,-4.7301269531,-1.2500000000,0.4573170732,-0.3353658537,-44.3997780011,-40.6497967510,-13.3499332503
2760371109,45894,-2,0,8.5917480469,-0.9881347656,-4.7540527344,-1.0365853659,0.3658536585,-0.3353658537,-44.3997780011,-40.6497967510,-13.3499332503
2760385865,45895,-2,0,8.5391113281,-0.9929199219,-4.7636230469,-0.8231707317,0.6402439024,0.0609756098,-41.6997915010,-41.5497922510,-14.8499257504
2760415239,45896,-2,0,8.5486816406,-0.9929199219,-4.7516601563,-0.6707317073,0.8536585366,-0.5487804878,-41.6997915010,-41.5497922510,-14.8499257504
