steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
2716846258,44628,4,4,4,4,4,4,4,4,4,4
2716901065,44629,4,4,4,4,4,4,4,4,4,4
2716932092,44630,4,4,4,4,4,4,4,4,4,4
2716954557,44631,4,4,4,4,4,4,4,4,4,4
2716979492,44632,4,4,4,4,4,4,4,4,4,4
2717030788,44633,4,4,4,4,4,4,4,4,4,4
2717045842,44634,4,4,4,4,4,4,4,4,4,4
2717071980,44635,4,4,4,4,4,4,4,4,4,4
2717100141,44636,4,4,4,4,4,4,4,4,4,4
2717141906,44637,4,4,4,4,4,4,4,4,4,4
2717164531,44638,4,4,4,4,4,4,4,4,4,4
2717202042,44639,4,4,4,4,4,4,4,4,4,4
2717235479,44640,4,4,4,4,4,4,4,4,4,4
2717283015,44641,4,4,4,4,4,4,4,4,4,4
2717295578,44642,4,4,4,4,4,4,4,4,4,4
2717321921,44643,4,4,4,4,4,4,4,4,4,4
2717378405,44644,4,4,4,4,4,4,4,4,4,4
2717384007,44645,4,4,4,4,4,4,4,4,4,4
2717413145,44646,4,4,4,4,4,4,4,4,4,4
2717443240,44647,4,4,4,4,4,4,4,4,4,4
2717500881,44648,4,4,4,4,4,4,4,4,4,4
2717504580,44649,4,4,4,4,4,4,4,4,4,4
2717538266,44650,4,4,4,4,4,4,4,4,4,4
2717578260,44651,4,4,4,4,4,4,4,4,4,4
2717612144,44652,4,4,4,4,4,4,4,4,4,4
2717629463,44653,4,4,4,4,4,4,4,4,4,4
2717665950,44654,4,4,4,4,4,4,4,4,4,4
2717693206,44655,4,4,4,4,4,4,4,4,4,4
2717737083,44656,4,4,4,4,4,4,4,4,4,4
2717755638,44657,4,4,4,4,4,4,4,4,4,4
2717802972,44658,4,4,4,4,4,4,4,4,4,4
2717845866,44659,4,4,4,4,4,4,4,4,4,4
2717888327,44660,4,4,4,4,4,4,4,4,4,4
2717894775,44661,4,4,4,4,4,4,4,4,4,4
2717914114,44662,4,4,4,4,4,4,4,4,4,4
2717964556,44663,4,4,4,4,4,4,4,4,4,4
2717978310,44664,4,4,4,4,4,4,4,4,4,4
2718008362,44665,4,4,4,4,4,4,4,4,4,4
2718039101,44666,4,4,4,4,4,4,4,4,4,4
2718088281,44667,4,4,4,4,4,4,4,4,4,4
2718123694,44668,4,4,4,4,4,4,4,4,4,4
2718132220,44669,4,4,4,4,4,4,4,4,4,4
2718171344,44670,4,4,4,4,4,4,4,4,4,4
2718206951,44671,4,4,4,4,4,4,4,4,4,4
2718233348,44672,4,4,4,4,4,4,4,4,4,4
2718256896,44673,4,4,4,4,4,4,4,4,4,4
2718284158,44674,4,4,4,4,4,4,4,4,4,4
2718320268,44675,4,4,4,4,4,4,4,4,4,4
2718349347,44676,4,4,4,4,4,4,4,4,4,4
