steady_timestamp,sequence,battery,flags,utc_timestamp
2716846258,44628,-2,0,1672916837898438
2716901065,44629,-2,0,1672916837953245
2716932092,44630,-2,0,1672916837984273
2716954557,44631,-2,0,1672916838006738
2716979492,44632,-2,0,1672916838031673
2717030788,44633,-2,0,1672916838082968
2717045842,44634,-2,0,1672916838098023
2717071980,44635,-2,0,1672916838124161
2717100141,44636,-2,0,1672916838152321
2717141906,44637,-2,0,1672916838194087
2717164531,44638,-2,0,1672916838216712
2717202042,44639,-2,0,1672916838254223
2717235479,44640,-2,0,1672916838287660
2717283015,44641,-2,0,1672916838335195
2717295578,44642,-2,0,1672916838347758
2717321921,44643,-2,0,1672916838374101
2717378405,44644,-2,0,1672916838430586
2717384007,44645,-2,0,1672916838436187
2717413145,44646,-2,0,1672916838465326
2717443240,44647,-2,0,1672916838495420
2717500881,44648,-2,0,1672916838553062
2717504580,44649,-2,0,1672916838556761
2717538266,44650,-2,0,1672916838590447
2717578260,44651,-2,0,1672916838630441
2717612144,44652,-2,0,1672916838664324
2717629463,44653,-2,0,1672916838681644
2717665950,44654,-2,0,1672916838718131
2717693206,44655,-2,0,1672916838745387
2717737083,44656,-2,0,1672916838789264
2717755638,44657,-2,0,1672916838807819
2717802972,44658,-2,0,1672916838855153
2717845866,44659,2,0,1672916838898046
2717888327,44660,2,0,1672916838940508
2717894775,44661,2,0,1672916838946956
2717914114,44662,2,0,1672916838966294
2717964556,44663,2,0,1672916839016736
2717978310,44664,2,0,1672916839030491
2718008362,44665,2,0,1672916839060542
2718039101,44666,2,0,1672916839091282
2718088281,44667,2,0,1672916839140462
2718123694,44668,2,0,1672916839175875
2718132220,44669,2,0,1672916839184400
2718171344,44670,2,0,1672916839223524
2718206951,44671,2,0,1672916839259132
2718233348,44672,2,0,1672916839285529
2718256896,44673,2,0,1672916839309077
2718284158,44674,2,0,1672916839336339
2718320268,44675,2,0,1672916839372448
2718349347,44676,2,0,1672916839401528
2718384595,44677,2,0,1672916839436776
2718437081,44678,2,0,1672916839489261
2718448852,44679,2,0,1672916839501033
2718483408,44680,2,0,1672916839535589
2718526982,44681,2,0,1672916839579163
2718558276,44682,2,0,1672916839610456
2718567120,44683,2,0,1672916839619300
2718608376,44684,2,0,1672916839660557
2718634606,44685,2,0,1672916839686787
2718682189,44686,2,0,1672916839734370
2718695866,44687,2,0,1672916839748047
2718724549,44688,2,0,1672916839776730
2718760811,44689,2,0,1672916839812991
2718794712,44690,2,0,1672916839846892
2718822205,44691,2,0,1672916839874385
2718851310,44692,2,0,1672916839903491
2718913385,44693,2,0,1672916839965565
2718916848,44694,2,0,1672916839969028
2718945797,44695,2,0,1672916839997978
2718975865,44696,2,0,1672916840028046
2719025705,44697,2,0,1672916840077885
2719049625,44698,2,0,1672916840101806
2719069385,44699,2,0,1672916840121565
2719099907,44700,2,0,1672916840152087
2719181978,44701,2,0,1672916840234159
2719188296,44702,2,0,1672916840240477
2719204614,44703,2,0,1672916840256795
2719238177,44704,2,0,1672916840290358
2719264020,44705,2,0,1672916840316200
2719289493,44706,2,0,1672916840341674
2719325818,44707,2,0,1672916840377999
2719369637,44708,2,0,1672916840421818
2719388972,44709,2,0,1672916840441153
2719414522,44710,2,0,1672916840466702
2719443200,44711,2,0,1672916840495381
2719495989,44712,2,0,1672916840548170
2719505942,44713,2,0,1672916840558123
2719552153,44714,2,0,1672916840604334
2719568940,44715,2,0,1672916840621121
2719617011,44716,2,0,1672916840669191
2719631723,44717,2,0,1672916840683903
2719665857,44718,2,0,1672916840718038
2719703466,44719,2,0,1672916840755647
2719742333,44720,2,0,1672916840794513
2719757464,44721,2,0,1672916840809644
2719803632,44722,2,0,1672916840855812
2719854755,44723,2,0,1672916840906936
2719860859,44724,2,0,1672916840913040
2719882220,44725,2,0,1672916840934401
2719928439,44726,2,0,1672916840980620
2719943276,44727,2,0,1672916840995457
2719977044,44728,2,0,1672916841029225
2720014648,44729,2,0,1672916841066829
2720030397,44730,2,0,1672916841082578
2720095761,44731,2,0,1672916841147942
2720101974,44732,2,0,1672916841154155
2720130848,44733,2,0,1672916841183029
2720158910,44734,2,0,1672916841211091
2720214931,44735,2,0,1672916841267112
2720234707,44736,2,0,1672916841286888
2720258382,44737,2,0,1672916841310563
2720287247,44738,2,0,1672916841339428
2720321619,44739,2,0,1672916841373799
2720351916,44740,2,0,1672916841404096
2720383170,44741,2,0,1672916841435350
2720412156,44742,2,0,1672916841464337
2720469723,44743,2,0,1672916841521904
2720483222,44744,2,0,1672916841535403
2720511203,44745,2,0,1672916841563384
2720557463,44746,2,0,1672916841609643
2720565820,44747,2,0,1672916841618000
2720607129,44748,2,0,1672916841659309
2720633422,44749,2,0,1672916841685603
2720685966,44750,2,0,1672916841738147
2720692503,44751,2,0,1672916841744684
2720719326,44752,2,0,1672916841771507
2720772121,44753,2,0,1672916841824301
2720802119,44754,2,0,1672916841854300
2720827162,44755,2,0,1672916841879342
2720845481,44756,2,0,1672916841897662
2720887107,44757,2,0,1672916841939288
2720918459,44758,2,0,1672916841970640
2720954662,44759,2,0,1672916842006843
2720973318,44760,2,0,1672916842025499
2721009718,44761,2,0,1672916842061898
2721038397,44762,2,0,1672916842090577
2721092030,44763,2,0,1672916842144211
2721108351,44764,2,0,1672916842160531
2721124246,44765,2,0,1672916842176426
2721165915,44766,2,0,1672916842218096
2721202230,44767,2,0,1672916842254410
2721219063,44768,2,0,1672916842271244
2721275540,44769,2,0,1672916842327721
2721294635,44770,2,0,1672916842346815
2721319696,44771,2,0,1672916842371877
2721360910,44772,2,0,1672916842413090
2721388273,44773,2,0,1672916842440453
2721417115,44774,2,0,1672916842469296
2721445957,44775,2,0,1672916842498137
2721474673,44776,2,0,1672916842526854
2721506389,44777,2,0,1672916842558570
2721543288,44778,2,0,1672916842595469
2721590914,44779,2,0,1672916842643095
2721623488,44780,2,0,1672916842675669
2721634452,44781,2,0,1672916842686632
2721663643,44782,2,0,1672916842715824
2721719598,44783,2,0,1672916842771778
2721749653,44784,2,0,1672916842801834
2721755050,44785,2,0,1672916842807230
2721787366,44786,2,0,1672916842839547
2721823402,44787,2,0,1672916842875582
2721863394,44788,2,0,1672916842915575
2721891993,44789,2,0,1672916842944173
2721908276,44790,2,0,1672916842960456
2721953401,44791,2,0,1672916843005581
2721988417,44792,2,0,1672916843040597
2722010745,44793,2,0,1672916843062926
2722038985,44794,2,0,1672916843091166
2722063211,44795,2,0,1672916843115392
2722102193,44796,2,0,1672916843154373
2722130953,44797,2,0,1672916843183133
2722158781,44798,2,0,1672916843210962
2722190015,44799,2,0,1672916843242195
2722232208,44800,2,0,1672916843284388
2722267207,44801,2,0,1672916843319388
2722288232,44802,2,0,1672916843340412
2722318460,44803,2,0,1672916843370640
2722369644,44804,2,0,1672916843421825
2722384502,44805,2,0,1672916843436682
2722413379,44806,2,0,1672916843465559
2722459011,44807,2,0,1672916843511191
2722483408,44808,2,0,1672916843535589
2722524709,44809,2,0,1672916843576890
2722540888,44810,2,0,1672916843593069
2722571718,44811,2,0,1672916843623899
2722606493,44812,2,0,1672916843658674
2722637100,44813,2,0,1672916843689280
2722687098,44814,2,0,1672916843739279
2722700886,44815,2,0,1672916843753067
2722729988,44816,2,0,1672916843782169
2722758448,44817,2,0,1672916843810628
2722812220,44818,2,0,1672916843864400
2722822159,44819,2,0,1672916843874340
2722850934,44820,2,0,1672916843903115
2722882164,44821,2,0,1672916843934344
2722928421,44822,2,0,1672916843980601
2722954645,44823,2,0,1672916844006826
2722973684,44824,2,0,1672916844025864
2723006795,44825,2,0,1672916844058975
2723043410,44826,2,0,1672916844095591
2723072238,44827,2,0,1672916844124419
2723095367,44828,2,0,1672916844147548
2723128508,44829,2,0,1672916844180689
2723163488,44830,2,0,1672916844215668
2723194582,44831,2,0,1672916844246763
2723243259,44832,2,0,1672916844295440
2723275936,44833,2,0,1672916844328117
2723290972,44834,2,0,1672916844343152
2723319743,44835,2,0,1672916844371923
2723356055,44836,2,0,1672916844408236
2723400066,44837,2,0,1672916844452247
2723419699,44838,2,0,1672916844471880
2723445811,44839,2,0,1672916844497992
2723475710,44840,2,0,1672916844527891
2723505484,44841,2,0,1672916844557665
2723538198,44842,2,0,1672916844590379
2723569736,44843,2,0,1672916844621916
2723629561,44844,2,0,1672916844681741
2723631979,44845,2,0,1672916844684160
2723663953,44846,2,0,1672916844716133
2723693438,44847,2,0,1672916844745619
2723748306,44848,2,0,1672916844800486
2723758266,44849,2,0,1672916844810447
2723788434,44850,2,0,1672916844840615
2723830954,44851,2,0,1672916844883135
2723874735,44852,2,0,1672916844926915
2723882184,44853,2,0,1672916844934364
2723919264,44854,2,0,1672916844971444
2723947435,44855,2,0,1672916844999615
2723995938,44856,2,0,1672916845048119
2724015917,44857,2,0,1672916845068098
2724035450,44858,2,0,1672916845087630
2724064943,44859,2,0,1672916845117124
2724113320,44860,2,0,1672916845165501
2724143423,44861,2,0,1672916845195603
2724160452,44862,2,0,1672916845212633
2724227224,44863,2,0,1672916845279404
2724230776,44864,2,0,1672916845282956
2724283433,44865,2,0,1672916845335614
2724288783,44866,2,0,1672916845340964
2724316497,44867,2,0,1672916845368678
2724358508,44868,2,0,1672916845410689
2724385969,44869,2,0,1672916845438150
2724413395,44870,2,0,1672916845465576
