steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
2799355057,46851,4,4,4,4,4,4,4,4,4,4
2799380868,46852,4,4,4,4,4,4,4,4,4,4
2799422778,46853,4,4,4,4,4,4,4,4,4,4
2799469985,46854,4,4,4,4,4,4,4,4,4,4
2799478661,46855,4,4,4,4,4,4,4,4,4,4
2799524779,46856,4,4,4,4,4,4,4,4,4,4
2799545192,46857,4,4,4,4,4,4,4,4,4,4
2799591349,46858,4,4,4,4,4,4,4,4,4,4
2799605757,46859,4,4,4,4,4,4,4,4,4,4
2799639080,46860,4,4,4,4,4,4,4,4,4,4
2799667648,46861,4,4,4,4,4,4,4,4,4,4
2799712547,46862,4,4,4,4,4,4,4,4,4,4
2799727746,46863,4,4,4,4,4,4,4,4,4,4
2799760678,46864,4,4,4,4,4,4,4,4,4,4
2799818842,46865,4,4,4,4,4,4,4,4,4,4
2799834049,46866,4,4,4,4,4,4,4,4,4,4
2799858131,46867,4,4,4,4,4,4,4,4,4,4
2799888513,46868,4,4,4,4,4,4,4,4,4,4
2799950116,46869,4,4,4,4,4,4,4,4,4,4
2799955110,46870,4,4,4,4,4,4,4,4,4,4
2799983013,46871,4,4,4,4,4,4,4,4,4,4
2800010304,46872,4,4,4,4,4,4,4,4,4,4
2800037397,46873,4,4,4,4,4,4,4,4,4,4
2800076848,46874,4,4,4,4,4,4,4,4,4,4
2800106350,46875,4,4,4,4,4,4,4,4,4,4
2800132883,46876,4,4,4,4,4,4,4,4,4,4
2800183359,46877,4,4,4,4,4,4,4,4,4,4
2800197839,46878,4,4,4,4,4,4,4,4,4,4
2800236343,46879,4,4,4,4,4,4,4,4,4,4
2800277094,46880,4,4,4,4,4,4,4,4,4,4
2800301855,46881,4,4,4,4,4,4,4,4,4,4
2800333834,46882,4,4,4,4,4,4,4,4,4,4
2800357338,46883,4,4,4,4,4,4,4,4,4,4
2800415182,46884,4,4,4,4,4,4,4,4,4,4
