steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
2410471500,41694,4,4,4,4,4,4,4,4,4,4
2410523519,41695,4,4,4,4,4,4,4,4,4,4
2410538188,41696,4,4,4,4,4,4,4,4,4,4
2410566988,41697,4,4,4,4,4,4,4,4,4,4
2410594313,41698,4,4,4,4,4,4,4,4,4,4
2410641089,41699,4,4,4,4,4,4,4,4,4,4
2410680766,41700,4,4,4,4,4,4,4,4,4,4
2410695849,41701,4,4,4,4,4,4,4,4,4,4
2410714084,41702,4,4,4,4,4,4,4,4,4,4
2410762969,41703,4,4,4,4,4,4,4,4,4,4
2410782020,41704,4,4,4,4,4,4,4,4,4,4
2410810762,41705,4,4,4,4,4,4,4,4,4,4
2410836940,41706,4,4,4,4,4,4,4,4,4,4
2410876877,41707,4,4,4,4,4,4,4,4,4,4
2410917991,41708,4,4,4,4,4,4,4,4,4,4
2410946799,41709,4,4,4,4,4,4,4,4,4,4
2410994415,41710,4,4,4,4,4,4,4,4,4,4
2410998883,41711,4,4,4,4,4,4,4,4,4,4
2411025255,41712,4,4,4,4,4,4,4,4,4,4
2411071915,41713,4,4,4,4,4,4,4,4,4,4
2411113271,41714,4,4,4,4,4,4,4,4,4,4
2411123662,41715,4,4,4,4,4,4,4,4,4,4
2411152336,41716,4,4,4,4,4,4,4,4,4,4
2411195953,41717,4,4,4,4,4,4,4,4,4,4
2411241002,41718,4,4,4,4,4,4,4,4,4,4
2411255837,41719,4,4,4,4,4,4,4,4,4,4
2411285515,41720,4,4,4,4,4,4,4,4,4,4
2411347008,41721,4,4,4,4,4,4,4,4,4,4
2411351976,41722,4,4,4,4,4,4,4,4,4,4
2411371412,41723,4,4,4,4,4,4,4,4,4,4
2411400654,41724,4,4,4,4,4,4,4,4,4,4
2411436327,41725,4,4,4,4,4,4,4,4,4,4
2411473287,41726,4,4,4,4,4,4,4,4,4,4
2411500706,41727,4,4,4,4,4,4,4,4,4,4
2411528645,41728,4,4,4,4,4,4,4,4,4,4
2411556092,41729,4,4,4,4,4,4,4,4,4,4
2411602123,41730,4,4,4,4,4,4,4,4,4,4
2411630993,41731,4,4,4,4,4,4,4,4,4,4
2411664384,41732,4,4,4,4,4,4,4,4,4,4
2411700203,41733,4,4,4,4,4,4,4,4,4,4
2411731022,41734,4,4,4,4,4,4,4,4,4,4
2411749804,41735,4,4,4,4,4,4,4,4,4,4
2411776320,41736,4,4,4,4,4,4,4,4,4,4
2411826038,41737,4,4,4,4,4,4,4,4,4,4
2411845289,41738,4,4,4,4,4,4,4,4,4,4
2411878373,41739,4,4,4,4,4,4,4,4,4,4
2411909924,41740,4,4,4,4,4,4,4,4,4,4
2411935772,41741,4,4,4,4,4,4,4,4,4,4
2411966269,41742,4,4,4,4,4,4,4,4,4,4
2412008167,41743,4,4,4,4,4,4,4,4,4,4
2412052120,41744,4,4,4,4,4,4,4,4,4,4
2412056637,41745,4,4,4,4,4,4,4,4,4,4
2412087782,41746,4,4,4,4,4,4,4,4,4,4
2412134684,41747,4,4,4,4,4,4,4,4,4,4
2412174710,41748,4,4,4,4,4,4,4,4,4,4
2412178202,41749,4,4,4,4,4,4,4,4,4,4
2412231790,41750,4,4,4,4,4,4,4,4,4,4
2412247011,41751,4,4,4,4,4,4,4,4,4,4
2412292118,41752,4,4,4,4,4,4,4,4,4,4
2412318157,41753,4,4,4,4,4,4,4,4,4,4
2412349032,41754,4,4,4,4,4,4,4,4,4,4
2412377335,41755,4,4,4,4,4,4,4,4,4,4
2412412102,41756,4,4,4,4,4,4,4,4,4,4
2412440763,41757,4,4,4,4,4,4,4,4,4,4
2412467081,41758,4,4,4,4,4,4,4,4,4,4
2412493068,41759,4,4,4,4,4,4,4,4,4,4
2412533446,41760,4,4,4,4,4,4,4,4,4,4
2412565904,41761,4,4,4,4,4,4,4,4,4,4
2412604542,41762,4,4,4,4,4,4,4,4,4,4
2412619498,41763,4,4,4,4,4,4,4,4,4,4
2412667249,41764,4,4,4,4,4,4,4,4,4,4
2412697095,41765,4,4,4,4,4,4,4,4,4,4
2412713167,41766,4,4,4,4,4,4,4,4,4,4
2412765844,41767,4,4,4,4,4,4,4,4,4,4
2412786993,41768,4,4,4,4,4,4,4,4,4,4
2412813193,41769,4,4,4,4,4,4,4,4,4,4
2412841286,41770,4,4,4,4,4,4,4,4,4,4
2412882115,41771,4,4,4,4,4,4,4,4,4,4
2412900560,41772,4,4,4,4,4,4,4,4,4,4
2412952176,41773,4,4,4,4,4,4,4,4,4,4
2413000898,41774,4,4,4,4,4,4,4,4,4,4
2413003206,41775,4,4,4,4,4,4,4,4,4,4
2413033230,41776,4,4,4,4,4,4,4,4,4,4
2413067134,41777,4,4,4,4,4,4,4,4,4,4
2413117012,41778,4,4,4,4,4,4,4,4,4,4
2413138391,41779,4,4,4,4,4,4,4,4,4,4
2413155143,41780,4,4,4,4,4,4,4,4,4,4
2413187069,41781,4,4,4,4,4,4,4,4,4,4
2413240933,41782,4,4,4,4,4,4,4,4,4,4
2413273321,41783,4,4,4,4,4,4,4,4,4,4
2413293324,41784,4,4,4,4,4,4,4,4,4,4
2413312080,41785,4,4,4,4,4,4,4,4,4,4
2413357064,41786,4,4,4,4,4,4,4,4,4,4
2413381149,41787,4,4,4,4,4,4,4,4,4,4
2413412086,41788,4,4,4,4,4,4,4,4,4,4
2413440405,41789,4,4,4,4,4,4,4,4,4,4
2413474672,41790,4,4,4,4,4,4,4,4,4,4
2413500811,41791,4,4,4,4,4,4,4,4,4,4
2413526874,41792,4,4,4,4,4,4,4,4,4,4
2413586790,41793,4,4,4,4,4,4,4,4,4,4
2413596986,41794,4,4,4,4,4,4,4,4,4,4
