steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
2410471500,41694,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2410523519,41695,-2,0,7.8955078125,-1.0599121094,-5.8020019531,-0.9451219512,1.4024390244,-1.0060975610,-42.7497862511,-36.5998170009,-20.0998995005
2410538188,41696,-2,0,7.8548339844,-1.0383789063,-5.7182617188,-1.0060975610,1.2195121951,-0.3658536585,-42.4497877511,-39.5998020010,-19.9499002505
2410566988,41697,-2,0,7.8548339844,-1.0383789063,-5.7182617188,-1.0060975610,1.1585365854,-1.0670731707,-42.4497877511,-39.5998020010,-19.9499002505
2410594313,41698,-2,0,7.9505371094,-1.0359863281,-5.8187500000,-0.6707317073,1.6768292683,-0.7317073171,-42.4497877511,-39.5998020010,-19.9499002505
2410641089,41699,-2,0,7.9768554688,-1.0814453125,-5.8354980469,-0.7621951220,1.3719512195,-0.1219512195,-42.2997885011,-37.7998110009,-19.0499047505
2410680766,41700,-2,0,7.9792480469,-1.0958007813,-5.7876464844,-1.2500000000,0.7012195122,-0.9451219512,-42.2997885011,-37.7998110009,-19.0499047505
2410695849,41701,-2,0,7.9194335938,-1.1101562500,-5.8283203125,-1.4329268293,0.7621951220,-0.6097560976,-42.2997885011,-37.7998110009,-19.0499047505
2410714084,41702,-2,0,7.8476562500,-1.0766601563,-5.8378906250,-1.1585365854,1.2195121951,-0.5792682927,-42.8997855011,-37.6498117509,-19.6499017505
2410762969,41703,-2,0,7.9577148438,-1.0503417969,-5.8187500000,-0.8841463415,1.0060975610,-0.8841463415,-42.8997855011,-37.6498117509,-19.6499017505
2410782020,41704,-2,0,7.9361816406,-1.0407714844,-5.8331054688,-0.6707317073,1.3109756098,-1.0365853659,-42.8997855011,-37.6498117509,-19.6499017505
2410810762,41705,-2,0,7.9074707031,-1.0623046875,-5.8402832031,-0.8231707317,1.9207317073,-0.6097560976,-42.8997855011,-37.9498102509,-18.8999055005
2410836940,41706,-2,0,7.9242187500,-1.0312011719,-5.7469726563,-0.5792682927,1.8292682927,-0.8536585366,-42.8997855011,-37.9498102509,-18.8999055005
2410876877,41707,-2,0,8.0031738281,-1.0527343750,-5.7828613281,-0.5182926829,1.9817073171,-0.3048780488,-42.8997855011,-37.9498102509,-18.8999055005
2410917991,41708,-2,0,8.0007812500,-1.0718750000,-5.7589355469,-0.7621951220,1.9207317073,0.7012195122,-42.8997855011,-37.9498102509,-18.8999055005
2410946799,41709,-2,0,8.0103515625,-1.1484375000,-5.7182617188,-1.3719512195,1.4024390244,0.0000000000,-42.8997855011,-37.9498102509,-18.8999055005
2410994415,41710,-2,0,7.9481445313,-1.1029785156,-5.7589355469,-1.8597560976,1.1585365854,-0.4268292683,-42.8997855011,-37.9498102509,-18.8999055005
2410998883,41711,-2,0,7.9481445313,-1.0838378906,-5.7732910156,-1.2804878049,0.9756097561,-0.0304878049,-42.2997885011,-38.2498087510,-19.4999025005
2411025255,41712,-2,0,7.9481445313,-1.0383789063,-5.7493652344,-0.6402439024,0.5487804878,-0.3963414634,-42.2997885011,-38.2498087510,-19.4999025005
2411071915,41713,-2,0,7.9696777344,-1.0910156250,-5.7708984375,-0.3658536585,0.0000000000,-0.8841463415,-42.2997885011,-38.2498087510,-19.4999025005
2411113271,41714,-2,0,7.9553222656,-1.1269042969,-5.7972167969,-0.6097560976,-0.0304878049,-0.6402439024,-42.2997885011,-38.2498087510,-19.4999025005
2411123662,41715,-2,0,7.8811523438,-1.1125488281,-5.7972167969,-1.0365853659,0.6097560976,-0.7317073171,-41.5497922510,-37.0498147509,-20.0998995005
2411152336,41716,-2,0,7.8931152344,-1.1149414063,-5.8067871094,-1.4024390244,1.0365853659,-0.8231707317,-41.5497922510,-37.0498147509,-20.0998995005
2411195953,41717,-2,0,7.8931152344,-1.0910156250,-5.8043945313,-1.2500000000,1.5243902439,-0.7926829268,-41.5497922510,-37.0498147509,-20.0998995005
2411241002,41718,-2,0,7.9218261719,-1.0599121094,-5.8115722656,-1.0365853659,1.7987804878,-0.7317073171,-40.9497952510,-37.6498117509,-18.8999055005
2411255837,41719,-2,0,7.9505371094,-1.0407714844,-5.7780761719,-0.6402439024,1.4939024390,-1.2500000000,-40.9497952510,-37.6498117509,-18.8999055005
2411285515,41720,-2,0,7.9170410156,-1.0742675781,-5.7756835938,-0.5182926829,1.4329268293,-1.0365853659,-40.9497952510,-37.6498117509,-18.8999055005
2411347008,41721,-2,0,7.8979003906,-1.0814453125,-5.7637207031,-0.5182926829,1.9817073171,-0.9451219512,-40.9497952510,-37.6498117509,-18.8999055005
2411351976,41722,-2,0,8.0151367188,-1.0910156250,-5.7278320313,-0.8231707317,1.4634146341,-0.9451219512,-40.9497952510,-37.6498117509,-18.8999055005
2411371412,41723,-2,0,7.9792480469,-1.0742675781,-5.7565429688,-1.0060975610,0.8841463415,-0.5792682927,-40.9497952510,-37.6498117509,-18.8999055005
2411400654,41724,-2,0,7.9098632813,-1.0575195313,-5.7445800781,-1.1585365854,1.0060975610,-0.6097560976,-41.9997900010,-38.9998050010,-19.7999010005
2411436327,41725,2,0,7.9505371094,-1.0694824219,-5.7254394531,-1.3719512195,1.1280487805,-0.1219512195,-41.9997900010,-38.9998050010,-19.7999010005
2411473287,41726,2,0,7.9433593750,-1.0551269531,-5.7230468750,-1.2804878049,1.2195121951,-0.1524390244,-41.9997900010,-38.9998050010,-19.7999010005
