steady_timestamp,sequence,battery,flags,TMS-ch1
2410471500,41694,-2,0,32169.0000000000
2410523519,41695,-2,0,63420.0000000000
2410538188,41696,-2,0,94671.0000000000
2410566988,41697,-2,0,125922.0000000000
2410594313,41698,-2,0,157173.0000000000
2410641089,41699,-2,0,188424.0000000000
2410680766,41700,-2,0,219675.0000000000
2410695849,41701,-2,0,250926.0000000000
2410714084,41702,-2,0,282177.0000000000
2410762969,41703,-2,0,313428.0000000000
2410782020,41704,-2,0,344679.0000000000
2410810762,41705,-2,0,375930.0000000000
2410836940,41706,-2,0,407181.0000000000
2410876877,41707,-2,0,438432.0000000000
2410917991,41708,-2,0,469683.0000000000
2410946799,41709,-2,0,500934.0000000000
2410994415,41710,-2,0,532185.0000000000
2410998883,41711,-2,0,563436.0000000000
2411025255,41712,-2,0,594687.0000000000
2411071915,41713,-2,0,625938.0000000000
2411113271,41714,-2,0,657189.0000000000
2411123662,41715,-2,0,688440.0000000000
2411152336,41716,-2,0,719691.0000000000
2411195953,41717,-2,0,750942.0000000000
2411241002,41718,-2,0,782193.0000000000
2411255837,41719,-2,0,813444.0000000000
2411285515,41720,-2,0,844695.0000000000
2411347008,41721,-2,0,875946.0000000000
2411351976,41722,-2,0,907197.0000000000
2411371412,41723,-2,0,938448.0000000000
2411400654,41724,-2,0,969699.0000000000
2411436327,41725,2,0,1000950.0000000000
2411473287,41726,2,0,1032201.0000000000
2411500706,41727,2,0,1063452.0000000000
2411528645,41728,2,0,1094703.0000000000
2411556092,41729,2,0,1125954.0000000000
2411602123,41730,2,0,1157205.0000000000
2411630993,41731,2,0,1188456.0000000000
2411664384,41732,2,0,1219707.0000000000
2411700203,41733,2,0,1250958.0000000000
2411731022,41734,2,0,1282209.0000000000
2411749804,41735,2,0,1313460.0000000000
2411776320,41736,2,0,1344711.0000000000
2411826038,41737,2,0,1375962.0000000000
2411845289,41738,2,0,1407213.0000000000
2411878373,41739,2,0,1438464.0000000000
2411909924,41740,2,0,1469715.0000000000
2411935772,41741,2,0,1500966.0000000000
2411966269,41742,2,0,1532217.0000000000
2412008167,41743,2,0,1563468.0000000000
2412052120,41744,2,0,1594719.0000000000
2412056637,41745,2,0,1625970.0000000000
2412087782,41746,2,0,1657221.0000000000
2412134684,41747,2,0,1688472.0000000000
2412174710,41748,2,0,1719723.0000000000
2412178202,41749,2,0,1750974.0000000000
2412231790,41750,2,0,1782225.0000000000
2412247011,41751,2,0,1813476.0000000000
2412292118,41752,2,0,1844727.0000000000
2412318157,41753,2,0,1875978.0000000000
2412349032,41754,2,0,1907229.0000000000
2412377335,41755,2,0,1938480.0000000000
2412412102,41756,2,0,1969731.0000000000
2412440763,41757,2,0,2000982.0000000000
2412467081,41758,2,0,2032233.0000000000
2412493068,41759,2,0,2063484.0000000000
2412533446,41760,2,0,2094735.0000000000
2412565904,41761,2,0,2125986.0000000000
2412604542,41762,2,0,2157237.0000000000
2412619498,41763,2,0,2188488.0000000000
2412667249,41764,2,0,2219739.0000000000
2412697095,41765,2,0,2250990.0000000000
2412713167,41766,2,0,2282241.0000000000
2412765844,41767,2,0,2313492.0000000000
2412786993,41768,2,0,2344743.0000000000
2412813193,41769,2,0,2375994.0000000000
2412841286,41770,2,0,2407245.0000000000
2412882115,41771,2,0,2438496.0000000000
2412900560,41772,2,0,2469747.0000000000
2412952176,41773,2,0,2500998.0000000000
2413000898,41774,2,0,2532249.0000000000
2413003206,41775,2,0,2563500.0000000000
2413033230,41776,2,0,2594751.0000000000
2413067134,41777,2,0,2626002.0000000000
2413117012,41778,2,0,2657253.0000000000
2413138391,41779,2,0,2688504.0000000000
2413155143,41780,2,0,2719755.0000000000
2413187069,41781,2,0,2751006.0000000000
2413240933,41782,2,0,2782257.0000000000
2413273321,41783,2,0,2813508.0000000000
2413293324,41784,2,0,2844759.0000000000
2413312080,41785,2,0,2876010.0000000000
2413357064,41786,2,0,2907261.0000000000
2413381149,41787,2,0,2938512.0000000000
2413412086,41788,2,0,2969763.0000000000
2413440405,41789,2,0,3001014.0000000000
2413474672,41790,2,0,3032265.0000000000
2413500811,41791,2,0,3063516.0000000000
2413526874,41792,2,0,3094767.0000000000
2413586790,41793,2,0,3126018.0000000000
2413596986,41794,2,0,3157269.0000000000
2413630944,41795,2,0,3188520.0000000000
2413656995,41796,2,0,3219771.0000000000
2413708016,41797,2,0,3251022.0000000000
2413728359,41798,2,0,3282273.0000000000
2413750843,41799,2,0,3313524.0000000000
2413778672,41800,2,0,3344775.0000000000
2413828259,41801,2,0,3376026.0000000000
2413848275,41802,2,0,3407277.0000000000
2413883183,41803,2,0,3438528.0000000000
2413900854,41804,2,0,3469779.0000000000
2413947036,41805,2,0,3501030.0000000000
2413968375,41806,2,0,3532281.0000000000
2414012182,41807,2,0,3563532.0000000000
2414033394,41808,2,0,3594783.0000000000
2414072053,41809,2,0,3626034.0000000000
2414091494,41810,2,0,3657285.0000000000
2414129650,41811,2,0,3688536.0000000000
2414183329,41812,2,0,3719787.0000000000
2414190852,41813,2,0,3751038.0000000000
2414220861,41814,2,0,3782289.0000000000
2414249672,41815,2,0,3813540.0000000000
2414305757,41816,2,0,3844791.0000000000
2414314645,41817,2,0,3876042.0000000000
2414343246,41818,2,0,3907293.0000000000
2414384307,41819,2,0,3938544.0000000000
2414419511,41820,2,0,3969795.0000000000
2414445039,41821,2,0,4001046.0000000000
2414463267,41822,2,0,4032297.0000000000
2414547062,41823,2,0,4063548.0000000000
2414553398,41824,2,0,4094799.0000000000
2414582123,41825,2,0,4126050.0000000000
2414654967,41826,2,0,4157301.0000000000
2414658182,41827,2,0,4188552.0000000000
2414664592,41828,2,0,4219803.0000000000
2414687025,41829,2,0,4251054.0000000000
2414719557,41830,2,0,4282305.0000000000
2414769811,41831,2,0,4313556.0000000000
2414788346,41832,2,0,4344807.0000000000
2414819595,41833,2,0,4376058.0000000000
2414840971,41834,2,0,4407309.0000000000
2414899586,41835,2,0,4438560.0000000000
2414903052,41836,2,0,4469811.0000000000
2414942154,41837,2,0,4501062.0000000000
2414969782,41838,2,0,4532313.0000000000
2415018349,41839,2,0,4563564.0000000000
2415050905,41840,2,0,4594815.0000000000
2415074651,41841,2,0,4626066.0000000000
2415090880,41842,2,0,4657317.0000000000
2415129533,41843,2,0,4688568.0000000000
2415165803,41844,2,0,4719819.0000000000
2415190855,41845,2,0,4751070.0000000000
2415218402,41846,2,0,4782321.0000000000
2415254662,41847,2,0,4813572.0000000000
2415281743,41848,2,0,4844823.0000000000
2415310048,41849,2,0,4876074.0000000000
2415364676,41850,2,0,4907325.0000000000
2415369599,41851,2,0,4938576.0000000000
2415420906,41852,2,0,4969827.0000000000
2415440643,41853,2,0,5001078.0000000000
2415483416,41854,2,0,5032329.0000000000
2415513361,41855,2,0,5063580.0000000000
2415528292,41856,2,0,5094831.0000000000
2415570910,41857,2,0,5126082.0000000000
2415608384,41858,2,0,5157333.0000000000
2415632264,41859,2,0,5188584.0000000000
2415659440,41860,2,0,5219835.0000000000
2415721702,41861,2,0,5251086.0000000000
2415730890,41862,2,0,5282337.0000000000
2415749702,41863,2,0,5313588.0000000000
2415808363,41864,2,0,5344839.0000000000
2415838357,41865,2,0,5376090.0000000000
2415844626,41866,2,0,5407341.0000000000
2415875966,41867,2,0,5438592.0000000000
2415900302,41868,2,0,5469843.0000000000
2415957059,41869,2,0,5501094.0000000000
2415972481,41870,2,0,5532345.0000000000
2416002119,41871,2,0,5563596.0000000000
2416029735,41872,2,0,5594847.0000000000
2416096040,41873,2,0,5626098.0000000000
2416105875,41874,2,0,5657349.0000000000
2416125952,41875,2,0,5688600.0000000000
2416191379,41876,2,0,5719851.0000000000
2416200928,41877,2,0,5751102.0000000000
2416217620,41878,2,0,5782353.0000000000
2416248656,41879,2,0,5813604.0000000000
2416279702,41880,2,0,5844855.0000000000
2416313321,41881,2,0,5876106.0000000000
2416342259,41882,2,0,5907357.0000000000
2416375862,41883,2,0,5938608.0000000000
2416461076,41884,2,0,5969859.0000000000
2416468508,41885,2,0,6001110.0000000000
2416474688,41886,2,0,6032361.0000000000
2416502151,41887,2,0,6063612.0000000000
2416552180,41888,2,0,6094863.0000000000
2416564696,41889,2,0,6126114.0000000000
2416597103,41890,2,0,6157365.0000000000
2416630982,41891,2,0,6188616.0000000000
2416670917,41892,2,0,6219867.0000000000
2416689695,41893,2,0,6251118.0000000000
2416719603,41894,2,0,6282369.0000000000
