steady_timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10
8361537560,21784,-2,0,43302.9226644494,61185.3851511321,40202.2528184527,57255.8639652534,70101.5205197761,50706.3334609748,43806.4219589827,61636.5876847204,30857.1939691032,22761.0518570540
8361537560,21784,-2,0,43308.1182709928,61191.5420057245,40213.2159132902,57263.1037448631,70107.1054926178,50716.4083139442,43809.1961938583,61642.1726575621,30865.4923383364,22768.8270153239
8361537560,21784,-2,0,43301.3895346497,61193.8782035145,40224.7873929688,57263.3227634059,70105.6697043927,50724.4511615442,43808.2227781125,61642.7445393128,30873.9975584156,22776.9915398921
8361537560,21784,-2,0,43306.7676566454,61197.7596988010,40224.3493558832,57259.0640695179,70115.6107126971,50732.3114936918,43803.6355564103,61646.8815562326,30870.9191311194,22787.3340821916
8361537560,21784,-2,0,43313.0218528124,61206.2649188802,40226.9045722160,57266.3525199148,70121.9744181355,50724.6823477838,43810.8875037167,61656.1411735149,30876.2485823279,22781.4692523229
8361537560,21784,-2,0,43300.0754233928,61206.0459003374,40226.7585598541,57269.7108042379,70112.7269685500,50707.3068767206,43821.9722755224,61654.2308451137,30881.8700582601,22763.0716947266
8361537560,21784,-2,0,43295.1353384827,61198.1247297057,40214.0798197646,57259.6237835717,70107.7868836399,50709.6552422075,43817.8109232090,61646.5043576311,30867.6338529772,22764.0816135629
8361537560,21784,-2,0,43314.0074362551,61205.5470247677,40221.0397423473,57266.3646876116,70127.6810679454,50739.3079193650,43817.3728861234,61660.8257367917,30872.3427516477,22788.6116903580
8361570101,21785,-2,0,43317.9619377225,61208.0779057069,40232.6842282069,57271.7306419105,70125.8315780283,50722.6260070207,43819.9402701530,61667.6274793157,30882.9894863678,22791.7022853510
8361570101,21785,-2,0,43306.6946504645,61198.3559159453,40223.5097848024,57263.7486327947,70120.1857667025,50711.6264090928,43811.3012054087,61658.2826881557,30872.0993977113,22775.0203730067
8361570101,21785,-2,0,43303.6162231683,61198.8912946055,40215.3817633247,57259.7576282368,70122.9356661845,50712.7701725941,43806.3124497113,61653.2330939742,30861.6351784435,22764.1911228343
8361570101,21785,-2,0,43296.4616174364,61198.7331145468,40218.8373892224,57259.0762372147,70120.4777914263,50707.6840753221,43809.5003862789,61652.2596782284,30869.6536906498,22753.9337544126
8361570101,21785,-2,0,43289.2948440077,61190.4955837977,40214.9072231486,57250.9360480401,70112.0090744375,50702.0260962995,43806.2759466208,61648.5485306974,30869.7388645276,22752.5953077621
8361570101,21785,-2,0,43300.8419882927,61183.1341272198,40196.3514854936,57243.2703990417,70104.5137731946,50699.5073830571,43792.8549770251,61647.9036427657,30846.9609360751,22767.2695501305
8361570101,21785,-2,0,43326.1021268971,61195.9223765807,40202.5570108733,57263.4444403741,70120.1979343993,50716.8341833330,43804.0127550118,61665.9240017605,30853.6531693277,22780.2768180343
8361570101,21785,-2,0,43322.2571347010,61207.3600115943,40222.2078412423,57279.1407692757,70129.9807626450,50719.0487041548,43823.2498836888,61670.2313664358,30876.5162716580,22765.0915323992
8361597838,21786,-2,0,43313.9344300741,61207.7128748022,40218.5088614082,57270.6355491965,70124.3592867128,50715.5687428634,43820.6581642656,61659.1830977206,30870.0795600386,22760.2122859732
