steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
582895603,3450,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
582930471,3451,-2,0,7.3045410156,-1.1556152344,-6.8068847656,-1.3109756098,1.0365853659,5.6707317073,-31.7998410008,-20.8498957505,-21.2998935005
582964137,3452,-2,0,7.7064941406,-0.3923828125,-6.2757324219,0.2134146341,1.8292682927,-1.7378048780,-32.9998350008,-21.1498942505,-21.2998935005
583002963,3453,-2,0,7.7064941406,-0.3923828125,-6.2757324219,-0.7012195122,-0.4268292683,-0.8841463415,-32.9998350008,-21.1498942505,-21.2998935005
583039215,3454,-2,0,7.6729980469,-0.4306640625,-6.4264648438,-1.4939024390,-0.9146341463,-0.0304878049,-32.9998350008,-21.1498942505,-21.2998935005
583046614,3455,-2,0,7.5055175781,-0.3947753906,-6.4743164063,-2.0121951220,0.2743902439,-0.0914634146,-31.6498417508,-20.5498972505,-22.9498852506
583086736,3456,-2,0,7.4337402344,-0.3612792969,-6.4575683594,-1.1890243902,2.2560975610,-0.5182926829,-31.6498417508,-20.5498972505,-22.9498852506
583122976,3457,-2,0,7.4600585938,-0.3110351563,-6.4695312500,-0.0609756098,3.3536585366,-1.0365853659,-31.6498417508,-20.5498972505,-22.9498852506
583162892,3458,-2,0,7.4672363281,-0.3469238281,-6.4240722656,0.0914634146,3.5060975610,-1.6768292683,-31.7998410008,-20.3998980005,-20.8498957505
583166769,3459,-2,0,7.6418945313,-0.3875976563,-6.3475097656,-0.3353658537,2.5609756098,-0.8841463415,-31.7998410008,-20.3998980005,-20.8498957505
583206568,3460,-2,0,7.6706054688,-0.4330566406,-6.3977539063,-0.9756097561,2.1341463415,-0.3963414634,-31.7998410008,-20.3998980005,-20.8498957505
583266659,3461,-2,0,7.5509765625,-0.4426269531,-6.3833984375,-1.4024390244,2.5609756098,-0.7317073171,-32.3998380008,-20.5498972505,-21.1498942505
583274179,3462,-2,0,7.5820800781,-0.3756347656,-6.3618652344,-1.2500000000,2.6829268293,-0.7317073171,-32.3998380008,-20.5498972505,-21.1498942505
583310159,3463,-2,0,7.5701171875,-0.3804199219,-6.3618652344,-1.0060975610,2.3475609756,-0.8231707317,-32.3998380008,-20.5498972505,-21.1498942505
583366651,3464,-2,0,7.5725097656,-0.3852050781,-6.3690429688,-0.9146341463,2.5304878049,-1.1585365854,-31.0498447508,-19.6499017505,-20.8498957505
583375516,3465,-2,0,7.5916503906,-0.3923828125,-6.3259765625,-0.7621951220,2.0426829268,-1.0060975610,-31.0498447508,-19.6499017505,-20.8498957505
583411745,3466,-2,0,7.6418945313,-0.3971679688,-6.3522949219,-0.6402439024,1.6768292683,-1.2500000000,-31.0498447508,-19.6499017505,-20.8498957505
583444394,3467,-2,0,7.5677246094,-0.3899902344,-6.3666503906,-0.5792682927,1.8902439024,-1.3414634146,-31.0498447508,-19.6499017505,-20.8498957505
583455493,3468,-2,0,7.5844726563,-0.3828125000,-6.2733398438,-0.6097560976,1.8902439024,-1.5853658537,-31.0498447508,-19.6499017505,-20.8498957505
583542962,3469,-2,0,7.6251464844,-0.3995605469,-6.2613769531,-0.9451219512,1.3414634146,-1.8597560976,-31.0498447508,-19.6499017505,-20.8498957505
583552976,3470,-2,0,7.6179687500,-0.3564941406,-6.2876953125,-0.9451219512,1.0670731707,-2.1341463415,-31.9498402508,-20.5498972505,-21.1498942505
583560731,3471,-2,0,7.6083984375,-0.3158203125,-6.2541992188,-0.9146341463,1.1890243902,-1.7073170732,-31.9498402508,-20.5498972505,-21.1498942505
583589267,3472,-2,0,7.6586425781,-0.3397460938,-6.2661621094,-1.0975609756,0.8231707317,-1.1280487805,-31.9498402508,-20.5498972505,-21.1498942505
583617769,3473,-2,0,7.6490722656,-0.3277832031,-6.2948730469,-1.2804878049,0.5487804878,-0.9146341463,-31.9498402508,-20.5498972505,-21.1498942505
583654140,3474,-2,0,7.5629394531,-0.3158203125,-6.2805175781,-1.6768292683,0.9756097561,-0.5792682927,-30.4498477508,-21.7498912505,-20.6998965005
583694112,3475,-2,0,7.6251464844,-0.2703613281,-6.2781250000,-1.1890243902,0.8231707317,-0.7317073171,-30.4498477508,-21.7498912505,-20.6998965005
583700249,3476,-2,0,7.6275390625,-0.2009765625,-6.2948730469,-0.5792682927,1.0365853659,-1.3414634146,-30.4498477508,-21.7498912505,-20.6998965005
583756679,3477,-2,0,7.7184570313,-0.2201171875,-6.3570800781,0.7621951220,0.3353658537,-0.5182926829,-30.2998485008,-21.8998905005,-20.5498972505
583790536,3478,-2,0,7.6466796875,-0.3253906250,-6.3140136719,0.9146341463,-0.4878048780,0.0000000000,-30.2998485008,-21.8998905005,-20.5498972505
583798292,3479,-2,0,7.5749023438,-0.4306640625,-6.3379394531,0.0304878049,-1.0060975610,0.6097560976,-30.2998485008,-21.8998905005,-20.5498972505
583829218,3480,-2,0,7.4768066406,-0.4856933594,-6.3666503906,-1.0365853659,-0.7926829268,1.2195121951,-31.4998425008,-21.1498942505,-20.8498957505
583867921,3481,5,0,7.4409179688,-0.4474121094,-6.3666503906,-1.9207317073,0.1524390244,0.6402439024,-31.4998425008,-21.1498942505,-20.8498957505
583904087,3482,5,0,7.4720214844,-0.3397460938,-6.4240722656,-1.7682926829,1.0060975610,-0.2439024390,-31.4998425008,-21.1498942505,-20.8498957505
583945504,3483,5,0,7.5150878906,-0.3325683594,-6.4288574219,-0.7621951220,1.1890243902,-0.4268292683,-33.7498312508,-20.8498957505,-21.2998935005
583951962,3484,5,0,7.5437988281,-0.3756347656,-6.3786132813,-0.3048780488,1.6768292683,-0.9146341463,-33.7498312508,-20.8498957505,-21.2998935005
583982793,3485,5,0,7.5677246094,-0.4091308594,-6.3690429688,-0.3353658537,1.7987804878,-0.7621951220,-33.7498312508,-20.8498957505,-21.2998935005
584023140,3486,5,0,7.5533691406,-0.4210937500,-6.3738281250,-1.1890243902,1.9817073171,-0.4268292683,-32.3998380008,-21.4498927505,-21.1498942505
584055492,3487,5,0,7.5342285156,-0.3636718750,-6.3020507813,-1.4939024390,2.5000000000,-0.6097560976,-32.3998380008,-21.4498927505,-21.1498942505
584091747,3488,5,0,7.5653320313,-0.3229980469,-6.3140136719,-1.2500000000,2.6524390244,-0.4573170732,-32.3998380008,-21.4498927505,-21.1498942505
584129308,3489,5,0,7.6060058594,-0.3564941406,-6.3283691406,-0.5487804878,2.3780487805,-0.9451219512,-32.3998380008,-21.4498927505,-21.1498942505
584139391,3490,5,0,7.6107910156,-0.3517089844,-6.2518066406,-0.8231707317,2.0121951220,-0.4268292683,-32.3998380008,-21.4498927505,-21.1498942505
584201629,3491,5,0,7.6466796875,-0.4091308594,-6.2518066406,-1.3414634146,1.4634146341,-0.0304878049,-32.3998380008,-21.4498927505,-21.1498942505
584205582,3492,5,0,7.6203613281,-0.3828125000,-6.2900878906,-1.4024390244,1.3414634146,-0.2439024390,-31.9498402508,-21.4498927505,-20.6998965005
584246531,3493,5,0,7.5868652344,-0.3517089844,-6.2709472656,-1.1280487805,1.1280487805,-0.7012195122,-31.9498402508,-21.4498927505,-20.6998965005
584312925,3494,5,0,7.5605468750,-0.3206054688,-6.2972656250,-0.4268292683,1.1280487805,-0.8231707317,-31.9498402508,-21.4498927505,-20.6998965005
584321662,3495,5,0,7.6395019531,-0.3636718750,-6.3355468750,-0.5182926829,0.6707317073,-0.7012195122,-31.9498402508,-21.4498927505,-20.6998965005
584330737,3496,5,0,7.5820800781,-0.4187011719,-6.3044433594,-1.1890243902,0.9451219512,-0.7621951220,-31.9498402508,-21.4498927505,-20.6998965005
584367934,3497,5,0,7.5437988281,-0.4330566406,-6.3259765625,-1.6463414634,1.4329268293,-0.8841463415,-31.9498402508,-21.4498927505,-20.6998965005
584414191,3498,5,0,7.5222656250,-0.3636718750,-6.3283691406,-1.4329268293,1.9817073171,-1.3109756098,-31.9498402508,-21.4498927505,-20.6998965005
584423172,3499,5,0,7.5366210938,-0.2751464844,-6.3044433594,-0.6402439024,2.0731707317,-1.0975609756,-32.3998380008,-19.7999010005,-20.6998965005
584459202,3500,5,0,7.6897460938,-0.2871093750,-6.2948730469,-0.2743902439,1.5853658537,-0.6097560976,-32.3998380008,-19.7999010005,-20.6998965005
584494223,3501,5,0,7.6179687500,-0.3947753906,-6.2900878906,-0.6402439024,0.5487804878,-0.3353658537,-32.3998380008,-19.7999010005,-20.6998965005
584530334,3502,5,0,7.5653320313,-0.3995605469,-6.3259765625,-1.3414634146,0.3658536585,0.0609756098,-32.3998380008,-20.9998950005,-20.6998965005
584569116,3503,5,0,7.4863769531,-0.3852050781,-6.3068359375,-1.3719512195,0.7012195122,0.2439024390,-32.3998380008,-20.9998950005,-20.6998965005
