steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
655432071,5570,4,4,4,4,4,4,4,4,4,4
655475914,5571,4,4,4,4,4,4,4,4,4,4
655513532,5572,4,4,4,4,4,4,4,4,4,4
655570982,5573,4,4,4,4,4,4,4,4,4,4
655575872,5574,4,4,4,4,4,4,4,4,4,4
655620160,5575,4,4,4,4,4,4,4,4,4,4
655627233,5576,4,4,4,4,4,4,4,4,4,4
655664606,5577,4,4,4,4,4,4,4,4,4,4
655703409,5578,4,4,4,4,4,4,4,4,4,4
655733595,5579,4,4,4,4,4,4,4,4,4,4
655767227,5580,4,4,4,4,4,4,4,4,4,4
655779653,5581,4,4,4,4,4,4,4,4,4,4
655811975,5582,4,4,4,4,4,4,4,4,4,4
655846020,5583,4,4,4,4,4,4,4,4,4,4
655883567,5584,4,4,4,4,4,4,4,4,4,4
655923474,5585,4,4,4,4,4,4,4,4,4,4
655957078,5586,4,4,4,4,4,4,4,4,4,4
655964862,5587,4,4,4,4,4,4,4,4,4,4
656002225,5588,4,4,4,4,4,4,4,4,4,4
656039736,5589,4,4,4,4,4,4,4,4,4,4
656088326,5590,4,4,4,4,4,4,4,4,4,4
656092348,5591,4,4,4,4,4,4,4,4,4,4
656133145,5592,4,4,4,4,4,4,4,4,4,4
656202189,5593,4,4,4,4,4,4,4,4,4,4
656209717,5594,4,4,4,4,4,4,4,4,4,4
656217102,5595,4,4,4,4,4,4,4,4,4,4
656255810,5596,4,4,4,4,4,4,4,4,4,4
656300981,5597,4,4,4,4,4,4,4,4,4,4
656310830,5598,4,4,4,4,4,4,4,4,4,4
656345938,5599,4,4,4,4,4,4,4,4,4,4
656404570,5600,4,4,4,4,4,4,4,4,4,4
656471330,5601,4,4,4,4,4,4,4,4,4,4
656479851,5602,4,4,4,4,4,4,4,4,4,4
656490892,5603,4,4,4,4,4,4,4,4,4,4
656497070,5604,4,4,4,4,4,4,4,4,4,4
656535713,5605,4,4,4,4,4,4,4,4,4,4
656570068,5606,4,4,4,4,4,4,4,4,4,4
656598569,5607,4,4,4,4,4,4,4,4,4,4
656635980,5608,4,4,4,4,4,4,4,4,4,4
656674596,5609,4,4,4,4,4,4,4,4,4,4
656684735,5610,4,4,4,4,4,4,4,4,4,4
656748422,5611,4,4,4,4,4,4,4,4,4,4
656753273,5612,4,4,4,4,4,4,4,4,4,4
656789722,5613,4,4,4,4,4,4,4,4,4,4
656823769,5614,4,4,4,4,4,4,4,4,4,4
656867300,5615,4,4,4,4,4,4,4,4,4,4
656899605,5616,4,4,4,4,4,4,4,4,4,4
656914637,5617,4,4,4,4,4,4,4,4,4,4
656952123,5618,4,4,4,4,4,4,4,4,4,4
656990069,5619,4,4,4,4,4,4,4,4,4,4
656999597,5620,4,4,4,4,4,4,4,4,4,4
657062065,5621,4,4,4,4,4,4,4,4,4,4
657067147,5622,4,4,4,4,4,4,4,4,4,4
657101053,5623,4,4,4,4,4,4,4,4,4,4
657150863,5624,4,4,4,4,4,4,4,4,4,4
657157058,5625,4,4,4,4,4,4,4,4,4,4
657193439,5626,4,4,4,4,4,4,4,4,4,4
657243420,5627,4,4,4,4,4,4,4,4,4,4
657250773,5628,4,4,4,4,4,4,4,4,4,4
657294575,5629,4,4,4,4,4,4,4,4,4,4
657327478,5630,4,4,4,4,4,4,4,4,4,4
657360914,5631,4,4,4,4,4,4,4,4,4,4
657397501,5632,4,4,4,4,4,4,4,4,4,4
657404545,5633,4,4,4,4,4,4,4,4,4,4
657462175,5634,4,4,4,4,4,4,4,4,4,4
657474626,5635,4,4,4,4,4,4,4,4,4,4
657513380,5636,4,4,4,4,4,4,4,4,4,4
657558339,5637,4,4,4,4,4,4,4,4,4,4
657564579,5638,4,4,4,4,4,4,4,4,4,4
657589431,5639,4,4,4,4,4,4,4,4,4,4
657648565,5640,4,4,4,4,4,4,4,4,4,4
657703282,5641,4,4,4,4,4,4,4,4,4,4
657712201,5642,4,4,4,4,4,4,4,4,4,4
657719620,5643,4,4,4,4,4,4,4,4,4,4
657773783,5644,4,4,4,4,4,4,4,4,4,4
657783309,5645,4,4,4,4,4,4,4,4,4,4
657835881,5646,4,4,4,4,4,4,4,4,4,4
657839640,5647,4,4,4,4,4,4,4,4,4,4
657879782,5648,4,4,4,4,4,4,4,4,4,4
657913694,5649,4,4,4,4,4,4,4,4,4,4
657977049,5650,4,4,4,4,4,4,4,4,4,4
657988404,5651,4,4,4,4,4,4,4,4,4,4
658027286,5652,4,4,4,4,4,4,4,4,4,4
658036043,5653,4,4,4,4,4,4,4,4,4,4
658078268,5654,4,4,4,4,4,4,4,4,4,4
658082171,5655,4,4,4,4,4,4,4,4,4,4
658121030,5656,4,4,4,4,4,4,4,4,4,4
658188873,5657,4,4,4,4,4,4,4,4,4,4
658200869,5658,4,4,4,4,4,4,4,4,4,4
658220050,5659,4,4,4,4,4,4,4,4,4,4
658258313,5660,4,4,4,4,4,4,4,4,4,4
658322347,5661,4,4,4,4,4,4,4,4,4,4
658336142,5662,4,4,4,4,4,4,4,4,4,4
658339655,5663,4,4,4,4,4,4,4,4,4,4
658403664,5664,4,4,4,4,4,4,4,4,4,4
658410854,5665,4,4,4,4,4,4,4,4,4,4
658446095,5666,4,4,4,4,4,4,4,4,4,4
658468362,5667,4,4,4,4,4,4,4,4,4,4
658523396,5668,4,4,4,4,4,4,4,4,4,4
658530878,5669,4,4,4,4,4,4,4,4,4,4
658573634,5670,4,4,4,4,4,4,4,4,4,4
658624821,5671,4,4,4,4,4,4,4,4,4,4
658657129,5672,4,4,4,4,4,4,4,4,4,4
658664591,5673,4,4,4,4,4,4,4,4,4,4
658705827,5674,4,4,4,4,4,4,4,4,4,4
658742206,5675,4,4,4,4,4,4,4,4,4,4
658772069,5676,4,4,4,4,4,4,4,4,4,4
658779560,5677,4,4,4,4,4,4,4,4,4,4
658823437,5678,4,4,4,4,4,4,4,4,4,4
658862492,5679,4,4,4,4,4,4,4,4,4,4
658868358,5680,4,4,4,4,4,4,4,4,4,4
658911003,5681,4,4,4,4,4,4,4,4,4,4
658946079,5682,4,4,4,4,4,4,4,4,4,4
659017581,5683,4,4,4,4,4,4,4,4,4,4
659027386,5684,4,4,4,4,4,4,4,4,4,4
659033381,5685,4,4,4,4,4,4,4,4,4,4
659118403,5686,4,4,4,4,4,4,4,4,4,4
659127331,5687,4,4,4,4,4,4,4,4,4,4
659137094,5688,4,4,4,4,4,4,4,4,4,4
659171055,5689,4,4,4,4,4,4,4,4,4,4
659207076,5690,4,4,4,4,4,4,4,4,4,4
659233605,5691,4,4,4,4,4,4,4,4,4,4
659281057,5692,4,4,4,4,4,4,4,4,4,4
659287070,5693,4,4,4,4,4,4,4,4,4,4
659323407,5694,4,4,4,4,4,4,4,4,4,4
659361034,5695,4,4,4,4,4,4,4,4,4,4
659393557,5696,4,4,4,4,4,4,4,4,4,4
659407228,5697,4,4,4,4,4,4,4,4,4,4
659448763,5698,4,4,4,4,4,4,4,4,4,4
659487213,5699,4,4,4,4,4,4,4,4,4,4
659498517,5700,4,4,4,4,4,4,4,4,4,4
659539641,5701,4,4,4,4,4,4,4,4,4,4
659577298,5702,4,4,4,4,4,4,4,4,4,4
659622099,5703,4,4,4,4,4,4,4,4,4,4
659628502,5704,4,4,4,4,4,4,4,4,4,4
659684599,5705,4,4,4,4,4,4,4,4,4,4
659689979,5706,4,4,4,4,4,4,4,4,4,4
659744722,5707,4,4,4,4,4,4,4,4,4,4
659753478,5708,4,4,4,4,4,4,4,4,4,4
659788337,5709,4,4,4,4,4,4,4,4,4,4
659849624,5710,4,4,4,4,4,4,4,4,4,4
659855950,5711,4,4,4,4,4,4,4,4,4,4
659895911,5712,4,4,4,4,4,4,4,4,4,4
659904686,5713,4,4,4,4,4,4,4,4,4,4
659963367,5714,4,4,4,4,4,4,4,4,4,4
659970964,5715,4,4,4,4,4,4,4,4,4,4
660009683,5716,4,4,4,4,4,4,4,4,4,4
660066038,5717,4,4,4,4,4,4,4,4,4,4
660074580,5718,4,4,4,4,4,4,4,4,4,4
660114977,5719,4,4,4,4,4,4,4,4,4,4
660123811,5720,4,4,4,4,4,4,4,4,4,4
660179843,5721,4,4,4,4,4,4,4,4,4,4
660184800,5722,4,4,4,4,4,4,4,4,4,4
660270200,5723,4,4,4,4,4,4,4,4,4,4
660294731,5724,4,4,4,4,4,4,4,4,4,4
660300026,5725,4,4,4,4,4,4,4,4,4,4
660354632,5726,4,4,4,4,4,4,4,4,4,4
660359632,5727,4,4,4,4,4,4,4,4,4,4
660364640,5728,4,4,4,4,4,4,4,4,4,4
660408718,5729,4,4,4,4,4,4,4,4,4,4
660446631,5730,4,4,4,4,4,4,4,4,4,4
660475923,5731,4,4,4,4,4,4,4,4,4,4
660512340,5732,4,4,4,4,4,4,4,4,4,4
660553613,5733,4,4,4,4,4,4,4,4,4,4
660561091,5734,4,4,4,4,4,4,4,4,4,4
660594633,5735,4,4,4,4,4,4,4,4,4,4
660631043,5736,4,4,4,4,4,4,4,4,4,4
660671048,5737,4,4,4,4,4,4,4,4,4,4
660711009,5738,4,4,4,4,4,4,4,4,4,4
660722140,5739,4,4,4,4,4,4,4,4,4,4
660782377,5740,4,4,4,4,4,4,4,4,4,4
660793570,5741,4,4,4,4,4,4,4,4,4,4
660858544,5742,4,4,4,4,4,4,4,4,4,4
660876061,5743,4,4,4,4,4,4,4,4,4,4
660884684,5744,4,4,4,4,4,4,4,4,4,4
660938493,5745,4,4,4,4,4,4,4,4,4,4
660942331,5746,4,4,4,4,4,4,4,4,4,4
660976165,5747,4,4,4,4,4,4,4,4,4,4
661013582,5748,4,4,4,4,4,4,4,4,4,4
661054777,5749,4,4,4,4,4,4,4,4,4,4
661061000,5750,4,4,4,4,4,4,4,4,4,4
661100083,5751,4,4,4,4,4,4,4,4,4,4
661135912,5752,4,4,4,4,4,4,4,4,4,4
661168799,5753,4,4,4,4,4,4,4,4,4,4
661186101,5754,4,4,4,4,4,4,4,4,4,4
661254759,5755,4,4,4,4,4,4,4,4,4,4
661264748,5756,4,4,4,4,4,4,4,4,4,4
661298481,5757,4,4,4,4,4,4,4,4,4,4
661339818,5758,4,4,4,4,4,4,4,4,4,4
661348463,5759,4,4,4,4,4,4,4,4,4,4
661384812,5760,4,4,4,4,4,4,4,4,4,4
661418748,5761,4,4,4,4,4,4,4,4,4,4
661459715,5762,4,4,4,4,4,4,4,4,4,4
661472122,5763,4,4,4,4,4,4,4,4,4,4
661551198,5764,4,4,4,4,4,4,4,4,4,4
661583398,5765,4,4,4,4,4,4,4,4,4,4
661590004,5766,4,4,4,4,4,4,4,4,4,4
661594778,5767,4,4,4,4,4,4,4,4,4,4
661659978,5768,4,4,4,4,4,4,4,4,4,4
661663576,5769,4,4,4,4,4,4,4,4,4,4
661699697,5770,4,4,4,4,4,4,4,4,4,4
661741097,5771,4,4,4,4,4,4,4,4,4,4
