steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
5743944913,54725,4,4,4,4,4,4,4,4,4,4
5743977225,54726,4,4,4,4,4,4,4,4,4,4
5744008361,54727,4,4,4,4,4,4,4,4,4,4
5744043597,54728,4,4,4,4,4,4,4,4,4,4
5744072347,54729,4,4,4,4,4,4,4,4,4,4
5744108547,54730,4,4,4,4,4,4,4,4,4,4
5744137476,54731,4,4,4,4,4,4,4,4,4,4
5744165050,54732,4,4,4,4,4,4,4,4,4,4
5744197463,54733,4,4,4,4,4,4,4,4,4,4
5744246709,54734,4,4,4,4,4,4,4,4,4,4
5744259626,54735,4,4,4,4,4,4,4,4,4,4
5744293396,54736,4,4,4,4,4,4,4,4,4,4
5744320025,54737,4,4,4,4,4,4,4,4,4,4
5744353444,54738,4,4,4,4,4,4,4,4,4,4
5744391085,54739,4,4,4,4,4,4,4,4,4,4
5744416071,54740,4,4,4,4,4,4,4,4,4,4
5744448916,54741,4,4,4,4,4,4,4,4,4,4
5744480259,54742,4,4,4,4,4,4,4,4,4,4
5744509923,54743,4,4,4,4,4,4,4,4,4,4
5744552418,54744,4,4,4,4,4,4,4,4,4,4
5744577938,54745,4,4,4,4,4,4,4,4,4,4
5744601067,54746,4,4,4,4,4,4,4,4,4,4
5744633542,54747,4,4,4,4,4,4,4,4,4,4
5744666358,54748,4,4,4,4,4,4,4,4,4,4
5744703834,54749,4,4,4,4,4,4,4,4,4,4
5744730162,54750,4,4,4,4,4,4,4,4,4,4
5744767407,54751,4,4,4,4,4,4,4,4,4,4
5744792922,54752,4,4,4,4,4,4,4,4,4,4
5744833812,54753,4,4,4,4,4,4,4,4,4,4
5744851508,54754,4,4,4,4,4,4,4,4,4,4
5744883860,54755,4,4,4,4,4,4,4,4,4,4
5744916130,54756,4,4,4,4,4,4,4,4,4,4
5744952255,54757,4,4,4,4,4,4,4,4,4,4
5744978749,54758,4,4,4,4,4,4,4,4,4,4
5745017286,54759,4,4,4,4,4,4,4,4,4,4
5745050270,54760,4,4,4,4,4,4,4,4,4,4
5745070448,54761,4,4,4,4,4,4,4,4,4,4
5745106222,54762,4,4,4,4,4,4,4,4,4,4
5745135501,54763,4,4,4,4,4,4,4,4,4,4
5745164662,54764,4,4,4,4,4,4,4,4,4,4
5745198785,54765,4,4,4,4,4,4,4,4,4,4
5745231333,54766,4,4,4,4,4,4,4,4,4,4
5745259309,54767,4,4,4,4,4,4,4,4,4,4
5745285814,54768,4,4,4,4,4,4,4,4,4,4
5745331211,54769,4,4,4,4,4,4,4,4,4,4
5745360141,54770,4,4,4,4,4,4,4,4,4,4
5745382526,54771,4,4,4,4,4,4,4,4,4,4
5745417311,54772,4,4,4,4,4,4,4,4,4,4
5745444306,54773,4,4,4,4,4,4,4,4,4,4
5745479032,54774,4,4,4,4,4,4,4,4,4,4
5745511192,54775,4,4,4,4,4,4,4,4,4,4
5745549497,54776,4,4,4,4,4,4,4,4,4,4
5745600226,54777,4,4,4,4,4,4,4,4,4,4
5745611315,54778,4,4,4,4,4,4,4,4,4,4
5745661433,54779,4,4,4,4,4,4,4,4,4,4
5745666165,54780,4,4,4,4,4,4,4,4,4,4
5745696238,54781,4,4,4,4,4,4,4,4,4,4
5745732226,54782,4,4,4,4,4,4,4,4,4,4
5745787679,54783,4,4,4,4,4,4,4,4,4,4
5745792194,54784,4,4,4,4,4,4,4,4,4,4
5745823597,54785,4,4,4,4,4,4,4,4,4,4
5745853721,54786,4,4,4,4,4,4,4,4,4,4
5745906243,54787,4,4,4,4,4,4,4,4,4,4
5745924299,54788,4,4,4,4,4,4,4,4,4,4
5745952321,54789,4,4,4,4,4,4,4,4,4,4
5745981306,54790,4,4,4,4,4,4,4,4,4,4
5746023786,54791,4,4,4,4,4,4,4,4,4,4
5746043005,54792,4,4,4,4,4,4,4,4,4,4
5746070488,54793,4,4,4,4,4,4,4,4,4,4
5746129869,54794,4,4,4,4,4,4,4,4,4,4
5746137359,54795,4,4,4,4,4,4,4,4,4,4
5746166385,54796,4,4,4,4,4,4,4,4,4,4
5746238932,54797,4,4,4,4,4,4,4,4,4,4
5746267797,54798,4,4,4,4,4,4,4,4,4,4
5746274058,54799,4,4,4,4,4,4,4,4,4,4
5746296280,54800,4,4,4,4,4,4,4,4,4,4
5746319297,54801,4,4,4,4,4,4,4,4,4,4
5746348711,54802,4,4,4,4,4,4,4,4,4,4
5746386805,54803,4,4,4,4,4,4,4,4,4,4
5746415180,54804,4,4,4,4,4,4,4,4,4,4
5746452530,54805,4,4,4,4,4,4,4,4,4,4
5746489256,54806,4,4,4,4,4,4,4,4,4,4
5746512749,54807,4,4,4,4,4,4,4,4,4,4
5746542462,54808,4,4,4,4,4,4,4,4,4,4
5746575128,54809,4,4,4,4,4,4,4,4,4,4
5746610324,54810,4,4,4,4,4,4,4,4,4,4
5746639735,54811,4,4,4,4,4,4,4,4,4,4
5746671117,54812,4,4,4,4,4,4,4,4,4,4
5746724844,54813,4,4,4,4,4,4,4,4,4,4
5746737949,54814,4,4,4,4,4,4,4,4,4,4
5746765029,54815,4,4,4,4,4,4,4,4,4,4
5746793148,54816,4,4,4,4,4,4,4,4,4,4
5746846398,54817,4,4,4,4,4,4,4,4,4,4
5746888452,54818,4,4,4,4,4,4,4,4,4,4
5746893258,54819,4,4,4,4,4,4,4,4,4,4
5746916556,54820,4,4,4,4,4,4,4,4,4,4
5746973694,54821,4,4,4,4,4,4,4,4,4,4
5746978736,54822,4,4,4,4,4,4,4,4,4,4
5747012458,54823,4,4,4,4,4,4,4,4,4,4
5747048521,54824,4,4,4,4,4,4,4,4,4,4
5747082723,54825,4,4,4,4,4,4,4,4,4,4
5747108934,54826,4,4,4,4,4,4,4,4,4,4
5747134985,54827,4,4,4,4,4,4,4,4,4,4
5747166160,54828,4,4,4,4,4,4,4,4,4,4
5747197241,54829,4,4,4,4,4,4,4,4,4,4
5747234159,54830,4,4,4,4,4,4,4,4,4,4
5747262919,54831,4,4,4,4,4,4,4,4,4,4
5747288432,54832,4,4,4,4,4,4,4,4,4,4
5747340250,54833,4,4,4,4,4,4,4,4,4,4
5747362289,54834,4,4,4,4,4,4,4,4,4,4
5747391560,54835,4,4,4,4,4,4,4,4,4,4
5747433557,54836,4,4,4,4,4,4,4,4,4,4
5747457360,54837,4,4,4,4,4,4,4,4,4,4
5747481084,54838,4,4,4,4,4,4,4,4,4,4
5747519848,54839,4,4,4,4,4,4,4,4,4,4
5747552149,54840,4,4,4,4,4,4,4,4,4,4
5747572447,54841,4,4,4,4,4,4,4,4,4,4
5747604096,54842,4,4,4,4,4,4,4,4,4,4
5747633895,54843,4,4,4,4,4,4,4,4,4,4
5747676931,54844,4,4,4,4,4,4,4,4,4,4
5747701319,54845,4,4,4,4,4,4,4,4,4,4
5747730253,54846,4,4,4,4,4,4,4,4,4,4
5747781382,54847,4,4,4,4,4,4,4,4,4,4
5747792217,54848,4,4,4,4,4,4,4,4,4,4
5747822638,54849,4,4,4,4,4,4,4,4,4,4
5747859551,54850,4,4,4,4,4,4,4,4,4,4
5747899844,54851,4,4,4,4,4,4,4,4,4,4
5747925634,54852,4,4,4,4,4,4,4,4,4,4
5747941756,54853,4,4,4,4,4,4,4,4,4,4
5747991299,54854,4,4,4,4,4,4,4,4,4,4
5748027513,54855,4,4,4,4,4,4,4,4,4,4
5748046510,54856,4,4,4,4,4,4,4,4,4,4
5748074202,54857,4,4,4,4,4,4,4,4,4,4
5748110500,54858,4,4,4,4,4,4,4,4,4,4
5748167925,54859,4,4,4,4,4,4,4,4,4,4
5748176171,54860,4,4,4,4,4,4,4,4,4,4
5748191912,54861,4,4,4,4,4,4,4,4,4,4
5748228984,54862,4,4,4,4,4,4,4,4,4,4
5748262857,54863,4,4,4,4,4,4,4,4,4,4
5748291421,54864,4,4,4,4,4,4,4,4,4,4
5748318517,54865,4,4,4,4,4,4,4,4,4,4
5748349382,54866,4,4,4,4,4,4,4,4,4,4
5748394043,54867,4,4,4,4,4,4,4,4,4,4
5748415328,54868,4,4,4,4,4,4,4,4,4,4
5748451442,54869,4,4,4,4,4,4,4,4,4,4
5748500601,54870,4,4,4,4,4,4,4,4,4,4
5748514103,54871,4,4,4,4,4,4,4,4,4,4
5748552519,54872,4,4,4,4,4,4,4,4,4,4
5748572717,54873,4,4,4,4,4,4,4,4,4,4
5748622563,54874,4,4,4,4,4,4,4,4,4,4
5748642535,54875,4,4,4,4,4,4,4,4,4,4
5748670355,54876,4,4,4,4,4,4,4,4,4,4
5748701771,54877,4,4,4,4,4,4,4,4,4,4
5748730863,54878,4,4,4,4,4,4,4,4,4,4
5748760686,54879,4,4,4,4,4,4,4,4,4,4
5748801266,54880,4,4,4,4,4,4,4,4,4,4
5748846391,54881,4,4,4,4,4,4,4,4,4,4
