steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
5743944913,54725,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5743977225,54726,-2,0,0.2368652344,-0.0502441406,-0.2392578125,6.7682926829,16.0060975610,-1.7073170732,-16.6499167504,-24.1498792506,-39.4498027510
5744008361,54727,-2,0,6.8020996094,-1.3589843750,-6.9360839844,-0.9146341463,1.1890243902,-0.8841463415,-18.1499092505,-24.4498777506,-40.9497952510
5744043597,54728,-2,0,6.9049804688,-1.3494140625,-7.0222167969,-0.5792682927,1.6463414634,-0.8841463415,-18.1499092505,-24.4498777506,-40.9497952510
5744072347,54729,-2,0,6.9528320313,-1.3757324219,-7.0174316406,-0.5792682927,1.6158536585,-1.0060975610,-18.1499092505,-24.4498777506,-40.9497952510
5744108547,54730,-2,0,6.9935058594,-1.3996582031,-6.9767578125,-0.7926829268,1.4329268293,-0.5792682927,-17.9999100004,-25.0498747506,-40.0497997510
5744137476,54731,-2,0,6.9719726563,-1.3685546875,-6.9958984375,-1.0670731707,0.7926829268,-0.3353658537,-17.9999100004,-25.0498747506,-40.0497997510
5744165050,54732,-2,0,6.9647949219,-1.3781250000,-6.9935058594,-1.1280487805,0.7317073171,-0.7012195122,-17.9999100004,-25.0498747506,-40.0497997510
5744197463,54733,-2,0,6.9360839844,-1.3398437500,-6.9743652344,-1.0365853659,1.3109756098,0.1829268293,-17.6999115004,-24.8998755006,-40.6497967510
5744246709,54734,-2,0,6.9408691406,-1.3900878906,-6.9791503906,-0.9756097561,1.2804878049,-0.1829268293,-17.6999115004,-24.8998755006,-40.6497967510
5744259626,54735,-2,0,6.9671875000,-1.3853027344,-6.9671875000,-1.0670731707,1.3414634146,-0.3353658537,-17.6999115004,-24.8998755006,-40.6497967510
5744293396,54736,-2,0,6.9360839844,-1.3518066406,-6.9312988281,-0.9451219512,1.0365853659,-0.3353658537,-17.3999130004,-24.1498792506,-39.4498027510
5744320025,54737,-2,0,6.9217285156,-1.3972656250,-6.9528320313,-0.8231707317,0.9451219512,-0.5182926829,-17.3999130004,-24.1498792506,-39.4498027510
5744353444,54738,-2,0,6.9217285156,-1.3972656250,-6.9528320313,-0.7317073171,1.6158536585,-0.4573170732,-17.3999130004,-24.1498792506,-39.4498027510
5744391085,54739,-2,0,6.9360839844,-1.4283691406,-6.9576171875,-1.0365853659,1.4329268293,-0.5487804878,-17.3999130004,-24.1498792506,-39.4498027510
5744416071,54740,-2,0,6.9767578125,-1.3757324219,-6.9312988281,-0.9451219512,0.7317073171,-0.8536585366,-17.3999130004,-24.1498792506,-39.4498027510
5744448916,54741,-2,0,6.9408691406,-1.3876953125,-6.9528320313,-0.9146341463,0.7621951220,-0.7012195122,-17.3999130004,-24.1498792506,-39.4498027510
5744480259,54742,-2,0,6.9624023438,-1.4092285156,-6.9719726563,-0.6707317073,0.7012195122,-0.5792682927,-17.3999130004,-24.4498777506,-40.1997990010
5744509923,54743,-2,0,6.9336914063,-1.4020507813,-6.9671875000,-0.7621951220,0.6402439024,-0.5182926829,-17.3999130004,-24.4498777506,-40.1997990010
5744552418,54744,-2,0,6.8690917969,-1.4020507813,-6.9624023438,-1.0975609756,1.2195121951,-0.7926829268,-17.3999130004,-24.4498777506,-40.1997990010
5744577938,54745,-2,0,6.9145507813,-1.3733398438,-6.9743652344,-1.1890243902,1.6768292683,-0.7621951220,-17.3999130004,-24.4498777506,-40.1997990010
5744601067,54746,-2,0,6.9815429688,-1.3589843750,-6.9671875000,-0.8231707317,0.8841463415,-0.4573170732,-17.3999130004,-24.4498777506,-40.1997990010
5744633542,54747,-2,0,6.9289062500,-1.3757324219,-6.9336914063,-0.7317073171,0.9146341463,-0.3353658537,-17.3999130004,-24.4498777506,-40.1997990010
5744666358,54748,-2,0,6.9504394531,-1.3853027344,-6.9671875000,-0.7621951220,1.3109756098,0.0304878049,-17.3999130004,-24.4498777506,-40.1997990010
5744703834,54749,-2,0,6.9719726563,-1.4164062500,-6.9935058594,-1.0365853659,0.6707317073,-0.0304878049,-15.7499212504,-23.0998845006,-41.0997945010
5744730162,54750,-2,0,6.9049804688,-1.3972656250,-6.9624023438,-1.2804878049,0.4573170732,-0.8841463415,-15.7499212504,-23.0998845006,-41.0997945010
5744767407,54751,-2,0,6.9169433594,-1.3685546875,-6.9552246094,-1.0670731707,0.5792682927,-0.9756097561,-15.7499212504,-23.0998845006,-41.0997945010
5744792922,54752,-2,0,6.8643066406,-1.3589843750,-6.9839355469,-0.6707317073,0.3658536585,-1.1280487805,-15.7499212504,-23.0998845006,-41.0997945010
5744833812,54753,-2,0,6.8762695313,-1.3565917969,-6.9265136719,-0.4573170732,0.8231707317,-1.2195121951,-15.7499212504,-23.0998845006,-41.0997945010
5744851508,54754,-2,0,6.8930175781,-1.3996582031,-6.9767578125,-0.5487804878,1.3719512195,-0.7012195122,-15.7499212504,-23.0998845006,-41.0997945010
5744883860,54755,-2,0,6.9408691406,-1.3829101563,-6.9504394531,-0.8536585366,1.3109756098,-0.6707317073,-17.2499137504,-23.8498807506,-40.3497982510
5744916130,54756,5,0,6.9719726563,-1.3805175781,-6.9600097656,-1.0670731707,0.7621951220,-0.3658536585,-17.2499137504,-23.8498807506,-40.3497982510
5744952255,54757,5,0,6.8547363281,-1.3613769531,-6.9576171875,-1.0365853659,1.0670731707,0.3048780488,-17.2499137504,-23.8498807506,-40.3497982510
5744978749,54758,5,0,6.8834472656,-1.3948730469,-6.9647949219,-1.0365853659,1.7073170732,0.0304878049,-16.7999160004,-24.7498762506,-40.3497982510
5745017286,54759,5,0,6.9217285156,-1.3924804688,-6.9121582031,-1.1280487805,2.0121951220,-0.1524390244,-16.7999160004,-24.7498762506,-40.3497982510
5745050270,54760,5,0,6.9384765625,-1.3948730469,-6.9241210938,-0.8536585366,1.5243902439,-0.1219512195,-16.7999160004,-24.7498762506,-40.3497982510
5745070448,54761,5,0,6.9241210938,-1.3876953125,-6.9241210938,-0.8536585366,1.2804878049,-0.1524390244,-16.4999175004,-23.0998845006,-40.7997960010
5745106222,54762,5,0,6.9480468750,-1.4355468750,-6.8666992188,-0.8231707317,1.2195121951,-0.3353658537,-16.4999175004,-23.0998845006,-40.7997960010
5745135501,54763,5,0,6.9336914063,-1.4211914063,-6.9169433594,-1.0975609756,0.5182926829,-0.7926829268,-16.4999175004,-23.0998845006,-40.7997960010
5745164662,54764,5,0,6.9145507813,-1.3685546875,-6.9312988281,-0.8841463415,0.6707317073,-0.8841463415,-16.0499197504,-23.5498822506,-40.3497982510
5745198785,54765,5,0,6.9001953125,-1.3996582031,-6.9265136719,-0.5792682927,0.4878048780,-0.6097560976,-16.0499197504,-23.5498822506,-40.3497982510
5745231333,54766,5,0,6.9049804688,-1.4116210938,-6.9767578125,-0.7317073171,0.6097560976,-0.6097560976,-16.0499197504,-23.5498822506,-40.3497982510
5745259309,54767,5,0,6.8666992188,-1.4068359375,-6.9624023438,-0.9451219512,1.0975609756,-0.6707317073,-17.2499137504,-24.7498762506,-40.3497982510
5745285814,54768,5,0,6.8236328125,-1.4140136719,-6.9241210938,-1.1280487805,1.9207317073,-0.8231707317,-17.2499137504,-24.7498762506,-40.3497982510
5745331211,54769,5,0,6.9241210938,-1.3829101563,-6.9863281250,-0.9451219512,1.1585365854,-0.7317073171,-17.2499137504,-24.7498762506,-40.3497982510
5745360141,54770,5,0,6.9025878906,-1.3661621094,-6.9552246094,-0.7012195122,1.4024390244,-0.3048780488,-17.2499137504,-24.7498762506,-40.3497982510
5745382526,54771,5,0,6.8834472656,-1.3853027344,-6.9265136719,-0.9451219512,1.6463414634,-0.1219512195,-16.1999190004,-23.6998815006,-38.6998065010
5745417311,54772,5,0,7.0006835938,-1.4355468750,-6.9695800781,-0.9756097561,0.7621951220,0.2134146341,-16.1999190004,-23.6998815006,-38.6998065010
5745444306,54773,5,0,6.9001953125,-1.4259765625,-6.9743652344,-1.2195121951,0.5792682927,-0.7926829268,-16.1999190004,-23.6998815006,-38.6998065010
