steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
9348716695,18292,4,4,4,4,4,4,4,4,4,4
9348770842,18293,4,4,4,4,4,4,4,4,4,4
9348778358,18294,4,4,4,4,4,4,4,4,4,4
9348805752,18295,4,4,4,4,4,4,4,4,4,4
9348835976,18296,4,4,4,4,4,4,4,4,4,4
9348890443,18297,4,4,4,4,4,4,4,4,4,4
9348905467,18298,4,4,4,4,4,4,4,4,4,4
9348939609,18299,4,4,4,4,4,4,4,4,4,4
9348968708,18300,4,4,4,4,4,4,4,4,4,4
9349003557,18301,4,4,4,4,4,4,4,4,4,4
9349049622,18302,4,4,4,4,4,4,4,4,4,4
9349065754,18303,4,4,4,4,4,4,4,4,4,4
9349119400,18304,4,4,4,4,4,4,4,4,4,4
9349134031,18305,4,4,4,4,4,4,4,4,4,4
9349154534,18306,4,4,4,4,4,4,4,4,4,4
9349184628,18307,4,4,4,4,4,4,4,4,4,4
9349258749,18308,4,4,4,4,4,4,4,4,4,4
9349287389,18309,4,4,4,4,4,4,4,4,4,4
9349304477,18310,4,4,4,4,4,4,4,4,4,4
9349313449,18311,4,4,4,4,4,4,4,4,4,4
9349357077,18312,4,4,4,4,4,4,4,4,4,4
9349366198,18313,4,4,4,4,4,4,4,4,4,4
9349396280,18314,4,4,4,4,4,4,4,4,4,4
9349433324,18315,4,4,4,4,4,4,4,4,4,4
9349479712,18316,4,4,4,4,4,4,4,4,4,4
9349502322,18317,4,4,4,4,4,4,4,4,4,4
9349531624,18318,4,4,4,4,4,4,4,4,4,4
9349586952,18319,4,4,4,4,4,4,4,4,4,4
9349595792,18320,4,4,4,4,4,4,4,4,4,4
9349622022,18321,4,4,4,4,4,4,4,4,4,4
9349665883,18322,4,4,4,4,4,4,4,4,4,4
9349713367,18323,4,4,4,4,4,4,4,4,4,4
9349722468,18324,4,4,4,4,4,4,4,4,4,4
9349744623,18325,4,4,4,4,4,4,4,4,4,4
9349773808,18326,4,4,4,4,4,4,4,4,4,4
9349838497,18327,4,4,4,4,4,4,4,4,4,4
9349863441,18328,4,4,4,4,4,4,4,4,4,4
9349872441,18329,4,4,4,4,4,4,4,4,4,4
9349894607,18330,4,4,4,4,4,4,4,4,4,4
9349970046,18331,4,4,4,4,4,4,4,4,4,4
9349982412,18332,4,4,4,4,4,4,4,4,4,4
9350003393,18333,4,4,4,4,4,4,4,4,4,4
9350022885,18334,4,4,4,4,4,4,4,4,4,4
9350069219,18335,4,4,4,4,4,4,4,4,4,4
9350090979,18336,4,4,4,4,4,4,4,4,4,4
9350122110,18337,4,4,4,4,4,4,4,4,4,4
9350153205,18338,4,4,4,4,4,4,4,4,4,4
9350198934,18339,4,4,4,4,4,4,4,4,4,4
9350215737,18340,4,4,4,4,4,4,4,4,4,4
9350249660,18341,4,4,4,4,4,4,4,4,4,4
9350311324,18342,4,4,4,4,4,4,4,4,4,4
9350315639,18343,4,4,4,4,4,4,4,4,4,4
9350341893,18344,4,4,4,4,4,4,4,4,4,4
9350373447,18345,4,4,4,4,4,4,4,4,4,4
9350422491,18346,4,4,4,4,4,4,4,4,4,4
9350433463,18347,4,4,4,4,4,4,4,4,4,4
9350486706,18348,4,4,4,4,4,4,4,4,4,4
9350497144,18349,4,4,4,4,4,4,4,4,4,4
9350540876,18350,4,4,4,4,4,4,4,4,4,4
9350589379,18351,4,4,4,4,4,4,4,4,4,4
9350600030,18352,4,4,4,4,4,4,4,4,4,4
9350619609,18353,4,4,4,4,4,4,4,4,4,4
9350699865,18354,4,4,4,4,4,4,4,4,4,4
9350728766,18355,4,4,4,4,4,4,4,4,4,4
9350734703,18356,4,4,4,4,4,4,4,4,4,4
9350768339,18357,4,4,4,4,4,4,4,4,4,4
9350811093,18358,4,4,4,4,4,4,4,4,4,4
9350818363,18359,4,4,4,4,4,4,4,4,4,4
9350841977,18360,4,4,4,4,4,4,4,4,4,4
9350916683,18361,4,4,4,4,4,4,4,4,4,4
9350923516,18362,4,4,4,4,4,4,4,4,4,4
9350936034,18363,4,4,4,4,4,4,4,4,4,4
9350965730,18364,4,4,4,4,4,4,4,4,4,4
9351019500,18365,4,4,4,4,4,4,4,4,4,4
9351028543,18366,4,4,4,4,4,4,4,4,4,4
9351059572,18367,4,4,4,4,4,4,4,4,4,4
9351098419,18368,4,4,4,4,4,4,4,4,4,4
9351129758,18369,4,4,4,4,4,4,4,4,4,4
9351158728,18370,4,4,4,4,4,4,4,4,4,4
9351208431,18371,4,4,4,4,4,4,4,4,4,4
9351241461,18372,4,4,4,4,4,4,4,4,4,4
9351247620,18373,4,4,4,4,4,4,4,4,4,4
9351298875,18374,4,4,4,4,4,4,4,4,4,4
9351311517,18375,4,4,4,4,4,4,4,4,4,4
9351367497,18376,4,4,4,4,4,4,4,4,4,4
9351371907,18377,4,4,4,4,4,4,4,4,4,4
9351402870,18378,4,4,4,4,4,4,4,4,4,4
9351434755,18379,4,4,4,4,4,4,4,4,4,4
9351481366,18380,4,4,4,4,4,4,4,4,4,4
9351521779,18381,4,4,4,4,4,4,4,4,4,4
9351530552,18382,4,4,4,4,4,4,4,4,4,4
9351576989,18383,4,4,4,4,4,4,4,4,4,4
