steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
9348716695,18292,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9348770842,18293,-2,0,8.6778808594,0.1770507813,-4.5363281250,-0.9451219512,0.8841463415,-0.7926829268,-12.8999355003,-35.6998215009,-41.2497937510
9348778358,18294,-2,0,8.5989257813,0.1626953125,-4.5387207031,-0.8231707317,1.9817073171,-0.8536585366,-12.1499392503,-35.2498237509,-42.4497877511
9348805752,18295,-2,0,8.5989257813,0.1626953125,-4.5387207031,-0.3048780488,1.7682926829,-1.2500000000,-12.1499392503,-35.2498237509,-42.4497877511
9348835976,18296,-2,0,8.7233398438,0.1339843750,-4.5913574219,-0.8231707317,1.7073170732,-1.1280487805,-12.1499392503,-35.2498237509,-42.4497877511
9348890443,18297,-2,0,8.7113769531,0.1148437500,-4.5578613281,-1.3414634146,1.7073170732,-0.3353658537,-12.4499377503,-36.1498192509,-41.6997915010
9348905467,18298,-2,0,8.7161621094,0.1148437500,-4.5458984375,-1.8292682927,1.6463414634,0.4268292683,-12.4499377503,-36.1498192509,-41.6997915010
9348939609,18299,-2,0,8.7089843750,0.1076660156,-4.5339355469,-2.1036585366,1.8597560976,0.8841463415,-12.4499377503,-36.1498192509,-41.6997915010
9348968708,18300,-2,0,8.7353027344,0.0717773438,-4.5363281250,-2.0121951220,1.7378048780,0.8841463415,-13.1999340003,-36.8998155009,-40.9497952510
9349003557,18301,-2,0,8.7353027344,0.0693847656,-4.5195800781,-1.9817073171,1.7073170732,0.5792682927,-13.1999340003,-36.8998155009,-40.9497952510
9349049622,18302,-2,0,8.7137695313,0.0526367188,-4.5147949219,-1.9512195122,1.6158536585,-0.0914634146,-13.1999340003,-36.8998155009,-40.9497952510
9349065754,18303,-2,0,8.7185546875,0.0645996094,-4.5219726563,-1.5548780488,1.4329268293,-0.7012195122,-12.7499362503,-36.5998170009,-40.0497997510
9349119400,18304,-2,0,8.7137695313,0.0957031250,-4.4884765625,-1.0670731707,1.4024390244,-0.8841463415,-12.7499362503,-36.5998170009,-40.0497997510
9349134031,18305,-2,0,8.7496582031,0.1076660156,-4.5028320313,-0.7621951220,1.2804878049,-0.7621951220,-12.7499362503,-36.5998170009,-40.0497997510
9349154534,18306,-2,0,8.7305175781,0.0813476563,-4.5028320313,-0.9756097561,1.1585365854,-0.8536585366,-12.7499362503,-36.5998170009,-40.0497997510
9349184628,18307,-2,0,8.7807617188,0.0837402344,-4.4812988281,-1.0060975610,0.7926829268,-0.6402439024,-12.7499362503,-36.5998170009,-40.0497997510
9349258749,18308,-2,0,8.7257324219,0.0789550781,-4.5243652344,-1.4329268293,0.8841463415,-0.6097560976,-12.7499362503,-36.5998170009,-40.0497997510
9349287389,18309,-2,0,8.6970214844,0.0550292969,-4.5171875000,-1.4634146341,1.1890243902,-0.7317073171,-13.0499347503,-35.8498207509,-41.0997945010
9349304477,18310,-2,0,8.7448730469,0.1004882813,-4.4884765625,-1.4634146341,1.2195121951,-0.9146341463,-13.0499347503,-35.8498207509,-41.0997945010
9349313449,18311,-2,0,8.7161621094,0.1244140625,-4.4860839844,-1.1585365854,1.0365853659,-1.0060975610,-13.0499347503,-35.8498207509,-41.0997945010
9349357077,18312,-2,0,8.7185546875,0.1387695313,-4.4956542969,-1.0060975610,0.9451219512,-1.2195121951,-13.0499347503,-35.8498207509,-41.0997945010
9349366198,18313,-2,0,8.7999023438,0.1220214844,-4.4884765625,-1.1585365854,0.6097560976,-0.7926829268,-12.8999355003,-35.6998215009,-41.9997900010
9349396280,18314,-2,0,8.7400878906,0.1076660156,-4.5052246094,-1.5243902439,0.3048780488,-0.3048780488,-12.8999355003,-35.6998215009,-41.9997900010
9349433324,18315,-2,0,8.6946289063,0.1148437500,-4.5387207031,-1.5548780488,0.1219512195,-0.2439024390,-12.8999355003,-35.6998215009,-41.9997900010
9349479712,18316,-2,0,8.6539550781,0.1100585938,-4.5554687500,-1.7682926829,0.4268292683,0.2439024390,-11.6999415003,-36.1498192509,-39.8998005010
9349502322,18317,-2,0,8.7041992188,0.1220214844,-4.5626464844,-1.6768292683,0.7621951220,0.3658536585,-11.6999415003,-36.1498192509,-39.8998005010
9349531624,18318,-2,0,8.6730957031,0.1124511719,-4.5793945313,-1.4634146341,1.0670731707,0.1524390244,-11.6999415003,-36.1498192509,-39.8998005010
9349586952,18319,-2,0,8.6778808594,0.0789550781,-4.5626464844,-1.4329268293,1.3109756098,0.0914634146,-12.4499377503,-37.6498117509,-41.6997915010
9349595792,18320,-2,0,8.6826660156,0.0693847656,-4.5243652344,-1.4024390244,1.9207317073,-0.0914634146,-12.4499377503,-37.6498117509,-41.6997915010
9349622022,18321,-2,0,8.6300292969,0.1004882813,-4.5339355469,-1.4634146341,2.0121951220,-0.4573170732,-12.4499377503,-37.6498117509,-41.6997915010
9349665883,18322,-2,0,8.7089843750,0.1124511719,-4.5147949219,-1.2195121951,1.7682926829,-0.7317073171,-12.4499377503,-37.6498117509,-41.6997915010
9349713367,18323,2,0,8.7592285156,0.0598144531,-4.4334472656,-1.3719512195,1.7073170732,-0.2134146341,-12.4499377503,-37.6498117509,-41.6997915010
9349722468,18324,2,0,8.7424804688,0.0957031250,-4.5028320313,-1.1585365854,1.3414634146,-0.4878048780,-12.4499377503,-37.6498117509,-41.6997915010
9349744623,18325,2,0,8.7089843750,0.0813476563,-4.5100097656,-1.2195121951,1.0670731707,-0.4878048780,-11.5499422503,-36.2998185009,-40.0497997510
9349773808,18326,2,0,8.6970214844,0.0765625000,-4.4525878906,-1.3109756098,1.3109756098,-0.3658536585,-11.5499422503,-36.2998185009,-40.0497997510
