steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
9358819816,18523,4,4,4,4,4,4,4,4,4,4
9358829359,18524,4,4,4,4,4,4,4,4,4,4
9358918274,18525,4,4,4,4,4,4,4,4,4,4
9358925606,18526,4,4,4,4,4,4,4,4,4,4
9358927989,18527,4,4,4,4,4,4,4,4,4,4
9358944389,18528,4,4,4,4,4,4,4,4,4,4
9358990583,18529,4,4,4,4,4,4,4,4,4,4
9359032141,18530,4,4,4,4,4,4,4,4,4,4
9359051244,18531,4,4,4,4,4,4,4,4,4,4
9359101207,18532,4,4,4,4,4,4,4,4,4,4
9359114533,18533,4,4,4,4,4,4,4,4,4,4
9359160892,18534,4,4,4,4,4,4,4,4,4,4
9359174609,18535,4,4,4,4,4,4,4,4,4,4
9359201202,18536,4,4,4,4,4,4,4,4,4,4
9359236309,18537,4,4,4,4,4,4,4,4,4,4
9359283269,18538,4,4,4,4,4,4,4,4,4,4
9359294545,18539,4,4,4,4,4,4,4,4,4,4
9359322416,18540,4,4,4,4,4,4,4,4,4,4
9359356244,18541,4,4,4,4,4,4,4,4,4,4
9359397236,18542,4,4,4,4,4,4,4,4,4,4
9359423081,18543,4,4,4,4,4,4,4,4,4,4
9359448294,18544,4,4,4,4,4,4,4,4,4,4
9359542119,18545,4,4,4,4,4,4,4,4,4,4
9359551288,18546,4,4,4,4,4,4,4,4,4,4
9359558519,18547,4,4,4,4,4,4,4,4,4,4
9359575734,18548,4,4,4,4,4,4,4,4,4,4
9359625870,18549,4,4,4,4,4,4,4,4,4,4
9359637270,18550,4,4,4,4,4,4,4,4,4,4
9359665958,18551,4,4,4,4,4,4,4,4,4,4
9359700455,18552,4,4,4,4,4,4,4,4,4,4
9359760126,18553,4,4,4,4,4,4,4,4,4,4
9359769622,18554,4,4,4,4,4,4,4,4,4,4
9359793336,18555,4,4,4,4,4,4,4,4,4,4
9359826248,18556,4,4,4,4,4,4,4,4,4,4
9359871931,18557,4,4,4,4,4,4,4,4,4,4
9359898298,18558,4,4,4,4,4,4,4,4,4,4
9359919538,18559,4,4,4,4,4,4,4,4,4,4
9359948348,18560,4,4,4,4,4,4,4,4,4,4
9359983906,18561,4,4,4,4,4,4,4,4,4,4
9360010146,18562,4,4,4,4,4,4,4,4,4,4
9360043556,18563,4,4,4,4,4,4,4,4,4,4
9360104644,18564,4,4,4,4,4,4,4,4,4,4
9360121751,18565,4,4,4,4,4,4,4,4,4,4
9360141203,18566,4,4,4,4,4,4,4,4,4,4
9360181130,18567,4,4,4,4,4,4,4,4,4,4
9360223316,18568,4,4,4,4,4,4,4,4,4,4
9360228717,18569,4,4,4,4,4,4,4,4,4,4
9360258621,18570,4,4,4,4,4,4,4,4,4,4
9360302563,18571,4,4,4,4,4,4,4,4,4,4
9360343341,18572,4,4,4,4,4,4,4,4,4,4
9360354646,18573,4,4,4,4,4,4,4,4,4,4
9360385219,18574,4,4,4,4,4,4,4,4,4,4
9360419678,18575,4,4,4,4,4,4,4,4,4,4
9360461261,18576,4,4,4,4,4,4,4,4,4,4
9360481352,18577,4,4,4,4,4,4,4,4,4,4
9360503353,18578,4,4,4,4,4,4,4,4,4,4
9360539643,18579,4,4,4,4,4,4,4,4,4,4
9360577515,18580,4,4,4,4,4,4,4,4,4,4
9360604718,18581,4,4,4,4,4,4,4,4,4,4
9360634896,18582,4,4,4,4,4,4,4,4,4,4
9360662736,18583,4,4,4,4,4,4,4,4,4,4
9360724337,18584,4,4,4,4,4,4,4,4,4,4
9360735838,18585,4,4,4,4,4,4,4,4,4,4
9360771715,18586,4,4,4,4,4,4,4,4,4,4
9360798309,18587,4,4,4,4,4,4,4,4,4,4
9360848389,18588,4,4,4,4,4,4,4,4,4,4
9360869761,18589,4,4,4,4,4,4,4,4,4,4
9360886329,18590,4,4,4,4,4,4,4,4,4,4
9360948811,18591,4,4,4,4,4,4,4,4,4,4
9360956205,18592,4,4,4,4,4,4,4,4,4,4
9360983424,18593,4,4,4,4,4,4,4,4,4,4
9361045048,18594,4,4,4,4,4,4,4,4,4,4
9361050108,18595,4,4,4,4,4,4,4,4,4,4
9361076610,18596,4,4,4,4,4,4,4,4,4,4
9361107585,18597,4,4,4,4,4,4,4,4,4,4
9361168494,18598,4,4,4,4,4,4,4,4,4,4
9361174454,18599,4,4,4,4,4,4,4,4,4,4
9361192278,18600,4,4,4,4,4,4,4,4,4,4
9361228536,18601,4,4,4,4,4,4,4,4,4,4
9361277214,18602,4,4,4,4,4,4,4,4,4,4
