steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
9291609000,17176,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9291640513,17177,-2,0,8.7185546875,0.0717773438,-4.4478027344,-1.4024390244,0.5792682927,0.0914634146,-11.6999415003,-35.6998215009,-37.9498102509
9291724049,17178,-2,0,8.6324218750,0.0071777344,-4.4789062500,-1.1280487805,1.0975609756,1.4939024390,-10.9499452503,-37.9498102509,-40.1997990010
9291731790,17179,-2,0,8.6659179688,-0.0095703125,-4.5865722656,-1.3414634146,1.2804878049,1.8292682927,-10.9499452503,-37.9498102509,-40.1997990010
9291737462,17180,-2,0,8.6946289063,0.0047851563,-4.6104980469,-1.2804878049,1.8597560976,1.4939024390,-10.9499452503,-37.9498102509,-40.1997990010
9291766818,17181,-2,0,8.7329101563,-0.0358886719,-4.5698242188,-0.7317073171,1.7378048780,0.4878048780,-12.7499362503,-37.4998125009,-39.5998020010
9291821624,17182,-2,0,8.7185546875,-0.0454589844,-4.5793945313,-0.6097560976,0.9451219512,-0.1524390244,-12.7499362503,-37.4998125009,-39.5998020010
9291832119,17183,-2,0,8.7185546875,-0.0454589844,-4.5793945313,-0.8536585366,0.7012195122,-0.2134146341,-12.7499362503,-37.4998125009,-39.5998020010
9291859766,17184,-2,0,8.6754882813,-0.0526367188,-4.5937500000,-1.1585365854,0.8536585366,-0.4878048780,-12.8999355003,-36.8998155009,-41.2497937510
9291908898,17185,-2,0,8.7065917969,-0.0263183594,-4.5865722656,-1.2500000000,0.9146341463,-0.7621951220,-12.8999355003,-36.8998155009,-41.2497937510
9291945619,17186,-2,0,8.6635253906,-0.0095703125,-4.6033203125,-0.7926829268,1.1890243902,-1.3109756098,-12.8999355003,-36.8998155009,-41.2497937510
9291954350,17187,-2,0,8.6946289063,-0.0023925781,-4.6296386719,-0.3963414634,1.1890243902,-1.4634146341,-12.1499392503,-36.8998155009,-40.6497967510
9291988436,17188,-2,0,8.6539550781,-0.0071777344,-4.5363281250,-0.3658536585,1.1890243902,-1.7987804878,-12.1499392503,-36.8998155009,-40.6497967510
9292021824,17189,-2,0,8.7041992188,0.0071777344,-4.5530761719,-0.7621951220,0.7012195122,-2.1646341463,-12.1499392503,-36.8998155009,-40.6497967510
9292068370,17190,-2,0,8.7711914063,0.0071777344,-4.5937500000,-1.5548780488,0.6707317073,-1.0975609756,-12.1499392503,-36.8998155009,-40.6497967510
9292079377,17191,-2,0,8.6539550781,0.0502441406,-4.5674316406,-1.4024390244,1.1585365854,-0.9451219512,-12.1499392503,-36.8998155009,-40.6497967510
9292126719,17192,-2,0,8.6324218750,0.0909179688,-4.6104980469,-1.0365853659,1.3719512195,-1.0365853659,-12.1499392503,-36.8998155009,-40.6497967510
9292150462,17193,-2,0,8.6587402344,0.1028808594,-4.5985351563,-0.7012195122,1.4634146341,-0.7621951220,-13.4999325003,-37.0498147509,-40.7997960010
9292189433,17194,-2,0,8.7185546875,0.0741699219,-4.5626464844,-0.8841463415,1.4634146341,-0.4573170732,-13.4999325003,-37.0498147509,-40.7997960010
9292206876,17195,-2,0,8.7257324219,0.0502441406,-4.5698242188,-1.4329268293,1.3719512195,-0.1219512195,-13.4999325003,-37.0498147509,-40.7997960010
9292233031,17196,-2,0,8.7185546875,0.0334960938,-4.5530761719,-1.7987804878,1.1890243902,0.0000000000,-13.4999325003,-37.0498147509,-40.7997960010
9292294371,17197,-2,0,8.6946289063,0.0550292969,-4.5722167969,-1.8292682927,0.9146341463,0.0304878049,-12.4499377503,-35.2498237509,-41.2497937510
9292349506,17198,-2,0,8.6061035156,0.0598144531,-4.5650390625,-1.6768292683,1.1280487805,-0.9146341463,-12.4499377503,-35.2498237509,-41.2497937510
9292358437,17199,-2,0,8.6563476563,0.0669921875,-4.5602539063,-1.2195121951,1.4634146341,-0.8536585366,-12.4499377503,-35.2498237509,-41.2497937510
9292365631,17200,-2,0,8.7520507813,0.0645996094,-4.5865722656,-1.1280487805,1.4634146341,-0.6707317073,-11.2499437503,-36.2998185009,-41.0997945010
9292385047,17201,-2,0,8.7161621094,0.0645996094,-4.5458984375,-1.0670731707,1.0670731707,-0.8231707317,-11.2499437503,-36.2998185009,-41.0997945010
9292430521,17202,-2,0,8.6754882813,0.0765625000,-4.5435058594,-0.8231707317,0.9451219512,-0.7012195122,-11.2499437503,-36.2998185009,-41.0997945010
9292450585,17203,-2,0,8.6515625000,0.0837402344,-4.5650390625,-0.6707317073,1.0975609756,-0.3658536585,-12.7499362503,-37.0498147509,-38.5498072510
