steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
9301869072,17401,4,4,4,4,4,4,4,4,4,4
9301887051,17402,4,4,4,4,4,4,4,4,4,4
9301945392,17403,4,4,4,4,4,4,4,4,4,4
9301949061,17404,4,4,4,4,4,4,4,4,4,4
9301986828,17405,4,4,4,4,4,4,4,4,4,4
9302007800,17406,4,4,4,4,4,4,4,4,4,4
9302036613,17407,4,4,4,4,4,4,4,4,4,4
9302070398,17408,4,4,4,4,4,4,4,4,4,4
9302103368,17409,4,4,4,4,4,4,4,4,4,4
9302182179,17410,4,4,4,4,4,4,4,4,4,4
9302190312,17411,4,4,4,4,4,4,4,4,4,4
9302218523,17412,4,4,4,4,4,4,4,4,4,4
9302223007,17413,4,4,4,4,4,4,4,4,4,4
9302264206,17414,4,4,4,4,4,4,4,4,4,4
9302284327,17415,4,4,4,4,4,4,4,4,4,4
9302346867,17416,4,4,4,4,4,4,4,4,4,4
9302371135,17417,4,4,4,4,4,4,4,4,4,4
9302384475,17418,4,4,4,4,4,4,4,4,4,4
9302414276,17419,4,4,4,4,4,4,4,4,4,4
9302462342,17420,4,4,4,4,4,4,4,4,4,4
9302479415,17421,4,4,4,4,4,4,4,4,4,4
9302500505,17422,4,4,4,4,4,4,4,4,4,4
9302564797,17423,4,4,4,4,4,4,4,4,4,4
9302624454,17424,4,4,4,4,4,4,4,4,4,4
9302635671,17425,4,4,4,4,4,4,4,4,4,4
9302642150,17426,4,4,4,4,4,4,4,4,4,4
9302689260,17427,4,4,4,4,4,4,4,4,4,4
9302709534,17428,4,4,4,4,4,4,4,4,4,4
9302739332,17429,4,4,4,4,4,4,4,4,4,4
9302756289,17430,4,4,4,4,4,4,4,4,4,4
9302823012,17431,4,4,4,4,4,4,4,4,4,4
9302839481,17432,4,4,4,4,4,4,4,4,4,4
9302854304,17433,4,4,4,4,4,4,4,4,4,4
9302884593,17434,4,4,4,4,4,4,4,4,4,4
9302937171,17435,4,4,4,4,4,4,4,4,4,4
9302966030,17436,4,4,4,4,4,4,4,4,4,4
9302976853,17437,4,4,4,4,4,4,4,4,4,4
9303009708,17438,4,4,4,4,4,4,4,4,4,4
9303047335,17439,4,4,4,4,4,4,4,4,4,4
9303079460,17440,4,4,4,4,4,4,4,4,4,4
9303113102,17441,4,4,4,4,4,4,4,4,4,4
9303138311,17442,4,4,4,4,4,4,4,4,4,4
9303175622,17443,4,4,4,4,4,4,4,4,4,4
9303220596,17444,4,4,4,4,4,4,4,4,4,4
9303232004,17445,4,4,4,4,4,4,4,4,4,4
9303254471,17446,4,4,4,4,4,4,4,4,4,4
9303288191,17447,4,4,4,4,4,4,4,4,4,4
9303322965,17448,4,4,4,4,4,4,4,4,4,4
9303380693,17449,4,4,4,4,4,4,4,4,4,4
9303411033,17450,4,4,4,4,4,4,4,4,4,4
9303418141,17451,4,4,4,4,4,4,4,4,4,4
9303450489,17452,4,4,4,4,4,4,4,4,4,4
9303483142,17453,4,4,4,4,4,4,4,4,4,4
9303523433,17454,4,4,4,4,4,4,4,4,4,4
9303543170,17455,4,4,4,4,4,4,4,4,4,4
9303574984,17456,4,4,4,4,4,4,4,4,4,4
9303608116,17457,4,4,4,4,4,4,4,4,4,4
9303644477,17458,4,4,4,4,4,4,4,4,4,4
9303675718,17459,4,4,4,4,4,4,4,4,4,4
9303695630,17460,4,4,4,4,4,4,4,4,4,4
9303726695,17461,4,4,4,4,4,4,4,4,4,4
9303788491,17462,4,4,4,4,4,4,4,4,4,4
9303793121,17463,4,4,4,4,4,4,4,4,4,4
9303819739,17464,4,4,4,4,4,4,4,4,4,4
9303882505,17465,4,4,4,4,4,4,4,4,4,4
9303900642,17466,4,4,4,4,4,4,4,4,4,4
9303912298,17467,4,4,4,4,4,4,4,4,4,4
9303943476,17468,4,4,4,4,4,4,4,4,4,4
9303988728,17469,4,4,4,4,4,4,4,4,4,4
9304009457,17470,4,4,4,4,4,4,4,4,4,4
9304035708,17471,4,4,4,4,4,4,4,4,4,4
9304073305,17472,4,4,4,4,4,4,4,4,4,4
9304115218,17473,4,4,4,4,4,4,4,4,4,4
9304135768,17474,4,4,4,4,4,4,4,4,4,4
9304169460,17475,4,4,4,4,4,4,4,4,4,4
9304199482,17476,4,4,4,4,4,4,4,4,4,4
9304228518,17477,4,4,4,4,4,4,4,4,4,4
9304263463,17478,4,4,4,4,4,4,4,4,4,4
9304290664,17479,4,4,4,4,4,4,4,4,4,4
9304347318,17480,4,4,4,4,4,4,4,4,4,4
9304354390,17481,4,4,4,4,4,4,4,4,4,4
9304375871,17482,4,4,4,4,4,4,4,4,4,4
9304409318,17483,4,4,4,4,4,4,4,4,4,4
9304510925,17484,4,4,4,4,4,4,4,4,4,4
9304523479,17485,4,4,4,4,4,4,4,4,4,4
9304528598,17486,4,4,4,4,4,4,4,4,4,4
9304535641,17487,4,4,4,4,4,4,4,4,4,4
9304598288,17488,4,4,4,4,4,4,4,4,4,4
9304602994,17489,4,4,4,4,4,4,4,4,4,4
9304633924,17490,4,4,4,4,4,4,4,4,4,4
9304667358,17491,4,4,4,4,4,4,4,4,4,4
9304715874,17492,4,4,4,4,4,4,4,4,4,4
9304728301,17493,4,4,4,4,4,4,4,4,4,4
9304748199,17494,4,4,4,4,4,4,4,4,4,4
9304781506,17495,4,4,4,4,4,4,4,4,4,4
9304829695,17496,4,4,4,4,4,4,4,4,4,4
9304848673,17497,4,4,4,4,4,4,4,4,4,4
9304879582,17498,4,4,4,4,4,4,4,4,4,4
9304938921,17499,4,4,4,4,4,4,4,4,4,4
9304949643,17500,4,4,4,4,4,4,4,4,4,4
9304975771,17501,4,4,4,4,4,4,4,4,4,4
9305025745,17502,4,4,4,4,4,4,4,4,4,4
9305055238,17503,4,4,4,4,4,4,4,4,4,4
9305085677,17504,4,4,4,4,4,4,4,4,4,4
9305121091,17505,4,4,4,4,4,4,4,4,4,4
9305145907,17506,4,4,4,4,4,4,4,4,4,4
9305175419,17507,4,4,4,4,4,4,4,4,4,4
9305191856,17508,4,4,4,4,4,4,4,4,4,4
9305230797,17509,4,4,4,4,4,4,4,4,4,4
9305257297,17510,4,4,4,4,4,4,4,4,4,4
9305291396,17511,4,4,4,4,4,4,4,4,4,4
9305329876,17512,4,4,4,4,4,4,4,4,4,4
9305348346,17513,4,4,4,4,4,4,4,4,4,4
9305380956,17514,4,4,4,4,4,4,4,4,4,4
9305413499,17515,4,4,4,4,4,4,4,4,4,4
9305440758,17516,4,4,4,4,4,4,4,4,4,4
9305474531,17517,4,4,4,4,4,4,4,4,4,4
9305529344,17518,4,4,4,4,4,4,4,4,4,4
9305547395,17519,4,4,4,4,4,4,4,4,4,4
9305561801,17520,4,4,4,4,4,4,4,4,4,4
9305602311,17521,4,4,4,4,4,4,4,4,4,4
9305657378,17522,4,4,4,4,4,4,4,4,4,4
9305670631,17523,4,4,4,4,4,4,4,4,4,4
9305699508,17524,4,4,4,4,4,4,4,4,4,4
9305718632,17525,4,4,4,4,4,4,4,4,4,4
9305794633,17526,4,4,4,4,4,4,4,4,4,4
9305805726,17527,4,4,4,4,4,4,4,4,4,4
9305837658,17528,4,4,4,4,4,4,4,4,4,4
9305843781,17529,4,4,4,4,4,4,4,4,4,4
9305885650,17530,4,4,4,4,4,4,4,4,4,4
9305921313,17531,4,4,4,4,4,4,4,4,4,4
9305949807,17532,4,4,4,4,4,4,4,4,4,4
9305970291,17533,4,4,4,4,4,4,4,4,4,4
9306012217,17534,4,4,4,4,4,4,4,4,4,4
9306042525,17535,4,4,4,4,4,4,4,4,4,4
9306066678,17536,4,4,4,4,4,4,4,4,4,4
9306116449,17537,4,4,4,4,4,4,4,4,4,4
9306131778,17538,4,4,4,4,4,4,4,4,4,4
9306183089,17539,4,4,4,4,4,4,4,4,4,4
9306198493,17540,4,4,4,4,4,4,4,4,4,4
9306254601,17541,4,4,4,4,4,4,4,4,4,4
9306276927,17542,4,4,4,4,4,4,4,4,4,4
9306286993,17543,4,4,4,4,4,4,4,4,4,4
9306317397,17544,4,4,4,4,4,4,4,4,4,4
9306367333,17545,4,4,4,4,4,4,4,4,4,4
9306408585,17546,4,4,4,4,4,4,4,4,4,4
9306418177,17547,4,4,4,4,4,4,4,4,4,4
9306469200,17548,4,4,4,4,4,4,4,4,4,4
9306475482,17549,4,4,4,4,4,4,4,4,4,4
9306506194,17550,4,4,4,4,4,4,4,4,4,4
9306538215,17551,4,4,4,4,4,4,4,4,4,4
9306602492,17552,4,4,4,4,4,4,4,4,4,4
9306605566,17553,4,4,4,4,4,4,4,4,4,4
9306630986,17554,4,4,4,4,4,4,4,4,4,4
9306662466,17555,4,4,4,4,4,4,4,4,4,4
9306720628,17556,4,4,4,4,4,4,4,4,4,4
9306729497,17557,4,4,4,4,4,4,4,4,4,4
9306750809,17558,4,4,4,4,4,4,4,4,4,4
9306780476,17559,4,4,4,4,4,4,4,4,4,4
9306851860,17560,4,4,4,4,4,4,4,4,4,4
9306873501,17561,4,4,4,4,4,4,4,4,4,4
9306887019,17562,4,4,4,4,4,4,4,4,4,4
9306912473,17563,4,4,4,4,4,4,4,4,4,4
9306959493,17564,4,4,4,4,4,4,4,4,4,4
9306978236,17565,4,4,4,4,4,4,4,4,4,4
9307003109,17566,4,4,4,4,4,4,4,4,4,4
9307061815,17567,4,4,4,4,4,4,4,4,4,4
9307084477,17568,4,4,4,4,4,4,4,4,4,4
9307109504,17569,4,4,4,4,4,4,4,4,4,4
9307128099,17570,4,4,4,4,4,4,4,4,4,4
9307181323,17571,4,4,4,4,4,4,4,4,4,4
9307186599,17572,4,4,4,4,4,4,4,4,4,4
9307228118,17573,4,4,4,4,4,4,4,4,4,4
9307309556,17574,4,4,4,4,4,4,4,4,4,4
9307314546,17575,4,4,4,4,4,4,4,4,4,4
9307322066,17576,4,4,4,4,4,4,4,4,4,4
9307355655,17577,4,4,4,4,4,4,4,4,4,4
9307379321,17578,4,4,4,4,4,4,4,4,4,4
9307427145,17579,4,4,4,4,4,4,4,4,4,4
9307441906,17580,4,4,4,4,4,4,4,4,4,4
9307480671,17581,4,4,4,4,4,4,4,4,4,4
9307503453,17582,4,4,4,4,4,4,4,4,4,4
9307537178,17583,4,4,4,4,4,4,4,4,4,4
9307569774,17584,4,4,4,4,4,4,4,4,4,4
9307593419,17585,4,4,4,4,4,4,4,4,4,4
