steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
9473562429,19986,4,4,4,4,4,4,4,4,4,4
9473619945,19987,4,4,4,4,4,4,4,4,4,4
9473636389,19988,4,4,4,4,4,4,4,4,4,4
9473658828,19989,4,4,4,4,4,4,4,4,4,4
9473689196,19990,4,4,4,4,4,4,4,4,4,4
9473740953,19991,4,4,4,4,4,4,4,4,4,4
9473758710,19992,4,4,4,4,4,4,4,4,4,4
9473795173,19993,4,4,4,4,4,4,4,4,4,4
9473811050,19994,4,4,4,4,4,4,4,4,4,4
9473857708,19995,4,4,4,4,4,4,4,4,4,4
9473881496,19996,4,4,4,4,4,4,4,4,4,4
9473927953,19997,4,4,4,4,4,4,4,4,4,4
9473934877,19998,4,4,4,4,4,4,4,4,4,4
9473980885,19999,4,4,4,4,4,4,4,4,4,4
9474010025,20000,4,4,4,4,4,4,4,4,4,4
9474041507,20001,4,4,4,4,4,4,4,4,4,4
9474093950,20002,4,4,4,4,4,4,4,4,4,4
9474124285,20003,4,4,4,4,4,4,4,4,4,4
9474131774,20004,4,4,4,4,4,4,4,4,4,4
9474167645,20005,4,4,4,4,4,4,4,4,4,4
9474209275,20006,4,4,4,4,4,4,4,4,4,4
9474217344,20007,4,4,4,4,4,4,4,4,4,4
9474251927,20008,4,4,4,4,4,4,4,4,4,4
9474291228,20009,4,4,4,4,4,4,4,4,4,4
9474331532,20010,4,4,4,4,4,4,4,4,4,4
9474343956,20011,4,4,4,4,4,4,4,4,4,4
9474383963,20012,4,4,4,4,4,4,4,4,4,4
9474410102,20013,4,4,4,4,4,4,4,4,4,4
9474452739,20014,4,4,4,4,4,4,4,4,4,4
9474476804,20015,4,4,4,4,4,4,4,4,4,4
9474506000,20016,4,4,4,4,4,4,4,4,4,4
9474537660,20017,4,4,4,4,4,4,4,4,4,4
9474592621,20018,4,4,4,4,4,4,4,4,4,4
9474607622,20019,4,4,4,4,4,4,4,4,4,4
9474628770,20020,4,4,4,4,4,4,4,4,4,4
9474678293,20021,4,4,4,4,4,4,4,4,4,4
9474693847,20022,4,4,4,4,4,4,4,4,4,4
9474736454,20023,4,4,4,4,4,4,4,4,4,4
9474757608,20024,4,4,4,4,4,4,4,4,4,4
9474799779,20025,4,4,4,4,4,4,4,4,4,4
9474826505,20026,4,4,4,4,4,4,4,4,4,4
9474846551,20027,4,4,4,4,4,4,4,4,4,4
9474873726,20028,4,4,4,4,4,4,4,4,4,4
9474921106,20029,4,4,4,4,4,4,4,4,4,4
9474952545,20030,4,4,4,4,4,4,4,4,4,4
9475032616,20031,4,4,4,4,4,4,4,4,4,4
9475046643,20032,4,4,4,4,4,4,4,4,4,4
9475054020,20033,4,4,4,4,4,4,4,4,4,4
9475069949,20034,4,4,4,4,4,4,4,4,4,4
9475099047,20035,4,4,4,4,4,4,4,4,4,4
9475152714,20036,4,4,4,4,4,4,4,4,4,4
9475161266,20037,4,4,4,4,4,4,4,4,4,4
