steady_timestamp,sequence,battery,flags,TMS-ch1
9473562429,19986,-2,0,32169.0000000000
9473619945,19987,-2,0,63420.0000000000
9473636389,19988,-2,0,94671.0000000000
9473658828,19989,-2,0,125922.0000000000
9473689196,19990,-2,0,157173.0000000000
9473740953,19991,-2,0,188424.0000000000
9473758710,19992,-2,0,219675.0000000000
9473795173,19993,-2,0,250926.0000000000
9473811050,19994,-2,0,282177.0000000000
9473857708,19995,-2,0,313428.0000000000
9473881496,19996,-2,0,344679.0000000000
9473927953,19997,-2,0,375930.0000000000
9473934877,19998,-2,0,407181.0000000000
9473980885,19999,-2,0,438432.0000000000
9474010025,20000,-2,0,469683.0000000000
9474041507,20001,-2,0,500934.0000000000
9474093950,20002,-2,0,532185.0000000000
9474124285,20003,-2,0,563436.0000000000
9474131774,20004,-2,0,594687.0000000000
9474167645,20005,-2,0,625938.0000000000
9474209275,20006,-2,0,657189.0000000000
9474217344,20007,-2,0,688440.0000000000
9474251927,20008,-2,0,719691.0000000000
9474291228,20009,-2,0,750942.0000000000
9474331532,20010,-2,0,782193.0000000000
9474343956,20011,-2,0,813444.0000000000
9474383963,20012,-2,0,844695.0000000000
9474410102,20013,-2,0,875946.0000000000
9474452739,20014,-2,0,907197.0000000000
9474476804,20015,-2,0,938448.0000000000
9474506000,20016,-2,0,969699.0000000000
9474537660,20017,2,0,1000950.0000000000
9474592621,20018,2,0,1032201.0000000000
9474607622,20019,2,0,1063452.0000000000
9474628770,20020,2,0,1094703.0000000000
9474678293,20021,2,0,1125954.0000000000
9474693847,20022,2,0,1157205.0000000000
9474736454,20023,2,0,1188456.0000000000
9474757608,20024,2,0,1219707.0000000000
9474799779,20025,2,0,1250958.0000000000
9474826505,20026,2,0,1282209.0000000000
9474846551,20027,2,0,1313460.0000000000
9474873726,20028,2,0,1344711.0000000000
9474921106,20029,2,0,1375962.0000000000
9474952545,20030,2,0,1407213.0000000000
9475032616,20031,2,0,1438464.0000000000
9475046643,20032,2,0,1469715.0000000000
9475054020,20033,2,0,1500966.0000000000
9475069949,20034,2,0,1532217.0000000000
9475099047,20035,2,0,1563468.0000000000
9475152714,20036,2,0,1594719.0000000000
9475161266,20037,2,0,1625970.0000000000
