steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
9477124337,20040,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9477174043,20041,-2,0,8.5415039063,-0.2751464844,-4.7157714844,-0.6097560976,1.2500000000,-1.2195121951,-11.3999430003,-35.6998215009,-42.7497862511
9477190334,20042,-2,0,8.4769042969,-0.2392578125,-4.7277343750,-0.9146341463,1.5548780488,-0.8231707317,-12.4499377503,-37.1998140009,-42.7497862511
9477218699,20043,-2,0,8.6061035156,-0.2631835938,-4.8019042969,-1.0975609756,1.5243902439,-0.7012195122,-12.4499377503,-37.1998140009,-42.7497862511
9477292030,20044,-2,0,8.5965332031,-0.2512207031,-4.8162597656,-1.0975609756,1.3109756098,-0.5792682927,-12.4499377503,-37.1998140009,-42.7497862511
9477318882,20045,-2,0,8.5558593750,-0.2536132813,-4.7923339844,-0.9451219512,1.2804878049,-0.2743902439,-11.6999415003,-36.8998155009,-41.6997915010
9477325222,20046,-2,0,8.5558593750,-0.2536132813,-4.7923339844,-1.0060975610,1.4329268293,-0.5792682927,-11.6999415003,-36.8998155009,-41.6997915010
9477348969,20047,-2,0,8.5845703125,-0.2583984375,-4.7875488281,-1.1280487805,1.3414634146,-0.5182926829,-11.6999415003,-36.8998155009,-41.6997915010
9477383725,20048,-2,0,8.5726074219,-0.2583984375,-4.7779785156,-1.0670731707,1.3109756098,-0.8231707317,-11.6999415003,-38.3998080010,-41.6997915010
9477417588,20049,-2,0,8.5558593750,-0.2177246094,-4.7660156250,-0.9451219512,1.4939024390,-0.5487804878,-11.6999415003,-38.3998080010,-41.6997915010
9477459042,20050,-2,0,8.6874511719,-0.2440429688,-4.7708007813,-1.1585365854,1.0670731707,0.4878048780,-11.6999415003,-38.3998080010,-41.6997915010
9477467661,20051,-2,0,8.6300292969,-0.2536132813,-4.7731933594,-1.1585365854,0.1829268293,-0.0304878049,-10.6499467503,-37.6498117509,-40.9497952510
9477519223,20052,-2,0,8.5678222656,-0.2942871094,-4.7636230469,-1.2195121951,0.1219512195,-0.0304878049,-10.6499467503,-37.6498117509,-40.9497952510
9477524648,20053,-2,0,8.4960449219,-0.2823242188,-4.8377929688,-1.0365853659,0.8231707317,-0.1829268293,-10.6499467503,-37.6498117509,-40.9497952510
9477563985,20054,-2,0,8.5391113281,-0.2847167969,-4.8473632813,-0.8231707317,1.2804878049,-0.9146341463,-12.2999385003,-36.5998170009,-40.7997960010
9477592741,20055,-2,0,8.5965332031,-0.2847167969,-4.7875488281,-0.7926829268,1.1585365854,-1.0060975610,-12.2999385003,-36.5998170009,-40.7997960010
9477648821,20056,-2,0,8.5630371094,-0.2655761719,-4.8377929688,-0.8536585366,1.6463414634,-1.1280487805,-12.2999385003,-36.5998170009,-40.7997960010
9477657579,20057,-2,0,8.5821777344,-0.2631835938,-4.8186523438,-0.9146341463,1.8902439024,-1.1280487805,-12.2999385003,-36.5998170009,-40.7997960010
9477687721,20058,-2,0,8.5750000000,-0.2440429688,-4.7468750000,-0.9146341463,1.9207317073,-1.3414634146,-12.2999385003,-36.5998170009,-40.7997960010
9477720336,20059,-2,0,8.5534667969,-0.2799316406,-4.7396972656,-1.0975609756,2.1341463415,-0.7317073171,-12.2999385003,-36.5998170009,-40.7997960010
9477759364,20060,-2,0,8.6252441406,-0.2536132813,-4.7396972656,-1.1280487805,1.8902439024,-0.6402439024,-12.2999385003,-36.5998170009,-40.7997960010
9477781185,20061,-2,0,8.6348144531,-0.2033691406,-4.7253417969,-1.1280487805,1.2500000000,-0.9756097561,-11.6999415003,-37.1998140009,-42.4497877511
9477813725,20062,-2,0,8.6276367188,-0.2512207031,-4.7157714844,-1.0670731707,0.7926829268,-0.5487804878,-11.6999415003,-37.1998140009,-42.4497877511
9477845429,20063,-2,0,8.5462890625,-0.2344726563,-4.7516601563,-0.9146341463,1.3719512195,-0.3658536585,-11.6999415003,-37.1998140009,-42.4497877511
9477877837,20064,-2,0,8.6084960938,-0.2249023438,-4.7612304688,-0.7926829268,1.2804878049,-0.5182926829,-11.9999400003,-37.0498147509,-41.8497907510
9477937219,20065,-2,0,8.5797851563,-0.2536132813,-4.7325195313,-0.7926829268,1.1890243902,-0.2439024390,-11.9999400003,-37.0498147509,-41.8497907510
9477942354,20066,-2,0,8.5941406250,-0.3086425781,-4.7444824219,-1.3109756098,1.0670731707,-0.2743902439,-11.9999400003,-37.0498147509,-41.8497907510
9478003918,20067,-2,0,8.5750000000,-0.2631835938,-4.7588378906,-1.5243902439,0.8841463415,-0.4573170732,-10.1999490003,-37.1998140009,-40.6497967510
9478016523,20068,-2,0,8.5869628906,-0.2344726563,-4.7181640625,-1.1280487805,0.6707317073,-0.7012195122,-10.1999490003,-37.1998140009,-40.6497967510
9478033907,20069,-2,0,8.5630371094,-0.2464355469,-4.7660156250,-0.7926829268,0.8231707317,-0.7317073171,-10.1999490003,-37.1998140009,-40.6497967510
9478105102,20070,-2,0,8.5582519531,-0.2560058594,-4.7851562500,-0.6402439024,0.7317073171,-0.6707317073,-12.8999355003,-37.6498117509,-40.6497967510
9478114261,20071,2,0,8.5845703125,-0.2536132813,-4.7420898438,-0.8536585366,0.9756097561,-0.7012195122,-12.8999355003,-37.6498117509,-40.6497967510
9478161462,20072,2,0,8.5415039063,-0.2823242188,-4.7636230469,-1.0060975610,0.9756097561,-0.6097560976,-12.8999355003,-37.6498117509,-40.6497967510
9478167656,20073,2,0,8.5295410156,-0.2655761719,-4.7755859375,-1.0670731707,1.1890243902,-0.6402439024,-12.8999355003,-37.6498117509,-40.6497967510
9478196733,20074,2,0,8.5367187500,-0.2464355469,-4.7588378906,-1.0975609756,1.2804878049,-0.9756097561,-12.8999355003,-37.6498117509,-40.6497967510
9478231266,20075,2,0,8.5391113281,-0.2392578125,-4.7516601563,-0.9146341463,1.4634146341,-1.0975609756,-12.8999355003,-37.6498117509,-40.6497967510
9478248881,20076,2,0,8.5941406250,-0.2392578125,-4.7612304688,-0.8536585366,1.6158536585,-0.9756097561,-12.1499392503,-36.8998155009,-40.6497967510
9478295463,20077,2,0,8.5750000000,-0.2655761719,-4.6966308594,-0.7926829268,1.3719512195,-0.7621951220,-12.1499392503,-36.8998155009,-40.6497967510
9478308979,20078,2,0,8.5869628906,-0.2655761719,-4.7516601563,-0.9451219512,1.1280487805,-0.7012195122,-12.1499392503,-36.8998155009,-40.6497967510
9478352600,20079,2,0,8.5486816406,-0.2512207031,-4.7708007813,-1.1585365854,1.3719512195,-0.7926829268,-12.7499362503,-36.2998185009,-41.8497907510
9478369498,20080,2,0,8.5486816406,-0.2416503906,-4.7540527344,-0.9451219512,1.5548780488,-0.9146341463,-12.7499362503,-36.2998185009,-41.8497907510
9478406390,20081,2,0,8.5367187500,-0.2225097656,-4.7636230469,-0.6097560976,1.7987804878,-0.9756097561,-12.7499362503,-36.2998185009,-41.8497907510
9478459195,20082,2,0,8.5462890625,-0.1961914063,-4.7277343750,-0.5182926829,1.8597560976,-1.0975609756,-12.7499362503,-36.2998185009,-41.8497907510
9478482085,20083,2,0,8.6300292969,-0.2368652344,-4.6798828125,-1.0975609756,1.3109756098,-0.0914634146,-12.8999355003,-37.1998140009,-40.9497952510
9478512706,20084,2,0,8.6539550781,-0.2512207031,-4.6990234375,-1.3414634146,0.4573170732,0.1219512195,-12.8999355003,-37.1998140009,-40.9497952510
9478534371,20085,2,0,8.5558593750,-0.2416503906,-4.7492675781,-1.2804878049,0.2743902439,-0.1219512195,-12.8999355003,-37.1998140009,-40.9497952510
9478600991,20086,2,0,8.5127929688,-0.2416503906,-4.7755859375,-1.0365853659,0.3963414634,0.2743902439,-11.3999430003,-38.8498057510,-40.6497967510
9478608217,20087,2,0,8.4936523438,-0.2440429688,-4.7851562500,-0.8536585366,1.1280487805,0.0914634146,-11.3999430003,-38.8498057510,-40.6497967510
9478630343,20088,2,0,8.5319335938,-0.2799316406,-4.7971191406,-0.6707317073,1.6158536585,-0.3963414634,-11.3999430003,-38.8498057510,-40.6497967510
9478656506,20089,2,0,8.5893554688,-0.2895019531,-4.7995117188,-0.9756097561,1.5853658537,-0.3963414634,-11.3999430003,-38.8498057510,-40.6497967510
9478722748,20090,2,0,8.5678222656,-0.2918945313,-4.7516601563,-1.1890243902,1.8292682927,-0.3048780488,-11.3999430003,-38.8498057510,-40.6497967510
9478728502,20091,2,0,8.4912597656,-0.2631835938,-4.7516601563,-1.0670731707,1.9817073171,-0.9146341463,-11.3999430003,-38.8498057510,-40.6497967510
9478747650,20092,2,0,8.5797851563,-0.2607910156,-4.7396972656,-0.8536585366,2.0426829268,-0.5182926829,-11.3999430003,-36.8998155009,-41.9997900010
9478780212,20093,2,0,8.5941406250,-0.2679687500,-4.6870605469,-0.7012195122,1.9817073171,-0.1829268293,-11.3999430003,-36.8998155009,-41.9997900010
9478819309,20094,2,0,8.6276367188,-0.2990722656,-4.7109863281,-1.0670731707,1.4634146341,-0.5182926829,-11.3999430003,-36.8998155009,-41.9997900010
9478835216,20095,2,0,8.5989257813,-0.2942871094,-4.7062011719,-1.2500000000,0.9451219512,-0.4573170732,-11.5499422503,-38.2498087510,-42.2997885011
9478865966,20096,2,0,8.5367187500,-0.2679687500,-4.6942382813,-1.1890243902,1.0975609756,-0.4573170732,-11.5499422503,-38.2498087510,-42.2997885011
9478905453,20097,2,0,8.5367187500,-0.2583984375,-4.7373046875,-0.7621951220,1.5243902439,-0.6402439024,-11.5499422503,-38.2498087510,-42.2997885011
9478940197,20098,2,0,8.5845703125,-0.2631835938,-4.7277343750,-0.5182926829,1.3414634146,-0.3963414634,-12.1499392503,-36.4498177509,-41.2497937510
9478970451,20099,2,0,8.5845703125,-0.3086425781,-4.6703125000,-0.9451219512,1.1585365854,-0.1829268293,-12.1499392503,-36.4498177509,-41.2497937510
9479006680,20100,2,0,8.5606445313,-0.3445312500,-4.6990234375,-1.4634146341,0.9756097561,-0.4878048780,-12.1499392503,-36.4498177509,-41.2497937510
9479054299,20101,2,0,8.5438964844,-0.3014648438,-4.7373046875,-1.3414634146,0.8841463415,-0.7317073171,-11.2499437503,-37.4998125009,-41.5497922510
9479064079,20102,2,0,8.5773925781,-0.2464355469,-4.7277343750,-0.7317073171,0.8231707317,-0.7926829268,-11.2499437503,-37.4998125009,-41.5497922510
9479102578,20103,2,0,8.5750000000,-0.2703613281,-4.7612304688,-0.5487804878,1.0365853659,-0.7621951220,-11.2499437503,-37.4998125009,-41.5497922510
9479122606,20104,2,0,8.5630371094,-0.3110351563,-4.7636230469,-0.5792682927,1.1890243902,-0.7012195122,-11.2499437503,-37.4998125009,-41.5497922510
9479180002,20105,2,0,8.5367187500,-0.3014648438,-4.7420898438,-1.0365853659,1.2804878049,-1.0060975610,-10.6499467503,-37.1998140009,-41.2497937510
9479208952,20106,2,0,8.5343261719,-0.2703613281,-4.7660156250,-1.1280487805,1.5243902439,-1.0670731707,-10.6499467503,-37.1998140009,-41.2497937510
9479218099,20107,2,0,8.5606445313,-0.2416503906,-4.7540527344,-1.0060975610,1.5548780488,-0.9756097561,-10.6499467503,-37.1998140009,-41.2497937510
9479243792,20108,2,0,8.5893554688,-0.2416503906,-4.7373046875,-0.8841463415,1.5548780488,-0.8841463415,-10.6499467503,-37.1998140009,-41.2497937510
9479315053,20109,2,0,8.5869628906,-0.2703613281,-4.7038085938,-1.0365853659,1.1585365854,-0.8231707317,-10.6499467503,-37.1998140009,-41.2497937510
9479326505,20110,2,0,8.5726074219,-0.2560058594,-4.7325195313,-1.2500000000,1.1280487805,-0.7621951220,-10.6499467503,-37.1998140009,-41.2497937510
9479351557,20111,2,0,8.5438964844,-0.2655761719,-4.7468750000,-1.2195121951,1.3109756098,-0.7012195122,-10.6499467503,-37.9498102509,-40.9497952510
