steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
9397448793,18961,4,4,4,4,4,4,4,4,4,4
9397458016,18962,4,4,4,4,4,4,4,4,4,4
9397488337,18963,4,4,4,4,4,4,4,4,4,4
9397515922,18964,4,4,4,4,4,4,4,4,4,4
9397545901,18965,4,4,4,4,4,4,4,4,4,4
9397576815,18966,4,4,4,4,4,4,4,4,4,4
9397613435,18967,4,4,4,4,4,4,4,4,4,4
9397660889,18968,4,4,4,4,4,4,4,4,4,4
9397673190,18969,4,4,4,4,4,4,4,4,4,4
9397705289,18970,4,4,4,4,4,4,4,4,4,4
9397732329,18971,4,4,4,4,4,4,4,4,4,4
9397785123,18972,4,4,4,4,4,4,4,4,4,4
9397796489,18973,4,4,4,4,4,4,4,4,4,4
9397826494,18974,4,4,4,4,4,4,4,4,4,4
9397859536,18975,4,4,4,4,4,4,4,4,4,4
9397936033,18976,4,4,4,4,4,4,4,4,4,4
9397942219,18977,4,4,4,4,4,4,4,4,4,4
9397952340,18978,4,4,4,4,4,4,4,4,4,4
9397989750,18979,4,4,4,4,4,4,4,4,4,4
9398026054,18980,4,4,4,4,4,4,4,4,4,4
9398051180,18981,4,4,4,4,4,4,4,4,4,4
9398087364,18982,4,4,4,4,4,4,4,4,4,4
9398147225,18983,4,4,4,4,4,4,4,4,4,4
9398153463,18984,4,4,4,4,4,4,4,4,4,4
9398194866,18985,4,4,4,4,4,4,4,4,4,4
9398203986,18986,4,4,4,4,4,4,4,4,4,4
9398263713,18987,4,4,4,4,4,4,4,4,4,4
9398273532,18988,4,4,4,4,4,4,4,4,4,4
9398298550,18989,4,4,4,4,4,4,4,4,4,4
9398323871,18990,4,4,4,4,4,4,4,4,4,4
9398373116,18991,4,4,4,4,4,4,4,4,4,4
9398412456,18992,4,4,4,4,4,4,4,4,4,4
9398423572,18993,4,4,4,4,4,4,4,4,4,4
9398455997,18994,4,4,4,4,4,4,4,4,4,4
9398490888,18995,4,4,4,4,4,4,4,4,4,4
9398519689,18996,4,4,4,4,4,4,4,4,4,4
9398579953,18997,4,4,4,4,4,4,4,4,4,4
9398612432,18998,4,4,4,4,4,4,4,4,4,4
9398625669,18999,4,4,4,4,4,4,4,4,4,4
9398645227,19000,4,4,4,4,4,4,4,4,4,4
9398669790,19001,4,4,4,4,4,4,4,4,4,4
9398723706,19002,4,4,4,4,4,4,4,4,4,4
9398730527,19003,4,4,4,4,4,4,4,4,4,4
9398759493,19004,4,4,4,4,4,4,4,4,4,4
9398808811,19005,4,4,4,4,4,4,4,4,4,4
9398848679,19006,4,4,4,4,4,4,4,4,4,4
9398857459,19007,4,4,4,4,4,4,4,4,4,4
9398889807,19008,4,4,4,4,4,4,4,4,4,4
9398925110,19009,4,4,4,4,4,4,4,4,4,4
9398975182,19010,4,4,4,4,4,4,4,4,4,4
9398992164,19011,4,4,4,4,4,4,4,4,4,4
9399017047,19012,4,4,4,4,4,4,4,4,4,4
9399050992,19013,4,4,4,4,4,4,4,4,4,4
9399092373,19014,4,4,4,4,4,4,4,4,4,4
9399106206,19015,4,4,4,4,4,4,4,4,4,4
9399151685,19016,4,4,4,4,4,4,4,4,4,4
9399196550,19017,4,4,4,4,4,4,4,4,4,4
9399245201,19018,4,4,4,4,4,4,4,4,4,4
9399256092,19019,4,4,4,4,4,4,4,4,4,4
9399262471,19020,4,4,4,4,4,4,4,4,4,4
9399320560,19021,4,4,4,4,4,4,4,4,4,4
9399325018,19022,4,4,4,4,4,4,4,4,4,4
9399365266,19023,4,4,4,4,4,4,4,4,4,4
9399392470,19024,4,4,4,4,4,4,4,4,4,4
9399441019,19025,4,4,4,4,4,4,4,4,4,4
9399463606,19026,4,4,4,4,4,4,4,4,4,4
9399482759,19027,4,4,4,4,4,4,4,4,4,4
9399558750,19028,4,4,4,4,4,4,4,4,4,4
9399565573,19029,4,4,4,4,4,4,4,4,4,4
9399581405,19030,4,4,4,4,4,4,4,4,4,4
9399618669,19031,4,4,4,4,4,4,4,4,4,4
9399638575,19032,4,4,4,4,4,4,4,4,4,4
9399673174,19033,4,4,4,4,4,4,4,4,4,4
9399706318,19034,4,4,4,4,4,4,4,4,4,4
9399742263,19035,4,4,4,4,4,4,4,4,4,4
9399797331,19036,4,4,4,4,4,4,4,4,4,4
9399803674,19037,4,4,4,4,4,4,4,4,4,4
9399855723,19038,4,4,4,4,4,4,4,4,4,4
9399864800,19039,4,4,4,4,4,4,4,4,4,4
9399916178,19040,4,4,4,4,4,4,4,4,4,4
9399924799,19041,4,4,4,4,4,4,4,4,4,4
9399948646,19042,4,4,4,4,4,4,4,4,4,4
9399988567,19043,4,4,4,4,4,4,4,4,4,4
9400041367,19044,4,4,4,4,4,4,4,4,4,4
9400052396,19045,4,4,4,4,4,4,4,4,4,4
9400075957,19046,4,4,4,4,4,4,4,4,4,4
9400106509,19047,4,4,4,4,4,4,4,4,4,4
9400159810,19048,4,4,4,4,4,4,4,4,4,4
9400177757,19049,4,4,4,4,4,4,4,4,4,4
9400194659,19050,4,4,4,4,4,4,4,4,4,4
9400253046,19051,4,4,4,4,4,4,4,4,4,4
9400278580,19052,4,4,4,4,4,4,4,4,4,4
9400296524,19053,4,4,4,4,4,4,4,4,4,4
9400342965,19054,4,4,4,4,4,4,4,4,4,4
9400349586,19055,4,4,4,4,4,4,4,4,4,4
9400395319,19056,4,4,4,4,4,4,4,4,4,4
9400423855,19057,4,4,4,4,4,4,4,4,4,4
9400458761,19058,4,4,4,4,4,4,4,4,4,4
9400515293,19059,4,4,4,4,4,4,4,4,4,4
9400522545,19060,4,4,4,4,4,4,4,4,4,4
9400547503,19061,4,4,4,4,4,4,4,4,4,4
9400580363,19062,4,4,4,4,4,4,4,4,4,4
9400617807,19063,4,4,4,4,4,4,4,4,4,4
9400643336,19064,4,4,4,4,4,4,4,4,4,4
9400672640,19065,4,4,4,4,4,4,4,4,4,4
9400704088,19066,4,4,4,4,4,4,4,4,4,4
9400734967,19067,4,4,4,4,4,4,4,4,4,4
9400761844,19068,4,4,4,4,4,4,4,4,4,4
9400798681,19069,4,4,4,4,4,4,4,4,4,4
9400852737,19070,4,4,4,4,4,4,4,4,4,4
9400866467,19071,4,4,4,4,4,4,4,4,4,4
9400894318,19072,4,4,4,4,4,4,4,4,4,4
9400926859,19073,4,4,4,4,4,4,4,4,4,4
9400977427,19074,4,4,4,4,4,4,4,4,4,4
9401005561,19075,4,4,4,4,4,4,4,4,4,4
