steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
9397448793,18961,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9397458016,18962,-2,0,8.6013183594,-0.3852050781,-4.6822753906,-0.9451219512,1.7073170732,-0.4573170732,-13.6499317503,-37.1998140009,-41.2497937510
9397488337,18963,-2,0,8.5534667969,-0.5024414063,-4.6870605469,-3.3841463415,0.2134146341,0.9756097561,-10.9499452503,-38.3998080010,-40.1997990010
9397515922,18964,-2,0,8.5630371094,-0.4498046875,-4.7995117188,-2.7743902439,0.4573170732,0.0000000000,-10.9499452503,-38.3998080010,-40.1997990010
9397545901,18965,-2,0,8.5797851563,-0.4569824219,-4.7779785156,-1.7378048780,0.7317073171,-0.8841463415,-10.9499452503,-38.3998080010,-40.1997990010
9397576815,18966,-2,0,8.6372070313,-0.4498046875,-4.7229492188,-1.4024390244,0.8536585366,-1.6463414634,-11.2499437503,-36.2998185009,-41.0997945010
9397613435,18967,-2,0,8.5558593750,-0.4450195313,-4.7540527344,-1.5548780488,0.9756097561,-2.3170731707,-11.2499437503,-36.2998185009,-41.0997945010
9397660889,18968,-2,0,8.5558593750,-0.4450195313,-4.7540527344,-1.5548780488,2.0121951220,-2.8048780488,-11.2499437503,-36.2998185009,-41.0997945010
9397673190,18969,-2,0,8.6084960938,-0.3995605469,-4.7349121094,-1.4634146341,2.8963414634,-2.4390243902,-12.2999385003,-38.5498072510,-42.2997885011
9397705289,18970,-2,0,8.6707031250,-0.3708496094,-4.6798828125,-1.0365853659,2.3170731707,-3.1707317073,-12.2999385003,-38.5498072510,-42.2997885011
9397732329,18971,-2,0,8.6515625000,-0.3995605469,-4.6655273438,-0.5792682927,1.5243902439,-4.2073170732,-12.2999385003,-38.5498072510,-42.2997885011
9397785123,18972,-2,0,8.6683105469,-0.3541015625,-4.6655273438,0.1829268293,0.9451219512,-4.2987804878,-11.3999430003,-36.1498192509,-39.8998005010
9397796489,18973,-2,0,8.6252441406,-0.3086425781,-4.6368164063,0.5182926829,0.9756097561,-4.3902439024,-11.3999430003,-36.1498192509,-39.8998005010
9397826494,18974,-2,0,8.6539550781,-0.3062500000,-4.6368164063,0.3658536585,0.3048780488,-4.4817073171,-11.3999430003,-36.1498192509,-39.8998005010
9397859536,18975,-2,0,8.6802734375,-0.3229980469,-4.6846679688,-0.2439024390,-0.0609756098,-4.1463414634,-11.3999430003,-36.1498192509,-39.8998005010
9397936033,18976,-2,0,8.6635253906,-0.3038574219,-4.6679199219,-0.4573170732,0.0914634146,-3.4756097561,-11.3999430003,-36.1498192509,-39.8998005010
9397942219,18977,-2,0,8.6108886719,-0.2775390625,-4.7062011719,-0.6707317073,0.6707317073,-2.3475609756,-11.3999430003,-36.1498192509,-39.8998005010
9397952340,18978,-2,0,8.6372070313,-0.2536132813,-4.7038085938,-0.4878048780,0.9146341463,-2.0426829268,-12.8999355003,-36.8998155009,-40.9497952510
9397989750,18979,-2,0,8.6156738281,-0.2536132813,-4.6798828125,-0.1829268293,0.8841463415,-1.8292682927,-12.8999355003,-36.8998155009,-40.9497952510
9398026054,18980,-2,0,8.6084960938,-0.2655761719,-4.6870605469,-0.3963414634,1.4939024390,-1.6768292683,-12.8999355003,-36.8998155009,-40.9497952510
9398051180,18981,-2,0,8.6491699219,-0.3110351563,-4.6846679688,-0.9146341463,1.4939024390,-1.5548780488,-12.8999355003,-36.8998155009,-40.9497952510
9398087364,18982,-2,0,8.6276367188,-0.2847167969,-4.6296386719,-1.3109756098,1.6768292683,-1.6158536585,-10.6499467503,-36.4498177509,-41.6997915010
9398147225,18983,-2,0,8.6707031250,-0.2655761719,-4.6033203125,-1.2500000000,0.9756097561,-1.4939024390,-10.6499467503,-36.4498177509,-41.6997915010
9398153463,18984,-2,0,8.7233398438,-0.2272949219,-4.6511718750,-0.9451219512,-0.0304878049,-1.2195121951,-10.6499467503,-36.4498177509,-41.6997915010
9398194866,18985,-2,0,8.6683105469,-0.2512207031,-4.6655273438,-1.1280487805,-0.7926829268,-1.1585365854,-11.6999415003,-37.9498102509,-41.9997900010
9398203986,18986,-2,0,8.5869628906,-0.2895019531,-4.6870605469,-1.3719512195,-0.6402439024,-1.5548780488,-11.6999415003,-37.9498102509,-41.9997900010
9398263713,18987,-2,0,8.5343261719,-0.2153320313,-4.7038085938,-1.5853658537,0.3963414634,-1.7987804878,-11.6999415003,-37.9498102509,-41.9997900010
9398273532,18988,-2,0,8.6539550781,-0.1818359375,-4.7229492188,-0.9146341463,0.2134146341,-2.1036585366,-12.4499377503,-37.6498117509,-42.4497877511
9398298550,18989,-2,0,8.7041992188,-0.1937988281,-4.6918457031,-0.7317073171,-0.3658536585,-1.2500000000,-12.4499377503,-37.6498117509,-42.4497877511
9398323871,18990,-2,0,8.6108886719,-0.2368652344,-4.7157714844,-0.9146341463,-0.7926829268,-0.7012195122,-12.4499377503,-37.6498117509,-42.4497877511
9398373116,18991,-2,0,8.5606445313,-0.2081542969,-4.7636230469,-0.9756097561,-0.5182926829,-0.4573170732,-12.8999355003,-38.3998080010,-40.6497967510
9398412456,18992,2,0,8.5462890625,-0.2081542969,-4.7325195313,-0.7926829268,0.0000000000,-0.0304878049,-12.8999355003,-38.3998080010,-40.6497967510
9398423572,18993,2,0,8.6204589844,-0.2560058594,-4.7564453125,-0.8536585366,0.4878048780,0.3048780488,-12.8999355003,-38.3998080010,-40.6497967510
9398455997,18994,2,0,8.6180664063,-0.2895019531,-4.7444824219,-1.3109756098,0.2743902439,0.3048780488,-12.1499392503,-36.8998155009,-40.1997990010
9398490888,18995,2,0,8.5965332031,-0.2655761719,-4.7157714844,-1.6463414634,0.3353658537,0.3353658537,-12.1499392503,-36.8998155009,-40.1997990010
9398519689,18996,2,0,8.5295410156,-0.2201171875,-4.7492675781,-1.1585365854,0.3048780488,0.3048780488,-12.1499392503,-36.8998155009,-40.1997990010
9398579953,18997,2,0,8.5726074219,-0.2320800781,-4.7660156250,-0.3963414634,1.0060975610,-0.8841463415,-11.5499422503,-38.2498087510,-41.8497907510
9398612432,18998,2,0,8.5989257813,-0.2583984375,-4.6990234375,0.0914634146,1.3414634146,-1.0060975610,-11.5499422503,-38.2498087510,-41.8497907510
9398625669,18999,2,0,8.6252441406,-0.2583984375,-4.7062011719,0.2743902439,0.8841463415,-1.5548780488,-11.5499422503,-38.2498087510,-41.8497907510
9398645227,19000,2,0,8.5797851563,-0.2703613281,-4.7205566406,-0.4268292683,0.8536585366,-1.7378048780,-11.9999400003,-37.7998110009,-41.8497907510
9398669790,19001,2,0,8.5654296875,-0.2249023438,-4.7014160156,-0.6402439024,1.0060975610,-1.2804878049,-11.9999400003,-37.7998110009,-41.8497907510
9398723706,19002,2,0,8.5989257813,-0.2177246094,-4.7109863281,-0.7621951220,1.2804878049,-0.9756097561,-11.9999400003,-37.7998110009,-41.8497907510
