steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
9641849858,22020,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9641885390,22021,-2,0,8.6324218750,-0.1674804688,-4.5817871094,-1.0975609756,1.6158536585,-0.3048780488,-12.7499362503,-37.4998125009,-39.2998035010
9641947639,22022,-2,0,8.7616210938,-0.7010253906,-4.0314941406,-0.7012195122,1.5548780488,-0.9146341463,-13.4999325003,-39.2998035010,-39.2998035010
9641952950,22023,-2,0,8.8836425781,-0.6914550781,-4.1104492188,-0.7012195122,1.8902439024,-1.1890243902,-13.4999325003,-39.2998035010,-39.2998035010
9641980486,22024,-2,0,8.9386718750,-0.6651367188,-4.1248046875,-0.7317073171,1.7682926829,-1.2500000000,-13.4999325003,-39.2998035010,-39.2998035010
9642013932,22025,-2,0,8.9362792969,-0.6699218750,-4.0625976563,-0.7317073171,1.4634146341,-1.0365853659,-13.1999340003,-38.8498057510,-40.6497967510
9642067899,22026,-2,0,8.9123535156,-0.6627441406,-4.0721679688,-0.8231707317,1.4024390244,-0.9146341463,-13.1999340003,-38.8498057510,-40.6497967510
9642078049,22027,-2,0,8.9314941406,-0.6579589844,-4.0889160156,-0.9451219512,1.2195121951,-1.3109756098,-13.1999340003,-38.8498057510,-40.6497967510
9642108447,22028,-2,0,8.9314941406,-0.6579589844,-4.0889160156,-1.1585365854,1.2500000000,-1.0060975610,-12.7499362503,-39.2998035010,-41.5497922510
9642139825,22029,-2,0,8.8597167969,-0.6077148438,-4.0386718750,-1.0060975610,1.9207317073,-1.0365853659,-12.7499362503,-39.2998035010,-41.5497922510
9642196050,22030,-2,0,8.9075683594,-0.6148925781,-4.0697753906,-0.9146341463,1.9512195122,-0.5182926829,-12.7499362503,-39.2998035010,-41.5497922510
9642201495,22031,-2,0,9.0008789063,-0.6531738281,-4.0506347656,-1.1280487805,1.0365853659,0.7621951220,-13.4999325003,-39.2998035010,-40.3497982510
9642243889,22032,-2,0,8.9697753906,-0.6244628906,-4.0410644531,-1.1585365854,0.0914634146,0.4878048780,-13.4999325003,-39.2998035010,-40.3497982510
9642249788,22033,-2,0,8.8932128906,-0.6890625000,-4.0841308594,-1.4024390244,0.1829268293,0.8231707317,-13.4999325003,-39.2998035010,-40.3497982510
9642323948,22034,-2,0,8.8788574219,-0.7082031250,-4.1200195313,-1.5853658537,0.7621951220,0.7317073171,-13.4999325003,-39.2998035010,-40.3497982510
9642333825,22035,-2,0,8.8956054688,-0.6723144531,-4.0721679688,-1.4329268293,0.9451219512,0.0304878049,-13.4999325003,-39.2998035010,-40.3497982510
9642351806,22036,-2,0,8.9602050781,-0.7082031250,-4.0889160156,-1.2500000000,0.8536585366,-0.1219512195,-13.4999325003,-39.2998035010,-40.3497982510
9642382098,22037,-2,0,8.9267089844,-0.7082031250,-4.0960937500,-1.2195121951,0.7621951220,-0.1829268293,-13.9499302503,-40.6497967510,-41.2497937510
9642455415,22038,-2,0,8.8262207031,-0.6890625000,-4.0984863281,-1.0975609756,1.1890243902,-1.1585365854,-13.9499302503,-40.6497967510,-41.2497937510
9642459132,22039,-2,0,8.8645019531,-0.6842773438,-4.0721679688,-1.0670731707,1.4939024390,-1.0670731707,-13.9499302503,-40.6497967510,-41.2497937510
