steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
9745782627,23322,4,4,4,4,4,4,4,4,4,4
9745813086,23323,4,4,4,4,4,4,4,4,4,4
9745860315,23324,4,4,4,4,4,4,4,4,4,4
9745899624,23325,4,4,4,4,4,4,4,4,4,4
9745906057,23326,4,4,4,4,4,4,4,4,4,4
9745934301,23327,4,4,4,4,4,4,4,4,4,4
9745974128,23328,4,4,4,4,4,4,4,4,4,4
9746026892,23329,4,4,4,4,4,4,4,4,4,4
9746032482,23330,4,4,4,4,4,4,4,4,4,4
9746071765,23331,4,4,4,4,4,4,4,4,4,4
9746101681,23332,4,4,4,4,4,4,4,4,4,4
9746135421,23333,4,4,4,4,4,4,4,4,4,4
9746153253,23334,4,4,4,4,4,4,4,4,4,4
9746186638,23335,4,4,4,4,4,4,4,4,4,4
9746214343,23336,4,4,4,4,4,4,4,4,4,4
9746287948,23337,4,4,4,4,4,4,4,4,4,4
9746293155,23338,4,4,4,4,4,4,4,4,4,4
9746306717,23339,4,4,4,4,4,4,4,4,4,4
9746340901,23340,4,4,4,4,4,4,4,4,4,4
9746393236,23341,4,4,4,4,4,4,4,4,4,4
9746402161,23342,4,4,4,4,4,4,4,4,4,4
9746431056,23343,4,4,4,4,4,4,4,4,4,4
9746502368,23344,4,4,4,4,4,4,4,4,4,4
9746509475,23345,4,4,4,4,4,4,4,4,4,4
9746531909,23346,4,4,4,4,4,4,4,4,4,4
9746571429,23347,4,4,4,4,4,4,4,4,4,4
9746608261,23348,4,4,4,4,4,4,4,4,4,4
9746628259,23349,4,4,4,4,4,4,4,4,4,4
9746650571,23350,4,4,4,4,4,4,4,4,4,4
9746729614,23351,4,4,4,4,4,4,4,4,4,4
9746751421,23352,4,4,4,4,4,4,4,4,4,4
9746769469,23353,4,4,4,4,4,4,4,4,4,4
9746793178,23354,4,4,4,4,4,4,4,4,4,4
9746805494,23355,4,4,4,4,4,4,4,4,4,4
9746848836,23356,4,4,4,4,4,4,4,4,4,4
9746908049,23357,4,4,4,4,4,4,4,4,4,4
9746914505,23358,4,4,4,4,4,4,4,4,4,4
9746933198,23359,4,4,4,4,4,4,4,4,4,4
9746961557,23360,4,4,4,4,4,4,4,4,4,4
9747008709,23361,4,4,4,4,4,4,4,4,4,4
9747033449,23362,4,4,4,4,4,4,4,4,4,4
9747094525,23363,4,4,4,4,4,4,4,4,4,4
9747113497,23364,4,4,4,4,4,4,4,4,4,4
9747117681,23365,4,4,4,4,4,4,4,4,4,4
9747159385,23366,4,4,4,4,4,4,4,4,4,4
9747205614,23367,4,4,4,4,4,4,4,4,4,4
9747220558,23368,4,4,4,4,4,4,4,4,4,4
9747236454,23369,4,4,4,4,4,4,4,4,4,4
9747315631,23370,4,4,4,4,4,4,4,4,4,4
9747324514,23371,4,4,4,4,4,4,4,4,4,4
9747369396,23372,4,4,4,4,4,4,4,4,4,4
9747446065,23373,4,4,4,4,4,4,4,4,4,4
9747453012,23374,4,4,4,4,4,4,4,4,4,4
9747462023,23375,4,4,4,4,4,4,4,4,4,4
9747470808,23376,4,4,4,4,4,4,4,4,4,4
9747497990,23377,4,4,4,4,4,4,4,4,4,4
9747532952,23378,4,4,4,4,4,4,4,4,4,4
9747558140,23379,4,4,4,4,4,4,4,4,4,4
9747623017,23380,4,4,4,4,4,4,4,4,4,4
9747627796,23381,4,4,4,4,4,4,4,4,4,4
9747655669,23382,4,4,4,4,4,4,4,4,4,4
9747725516,23383,4,4,4,4,4,4,4,4,4,4
9747731861,23384,4,4,4,4,4,4,4,4,4,4
9747749354,23385,4,4,4,4,4,4,4,4,4,4
9747802164,23386,4,4,4,4,4,4,4,4,4,4
9747831837,23387,4,4,4,4,4,4,4,4,4,4
9747844524,23388,4,4,4,4,4,4,4,4,4,4
9747872380,23389,4,4,4,4,4,4,4,4,4,4
9747928749,23390,4,4,4,4,4,4,4,4,4,4
9747936110,23391,4,4,4,4,4,4,4,4,4,4
9747971077,23392,4,4,4,4,4,4,4,4,4,4
9748024590,23393,4,4,4,4,4,4,4,4,4,4
9748045242,23394,4,4,4,4,4,4,4,4,4,4
9748057255,23395,4,4,4,4,4,4,4,4,4,4
9748114465,23396,4,4,4,4,4,4,4,4,4,4
9748144478,23397,4,4,4,4,4,4,4,4,4,4
9748153177,23398,4,4,4,4,4,4,4,4,4,4
9748180953,23399,4,4,4,4,4,4,4,4,4,4
9748262398,23400,4,4,4,4,4,4,4,4,4,4
9748268278,23401,4,4,4,4,4,4,4,4,4,4
9748328417,23402,4,4,4,4,4,4,4,4,4,4
9748339620,23403,4,4,4,4,4,4,4,4,4,4
9748345579,23404,4,4,4,4,4,4,4,4,4,4
9748384600,23405,4,4,4,4,4,4,4,4,4,4
9748446378,23406,4,4,4,4,4,4,4,4,4,4
9748451045,23407,4,4,4,4,4,4,4,4,4,4
9748466345,23408,4,4,4,4,4,4,4,4,4,4
9748549449,23409,4,4,4,4,4,4,4,4,4,4
9748553146,23410,4,4,4,4,4,4,4,4,4,4
9748558458,23411,4,4,4,4,4,4,4,4,4,4
9748588634,23412,4,4,4,4,4,4,4,4,4,4
9748668162,23413,4,4,4,4,4,4,4,4,4,4
9748681040,23414,4,4,4,4,4,4,4,4,4,4
9748685757,23415,4,4,4,4,4,4,4,4,4,4
9748769499,23416,4,4,4,4,4,4,4,4,4,4
9748784437,23417,4,4,4,4,4,4,4,4,4,4
9748794517,23418,4,4,4,4,4,4,4,4,4,4
9748819556,23419,4,4,4,4,4,4,4,4,4,4
9748865227,23420,4,4,4,4,4,4,4,4,4,4
9748875013,23421,4,4,4,4,4,4,4,4,4,4
9748903196,23422,4,4,4,4,4,4,4,4,4,4
9748986520,23423,4,4,4,4,4,4,4,4,4,4
9748996513,23424,4,4,4,4,4,4,4,4,4,4
9748999356,23425,4,4,4,4,4,4,4,4,4,4
9749061375,23426,4,4,4,4,4,4,4,4,4,4
9749101250,23427,4,4,4,4,4,4,4,4,4,4
9749106975,23428,4,4,4,4,4,4,4,4,4,4
9749132738,23429,4,4,4,4,4,4,4,4,4,4
9749157142,23430,4,4,4,4,4,4,4,4,4,4
9749237210,23431,4,4,4,4,4,4,4,4,4,4
9749295401,23432,4,4,4,4,4,4,4,4,4,4
9749356360,23433,4,4,4,4,4,4,4,4,4,4
9749369301,23434,4,4,4,4,4,4,4,4,4,4
9749376088,23435,4,4,4,4,4,4,4,4,4,4
9749382258,23436,4,4,4,4,4,4,4,4,4,4
9749412338,23437,4,4,4,4,4,4,4,4,4,4
9749416783,23438,4,4,4,4,4,4,4,4,4,4
9749479475,23439,4,4,4,4,4,4,4,4,4,4
9749486053,23440,4,4,4,4,4,4,4,4,4,4
9749512350,23441,4,4,4,4,4,4,4,4,4,4
9749518274,23442,4,4,4,4,4,4,4,4,4,4
9749576069,23443,4,4,4,4,4,4,4,4,4,4
9749598356,23444,4,4,4,4,4,4,4,4,4,4
9749617878,23445,4,4,4,4,4,4,4,4,4,4
9749680185,23446,4,4,4,4,4,4,4,4,4,4
9749689394,23447,4,4,4,4,4,4,4,4,4,4
9749716925,23448,4,4,4,4,4,4,4,4,4,4
9749744303,23449,4,4,4,4,4,4,4,4,4,4
9749797007,23450,4,4,4,4,4,4,4,4,4,4
9749800359,23451,4,4,4,4,4,4,4,4,4,4
9749858180,23452,4,4,4,4,4,4,4,4,4,4
9749876158,23453,4,4,4,4,4,4,4,4,4,4
9749950678,23454,4,4,4,4,4,4,4,4,4,4
9749960720,23455,4,4,4,4,4,4,4,4,4,4
9749975480,23456,4,4,4,4,4,4,4,4,4,4
9749991714,23457,4,4,4,4,4,4,4,4,4,4
9750031817,23458,4,4,4,4,4,4,4,4,4,4
9750074011,23459,4,4,4,4,4,4,4,4,4,4
9750105633,23460,4,4,4,4,4,4,4,4,4,4
9750122249,23461,4,4,4,4,4,4,4,4,4,4
9750163785,23462,4,4,4,4,4,4,4,4,4,4
9750186439,23463,4,4,4,4,4,4,4,4,4,4
9750217215,23464,4,4,4,4,4,4,4,4,4,4
9750308002,23465,4,4,4,4,4,4,4,4,4,4
9750314491,23466,4,4,4,4,4,4,4,4,4,4
9750319219,23467,4,4,4,4,4,4,4,4,4,4
9750337577,23468,4,4,4,4,4,4,4,4,4,4
9750391788,23469,4,4,4,4,4,4,4,4,4,4
9750416095,23470,4,4,4,4,4,4,4,4,4,4
9750432276,23471,4,4,4,4,4,4,4,4,4,4
9750491284,23472,4,4,4,4,4,4,4,4,4,4
9750516068,23473,4,4,4,4,4,4,4,4,4,4
9750536848,23474,4,4,4,4,4,4,4,4,4,4
9750594190,23475,4,4,4,4,4,4,4,4,4,4
9750596792,23476,4,4,4,4,4,4,4,4,4,4
9750628229,23477,4,4,4,4,4,4,4,4,4,4
9750651857,23478,4,4,4,4,4,4,4,4,4,4
9750694785,23479,4,4,4,4,4,4,4,4,4,4
9750714474,23480,4,4,4,4,4,4,4,4,4,4
9750740395,23481,4,4,4,4,4,4,4,4,4,4
9750792238,23482,4,4,4,4,4,4,4,4,4,4
9750808145,23483,4,4,4,4,4,4,4,4,4,4
9750834288,23484,4,4,4,4,4,4,4,4,4,4
9750859022,23485,4,4,4,4,4,4,4,4,4,4
9750916110,23486,4,4,4,4,4,4,4,4,4,4
9750940608,23487,4,4,4,4,4,4,4,4,4,4
9751008063,23488,4,4,4,4,4,4,4,4,4,4
9751010452,23489,4,4,4,4,4,4,4,4,4,4
9751034508,23490,4,4,4,4,4,4,4,4,4,4
9751061946,23491,4,4,4,4,4,4,4,4,4,4
