steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
9808759162,23494,4,4,4,4,4,4,4,4,4,4
9808780451,23495,4,4,4,4,4,4,4,4,4,4
9808863148,23496,4,4,4,4,4,4,4,4,4,4
9808870415,23497,4,4,4,4,4,4,4,4,4,4
9808876077,23498,4,4,4,4,4,4,4,4,4,4
9808908175,23499,4,4,4,4,4,4,4,4,4,4
9808977046,23500,4,4,4,4,4,4,4,4,4,4
9808981966,23501,4,4,4,4,4,4,4,4,4,4
9809000455,23502,4,4,4,4,4,4,4,4,4,4
9809064093,23503,4,4,4,4,4,4,4,4,4,4
9809094044,23504,4,4,4,4,4,4,4,4,4,4
9809099330,23505,4,4,4,4,4,4,4,4,4,4
9809134933,23506,4,4,4,4,4,4,4,4,4,4
9809154119,23507,4,4,4,4,4,4,4,4,4,4
9809209173,23508,4,4,4,4,4,4,4,4,4,4
9809282029,23509,4,4,4,4,4,4,4,4,4,4
9809286878,23510,4,4,4,4,4,4,4,4,4,4
9809300298,23511,4,4,4,4,4,4,4,4,4,4
9809376454,23512,4,4,4,4,4,4,4,4,4,4
9809381363,23513,4,4,4,4,4,4,4,4,4,4
9809386823,23514,4,4,4,4,4,4,4,4,4,4
9809404973,23515,4,4,4,4,4,4,4,4,4,4
9809493289,23516,4,4,4,4,4,4,4,4,4,4
9809502117,23517,4,4,4,4,4,4,4,4,4,4
9809510744,23518,4,4,4,4,4,4,4,4,4,4
9809525478,23519,4,4,4,4,4,4,4,4,4,4
9809581101,23520,4,4,4,4,4,4,4,4,4,4
9809594633,23521,4,4,4,4,4,4,4,4,4,4
9809633049,23522,4,4,4,4,4,4,4,4,4,4
9809679244,23523,4,4,4,4,4,4,4,4,4,4
9809704317,23524,4,4,4,4,4,4,4,4,4,4
9809727935,23525,4,4,4,4,4,4,4,4,4,4
9809763071,23526,4,4,4,4,4,4,4,4,4,4
9809806841,23527,4,4,4,4,4,4,4,4,4,4
9809812443,23528,4,4,4,4,4,4,4,4,4,4
9809852130,23529,4,4,4,4,4,4,4,4,4,4
9809876156,23530,4,4,4,4,4,4,4,4,4,4
9809929545,23531,4,4,4,4,4,4,4,4,4,4
9809935147,23532,4,4,4,4,4,4,4,4,4,4
9809984386,23533,4,4,4,4,4,4,4,4,4,4
9810004349,23534,4,4,4,4,4,4,4,4,4,4
9810041036,23535,4,4,4,4,4,4,4,4,4,4
9810070499,23536,4,4,4,4,4,4,4,4,4,4
9810104535,23537,4,4,4,4,4,4,4,4,4,4
9810125425,23538,4,4,4,4,4,4,4,4,4,4
9810192030,23539,4,4,4,4,4,4,4,4,4,4
9810197883,23540,4,4,4,4,4,4,4,4,4,4
9810216672,23541,4,4,4,4,4,4,4,4,4,4
9810248084,23542,4,4,4,4,4,4,4,4,4,4
9810296974,23543,4,4,4,4,4,4,4,4,4,4
9810316811,23544,4,4,4,4,4,4,4,4,4,4
9810338421,23545,4,4,4,4,4,4,4,4,4,4
9810400513,23546,4,4,4,4,4,4,4,4,4,4
9810409522,23547,4,4,4,4,4,4,4,4,4,4
9810441179,23548,4,4,4,4,4,4,4,4,4,4
9810522295,23549,4,4,4,4,4,4,4,4,4,4
9810533068,23550,4,4,4,4,4,4,4,4,4,4
9810539408,23551,4,4,4,4,4,4,4,4,4,4
9810588192,23552,4,4,4,4,4,4,4,4,4,4
9810599868,23553,4,4,4,4,4,4,4,4,4,4
9810632987,23554,4,4,4,4,4,4,4,4,4,4
9810655594,23555,4,4,4,4,4,4,4,4,4,4
9810700567,23556,4,4,4,4,4,4,4,4,4,4
9810775654,23557,4,4,4,4,4,4,4,4,4,4
9810779294,23558,4,4,4,4,4,4,4,4,4,4
9810809459,23559,4,4,4,4,4,4,4,4,4,4
9810822198,23560,4,4,4,4,4,4,4,4,4,4
9810874604,23561,4,4,4,4,4,4,4,4,4,4
9810882785,23562,4,4,4,4,4,4,4,4,4,4
9810909290,23563,4,4,4,4,4,4,4,4,4,4
9810940961,23564,4,4,4,4,4,4,4,4,4,4
9810998343,23565,4,4,4,4,4,4,4,4,4,4
9811008283,23566,4,4,4,4,4,4,4,4,4,4
9811028201,23567,4,4,4,4,4,4,4,4,4,4
9811061039,23568,4,4,4,4,4,4,4,4,4,4
9811124586,23569,4,4,4,4,4,4,4,4,4,4
9811126630,23570,4,4,4,4,4,4,4,4,4,4
9811159429,23571,4,4,4,4,4,4,4,4,4,4
9811238469,23572,4,4,4,4,4,4,4,4,4,4
9811245652,23573,4,4,4,4,4,4,4,4,4,4
9811253074,23574,4,4,4,4,4,4,4,4,4,4
9811271958,23575,4,4,4,4,4,4,4,4,4,4
9811338483,23576,4,4,4,4,4,4,4,4,4,4
9811402016,23577,4,4,4,4,4,4,4,4,4,4
9811421031,23578,4,4,4,4,4,4,4,4,4,4
9811426395,23579,4,4,4,4,4,4,4,4,4,4
9811455476,23580,4,4,4,4,4,4,4,4,4,4
9811469509,23581,4,4,4,4,4,4,4,4,4,4
9811504690,23582,4,4,4,4,4,4,4,4,4,4
9811534470,23583,4,4,4,4,4,4,4,4,4,4
9811589399,23584,4,4,4,4,4,4,4,4,4,4
9811613211,23585,4,4,4,4,4,4,4,4,4,4
9811629433,23586,4,4,4,4,4,4,4,4,4,4
9811655587,23587,4,4,4,4,4,4,4,4,4,4
9811712140,23588,4,4,4,4,4,4,4,4,4,4
9811731879,23589,4,4,4,4,4,4,4,4,4,4
9811757124,23590,4,4,4,4,4,4,4,4,4,4
9811795891,23591,4,4,4,4,4,4,4,4,4,4
9811822099,23592,4,4,4,4,4,4,4,4,4,4
9811843466,23593,4,4,4,4,4,4,4,4,4,4
9811875486,23594,4,4,4,4,4,4,4,4,4,4
9811926158,23595,4,4,4,4,4,4,4,4,4,4
9811931492,23596,4,4,4,4,4,4,4,4,4,4
9811965964,23597,4,4,4,4,4,4,4,4,4,4
9812061634,23598,4,4,4,4,4,4,4,4,4,4
9812068159,23599,4,4,4,4,4,4,4,4,4,4
9812074452,23600,4,4,4,4,4,4,4,4,4,4
9812103045,23601,4,4,4,4,4,4,4,4,4,4
9812167546,23602,4,4,4,4,4,4,4,4,4,4
9812173037,23603,4,4,4,4,4,4,4,4,4,4
9812178155,23604,4,4,4,4,4,4,4,4,4,4
9812248419,23605,4,4,4,4,4,4,4,4,4,4
9812257511,23606,4,4,4,4,4,4,4,4,4,4
9812291153,23607,4,4,4,4,4,4,4,4,4,4
9812325305,23608,4,4,4,4,4,4,4,4,4,4
9812341651,23609,4,4,4,4,4,4,4,4,4,4
9812424670,23610,4,4,4,4,4,4,4,4,4,4
9812430470,23611,4,4,4,4,4,4,4,4,4,4
9812446140,23612,4,4,4,4,4,4,4,4,4,4
9812465432,23613,4,4,4,4,4,4,4,4,4,4
9812518433,23614,4,4,4,4,4,4,4,4,4,4
9812532293,23615,4,4,4,4,4,4,4,4,4,4
9812562241,23616,4,4,4,4,4,4,4,4,4,4
9812590198,23617,4,4,4,4,4,4,4,4,4,4
9812676630,23618,4,4,4,4,4,4,4,4,4,4
9812697270,23619,4,4,4,4,4,4,4,4,4,4
9812719369,23620,4,4,4,4,4,4,4,4,4,4
9812723110,23621,4,4,4,4,4,4,4,4,4,4
9812756078,23622,4,4,4,4,4,4,4,4,4,4
9812779594,23623,4,4,4,4,4,4,4,4,4,4
9812839561,23624,4,4,4,4,4,4,4,4,4,4
9812846260,23625,4,4,4,4,4,4,4,4,4,4
9812878524,23626,4,4,4,4,4,4,4,4,4,4
9812913324,23627,4,4,4,4,4,4,4,4,4,4
9812952537,23628,4,4,4,4,4,4,4,4,4,4
9812987239,23629,4,4,4,4,4,4,4,4,4,4
9812994313,23630,4,4,4,4,4,4,4,4,4,4
9813036923,23631,4,4,4,4,4,4,4,4,4,4
9813068618,23632,4,4,4,4,4,4,4,4,4,4
9813098252,23633,4,4,4,4,4,4,4,4,4,4
9813118376,23634,4,4,4,4,4,4,4,4,4,4
9813161541,23635,4,4,4,4,4,4,4,4,4,4
9813185933,23636,4,4,4,4,4,4,4,4,4,4
9813257446,23637,4,4,4,4,4,4,4,4,4,4
9813289528,23638,4,4,4,4,4,4,4,4,4,4
9813293103,23639,4,4,4,4,4,4,4,4,4,4
9813310980,23640,4,4,4,4,4,4,4,4,4,4
9813365222,23641,4,4,4,4,4,4,4,4,4,4
9813375916,23642,4,4,4,4,4,4,4,4,4,4
9813407565,23643,4,4,4,4,4,4,4,4,4,4
