steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
9827053357,23932,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9827055629,23933,-2,0,8.8740722656,-0.3158203125,-4.2324707031,-0.9146341463,0.9146341463,0.0304878049,-11.3999430003,-36.8998155009,-39.8998005010
9827069751,23934,-2,0,8.7400878906,-0.3182128906,-4.3018554688,-0.5792682927,2.1646341463,-1.0975609756,-11.2499437503,-35.0998245009,-40.0497997510
9827102154,23935,-2,0,8.7783691406,-0.3253906250,-4.3329589844,-0.9451219512,2.0731707317,-0.8231707317,-11.2499437503,-35.0998245009,-40.0497997510
9827134624,23936,-2,0,8.8094726563,-0.3086425781,-4.3186035156,-1.0365853659,2.0121951220,-0.9756097561,-11.2499437503,-35.0998245009,-40.0497997510
9827180765,23937,-2,0,8.8764648438,-0.2631835938,-4.2994628906,-1.1890243902,2.2560975610,-0.2134146341,-10.1999490003,-36.4498177509,-38.6998065010
9827206291,23938,-2,0,8.8597167969,-0.2966796875,-4.3209960938,-0.9451219512,1.6768292683,-0.3658536585,-10.1999490003,-36.4498177509,-38.6998065010
9827227577,23939,-2,0,8.8597167969,-0.2966796875,-4.3209960938,-0.7317073171,1.1585365854,-0.4573170732,-10.1999490003,-36.4498177509,-38.6998065010
9827254930,23940,-2,0,8.8549316406,-0.3110351563,-4.3090332031,-1.1280487805,1.0670731707,-0.3048780488,-10.9499452503,-35.6998215009,-39.4498027510
9827292735,23941,-2,0,8.7783691406,-0.3086425781,-4.3162109375,-0.9451219512,1.3719512195,-0.2134146341,-10.9499452503,-35.6998215009,-39.4498027510
9827315060,23942,-2,0,8.7855468750,-0.2871093750,-4.3042480469,-0.6402439024,1.4634146341,-0.0914634146,-10.9499452503,-35.6998215009,-39.4498027510
9827374799,23943,-2,0,8.8477539063,-0.3277832031,-4.3138183594,-0.8841463415,1.3414634146,-0.1219512195,-10.4999475003,-35.0998245009,-40.7997960010
