steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
8599410883,9738,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8599422283,9739,-2,0,8.5678222656,0.5096191406,-4.7612304688,-1.7987804878,1.1280487805,0.5792682927,-8.5499572502,-32.3998380008,-40.0497997510
8599475836,9740,-2,0,7.9002929688,0.7847656250,-5.6823730469,-1.4634146341,0.0000000000,0.5182926829,-7.1999640002,-31.7998410008,-40.1997990010
8599493372,9741,-2,0,7.8428710938,0.8086914063,-5.7708984375,-1.3719512195,0.2743902439,-0.2134146341,-7.1999640002,-31.7998410008,-40.1997990010
8599532459,9742,-2,0,7.8428710938,0.8086914063,-5.7708984375,-0.9146341463,1.5243902439,-1.2195121951,-7.1999640002,-31.7998410008,-40.1997990010
8599544919,9743,-2,0,7.9337890625,0.8565429688,-5.7661132813,-0.5182926829,2.1341463415,-0.8841463415,-7.7999610002,-32.8498357508,-39.2998035010
8599580840,9744,-2,0,8.0247070313,0.8517578125,-5.7350097656,-0.3658536585,1.9817073171,0.7926829268,-7.7999610002,-32.8498357508,-39.2998035010
8599604598,9745,-2,0,8.0366699219,0.7943359375,-5.7565429688,-0.6402439024,0.7621951220,0.2439024390,-7.7999610002,-32.8498357508,-39.2998035010
8599665376,9746,-2,0,8.0605957031,0.7369140625,-5.7350097656,-1.0060975610,0.3048780488,0.0000000000,-8.2499587502,-31.1998440008,-40.7997960010
8599673024,9747,-2,0,7.9050781250,0.7536621094,-5.7158691406,-1.1890243902,1.0060975610,-0.3353658537,-8.2499587502,-31.1998440008,-40.7997960010
8599697185,9748,-2,0,7.9026855469,0.7895507813,-5.7541503906,-0.8231707317,1.6158536585,-1.0060975610,-8.2499587502,-31.1998440008,-40.7997960010
8599729593,9749,-2,0,7.9672851563,0.7943359375,-5.7541503906,-0.4268292683,1.8597560976,-1.5243902439,-6.7499662502,-33.8998305008,-40.0497997510
8599765890,9750,-2,0,7.9888183594,0.8302246094,-5.6919433594,-0.1829268293,1.4329268293,-1.7073170732,-6.7499662502,-33.8998305008,-40.0497997510
8599786165,9751,-2,0,8.0223144531,0.8015136719,-5.6943359375,-0.3353658537,1.3109756098,-0.7621951220,-6.7499662502,-33.8998305008,-40.0497997510
8599845777,9752,-2,0,7.9936035156,0.7536621094,-5.6847656250,-1.0060975610,1.7378048780,-0.4573170732,-6.7499662502,-34.3498282509,-40.3497982510
8599886432,9753,-2,0,7.9625000000,0.7393066406,-5.6321289063,-1.8902439024,2.0426829268,-0.7012195122,-6.7499662502,-34.3498282509,-40.3497982510
8599897629,9754,-2,0,7.9529296875,0.8015136719,-5.6775878906,-1.9512195122,2.4695121951,-0.5792682927,-6.7499662502,-34.3498282509,-40.3497982510
8599920639,9755,-2,0,8.0031738281,0.8421875000,-5.6751953125,-1.5243902439,2.6524390244,-0.4573170732,-7.1999640002,-32.5498372508,-40.6497967510
8599949775,9756,-2,0,8.0438476563,0.8828613281,-5.6416992188,-0.7621951220,2.2256097561,-0.7012195122,-7.1999640002,-32.5498372508,-40.6497967510
8600006500,9757,-2,0,8.0605957031,0.8469726563,-5.6393066406,-0.4268292683,1.4024390244,-0.8231707317,-7.1999640002,-32.5498372508,-40.6497967510
8600021553,9758,-2,0,8.0486328125,0.7919433594,-5.6201660156,-0.4878048780,1.3109756098,-0.7012195122,-7.1999640002,-32.5498372508,-40.6497967510
8600039826,9759,-2,0,8.0175292969,0.7704101563,-5.6249511719,-0.7317073171,1.0975609756,-0.5182926829,-7.0499647502,-33.1498342508,-39.2998035010
8600085690,9760,-2,0,8.0605957031,0.7775878906,-5.6369140625,-1.0670731707,0.4573170732,-0.5182926829,-7.0499647502,-33.1498342508,-39.2998035010
8600133528,9761,-2,0,8.0127441406,0.8134765625,-5.6704101563,-1.0975609756,0.3048780488,-1.1890243902,-7.0499647502,-33.1498342508,-39.2998035010
8600143421,9762,-2,0,7.9170410156,0.8158691406,-5.6704101563,-1.0670731707,0.8536585366,-1.5853658537,-7.0499647502,-33.1498342508,-39.2998035010
8600182902,9763,-2,0,7.9553222656,0.8613281250,-5.6632324219,-0.7621951220,1.6463414634,-2.5609756098,-7.0499647502,-33.1498342508,-39.2998035010
8600198945,9764,-2,0,8.0510253906,0.8565429688,-5.6919433594,-0.5487804878,1.7987804878,-0.6402439024,-7.0499647502,-33.1498342508,-39.2998035010
8600232965,9765,-2,0,8.0390625000,0.8015136719,-5.6584472656,-0.9146341463,1.5243902439,-0.0914634146,-7.9499602502,-32.5498372508,-40.1997990010
8600263737,9766,-2,0,7.9816406250,0.7584472656,-5.6010253906,-1.4329268293,0.7621951220,-0.6097560976,-7.9499602502,-32.5498372508,-40.1997990010
8600306143,9767,-2,0,8.0031738281,0.8445800781,-5.6488769531,-1.7987804878,0.3048780488,-0.7621951220,-7.9499602502,-32.5498372508,-40.1997990010
8600322527,9768,-2,0,7.9218261719,0.9043945313,-5.6871582031,-1.0060975610,0.3658536585,-1.2500000000,-6.2999685002,-32.3998380008,-40.7997960010
8600352537,9769,2,0,7.9529296875,0.9187500000,-5.6967285156,-0.1829268293,0.7317073171,-1.7378048780,-6.2999685002,-32.3998380008,-40.7997960010
8600391382,9770,2,0,7.9696777344,0.8756835938,-5.6991210938,0.4878048780,0.9756097561,-1.4939024390,-6.2999685002,-32.3998380008,-40.7997960010
8600421616,9771,2,0,7.9672851563,0.8254394531,-5.6919433594,0.0914634146,1.1890243902,-1.6158536585,-7.1999640002,-31.7998410008,-39.8998005010
8600451223,9772,2,0,7.9816406250,0.7775878906,-5.6321289063,-0.6707317073,1.5243902439,-0.6402439024,-7.1999640002,-31.7998410008,-39.8998005010
8600503653,9773,2,0,7.9218261719,0.7967285156,-5.6440917969,-1.5548780488,2.0426829268,-0.5792682927,-7.1999640002,-31.7998410008,-39.8998005010
8600519944,9774,2,0,7.9840332031,0.8685058594,-5.6297363281,-2.1951219512,1.9817073171,-0.3353658537,-7.1999640002,-31.7998410008,-39.8998005010
