steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
8659030053,10415,4,4,4,4,4,4,4,4,4,4
8659066211,10416,4,4,4,4,4,4,4,4,4,4
8659092331,10417,4,4,4,4,4,4,4,4,4,4
8659140087,10418,4,4,4,4,4,4,4,4,4,4
8659159154,10419,4,4,4,4,4,4,4,4,4,4
8659194974,10420,4,4,4,4,4,4,4,4,4,4
8659219363,10421,4,4,4,4,4,4,4,4,4,4
8659270561,10422,4,4,4,4,4,4,4,4,4,4
8659288383,10423,4,4,4,4,4,4,4,4,4,4
8659312568,10424,4,4,4,4,4,4,4,4,4,4
8659395297,10425,4,4,4,4,4,4,4,4,4,4
8659401041,10426,4,4,4,4,4,4,4,4,4,4
8659406634,10427,4,4,4,4,4,4,4,4,4,4
8659436385,10428,4,4,4,4,4,4,4,4,4,4
8659503846,10429,4,4,4,4,4,4,4,4,4,4
8659512542,10430,4,4,4,4,4,4,4,4,4,4
8659540492,10431,4,4,4,4,4,4,4,4,4,4
8659557426,10432,4,4,4,4,4,4,4,4,4,4
8659625039,10433,4,4,4,4,4,4,4,4,4,4
8659637381,10434,4,4,4,4,4,4,4,4,4,4
8659679903,10435,4,4,4,4,4,4,4,4,4,4
8659693715,10436,4,4,4,4,4,4,4,4,4,4
8659738958,10437,4,4,4,4,4,4,4,4,4,4
8659750264,10438,4,4,4,4,4,4,4,4,4,4
8659782844,10439,4,4,4,4,4,4,4,4,4,4
8659816817,10440,4,4,4,4,4,4,4,4,4,4
8659853522,10441,4,4,4,4,4,4,4,4,4,4
8659884062,10442,4,4,4,4,4,4,4,4,4,4
8659914039,10443,4,4,4,4,4,4,4,4,4,4
8659941656,10444,4,4,4,4,4,4,4,4,4,4
8660005765,10445,4,4,4,4,4,4,4,4,4,4
8660016243,10446,4,4,4,4,4,4,4,4,4,4
8660036411,10447,4,4,4,4,4,4,4,4,4,4
8660086784,10448,4,4,4,4,4,4,4,4,4,4
8660096578,10449,4,4,4,4,4,4,4,4,4,4
8660129027,10450,4,4,4,4,4,4,4,4,4,4
8660160330,10451,4,4,4,4,4,4,4,4,4,4
8660211561,10452,4,4,4,4,4,4,4,4,4,4
8660222425,10453,4,4,4,4,4,4,4,4,4,4
8660253594,10454,4,4,4,4,4,4,4,4,4,4
8660285096,10455,4,4,4,4,4,4,4,4,4,4
8660327776,10456,4,4,4,4,4,4,4,4,4,4
8660350492,10457,4,4,4,4,4,4,4,4,4,4
8660374283,10458,4,4,4,4,4,4,4,4,4,4
8660439017,10459,4,4,4,4,4,4,4,4,4,4
8660447826,10460,4,4,4,4,4,4,4,4,4,4
8660472390,10461,4,4,4,4,4,4,4,4,4,4
8660516459,10462,4,4,4,4,4,4,4,4,4,4
8660553869,10463,4,4,4,4,4,4,4,4,4,4
8660571597,10464,4,4,4,4,4,4,4,4,4,4
8660596605,10465,4,4,4,4,4,4,4,4,4,4
8660649527,10466,4,4,4,4,4,4,4,4,4,4
8660677589,10467,4,4,4,4,4,4,4,4,4,4
8660706984,10468,4,4,4,4,4,4,4,4,4,4
8660727946,10469,4,4,4,4,4,4,4,4,4,4
8660751522,10470,4,4,4,4,4,4,4,4,4,4
8660816752,10471,4,4,4,4,4,4,4,4,4,4
8660829339,10472,4,4,4,4,4,4,4,4,4,4
8660843992,10473,4,4,4,4,4,4,4,4,4,4
8660908090,10474,4,4,4,4,4,4,4,4,4,4
8660937948,10475,4,4,4,4,4,4,4,4,4,4
8660947823,10476,4,4,4,4,4,4,4,4,4,4
8660970261,10477,4,4,4,4,4,4,4,4,4,4
8661006753,10478,4,4,4,4,4,4,4,4,4,4
8661035173,10479,4,4,4,4,4,4,4,4,4,4
8661068795,10480,4,4,4,4,4,4,4,4,4,4
8661103919,10481,4,4,4,4,4,4,4,4,4,4
8661149172,10482,4,4,4,4,4,4,4,4,4,4
8661159404,10483,4,4,4,4,4,4,4,4,4,4
8661196821,10484,4,4,4,4,4,4,4,4,4,4
8661217770,10485,4,4,4,4,4,4,4,4,4,4
8661304007,10486,4,4,4,4,4,4,4,4,4,4
8661322724,10487,4,4,4,4,4,4,4,4,4,4
8661327373,10488,4,4,4,4,4,4,4,4,4,4
8661357689,10489,4,4,4,4,4,4,4,4,4,4
8661394066,10490,4,4,4,4,4,4,4,4,4,4
8661410484,10491,4,4,4,4,4,4,4,4,4,4
8661446064,10492,4,4,4,4,4,4,4,4,4,4
8661471821,10493,4,4,4,4,4,4,4,4,4,4
8661526825,10494,4,4,4,4,4,4,4,4,4,4
8661535269,10495,4,4,4,4,4,4,4,4,4,4
8661564503,10496,4,4,4,4,4,4,4,4,4,4
8661597634,10497,4,4,4,4,4,4,4,4,4,4
8661638174,10498,4,4,4,4,4,4,4,4,4,4
8661661485,10499,4,4,4,4,4,4,4,4,4,4
8661689487,10500,4,4,4,4,4,4,4,4,4,4
8661765855,10501,4,4,4,4,4,4,4,4,4,4
8661775777,10502,4,4,4,4,4,4,4,4,4,4
8661789108,10503,4,4,4,4,4,4,4,4,4,4
