steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
8342582210,7507,4,4,4,4,4,4,4,4,4,4
8342610020,7508,4,4,4,4,4,4,4,4,4,4
8342633740,7509,4,4,4,4,4,4,4,4,4,4
8342666187,7510,4,4,4,4,4,4,4,4,4,4
8342717249,7511,4,4,4,4,4,4,4,4,4,4
8342724707,7512,4,4,4,4,4,4,4,4,4,4
8342770271,7513,4,4,4,4,4,4,4,4,4,4
8342798071,7514,4,4,4,4,4,4,4,4,4,4
8342852817,7515,4,4,4,4,4,4,4,4,4,4
8342863142,7516,4,4,4,4,4,4,4,4,4,4
8342885107,7517,4,4,4,4,4,4,4,4,4,4
8342917656,7518,4,4,4,4,4,4,4,4,4,4
8342976692,7519,4,4,4,4,4,4,4,4,4,4
8342982172,7520,4,4,4,4,4,4,4,4,4,4
8343013968,7521,4,4,4,4,4,4,4,4,4,4
8343071713,7522,4,4,4,4,4,4,4,4,4,4
8343096475,7523,4,4,4,4,4,4,4,4,4,4
8343098746,7524,4,4,4,4,4,4,4,4,4,4
8343134157,7525,4,4,4,4,4,4,4,4,4,4
8343192667,7526,4,4,4,4,4,4,4,4,4,4
8343224096,7527,4,4,4,4,4,4,4,4,4,4
8343230339,7528,4,4,4,4,4,4,4,4,4,4
8343261035,7529,4,4,4,4,4,4,4,4,4,4
8343309253,7530,4,4,4,4,4,4,4,4,4,4
8343327797,7531,4,4,4,4,4,4,4,4,4,4
8343368019,7532,4,4,4,4,4,4,4,4,4,4
8343395179,7533,4,4,4,4,4,4,4,4,4,4
8343427229,7534,4,4,4,4,4,4,4,4,4,4
8343490134,7535,4,4,4,4,4,4,4,4,4,4
8343495482,7536,4,4,4,4,4,4,4,4,4,4
8343507407,7537,4,4,4,4,4,4,4,4,4,4
8343565306,7538,4,4,4,4,4,4,4,4,4,4
8343581281,7539,4,4,4,4,4,4,4,4,4,4
8343612765,7540,4,4,4,4,4,4,4,4,4,4
8343630088,7541,4,4,4,4,4,4,4,4,4,4
8343675353,7542,4,4,4,4,4,4,4,4,4,4
8343698900,7543,4,4,4,4,4,4,4,4,4,4
8343727689,7544,4,4,4,4,4,4,4,4,4,4
8343788013,7545,4,4,4,4,4,4,4,4,4,4
8343795918,7546,4,4,4,4,4,4,4,4,4,4
8343871396,7547,4,4,4,4,4,4,4,4,4,4
8343910258,7548,4,4,4,4,4,4,4,4,4,4
8343914887,7549,4,4,4,4,4,4,4,4,4,4
8343921463,7550,4,4,4,4,4,4,4,4,4,4
8343954295,7551,4,4,4,4,4,4,4,4,4,4
8343983270,7552,4,4,4,4,4,4,4,4,4,4
8344020297,7553,4,4,4,4,4,4,4,4,4,4
8344036239,7554,4,4,4,4,4,4,4,4,4,4
8344094168,7555,4,4,4,4,4,4,4,4,4,4
8344105160,7556,4,4,4,4,4,4,4,4,4,4
8344139033,7557,4,4,4,4,4,4,4,4,4,4
8344164250,7558,4,4,4,4,4,4,4,4,4,4
8344192257,7559,4,4,4,4,4,4,4,4,4,4
8344251393,7560,4,4,4,4,4,4,4,4,4,4
8344277185,7561,4,4,4,4,4,4,4,4,4,4
8344289048,7562,4,4,4,4,4,4,4,4,4,4
8344318972,7563,4,4,4,4,4,4,4,4,4,4
8344378894,7564,4,4,4,4,4,4,4,4,4,4
8344390139,7565,4,4,4,4,4,4,4,4,4,4
8344419266,7566,4,4,4,4,4,4,4,4,4,4
8344450134,7567,4,4,4,4,4,4,4,4,4,4
8344523873,7568,4,4,4,4,4,4,4,4,4,4
8344535324,7569,4,4,4,4,4,4,4,4,4,4
8344542632,7570,4,4,4,4,4,4,4,4,4,4
8344573097,7571,4,4,4,4,4,4,4,4,4,4
8344610994,7572,4,4,4,4,4,4,4,4,4,4
8344635432,7573,4,4,4,4,4,4,4,4,4,4
8344677578,7574,4,4,4,4,4,4,4,4,4,4
8344710893,7575,4,4,4,4,4,4,4,4,4,4
8344735918,7576,4,4,4,4,4,4,4,4,4,4
8344761162,7577,4,4,4,4,4,4,4,4,4,4
8344792802,7578,4,4,4,4,4,4,4,4,4,4
8344812656,7579,4,4,4,4,4,4,4,4,4,4
8344863864,7580,4,4,4,4,4,4,4,4,4,4
8344908685,7581,4,4,4,4,4,4,4,4,4,4
8344918629,7582,4,4,4,4,4,4,4,4,4,4
8344970280,7583,4,4,4,4,4,4,4,4,4,4
8344985020,7584,4,4,4,4,4,4,4,4,4,4
8345013896,7585,4,4,4,4,4,4,4,4,4,4
8345089152,7586,4,4,4,4,4,4,4,4,4,4
8345092590,7587,4,4,4,4,4,4,4,4,4,4
8345137436,7588,4,4,4,4,4,4,4,4,4,4
8345144778,7589,4,4,4,4,4,4,4,4,4,4
8345166169,7590,4,4,4,4,4,4,4,4,4,4
8345225102,7591,4,4,4,4,4,4,4,4,4,4
8345243863,7592,4,4,4,4,4,4,4,4,4,4
8345265064,7593,4,4,4,4,4,4,4,4,4,4
8345322928,7594,4,4,4,4,4,4,4,4,4,4
8345333047,7595,4,4,4,4,4,4,4,4,4,4
8345367244,7596,4,4,4,4,4,4,4,4,4,4
8345384054,7597,4,4,4,4,4,4,4,4,4,4
8345438298,7598,4,4,4,4,4,4,4,4,4,4
8345455171,7599,4,4,4,4,4,4,4,4,4,4
8345476828,7600,4,4,4,4,4,4,4,4,4,4
8345516402,7601,4,4,4,4,4,4,4,4,4,4
8345554126,7602,4,4,4,4,4,4,4,4,4,4
8345571663,7603,4,4,4,4,4,4,4,4,4,4
8345603393,7604,4,4,4,4,4,4,4,4,4,4
8345636762,7605,4,4,4,4,4,4,4,4,4,4
8345675272,7606,4,4,4,4,4,4,4,4,4,4
8345705207,7607,4,4,4,4,4,4,4,4,4,4
8345733390,7608,4,4,4,4,4,4,4,4,4,4
8345792414,7609,4,4,4,4,4,4,4,4,4,4
8345805017,7610,4,4,4,4,4,4,4,4,4,4
