steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
8282402313,7049,4,4,4,4,4,4,4,4,4,4
8282432280,7050,4,4,4,4,4,4,4,4,4,4
8282484540,7051,4,4,4,4,4,4,4,4,4,4
8282490887,7052,4,4,4,4,4,4,4,4,4,4
8282524581,7053,4,4,4,4,4,4,4,4,4,4
8282538395,7054,4,4,4,4,4,4,4,4,4,4
8282597533,7055,4,4,4,4,4,4,4,4,4,4
8282609762,7056,4,4,4,4,4,4,4,4,4,4
8282636080,7057,4,4,4,4,4,4,4,4,4,4
8282658219,7058,4,4,4,4,4,4,4,4,4,4
8282715013,7059,4,4,4,4,4,4,4,4,4,4
8282736149,7060,4,4,4,4,4,4,4,4,4,4
8282764869,7061,4,4,4,4,4,4,4,4,4,4
8282794003,7062,4,4,4,4,4,4,4,4,4,4
8282842279,7063,4,4,4,4,4,4,4,4,4,4
8282868446,7064,4,4,4,4,4,4,4,4,4,4
8282888583,7065,4,4,4,4,4,4,4,4,4,4
8282911359,7066,4,4,4,4,4,4,4,4,4,4
8282957779,7067,4,4,4,4,4,4,4,4,4,4
8282980150,7068,4,4,4,4,4,4,4,4,4,4
8283011346,7069,4,4,4,4,4,4,4,4,4,4
8283078705,7070,4,4,4,4,4,4,4,4,4,4
8283088556,7071,4,4,4,4,4,4,4,4,4,4
8283108889,7072,4,4,4,4,4,4,4,4,4,4
8283132328,7073,4,4,4,4,4,4,4,4,4,4
8283190299,7074,4,4,4,4,4,4,4,4,4,4
8283195309,7075,4,4,4,4,4,4,4,4,4,4
8283224897,7076,4,4,4,4,4,4,4,4,4,4
8283257667,7077,4,4,4,4,4,4,4,4,4,4
8283308404,7078,4,4,4,4,4,4,4,4,4,4
8283342345,7079,4,4,4,4,4,4,4,4,4,4
8283355827,7080,4,4,4,4,4,4,4,4,4,4
8283388729,7081,4,4,4,4,4,4,4,4,4,4
8283418934,7082,4,4,4,4,4,4,4,4,4,4
8283458424,7083,4,4,4,4,4,4,4,4,4,4
8283484931,7084,4,4,4,4,4,4,4,4,4,4
8283502546,7085,4,4,4,4,4,4,4,4,4,4
8283547587,7086,4,4,4,4,4,4,4,4,4,4
8283565978,7087,4,4,4,4,4,4,4,4,4,4
8283594031,7088,4,4,4,4,4,4,4,4,4,4
8283651021,7089,4,4,4,4,4,4,4,4,4,4
8283686019,7090,4,4,4,4,4,4,4,4,4,4
8283697564,7091,4,4,4,4,4,4,4,4,4,4
8283724745,7092,4,4,4,4,4,4,4,4,4,4
8283791045,7093,4,4,4,4,4,4,4,4,4,4
8283803881,7094,4,4,4,4,4,4,4,4,4,4
8283829894,7095,4,4,4,4,4,4,4,4,4,4
8283892400,7096,4,4,4,4,4,4,4,4,4,4
8283903805,7097,4,4,4,4,4,4,4,4,4,4
8283914900,7098,4,4,4,4,4,4,4,4,4,4
8283949969,7099,4,4,4,4,4,4,4,4,4,4
8283971085,7100,4,4,4,4,4,4,4,4,4,4
8284018667,7101,4,4,4,4,4,4,4,4,4,4
8284042941,7102,4,4,4,4,4,4,4,4,4,4
8284094177,7103,4,4,4,4,4,4,4,4,4,4
8284097236,7104,4,4,4,4,4,4,4,4,4,4
8284135237,7105,4,4,4,4,4,4,4,4,4,4
8284163907,7106,4,4,4,4,4,4,4,4,4,4
8284200119,7107,4,4,4,4,4,4,4,4,4,4
8284243509,7108,4,4,4,4,4,4,4,4,4,4
8284261247,7109,4,4,4,4,4,4,4,4,4,4
8284286083,7110,4,4,4,4,4,4,4,4,4,4
8284331794,7111,4,4,4,4,4,4,4,4,4,4
8284361113,7112,4,4,4,4,4,4,4,4,4,4
8284391017,7113,4,4,4,4,4,4,4,4,4,4
8284411178,7114,4,4,4,4,4,4,4,4,4,4
8284444654,7115,4,4,4,4,4,4,4,4,4,4
8284487267,7116,4,4,4,4,4,4,4,4,4,4
8284510194,7117,4,4,4,4,4,4,4,4,4,4
8284543960,7118,4,4,4,4,4,4,4,4,4,4
8284567420,7119,4,4,4,4,4,4,4,4,4,4
8284602355,7120,4,4,4,4,4,4,4,4,4,4
8284632233,7121,4,4,4,4,4,4,4,4,4,4
8284660250,7122,4,4,4,4,4,4,4,4,4,4
8284716136,7123,4,4,4,4,4,4,4,4,4,4
8284724966,7124,4,4,4,4,4,4,4,4,4,4
8284757618,7125,4,4,4,4,4,4,4,4,4,4
8284797266,7126,4,4,4,4,4,4,4,4,4,4
8284834725,7127,4,4,4,4,4,4,4,4,4,4
8284852281,7128,4,4,4,4,4,4,4,4,4,4
8284904799,7129,4,4,4,4,4,4,4,4,4,4
8284919918,7130,4,4,4,4,4,4,4,4,4,4
8284981225,7131,4,4,4,4,4,4,4,4,4,4
8284994180,7132,4,4,4,4,4,4,4,4,4,4
8285026293,7133,4,4,4,4,4,4,4,4,4,4
8285037405,7134,4,4,4,4,4,4,4,4,4,4
8285099521,7135,4,4,4,4,4,4,4,4,4,4
8285106260,7136,4,4,4,4,4,4,4,4,4,4
8285129201,7137,4,4,4,4,4,4,4,4,4,4
8285194237,7138,4,4,4,4,4,4,4,4,4,4
8285199213,7139,4,4,4,4,4,4,4,4,4,4
8285230136,7140,4,4,4,4,4,4,4,4,4,4
8285259786,7141,4,4,4,4,4,4,4,4,4,4
8285320090,7142,4,4,4,4,4,4,4,4,4,4
8285327720,7143,4,4,4,4,4,4,4,4,4,4
8285353419,7144,4,4,4,4,4,4,4,4,4,4
8285393830,7145,4,4,4,4,4,4,4,4,4,4
8285429275,7146,4,4,4,4,4,4,4,4,4,4
8285447869,7147,4,4,4,4,4,4,4,4,4,4
8285476443,7148,4,4,4,4,4,4,4,4,4,4
8285511369,7149,4,4,4,4,4,4,4,4,4,4
8285549020,7150,4,4,4,4,4,4,4,4,4,4
8285571128,7151,4,4,4,4,4,4,4,4,4,4
8285614513,7152,4,4,4,4,4,4,4,4,4,4
8285632195,7153,4,4,4,4,4,4,4,4,4,4
8285666361,7154,4,4,4,4,4,4,4,4,4,4
8285699865,7155,4,4,4,4,4,4,4,4,4,4
8285735992,7156,4,4,4,4,4,4,4,4,4,4
8285779006,7157,4,4,4,4,4,4,4,4,4,4
8285798017,7158,4,4,4,4,4,4,4,4,4,4
8285826126,7159,4,4,4,4,4,4,4,4,4,4
8285847471,7160,4,4,4,4,4,4,4,4,4,4
8285910197,7161,4,4,4,4,4,4,4,4,4,4
8285930017,7162,4,4,4,4,4,4,4,4,4,4
8285955031,7163,4,4,4,4,4,4,4,4,4,4
8285977356,7164,4,4,4,4,4,4,4,4,4,4
8286028803,7165,4,4,4,4,4,4,4,4,4,4
8286042430,7166,4,4,4,4,4,4,4,4,4,4
8286068455,7167,4,4,4,4,4,4,4,4,4,4
8286106118,7168,4,4,4,4,4,4,4,4,4,4
8286143068,7169,4,4,4,4,4,4,4,4,4,4
8286166246,7170,4,4,4,4,4,4,4,4,4,4
8286194883,7171,4,4,4,4,4,4,4,4,4,4
8286248571,7172,4,4,4,4,4,4,4,4,4,4
8286294002,7173,4,4,4,4,4,4,4,4,4,4
8286323733,7174,4,4,4,4,4,4,4,4,4,4
8286333445,7175,4,4,4,4,4,4,4,4,4,4
8286375198,7176,4,4,4,4,4,4,4,4,4,4
8286383805,7177,4,4,4,4,4,4,4,4,4,4
8286414986,7178,4,4,4,4,4,4,4,4,4,4
8286442743,7179,4,4,4,4,4,4,4,4,4,4
8286500004,7180,4,4,4,4,4,4,4,4,4,4
8286512642,7181,4,4,4,4,4,4,4,4,4,4
8286550713,7182,4,4,4,4,4,4,4,4,4,4
8286571083,7183,4,4,4,4,4,4,4,4,4,4
8286619812,7184,4,4,4,4,4,4,4,4,4,4
8286629834,7185,4,4,4,4,4,4,4,4,4,4
8286657652,7186,4,4,4,4,4,4,4,4,4,4
8286696382,7187,4,4,4,4,4,4,4,4,4,4
8286736082,7188,4,4,4,4,4,4,4,4,4,4
8286754811,7189,4,4,4,4,4,4,4,4,4,4
8286788634,7190,4,4,4,4,4,4,4,4,4,4
8286854894,7191,4,4,4,4,4,4,4,4,4,4
8286883631,7192,4,4,4,4,4,4,4,4,4,4
8286896153,7193,4,4,4,4,4,4,4,4,4,4
8286932439,7194,4,4,4,4,4,4,4,4,4,4
8286974017,7195,4,4,4,4,4,4,4,4,4,4
8286983596,7196,4,4,4,4,4,4,4,4,4,4
8287008927,7197,4,4,4,4,4,4,4,4,4,4
8287038633,7198,4,4,4,4,4,4,4,4,4,4
8287071798,7199,4,4,4,4,4,4,4,4,4,4
8287103572,7200,4,4,4,4,4,4,4,4,4,4
8287140039,7201,4,4,4,4,4,4,4,4,4,4
8287161170,7202,4,4,4,4,4,4,4,4,4,4
8287201022,7203,4,4,4,4,4,4,4,4,4,4
8287234795,7204,4,4,4,4,4,4,4,4,4,4
8287260020,7205,4,4,4,4,4,4,4,4,4,4
8287286125,7206,4,4,4,4,4,4,4,4,4,4
8287320357,7207,4,4,4,4,4,4,4,4,4,4
8287349970,7208,4,4,4,4,4,4,4,4,4,4
8287383982,7209,4,4,4,4,4,4,4,4,4,4
8287446177,7210,4,4,4,4,4,4,4,4,4,4
8287466008,7211,4,4,4,4,4,4,4,4,4,4
8287471699,7212,4,4,4,4,4,4,4,4,4,4
8287554814,7213,4,4,4,4,4,4,4,4,4,4
8287567739,7214,4,4,4,4,4,4,4,4,4,4
8287576112,7215,4,4,4,4,4,4,4,4,4,4
8287598214,7216,4,4,4,4,4,4,4,4,4,4
8287631026,7217,4,4,4,4,4,4,4,4,4,4
8287688471,7218,4,4,4,4,4,4,4,4,4,4
8287693623,7219,4,4,4,4,4,4,4,4,4,4
8287723493,7220,4,4,4,4,4,4,4,4,4,4
8287803583,7221,4,4,4,4,4,4,4,4,4,4
8287807610,7222,4,4,4,4,4,4,4,4,4,4
8287827757,7223,4,4,4,4,4,4,4,4,4,4
