steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
8282402313,7049,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8282432280,7050,-2,0,7.4600585938,-0.8541503906,-6.3283691406,-1.4329268293,2.6524390244,-0.8536585366,-5.2499737501,-37.7998110009,-40.3497982510
8282484540,7051,-2,0,7.4528808594,-0.9020019531,-6.3546875000,-1.5243902439,0.4573170732,-0.1524390244,-4.9499752501,-37.9498102509,-41.6997915010
8282490887,7052,-2,0,7.4385253906,-0.8972167969,-6.4671386719,-1.6768292683,0.3048780488,0.0609756098,-4.9499752501,-37.9498102509,-41.6997915010
8282524581,7053,-2,0,7.4169921875,-0.8828613281,-6.5125976563,-1.5853658537,0.7317073171,-0.6402439024,-4.9499752501,-37.9498102509,-41.6997915010
8282538395,7054,-2,0,7.3404296875,-0.8876464844,-6.4599609375,-1.0670731707,1.0060975610,-1.4939024390,-5.3999730001,-37.9498102509,-40.6497967510
8282597533,7055,-2,0,7.5079101563,-0.8182617188,-6.4814941406,-0.8536585366,1.7073170732,-2.2256097561,-5.3999730001,-37.9498102509,-40.6497967510
8282609762,7056,-2,0,7.4887695313,-0.8828613281,-6.4575683594,-0.1219512195,1.7073170732,-0.0304878049,-5.3999730001,-37.9498102509,-40.6497967510
8282636080,7057,-2,0,7.4887695313,-0.8828613281,-6.4575683594,-0.5792682927,0.9451219512,0.7317073171,-5.2499737501,-38.2498087510,-41.0997945010
8282658219,7058,-2,0,7.5150878906,-0.9618164063,-6.4360351563,-1.4939024390,0.1524390244,0.5792682927,-5.2499737501,-38.2498087510,-41.0997945010
8282715013,7059,-2,0,7.4265625000,-1.0168457031,-6.4432128906,-2.1036585366,0.6097560976,0.8231707317,-5.2499737501,-38.2498087510,-41.0997945010
8282736149,7060,-2,0,7.3332519531,-0.9522460938,-6.4695312500,-1.7378048780,1.2195121951,-0.3658536585,-4.0499797501,-38.9998050010,-40.7997960010
8282764869,7061,-2,0,7.3954589844,-0.8685058594,-6.4814941406,-0.3963414634,1.1890243902,-1.1280487805,-4.0499797501,-38.9998050010,-40.7997960010
8282794003,7062,-2,0,7.4098144531,-0.9187500000,-6.4862792969,-0.0304878049,1.2804878049,-1.0365853659,-4.0499797501,-38.9998050010,-40.7997960010
8282842279,7063,-2,0,7.4217773438,-0.9905273438,-6.4814941406,-0.7621951220,1.5853658537,-0.9451219512,-6.1499692502,-37.6498117509,-41.2497937510
8282868446,7064,-2,0,7.4122070313,-1.0000976563,-6.4145019531,-1.6768292683,2.0731707317,-0.2134146341,-6.1499692502,-37.6498117509,-41.2497937510
