steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
8534266154,9063,4,4,4,4,4,4,4,4,4,4
8534315863,9064,4,4,4,4,4,4,4,4,4,4
8534346814,9065,4,4,4,4,4,4,4,4,4,4
8534371726,9066,4,4,4,4,4,4,4,4,4,4
8534396806,9067,4,4,4,4,4,4,4,4,4,4
8534443606,9068,4,4,4,4,4,4,4,4,4,4
8534450576,9069,4,4,4,4,4,4,4,4,4,4
8534483305,9070,4,4,4,4,4,4,4,4,4,4
8534512350,9071,4,4,4,4,4,4,4,4,4,4
8534603852,9072,4,4,4,4,4,4,4,4,4,4
8534613217,9073,4,4,4,4,4,4,4,4,4,4
8534619487,9074,4,4,4,4,4,4,4,4,4,4
8534640846,9075,4,4,4,4,4,4,4,4,4,4
8534684743,9076,4,4,4,4,4,4,4,4,4,4
8534708405,9077,4,4,4,4,4,4,4,4,4,4
8534747415,9078,4,4,4,4,4,4,4,4,4,4
8534783713,9079,4,4,4,4,4,4,4,4,4,4
8534790235,9080,4,4,4,4,4,4,4,4,4,4
8534821109,9081,4,4,4,4,4,4,4,4,4,4
8534864732,9082,4,4,4,4,4,4,4,4,4,4
8534906082,9083,4,4,4,4,4,4,4,4,4,4
8534919213,9084,4,4,4,4,4,4,4,4,4,4
8534969097,9085,4,4,4,4,4,4,4,4,4,4
8534984765,9086,4,4,4,4,4,4,4,4,4,4
8535045847,9087,4,4,4,4,4,4,4,4,4,4
8535062519,9088,4,4,4,4,4,4,4,4,4,4
8535092213,9089,4,4,4,4,4,4,4,4,4,4
8535110958,9090,4,4,4,4,4,4,4,4,4,4
8535174658,9091,4,4,4,4,4,4,4,4,4,4
8535213733,9092,4,4,4,4,4,4,4,4,4,4
8535220994,9093,4,4,4,4,4,4,4,4,4,4
8535267058,9094,4,4,4,4,4,4,4,4,4,4
8535282061,9095,4,4,4,4,4,4,4,4,4,4
8535302126,9096,4,4,4,4,4,4,4,4,4,4
8535321063,9097,4,4,4,4,4,4,4,4,4,4
8535378899,9098,4,4,4,4,4,4,4,4,4,4
8535392162,9099,4,4,4,4,4,4,4,4,4,4
8535423948,9100,4,4,4,4,4,4,4,4,4,4
8535452537,9101,4,4,4,4,4,4,4,4,4,4
8535506460,9102,4,4,4,4,4,4,4,4,4,4
8535517254,9103,4,4,4,4,4,4,4,4,4,4
8535568775,9104,4,4,4,4,4,4,4,4,4,4
8535570982,9105,4,4,4,4,4,4,4,4,4,4
8535620196,9106,4,4,4,4,4,4,4,4,4,4
8535644734,9107,4,4,4,4,4,4,4,4,4,4
8535686049,9108,4,4,4,4,4,4,4,4,4,4
8535700087,9109,4,4,4,4,4,4,4,4,4,4
8535733722,9110,4,4,4,4,4,4,4,4,4,4
8535793868,9111,4,4,4,4,4,4,4,4,4,4
8535799836,9112,4,4,4,4,4,4,4,4,4,4
8535872276,9113,4,4,4,4,4,4,4,4,4,4
8535881746,9114,4,4,4,4,4,4,4,4,4,4
8535891051,9115,4,4,4,4,4,4,4,4,4,4
8535931113,9116,4,4,4,4,4,4,4,4,4,4
8535985963,9117,4,4,4,4,4,4,4,4,4,4
8535989508,9118,4,4,4,4,4,4,4,4,4,4
8536021812,9119,4,4,4,4,4,4,4,4,4,4
8536051085,9120,4,4,4,4,4,4,4,4,4,4
8536089911,9121,4,4,4,4,4,4,4,4,4,4
8536113171,9122,4,4,4,4,4,4,4,4,4,4
8536133511,9123,4,4,4,4,4,4,4,4,4,4
8536202150,9124,4,4,4,4,4,4,4,4,4,4
8536211072,9125,4,4,4,4,4,4,4,4,4,4
8536234119,9126,4,4,4,4,4,4,4,4,4,4
8536261230,9127,4,4,4,4,4,4,4,4,4,4
8536324968,9128,4,4,4,4,4,4,4,4,4,4
8536337216,9129,4,4,4,4,4,4,4,4,4,4
8536361027,9130,4,4,4,4,4,4,4,4,4,4
8536390058,9131,4,4,4,4,4,4,4,4,4,4
8536416179,9132,4,4,4,4,4,4,4,4,4,4
8536458421,9133,4,4,4,4,4,4,4,4,4,4
8536518887,9134,4,4,4,4,4,4,4,4,4,4
8536520985,9135,4,4,4,4,4,4,4,4,4,4
8536565726,9136,4,4,4,4,4,4,4,4,4,4
8536589770,9137,4,4,4,4,4,4,4,4,4,4
8536618560,9138,4,4,4,4,4,4,4,4,4,4
8536636992,9139,4,4,4,4,4,4,4,4,4,4
8536704799,9140,4,4,4,4,4,4,4,4,4,4
8536714616,9141,4,4,4,4,4,4,4,4,4,4
8536731525,9142,4,4,4,4,4,4,4,4,4,4
8536762698,9143,4,4,4,4,4,4,4,4,4,4
8536802723,9144,4,4,4,4,4,4,4,4,4,4
8536822222,9145,4,4,4,4,4,4,4,4,4,4
8536857603,9146,4,4,4,4,4,4,4,4,4,4
8536913585,9147,4,4,4,4,4,4,4,4,4,4
8536922205,9148,4,4,4,4,4,4,4,4,4,4
8536953718,9149,4,4,4,4,4,4,4,4,4,4
8536988993,9150,4,4,4,4,4,4,4,4,4,4
8537031062,9151,4,4,4,4,4,4,4,4,4,4
8537057315,9152,4,4,4,4,4,4,4,4,4,4
8537074859,9153,4,4,4,4,4,4,4,4,4,4
8537151150,9154,4,4,4,4,4,4,4,4,4,4
8537159783,9155,4,4,4,4,4,4,4,4,4,4
8537169822,9156,4,4,4,4,4,4,4,4,4,4
8537209913,9157,4,4,4,4,4,4,4,4,4,4
8537228702,9158,4,4,4,4,4,4,4,4,4,4
8537276268,9159,4,4,4,4,4,4,4,4,4,4
8537297398,9160,4,4,4,4,4,4,4,4,4,4
8537327841,9161,4,4,4,4,4,4,4,4,4,4
8537357053,9162,4,4,4,4,4,4,4,4,4,4
8537413450,9163,4,4,4,4,4,4,4,4,4,4
8537423520,9164,4,4,4,4,4,4,4,4,4,4
8537452776,9165,4,4,4,4,4,4,4,4,4,4
8537510196,9166,4,4,4,4,4,4,4,4,4,4
8537523885,9167,4,4,4,4,4,4,4,4,4,4
8537549677,9168,4,4,4,4,4,4,4,4,4,4
8537577952,9169,4,4,4,4,4,4,4,4,4,4
8537626203,9170,4,4,4,4,4,4,4,4,4,4
8537642856,9171,4,4,4,4,4,4,4,4,4,4
8537672665,9172,4,4,4,4,4,4,4,4,4,4
8537702398,9173,4,4,4,4,4,4,4,4,4,4
8537781841,9174,4,4,4,4,4,4,4,4,4,4
8537788285,9175,4,4,4,4,4,4,4,4,4,4
8537798484,9176,4,4,4,4,4,4,4,4,4,4
8537859059,9177,4,4,4,4,4,4,4,4,4,4
8537867572,9178,4,4,4,4,4,4,4,4,4,4
8537882138,9179,4,4,4,4,4,4,4,4,4,4
8537923777,9180,4,4,4,4,4,4,4,4,4,4
8537977955,9181,4,4,4,4,4,4,4,4,4,4
8537982095,9182,4,4,4,4,4,4,4,4,4,4
8538019784,9183,4,4,4,4,4,4,4,4,4,4
8538060919,9184,4,4,4,4,4,4,4,4,4,4
8538095982,9185,4,4,4,4,4,4,4,4,4,4
8538128785,9186,4,4,4,4,4,4,4,4,4,4
8538141224,9187,4,4,4,4,4,4,4,4,4,4
8538172594,9188,4,4,4,4,4,4,4,4,4,4
8538238892,9189,4,4,4,4,4,4,4,4,4,4
