steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
8543870033,9287,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8543895955,9288,-2,0,8.4410156250,0.4521972656,-4.9574218750,-0.9146341463,0.3353658537,-1.3109756098,-10.4999475003,-35.8498207509,-39.2998035010
8543914860,9289,-2,0,8.4146972656,0.4187011719,-4.9574218750,-0.5792682927,1.1585365854,-0.1524390244,-9.1499542502,-36.8998155009,-40.6497967510
8543961224,9290,-2,0,8.4529785156,0.4115234375,-5.0483398438,-1.0975609756,0.6402439024,-0.5487804878,-9.1499542502,-36.8998155009,-40.6497967510
8544000293,9291,-2,0,8.4529785156,0.4115234375,-5.0483398438,-1.0670731707,0.5182926829,-0.7926829268,-9.1499542502,-36.8998155009,-40.6497967510
8544010908,9292,-2,0,8.3812011719,0.4282714844,-5.0603027344,-0.6402439024,0.5487804878,-1.7987804878,-10.1999490003,-36.8998155009,-38.6998065010
8544043620,9293,-2,0,8.4290527344,0.4928710938,-5.0555175781,-0.0914634146,0.7012195122,-1.5548780488,-10.1999490003,-36.8998155009,-38.6998065010
8544077955,9294,-2,0,8.4625488281,0.4856933594,-5.0698730469,0.0304878049,0.5792682927,-1.2195121951,-10.1999490003,-36.8998155009,-38.6998065010
8544123072,9295,-2,0,8.4529785156,0.4928710938,-5.0866210938,0.0609756098,0.5182926829,-0.5487804878,-9.4499527502,-37.9498102509,-40.1997990010
8544128230,9296,-2,0,8.4601562500,0.4067382813,-5.0411621094,-0.4878048780,0.7621951220,-0.0914634146,-9.4499527502,-37.9498102509,-40.1997990010
8544174869,9297,-2,0,8.3716308594,0.3756347656,-5.0818359375,-1.2195121951,1.1585365854,-0.5182926829,-9.4499527502,-37.9498102509,-40.1997990010
8544197220,9298,-2,0,8.3644531250,0.4091308594,-5.0483398438,-1.5548780488,2.0121951220,-0.5792682927,-9.4499527502,-37.9498102509,-40.1997990010
8544241386,9299,-2,0,8.3883789063,0.4187011719,-5.0076660156,-1.7682926829,2.4695121951,-0.3963414634,-9.4499527502,-37.9498102509,-40.1997990010
8544259874,9300,-2,0,8.4769042969,0.4761230469,-5.0268066406,-1.4024390244,2.0121951220,-0.4268292683,-9.4499527502,-37.9498102509,-40.1997990010
8544310978,9301,-2,0,8.4505859375,0.4713378906,-5.0124511719,-1.1280487805,2.1951219512,-0.0304878049,-9.7499512502,-37.0498147509,-40.7997960010
8544324659,9302,-2,0,8.4984375000,0.4545898438,-4.9598144531,-0.8231707317,1.9817073171,0.3048780488,-9.7499512502,-37.0498147509,-40.7997960010
8544372277,9303,-2,0,8.4697265625,0.4234863281,-5.0004882813,-0.7621951220,1.6463414634,0.5182926829,-9.7499512502,-37.0498147509,-40.7997960010
8544379137,9304,-2,0,8.4481933594,0.4115234375,-4.9957031250,-0.8841463415,1.2804878049,0.1219512195,-9.4499527502,-36.8998155009,-40.1997990010
8544432180,9305,-2,0,8.4386230469,0.3852050781,-4.9550292969,-1.0975609756,1.5853658537,-0.6097560976,-9.4499527502,-36.8998155009,-40.1997990010
8544484705,9306,-2,0,8.4170898438,0.3899902344,-4.9622070313,-1.3109756098,1.8902439024,-1.3719512195,-9.4499527502,-36.8998155009,-40.1997990010
8544501247,9307,-2,0,8.4888671875,0.4402343750,-4.9717773438,-1.4329268293,1.8292682927,-1.7682926829,-9.4499527502,-36.8998155009,-40.1997990010
8544516179,9308,-2,0,8.5295410156,0.4785156250,-4.9669921875,-1.0670731707,1.9512195122,0.5182926829,-10.0499497503,-37.0498147509,-38.5498072510
8544547177,9309,-2,0,8.4984375000,0.4234863281,-4.9765625000,-0.8841463415,1.5243902439,0.2439024390,-10.0499497503,-37.0498147509,-38.5498072510
8544606074,9310,-2,0,8.4984375000,0.3852050781,-4.9550292969,-1.0060975610,0.4268292683,-0.6707317073,-10.0499497503,-37.0498147509,-38.5498072510
8544617826,9311,-2,0,8.4123046875,0.3947753906,-4.9741699219,-0.9146341463,0.1219512195,-1.0365853659,-8.5499572502,-38.2498087510,-39.5998020010
8544641003,9312,-2,0,8.3548828125,0.4498046875,-4.9645996094,-0.6707317073,0.5487804878,-2.3170731707,-8.5499572502,-38.2498087510,-39.5998020010
8544669959,9313,-2,0,8.4769042969,0.5335449219,-5.0363769531,0.0609756098,0.6097560976,-2.4390243902,-8.5499572502,-38.2498087510,-39.5998020010
8544714862,9314,-2,0,8.4601562500,0.4761230469,-5.0363769531,0.2743902439,0.5792682927,-2.1036585366,-9.1499542502,-37.6498117509,-41.9997900010
