steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
8474660970,8524,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8474672759,8525,-2,0,8.3620605469,-0.3421386719,-5.2445312500,-0.7926829268,0.6097560976,-0.3658536585,-10.6499467503,-38.3998080010,-39.8998005010
8474695410,8526,-2,0,8.2663574219,-0.4498046875,-5.1416503906,0.0304878049,2.4695121951,-0.6097560976,-8.9999550002,-38.5498072510,-41.5497922510
8474717859,8527,-2,0,8.3955566406,-0.4713378906,-5.2277832031,-0.9451219512,2.0121951220,-0.4268292683,-8.9999550002,-38.5498072510,-41.5497922510
8474746748,8528,-2,0,8.3883789063,-0.4545898438,-5.2277832031,-1.9207317073,1.4329268293,-0.3963414634,-8.9999550002,-38.5498072510,-41.5497922510
8474785466,8529,-2,0,8.3285644531,-0.3828125000,-5.2110351563,-2.5609756098,1.2195121951,-0.4878048780,-10.1999490003,-37.6498117509,-39.4498027510
8474821589,8530,-2,0,8.3405273438,-0.3158203125,-5.2325683594,-2.3475609756,1.5548780488,-0.8536585366,-10.1999490003,-37.6498117509,-39.4498027510
8474869635,8531,-2,0,8.3979492188,-0.2536132813,-5.2756347656,-1.5548780488,1.5243902439,-1.3414634146,-10.1999490003,-37.6498117509,-39.4498027510
8474896959,8532,-2,0,8.3979492188,-0.2536132813,-5.2756347656,-0.6097560976,1.3109756098,-0.9146341463,-8.2499587502,-38.5498072510,-41.0997945010
8474901562,8533,-2,0,8.3548828125,-0.2895019531,-5.2110351563,-0.3658536585,1.6768292683,0.5487804878,-8.2499587502,-38.5498072510,-41.0997945010
8474966059,8534,-2,0,8.4170898438,-0.4282714844,-5.2014648438,-1.0060975610,0.9146341463,0.4878048780,-8.2499587502,-38.5498072510,-41.0997945010
8474982007,8535,-2,0,8.4146972656,-0.4737304688,-5.2397460938,-1.6158536585,-0.1829268293,-0.0914634146,-8.2499587502,-38.5498072510,-41.0997945010
8475016583,8536,-2,0,8.3046386719,-0.4187011719,-5.1942871094,-1.2804878049,-0.0914634146,-0.9756097561,-8.2499587502,-38.5498072510,-41.0997945010
8475060828,8537,-2,0,8.2663574219,-0.3158203125,-5.2708496094,-0.2439024390,0.2439024390,-1.8902439024,-8.2499587502,-38.5498072510,-41.0997945010
8475080659,8538,-2,0,8.3620605469,-0.2918945313,-5.3139160156,0.9451219512,-0.2134146341,-1.7987804878,-8.9999550002,-37.0498147509,-39.5998020010
8475098161,8539,-2,0,8.3285644531,-0.3828125000,-5.2541015625,0.5792682927,-0.1829268293,-1.8292682927,-8.9999550002,-37.0498147509,-39.5998020010
8475153213,8540,-2,0,8.3094238281,-0.4498046875,-5.2708496094,-0.4878048780,0.2439024390,-0.6707317073,-8.9999550002,-37.0498147509,-39.5998020010
8475158194,8541,-2,0,8.3022460938,-0.4426269531,-5.2971679688,-1.4329268293,0.5487804878,0.0000000000,-9.2999535002,-37.0498147509,-40.7997960010
8475196947,8542,-2,0,8.3046386719,-0.3828125000,-5.2804199219,-1.8292682927,0.3963414634,0.1219512195,-9.2999535002,-37.0498147509,-40.7997960010
8475257806,8543,-2,0,8.2543945313,-0.3804199219,-5.2971679688,-1.6768292683,1.1280487805,0.3658536585,-9.2999535002,-37.0498147509,-40.7997960010
8475264926,8544,-2,0,8.2256835938,-0.4258789063,-5.2517089844,-2.0731707317,2.1951219512,0.3963414634,-9.2999535002,-37.0498147509,-40.7997960010
8475286869,8545,-2,0,8.3668457031,-0.4569824219,-5.2182128906,-2.8658536585,2.2865853659,0.9451219512,-9.4499527502,-37.6498117509,-39.1498042510
8475388110,8546,-2,0,8.4290527344,-0.3636718750,-5.2541015625,-2.2256097561,0.5182926829,0.1524390244,-9.4499527502,-37.6498117509,-39.1498042510
8475398204,8547,-2,0,8.3548828125,-0.2751464844,-5.3210937500,-0.4878048780,-0.7317073171,-1.0975609756,-9.4499527502,-37.6498117509,-39.1498042510
8475408389,8548,-2,0,8.2113281250,-0.3612792969,-5.2732421875,0.3353658537,0.6097560976,-1.6158536585,-10.6499467503,-36.8998155009,-39.8998005010
8475418306,8549,-2,0,8.2663574219,-0.5096191406,-5.2229980469,-0.8231707317,2.1951219512,-1.0670731707,-10.6499467503,-36.8998155009,-39.8998005010
8475441672,8550,-2,0,8.3285644531,-0.4761230469,-5.2493164063,-1.8902439024,1.4939024390,-0.7926829268,-10.6499467503,-36.8998155009,-39.8998005010
8475495731,8551,-2,0,8.3357421875,-0.3277832031,-5.3210937500,-1.9512195122,0.8536585366,-2.4085365854,-8.6999565002,-36.4498177509,-41.2497937510
8475511990,8552,-2,0,8.3237792969,-0.2679687500,-5.2947753906,-0.5182926829,1.3109756098,-0.4573170732,-8.6999565002,-36.4498177509,-41.2497937510
8475526196,8553,-2,0,8.2783203125,-0.4115234375,-5.2947753906,-0.1829268293,1.7987804878,0.4268292683,-8.6999565002,-36.4498177509,-41.2497937510
8475561050,8554,-2,0,8.2735351563,-0.5335449219,-5.2421386719,-1.2195121951,1.3109756098,-0.4878048780,-10.6499467503,-38.8498057510,-40.9497952510
8475616200,8555,2,0,8.2783203125,-0.4402343750,-5.2445312500,-1.8597560976,0.9146341463,-1.3109756098,-10.6499467503,-38.8498057510,-40.9497952510
8475630964,8556,2,0,8.2735351563,-0.3134277344,-5.2947753906,-1.2804878049,0.9756097561,-1.9817073171,-10.6499467503,-38.8498057510,-40.9497952510
8475692060,8557,2,0,8.3118164063,-0.2655761719,-5.3210937500,-0.0609756098,0.6707317073,-1.8597560976,-10.6499467503,-38.8498057510,-40.9497952510
8475696998,8558,2,0,8.2807128906,-0.3660644531,-5.2828125000,0.3048780488,0.9451219512,-1.7987804878,-10.6499467503,-38.8498057510,-40.9497952510
8475728098,8559,2,0,8.2663574219,-0.4115234375,-5.2684570313,-0.2134146341,1.4024390244,-1.1585365854,-10.6499467503,-38.8498057510,-40.9497952510
8475760953,8560,2,0,8.2543945313,-0.4043457031,-5.2804199219,-0.9756097561,1.7682926829,-0.4878048780,-8.5499572502,-35.8498207509,-39.5998020010
8475794703,8561,2,0,8.2304687500,-0.3158203125,-5.2349609375,-1.5243902439,2.1646341463,-0.9451219512,-8.5499572502,-35.8498207509,-39.5998020010
8475823186,8562,2,0,8.2974609375,-0.3158203125,-5.2421386719,-1.0365853659,2.9268292683,-0.0609756098,-8.5499572502,-35.8498207509,-39.5998020010
8475849665,8563,2,0,8.3237792969,-0.3828125000,-5.2158203125,-1.6768292683,2.7134146341,0.1524390244,-7.9499602502,-37.6498117509,-41.6997915010
8475880740,8564,2,0,8.3572753906,-0.3947753906,-5.1679687500,-2.0121951220,2.1951219512,0.2134146341,-7.9499602502,-37.6498117509,-41.6997915010
8475914641,8565,2,0,8.3716308594,-0.3397460938,-5.1799316406,-1.6768292683,1.5243902439,0.2743902439,-7.9499602502,-37.6498117509,-41.6997915010
8475967788,8566,2,0,8.3333496094,-0.3780273438,-5.1847167969,-1.4024390244,1.4024390244,0.4268292683,-7.9499602502,-37.6498117509,-41.6997915010
8475976257,8567,2,0,8.3477050781,-0.3588867188,-5.1799316406,-1.2500000000,1.0975609756,0.4573170732,-8.9999550002,-36.5998170009,-40.0497997510
8476004312,8568,2,0,8.3740234375,-0.3804199219,-5.2206054688,-1.0670731707,0.5792682927,-0.1829268293,-8.9999550002,-36.5998170009,-40.0497997510
8476035672,8569,2,0,8.2448242188,-0.3828125000,-5.2062500000,-0.9146341463,0.8841463415,-1.7987804878,-8.9999550002,-36.5998170009,-40.0497997510
8476092193,8570,2,0,8.2878906250,-0.3541015625,-5.2373535156,-0.6097560976,1.8597560976,-1.1280487805,-8.6999565002,-37.6498117509,-40.1997990010
8476101161,8571,2,0,8.3381347656,-0.3206054688,-5.2373535156,-0.4878048780,1.8292682927,0.4878048780,-8.6999565002,-37.6498117509,-40.1997990010
8476129673,8572,2,0,8.3740234375,-0.4210937500,-5.2325683594,-1.0060975610,0.7926829268,0.0304878049,-8.6999565002,-37.6498117509,-40.1997990010
8476204415,8573,2,0,8.2807128906,-0.4617675781,-5.2182128906,-1.4634146341,0.8536585366,-0.1524390244,-9.2999535002,-37.4998125009,-39.5998020010
8476209400,8574,2,0,8.2615722656,-0.4139160156,-5.2349609375,-1.0975609756,0.9146341463,-0.5792682927,-9.2999535002,-37.4998125009,-39.5998020010
8476231955,8575,2,0,8.2878906250,-0.3469238281,-5.2899902344,-0.5182926829,0.5792682927,-1.6158536585,-9.2999535002,-37.4998125009,-39.5998020010
8476258145,8576,2,0,8.2591796875,-0.3517089844,-5.2804199219,-0.2134146341,0.8231707317,-1.4939024390,-7.7999610002,-36.5998170009,-40.7997960010
8476290655,8577,2,0,8.2735351563,-0.4163085938,-5.2301757813,-0.5487804878,1.4634146341,-1.1585365854,-7.7999610002,-36.5998170009,-40.7997960010
8476349445,8578,2,0,8.2902832031,-0.4234863281,-5.2469238281,-1.0670731707,1.6768292683,-0.0914634146,-7.7999610002,-36.5998170009,-40.7997960010
8476356628,8579,2,0,8.2567871094,-0.4139160156,-5.2373535156,-1.7682926829,2.0121951220,-0.2439024390,-7.7999610002,-36.5998170009,-40.7997960010
8476381580,8580,2,0,8.2615722656,-0.3852050781,-5.2110351563,-1.6158536585,2.3170731707,-0.0914634146,-7.7999610002,-36.5998170009,-40.7997960010
8476434383,8581,2,0,8.3070312500,-0.3612792969,-5.2206054688,-1.1890243902,2.6219512195,-0.3048780488,-7.7999610002,-36.5998170009,-40.7997960010
8476444695,8582,2,0,8.3596679688,-0.3708496094,-5.1895019531,-0.8841463415,2.4695121951,-0.3048780488,-8.3999580002,-37.6498117509,-39.4498027510
8476483949,8583,2,0,8.3477050781,-0.4426269531,-5.1201171875,-1.3109756098,1.9207317073,-0.2134146341,-8.3999580002,-37.6498117509,-39.4498027510
8476505759,8584,2,0,8.3524902344,-0.4234863281,-5.1416503906,-1.9817073171,1.7073170732,0.0609756098,-8.3999580002,-37.6498117509,-39.4498027510
8476554374,8585,2,0,8.3500976563,-0.4210937500,-5.1679687500,-2.2865853659,1.3414634146,0.3963414634,-9.1499542502,-37.1998140009,-41.2497937510
8476582042,8586,2,0,8.3812011719,-0.3588867188,-5.1655761719,-1.7073170732,0.7012195122,0.1219512195,-9.1499542502,-37.1998140009,-41.2497937510
8476604508,8587,2,0,8.3189941406,-0.3517089844,-5.2086425781,-1.0975609756,0.6402439024,-0.6402439024,-9.1499542502,-37.1998140009,-41.2497937510
8476626854,8588,2,0,8.2400390625,-0.3804199219,-5.1727539063,-0.8536585366,0.9146341463,-1.0975609756,-8.2499587502,-38.2498087510,-40.3497982510
8476695802,8589,2,0,8.3166015625,-0.3804199219,-5.1703613281,-0.9756097561,1.5243902439,-1.9817073171,-8.2499587502,-38.2498087510,-40.3497982510
8476718243,8590,2,0,8.3955566406,-0.3541015625,-5.1775390625,-0.9451219512,1.7073170732,0.1829268293,-8.2499587502,-38.2498087510,-40.3497982510
