steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
8492635878,8852,4,4,4,4,4,4,4,4,4,4
8492657838,8853,4,4,4,4,4,4,4,4,4,4
8492686742,8854,4,4,4,4,4,4,4,4,4,4
8492736914,8855,4,4,4,4,4,4,4,4,4,4
8492741813,8856,4,4,4,4,4,4,4,4,4,4
8492776785,8857,4,4,4,4,4,4,4,4,4,4
8492810539,8858,4,4,4,4,4,4,4,4,4,4
8492864264,8859,4,4,4,4,4,4,4,4,4,4
8492870478,8860,4,4,4,4,4,4,4,4,4,4
8492917160,8861,4,4,4,4,4,4,4,4,4,4
8492933353,8862,4,4,4,4,4,4,4,4,4,4
8492997126,8863,4,4,4,4,4,4,4,4,4,4
8493002473,8864,4,4,4,4,4,4,4,4,4,4
8493031049,8865,4,4,4,4,4,4,4,4,4,4
8493102928,8866,4,4,4,4,4,4,4,4,4,4
8493111888,8867,4,4,4,4,4,4,4,4,4,4
8493123217,8868,4,4,4,4,4,4,4,4,4,4
8493174516,8869,4,4,4,4,4,4,4,4,4,4
8493212928,8870,4,4,4,4,4,4,4,4,4,4
8493226718,8871,4,4,4,4,4,4,4,4,4,4
8493251773,8872,4,4,4,4,4,4,4,4,4,4
8493274577,8873,4,4,4,4,4,4,4,4,4,4
8493329727,8874,4,4,4,4,4,4,4,4,4,4
8493339874,8875,4,4,4,4,4,4,4,4,4,4
8493385637,8876,4,4,4,4,4,4,4,4,4,4
8493400237,8877,4,4,4,4,4,4,4,4,4,4
8493450302,8878,4,4,4,4,4,4,4,4,4,4
8493489702,8879,4,4,4,4,4,4,4,4,4,4
8493503397,8880,4,4,4,4,4,4,4,4,4,4
8493519894,8881,4,4,4,4,4,4,4,4,4,4
8493562001,8882,4,4,4,4,4,4,4,4,4,4
8493614686,8883,4,4,4,4,4,4,4,4,4,4
8493644702,8884,4,4,4,4,4,4,4,4,4,4
8493677067,8885,4,4,4,4,4,4,4,4,4,4
8493679395,8886,4,4,4,4,4,4,4,4,4,4
8493715762,8887,4,4,4,4,4,4,4,4,4,4
8493749461,8888,4,4,4,4,4,4,4,4,4,4
8493812012,8889,4,4,4,4,4,4,4,4,4,4
8493818190,8890,4,4,4,4,4,4,4,4,4,4
8493844689,8891,4,4,4,4,4,4,4,4,4,4
8493872011,8892,4,4,4,4,4,4,4,4,4,4
8493918673,8893,4,4,4,4,4,4,4,4,4,4
8493935332,8894,4,4,4,4,4,4,4,4,4,4
8493964779,8895,4,4,4,4,4,4,4,4,4,4
8493997059,8896,4,4,4,4,4,4,4,4,4,4
8494038330,8897,4,4,4,4,4,4,4,4,4,4
8494058741,8898,4,4,4,4,4,4,4,4,4,4
8494097606,8899,4,4,4,4,4,4,4,4,4,4
8494124478,8900,4,4,4,4,4,4,4,4,4,4
8494159669,8901,4,4,4,4,4,4,4,4,4,4
8494198317,8902,4,4,4,4,4,4,4,4,4,4
8494216438,8903,4,4,4,4,4,4,4,4,4,4
8494278616,8904,4,4,4,4,4,4,4,4,4,4
8494294890,8905,4,4,4,4,4,4,4,4,4,4
8494348665,8906,4,4,4,4,4,4,4,4,4,4
8494351932,8907,4,4,4,4,4,4,4,4,4,4
8494408815,8908,4,4,4,4,4,4,4,4,4,4
8494424679,8909,4,4,4,4,4,4,4,4,4,4
8494432027,8910,4,4,4,4,4,4,4,4,4,4
8494461806,8911,4,4,4,4,4,4,4,4,4,4
8494536616,8912,4,4,4,4,4,4,4,4,4,4
8494548217,8913,4,4,4,4,4,4,4,4,4,4
8494565947,8914,4,4,4,4,4,4,4,4,4,4
8494629604,8915,4,4,4,4,4,4,4,4,4,4
8494638758,8916,4,4,4,4,4,4,4,4,4,4
8494652173,8917,4,4,4,4,4,4,4,4,4,4
8494699987,8918,4,4,4,4,4,4,4,4,4,4
8494718328,8919,4,4,4,4,4,4,4,4,4,4
8494745896,8920,4,4,4,4,4,4,4,4,4,4
8494778024,8921,4,4,4,4,4,4,4,4,4,4
8494810012,8922,4,4,4,4,4,4,4,4,4,4
8494887248,8923,4,4,4,4,4,4,4,4,4,4
8494905851,8924,4,4,4,4,4,4,4,4,4,4
8494915104,8925,4,4,4,4,4,4,4,4,4,4
8494937056,8926,4,4,4,4,4,4,4,4,4,4
8494981152,8927,4,4,4,4,4,4,4,4,4,4
8494985513,8928,4,4,4,4,4,4,4,4,4,4
8495022102,8929,4,4,4,4,4,4,4,4,4,4
8495068373,8930,4,4,4,4,4,4,4,4,4,4
8495121040,8931,4,4,4,4,4,4,4,4,4,4
8495129940,8932,4,4,4,4,4,4,4,4,4,4
8495168239,8933,4,4,4,4,4,4,4,4,4,4
8495184427,8934,4,4,4,4,4,4,4,4,4,4
8495234588,8935,4,4,4,4,4,4,4,4,4,4
8495257297,8936,4,4,4,4,4,4,4,4,4,4
8495290977,8937,4,4,4,4,4,4,4,4,4,4
8495304241,8938,4,4,4,4,4,4,4,4,4,4
8495344885,8939,4,4,4,4,4,4,4,4,4,4
8495373169,8940,4,4,4,4,4,4,4,4,4,4
8495401044,8941,4,4,4,4,4,4,4,4,4,4
8495458951,8942,4,4,4,4,4,4,4,4,4,4
8495470938,8943,4,4,4,4,4,4,4,4,4,4
8495526067,8944,4,4,4,4,4,4,4,4,4,4
8495536049,8945,4,4,4,4,4,4,4,4,4,4
8495569534,8946,4,4,4,4,4,4,4,4,4,4
8495603305,8947,4,4,4,4,4,4,4,4,4,4
8495638964,8948,4,4,4,4,4,4,4,4,4,4
8495663878,8949,4,4,4,4,4,4,4,4,4,4
8495691110,8950,4,4,4,4,4,4,4,4,4,4
8495711507,8951,4,4,4,4,4,4,4,4,4,4
8495750189,8952,4,4,4,4,4,4,4,4,4,4
8495776062,8953,4,4,4,4,4,4,4,4,4,4
8495809130,8954,4,4,4,4,4,4,4,4,4,4
8495838910,8955,4,4,4,4,4,4,4,4,4,4
8495869714,8956,4,4,4,4,4,4,4,4,4,4
8495925831,8957,4,4,4,4,4,4,4,4,4,4
8495933501,8958,4,4,4,4,4,4,4,4,4,4
8495963699,8959,4,4,4,4,4,4,4,4,4,4
8495996856,8960,4,4,4,4,4,4,4,4,4,4
8496075819,8961,4,4,4,4,4,4,4,4,4,4
8496079389,8962,4,4,4,4,4,4,4,4,4,4
8496084758,8963,4,4,4,4,4,4,4,4,4,4
8496125635,8964,4,4,4,4,4,4,4,4,4,4
8496207112,8965,4,4,4,4,4,4,4,4,4,4
8496211919,8966,4,4,4,4,4,4,4,4,4,4
8496218744,8967,4,4,4,4,4,4,4,4,4,4
8496247447,8968,4,4,4,4,4,4,4,4,4,4
8496288297,8969,4,4,4,4,4,4,4,4,4,4
8496309952,8970,4,4,4,4,4,4,4,4,4,4
8496341983,8971,4,4,4,4,4,4,4,4,4,4
8496397288,8972,4,4,4,4,4,4,4,4,4,4
8496406933,8973,4,4,4,4,4,4,4,4,4,4
8496455691,8974,4,4,4,4,4,4,4,4,4,4
8496459148,8975,4,4,4,4,4,4,4,4,4,4
8496517287,8976,4,4,4,4,4,4,4,4,4,4
8496544830,8977,4,4,4,4,4,4,4,4,4,4
8496558092,8978,4,4,4,4,4,4,4,4,4,4
8496590934,8979,4,4,4,4,4,4,4,4,4,4
8496656675,8980,4,4,4,4,4,4,4,4,4,4
8496661434,8981,4,4,4,4,4,4,4,4,4,4
8496688456,8982,4,4,4,4,4,4,4,4,4,4
8496714895,8983,4,4,4,4,4,4,4,4,4,4
8496755608,8984,4,4,4,4,4,4,4,4,4,4
8496776169,8985,4,4,4,4,4,4,4,4,4,4
8496812066,8986,4,4,4,4,4,4,4,4,4,4
8496864695,8987,4,4,4,4,4,4,4,4,4,4
8496876387,8988,4,4,4,4,4,4,4,4,4,4
8496899943,8989,4,4,4,4,4,4,4,4,4,4
8496962313,8990,4,4,4,4,4,4,4,4,4,4
8496996994,8991,4,4,4,4,4,4,4,4,4,4
8497001607,8992,4,4,4,4,4,4,4,4,4,4
8497029779,8993,4,4,4,4,4,4,4,4,4,4
8497062546,8994,4,4,4,4,4,4,4,4,4,4
8497113284,8995,4,4,4,4,4,4,4,4,4,4
8497124843,8996,4,4,4,4,4,4,4,4,4,4
8497147504,8997,4,4,4,4,4,4,4,4,4,4
8497179247,8998,4,4,4,4,4,4,4,4,4,4
8497228061,8999,4,4,4,4,4,4,4,4,4,4
8497248929,9000,4,4,4,4,4,4,4,4,4,4
8497274715,9001,4,4,4,4,4,4,4,4,4,4
8497308698,9002,4,4,4,4,4,4,4,4,4,4
8497348638,9003,4,4,4,4,4,4,4,4,4,4
8497370944,9004,4,4,4,4,4,4,4,4,4,4
8497422364,9005,4,4,4,4,4,4,4,4,4,4
8497474366,9006,4,4,4,4,4,4,4,4,4,4
8497489721,9007,4,4,4,4,4,4,4,4,4,4
8497500629,9008,4,4,4,4,4,4,4,4,4,4
8497522926,9009,4,4,4,4,4,4,4,4,4,4
8497553147,9010,4,4,4,4,4,4,4,4,4,4
8497586234,9011,4,4,4,4,4,4,4,4,4,4
8497623645,9012,4,4,4,4,4,4,4,4,4,4
8497652151,9013,4,4,4,4,4,4,4,4,4,4
8497706777,9014,4,4,4,4,4,4,4,4,4,4
8497719266,9015,4,4,4,4,4,4,4,4,4,4
8497756850,9016,4,4,4,4,4,4,4,4,4,4
8497783309,9017,4,4,4,4,4,4,4,4,4,4
8497818241,9018,4,4,4,4,4,4,4,4,4,4
8497834914,9019,4,4,4,4,4,4,4,4,4,4
8497887299,9020,4,4,4,4,4,4,4,4,4,4
8497935730,9021,4,4,4,4,4,4,4,4,4,4
8497940961,9022,4,4,4,4,4,4,4,4,4,4
8497971903,9023,4,4,4,4,4,4,4,4,4,4
8497998618,9024,4,4,4,4,4,4,4,4,4,4
8498055861,9025,4,4,4,4,4,4,4,4,4,4
8498086051,9026,4,4,4,4,4,4,4,4,4,4
8498093155,9027,4,4,4,4,4,4,4,4,4,4
8498125968,9028,4,4,4,4,4,4,4,4,4,4
8498173906,9029,4,4,4,4,4,4,4,4,4,4
8498181999,9030,4,4,4,4,4,4,4,4,4,4
8498212761,9031,4,4,4,4,4,4,4,4,4,4
8498241397,9032,4,4,4,4,4,4,4,4,4,4
8498302141,9033,4,4,4,4,4,4,4,4,4,4
8498312028,9034,4,4,4,4,4,4,4,4,4,4
8498346122,9035,4,4,4,4,4,4,4,4,4,4
8498367134,9036,4,4,4,4,4,4,4,4,4,4
8498433366,9037,4,4,4,4,4,4,4,4,4,4
8498443687,9038,4,4,4,4,4,4,4,4,4,4
8498464290,9039,4,4,4,4,4,4,4,4,4,4
8498537074,9040,4,4,4,4,4,4,4,4,4,4
