steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
8958193716,11412,4,4,4,4,4,4,4,4,4,4
8958279953,11413,4,4,4,4,4,4,4,4,4,4
8958303722,11414,4,4,4,4,4,4,4,4,4,4
8958308747,11415,4,4,4,4,4,4,4,4,4,4
8958312266,11416,4,4,4,4,4,4,4,4,4,4
8958359909,11417,4,4,4,4,4,4,4,4,4,4
8958377431,11418,4,4,4,4,4,4,4,4,4,4
8958415078,11419,4,4,4,4,4,4,4,4,4,4
8958441262,11420,4,4,4,4,4,4,4,4,4,4
8958489539,11421,4,4,4,4,4,4,4,4,4,4
8958503634,11422,4,4,4,4,4,4,4,4,4,4
8958535007,11423,4,4,4,4,4,4,4,4,4,4
8958592410,11424,4,4,4,4,4,4,4,4,4,4
8958601643,11425,4,4,4,4,4,4,4,4,4,4
8958626382,11426,4,4,4,4,4,4,4,4,4,4
8958659006,11427,4,4,4,4,4,4,4,4,4,4
8958723924,11428,4,4,4,4,4,4,4,4,4,4
8958729230,11429,4,4,4,4,4,4,4,4,4,4
8958750094,11430,4,4,4,4,4,4,4,4,4,4
8958787574,11431,4,4,4,4,4,4,4,4,4,4
8958837540,11432,4,4,4,4,4,4,4,4,4,4
8958842535,11433,4,4,4,4,4,4,4,4,4,4
8958898690,11434,4,4,4,4,4,4,4,4,4,4
8958917478,11435,4,4,4,4,4,4,4,4,4,4
8958947558,11436,4,4,4,4,4,4,4,4,4,4
8958967067,11437,4,4,4,4,4,4,4,4,4,4
8959014290,11438,4,4,4,4,4,4,4,4,4,4
8959032837,11439,4,4,4,4,4,4,4,4,4,4
8959064026,11440,4,4,4,4,4,4,4,4,4,4
8959105100,11441,4,4,4,4,4,4,4,4,4,4
8959130266,11442,4,4,4,4,4,4,4,4,4,4
