steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
8958193716,11412,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8958279953,11413,-2,0,8.5343261719,0.4833007813,-5.0603027344,-2.2560975610,0.7317073171,-1.5548780488,-14.6999265004,-26.8498657507,-41.9997900010
8958303722,11414,-2,0,7.5940429688,-0.2009765625,-6.2111328125,-7.4390243902,-8.9329268293,1.0365853659,-13.6499317503,-27.5998620007,-41.9997900010
8958308747,11415,-2,0,7.7399902344,-0.3206054688,-6.4934570313,-1.8292682927,-3.8414634146,0.4573170732,-13.6499317503,-27.5998620007,-41.9997900010
8958312266,11416,-2,0,7.8285156250,-0.5359375000,-6.2781250000,2.2865853659,-0.8536585366,-1.3109756098,-13.6499317503,-27.5998620007,-41.9997900010
8958359909,11417,-2,0,7.7160644531,-0.6364257813,-5.9240234375,2.6829268293,3.5365853659,-3.4756097561,-12.8999355003,-27.5998620007,-43.1997840011
8958377431,11418,-2,0,7.9744628906,-0.3134277344,-5.9024902344,-0.7317073171,6.8292682927,-3.4146341463,-12.8999355003,-27.5998620007,-43.1997840011
8958415078,11419,-2,0,7.9744628906,-0.3134277344,-5.9024902344,-1.8902439024,8.0792682927,-1.9817073171,-12.8999355003,-27.5998620007,-43.1997840011
8958441262,11420,-2,0,8.0462402344,-0.3373535156,-5.7996093750,-1.1585365854,9.2073170732,-0.9451219512,-13.9499302503,-27.5998620007,-42.7497862511
8958489539,11421,-2,0,7.9720703125,-0.2727539063,-5.6416992188,1.4329268293,11.9207317073,-1.3719512195,-13.9499302503,-27.5998620007,-42.7497862511
8958503634,11422,-2,0,8.1706542969,-0.3277832031,-5.5579589844,3.9329268293,11.0365853659,-1.0365853659,-13.9499302503,-27.5998620007,-42.7497862511
8958535007,11423,-2,0,8.6156738281,-0.4498046875,-5.4239746094,6.7682926829,5.3658536585,-0.0304878049,-12.8999355003,-26.8498657507,-41.9997900010
8958592410,11424,-2,0,8.4194824219,-0.4402343750,-5.3426269531,9.0853658537,1.0060975610,-1.9817073171,-12.8999355003,-26.8498657507,-41.9997900010
8958601643,11425,-2,0,8.1323730469,-0.5502929688,-5.2684570313,9.4817073171,0.0609756098,-2.0121951220,-12.8999355003,-26.8498657507,-41.9997900010
8958626382,11426,-2,0,8.4075195313,-0.5096191406,-5.2995605469,9.7865853659,-4.9085365854,1.9817073171,-14.2499287504,-27.7498612507,-43.0497847511
8958659006,11427,-2,0,9.0798339844,-0.6388183594,-5.2158203125,8.2012195122,-17.9573170732,5.4573170732,-14.2499287504,-27.7498612507,-43.0497847511
8958723924,11428,-2,0,8.9195312500,-1.0790527344,-5.0028808594,1.0060975610,-30.9756097561,5.3658536585,-14.2499287504,-27.7498612507,-43.0497847511
8958729230,11429,-2,0,8.5462890625,-0.8374023438,-5.1057617188,-2.1951219512,-38.4451219512,6.8902439024,-12.4499377503,-28.7998560007,-42.7497862511
8958750094,11430,-2,0,8.1562988281,-0.6364257813,-5.4574707031,-2.1951219512,-41.9512195122,10.2439024390,-12.4499377503,-28.7998560007,-42.7497862511
8958787574,11431,-2,0,7.2112304688,-0.5694335938,-6.2302734375,1.2804878049,-36.9817073171,10.8536585366,-12.4499377503,-28.7998560007,-42.7497862511
8958837540,11432,-2,0,8.1610839844,-0.6723144531,-6.6226562500,6.0975609756,-42.1951219512,12.2560975610,-12.4499377503,-28.7998560007,-42.7497862511
8958842535,11433,-2,0,8.1156250000,-1.1604003906,-6.2924804688,5.3658536585,-53.9939024390,11.2195121951,-10.6499467503,-27.5998620007,-42.7497862511
8958898690,11434,-2,0,5.9168457031,-1.9355957031,-6.3044433594,-3.9634146341,-42.1341463415,-0.0914634146,-10.6499467503,-27.5998620007,-42.7497862511
8958917478,11435,-2,0,6.3977539063,-1.5934570313,-6.7781738281,-11.7682926829,-31.5853658537,-6.3719512195,-10.6499467503,-27.5998620007,-42.7497862511
8958947558,11436,-2,0,5.7661132813,-0.9953125000,-7.0604980469,-13.4451219512,-13.5365853659,-8.0792682927,-8.9999550002,-28.1998590007,-43.6497817511
8958967067,11437,-2,0,6.5006347656,-0.8972167969,-7.3571777344,-11.0060975610,4.2378048780,-4.6341463415,-8.9999550002,-28.1998590007,-43.6497817511
8959014290,11438,-2,0,6.8332031250,-0.7010253906,-7.3595703125,-7.2865853659,4.5731707317,-5.1524390244,-8.9999550002,-28.1998590007,-43.6497817511
8959032837,11439,-2,0,6.6585449219,-0.5144042969,-7.4935546875,-0.5792682927,11.2195121951,-5.4878048780,-6.7499662502,-29.6998515007,-44.3997780011
8959064026,11440,-2,0,6.5508789063,-0.8565429688,-7.2423339844,0.5487804878,12.9878048780,-6.9512195122,-6.7499662502,-29.6998515007,-44.3997780011
8959105100,11441,-2,0,6.4695312500,-0.7393066406,-7.1681640625,1.7073170732,19.4512195122,-7.7439024390,-6.7499662502,-29.6998515007,-44.3997780011
8959130266,11442,-2,0,7.0485351563,-0.6507812500,-6.9743652344,-0.7926829268,23.2012195122,-3.0487804878,-9.8999505002,-28.3498582507,-43.4997825011
8959190318,11443,2,0,7.0126464844,-0.6555664063,-6.7207519531,-3.1707317073,27.8963414634,-0.8231707317,-9.8999505002,-28.3498582507,-43.4997825011
8959215325,11444,2,0,7.4241699219,-0.5718261719,-6.6250488281,-3.5670731707,29.0243902439,0.9146341463,-9.8999505002,-28.3498582507,-43.4997825011
8959221586,11445,2,0,7.3045410156,-0.5239746094,-6.5652343750,-2.5304878049,29.1768292683,-1.4024390244,-9.7499512502,-26.9998650007,-41.5497922510
8959250842,11446,2,0,7.5581542969,-0.7560546875,-6.3546875000,-0.0609756098,32.0426829268,-0.4573170732,-9.7499512502,-26.9998650007,-41.5497922510
8959312805,11447,2,0,7.2231933594,-0.7225585938,-6.2446289063,1.7987804878,33.9939024390,-0.0304878049,-9.7499512502,-26.9998650007,-41.5497922510
