steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
3029740075,7822,4,4,4,4,4,4,4,4,4,4
3029770116,7823,4,4,4,4,4,4,4,4,4,4
3029821311,7824,4,4,4,4,4,4,4,4,4,4
3029838813,7825,4,4,4,4,4,4,4,4,4,4
3029867457,7826,4,4,4,4,4,4,4,4,4,4
3029894179,7827,4,4,4,4,4,4,4,4,4,4
3029941077,7828,4,4,4,4,4,4,4,4,4,4
3029961101,7829,4,4,4,4,4,4,4,4,4,4
3029988912,7830,4,4,4,4,4,4,4,4,4,4
3030020412,7831,4,4,4,4,4,4,4,4,4,4
3030059909,7832,4,4,4,4,4,4,4,4,4,4
3030102794,7833,4,4,4,4,4,4,4,4,4,4
3030126852,7834,4,4,4,4,4,4,4,4,4,4
3030167437,7835,4,4,4,4,4,4,4,4,4,4
3030176154,7836,4,4,4,4,4,4,4,4,4,4
3030206772,7837,4,4,4,4,4,4,4,4,4,4
3030242764,7838,4,4,4,4,4,4,4,4,4,4
3030299040,7839,4,4,4,4,4,4,4,4,4,4
3030304009,7840,4,4,4,4,4,4,4,4,4,4
3030340267,7841,4,4,4,4,4,4,4,4,4,4
3030371824,7842,4,4,4,4,4,4,4,4,4,4
3030416915,7843,4,4,4,4,4,4,4,4,4,4
3030426066,7844,4,4,4,4,4,4,4,4,4,4
3030467699,7845,4,4,4,4,4,4,4,4,4,4
3030524127,7846,4,4,4,4,4,4,4,4,4,4
3030539068,7847,4,4,4,4,4,4,4,4,4,4
3030552782,7848,4,4,4,4,4,4,4,4,4,4
3030581353,7849,4,4,4,4,4,4,4,4,4,4
3030613993,7850,4,4,4,4,4,4,4,4,4,4
3030651419,7851,4,4,4,4,4,4,4,4,4,4
3030676330,7852,4,4,4,4,4,4,4,4,4,4
3030708781,7853,4,4,4,4,4,4,4,4,4,4
3030764989,7854,4,4,4,4,4,4,4,4,4,4
3030799005,7855,4,4,4,4,4,4,4,4,4,4
3030808921,7856,4,4,4,4,4,4,4,4,4,4
3030835588,7857,4,4,4,4,4,4,4,4,4,4
3030880181,7858,4,4,4,4,4,4,4,4,4,4
3030905379,7859,4,4,4,4,4,4,4,4,4,4
3030927933,7860,4,4,4,4,4,4,4,4,4,4
3030957678,7861,4,4,4,4,4,4,4,4,4,4
3031001793,7862,4,4,4,4,4,4,4,4,4,4
3031022063,7863,4,4,4,4,4,4,4,4,4,4
3031054072,7864,4,4,4,4,4,4,4,4,4,4
3031081988,7865,4,4,4,4,4,4,4,4,4,4
3031125085,7866,4,4,4,4,4,4,4,4,4,4
3031150216,7867,4,4,4,4,4,4,4,4,4,4
3031178998,7868,4,4,4,4,4,4,4,4,4,4
3031240178,7869,4,4,4,4,4,4,4,4,4,4
3031242541,7870,4,4,4,4,4,4,4,4,4,4
3031272948,7871,4,4,4,4,4,4,4,4,4,4
3031301856,7872,4,4,4,4,4,4,4,4,4,4
3031354143,7873,4,4,4,4,4,4,4,4,4,4
3031384171,7874,4,4,4,4,4,4,4,4,4,4
3031400260,7875,4,4,4,4,4,4,4,4,4,4
3031431870,7876,4,4,4,4,4,4,4,4,4,4
3031471830,7877,4,4,4,4,4,4,4,4,4,4
3031497040,7878,4,4,4,4,4,4,4,4,4,4
3031527759,7879,4,4,4,4,4,4,4,4,4,4
