steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
2853191238,5485,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2853224011,5486,-2,0,0.2416503906,-0.0622070313,-0.2368652344,-0.6097560976,0.9146341463,0.3658536585,7.6499617502,-34.4998275009,-41.2497937510
2853252923,5487,-2,0,6.8834472656,-1.7178710938,-6.7901367188,-0.7317073171,1.9512195122,-0.8841463415,6.4499677502,-34.9498252509,-41.6997915010
2853281746,5488,-2,0,6.9576171875,-1.6795898438,-6.9145507813,-0.9146341463,2.1036585366,-0.8231707317,6.4499677502,-34.9498252509,-41.6997915010
2853307541,5489,-2,0,6.9193359375,-1.6771972656,-6.8379882813,-0.9146341463,1.8597560976,-0.8841463415,6.4499677502,-34.9498252509,-41.6997915010
2853341469,5490,-2,0,7.0150390625,-1.6652343750,-6.8738769531,-1.0670731707,1.4329268293,-0.8536585366,4.9499752501,-34.1998290009,-43.1997840011
2853377931,5491,-2,0,7.0533203125,-1.6795898438,-6.9073730469,-1.2500000000,1.5853658537,-0.1829268293,4.9499752501,-34.1998290009,-43.1997840011
2853401482,5492,-2,0,7.0006835938,-1.6652343750,-6.8882324219,-1.1585365854,1.1890243902,0.0304878049,4.9499752501,-34.1998290009,-43.1997840011
2853428670,5493,-2,0,6.9145507813,-1.6293457031,-6.8284179688,-0.9146341463,0.3963414634,-0.5487804878,6.2999685002,-34.3498282509,-42.2997885011
2853489069,5494,-2,0,6.8738769531,-1.6676269531,-6.8666992188,-0.3048780488,0.7621951220,-0.8231707317,6.2999685002,-34.3498282509,-42.2997885011
2853496978,5495,-2,0,7.0246093750,-1.7178710938,-6.8714843750,-0.3048780488,1.3719512195,-0.7926829268,6.2999685002,-34.3498282509,-42.2997885011
2853522910,5496,-2,0,7.0246093750,-1.7250488281,-6.8068847656,-1.0975609756,0.9146341463,-0.3353658537,6.2999685002,-35.5498222509,-41.8497907510
2853581020,5497,-2,0,6.9193359375,-1.6604492188,-6.8930175781,-1.3719512195,0.3658536585,-0.2743902439,6.2999685002,-35.5498222509,-41.8497907510
2853586412,5498,-2,0,6.9193359375,-1.6604492188,-6.8930175781,-0.7317073171,1.3109756098,-0.7621951220,6.2999685002,-35.5498222509,-41.8497907510
2853615463,5499,-2,0,6.8643066406,-1.6389160156,-6.9217285156,-0.0609756098,2.1646341463,-0.5792682927,6.4499677502,-35.6998215009,-41.2497937510
2853643885,5500,-2,0,7.0270019531,-1.7154785156,-6.8068847656,-0.7012195122,1.5853658537,-0.7012195122,6.4499677502,-35.6998215009,-41.2497937510
2853696814,5501,-2,0,7.0246093750,-1.7824707031,-6.8164550781,-1.7378048780,0.7317073171,-0.8536585366,6.4499677502,-35.6998215009,-41.2497937510
