steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
2862455158,5715,4,4,4,4,4,4,4,4,4,4
2862475059,5716,4,4,4,4,4,4,4,4,4,4
2862502954,5717,4,4,4,4,4,4,4,4,4,4
2862556987,5718,4,4,4,4,4,4,4,4,4,4
2862562813,5719,4,4,4,4,4,4,4,4,4,4
2862602784,5720,4,4,4,4,4,4,4,4,4,4
2862627956,5721,4,4,4,4,4,4,4,4,4,4
2862680175,5722,4,4,4,4,4,4,4,4,4,4
2862689730,5723,4,4,4,4,4,4,4,4,4,4
2862725199,5724,4,4,4,4,4,4,4,4,4,4
2862754106,5725,4,4,4,4,4,4,4,4,4,4
2862803925,5726,4,4,4,4,4,4,4,4,4,4
2862814116,5727,4,4,4,4,4,4,4,4,4,4
2862847713,5728,4,4,4,4,4,4,4,4,4,4
2862904017,5729,4,4,4,4,4,4,4,4,4,4
2862917853,5730,4,4,4,4,4,4,4,4,4,4
2862943943,5731,4,4,4,4,4,4,4,4,4,4
2862976523,5732,4,4,4,4,4,4,4,4,4,4
2863024154,5733,4,4,4,4,4,4,4,4,4,4
2863059140,5734,4,4,4,4,4,4,4,4,4,4
2863067953,5735,4,4,4,4,4,4,4,4,4,4
2863097163,5736,4,4,4,4,4,4,4,4,4,4
2863152873,5737,4,4,4,4,4,4,4,4,4,4
2863160317,5738,4,4,4,4,4,4,4,4,4,4
2863211703,5739,4,4,4,4,4,4,4,4,4,4
2863216615,5740,4,4,4,4,4,4,4,4,4,4
2863272796,5741,4,4,4,4,4,4,4,4,4,4
2863286391,5742,4,4,4,4,4,4,4,4,4,4
2863323853,5743,4,4,4,4,4,4,4,4,4,4
2863344544,5744,4,4,4,4,4,4,4,4,4,4
2863379221,5745,4,4,4,4,4,4,4,4,4,4
2863415779,5746,4,4,4,4,4,4,4,4,4,4
2863449400,5747,4,4,4,4,4,4,4,4,4,4
2863534203,5748,4,4,4,4,4,4,4,4,4,4
2863540002,5749,4,4,4,4,4,4,4,4,4,4
2863551633,5750,4,4,4,4,4,4,4,4,4,4
2863579310,5751,4,4,4,4,4,4,4,4,4,4
2863621732,5752,4,4,4,4,4,4,4,4,4,4
2863628356,5753,4,4,4,4,4,4,4,4,4,4
2863661662,5754,4,4,4,4,4,4,4,4,4,4
2863704273,5755,4,4,4,4,4,4,4,4,4,4
2863737728,5756,4,4,4,4,4,4,4,4,4,4
2863756635,5757,4,4,4,4,4,4,4,4,4,4
2863787784,5758,4,4,4,4,4,4,4,4,4,4
2863817984,5759,4,4,4,4,4,4,4,4,4,4
2863858316,5760,4,4,4,4,4,4,4,4,4,4
2863881558,5761,4,4,4,4,4,4,4,4,4,4
2863913135,5762,4,4,4,4,4,4,4,4,4,4
2863968061,5763,4,4,4,4,4,4,4,4,4,4
2863996966,5764,4,4,4,4,4,4,4,4,4,4
2864025129,5765,4,4,4,4,4,4,4,4,4,4
2864037742,5766,4,4,4,4,4,4,4,4,4,4
2864098965,5767,4,4,4,4,4,4,4,4,4,4
2864108099,5768,4,4,4,4,4,4,4,4,4,4
2864130285,5769,4,4,4,4,4,4,4,4,4,4
2864156734,5770,4,4,4,4,4,4,4,4,4,4
2864234134,5771,4,4,4,4,4,4,4,4,4,4
2864242855,5772,4,4,4,4,4,4,4,4,4,4
2864261715,5773,4,4,4,4,4,4,4,4,4,4
2864280950,5774,4,4,4,4,4,4,4,4,4,4
2864357932,5775,4,4,4,4,4,4,4,4,4,4
2864376861,5776,4,4,4,4,4,4,4,4,4,4
2864380055,5777,4,4,4,4,4,4,4,4,4,4
2864412967,5778,4,4,4,4,4,4,4,4,4,4
2864450595,5779,4,4,4,4,4,4,4,4,4,4
2864471654,5780,4,4,4,4,4,4,4,4,4,4
2864506949,5781,4,4,4,4,4,4,4,4,4,4
2864558054,5782,4,4,4,4,4,4,4,4,4,4
2864565840,5783,4,4,4,4,4,4,4,4,4,4
2864596944,5784,4,4,4,4,4,4,4,4,4,4
2864635795,5785,4,4,4,4,4,4,4,4,4,4
2864685835,5786,4,4,4,4,4,4,4,4,4,4
2864690241,5787,4,4,4,4,4,4,4,4,4,4
2864741419,5788,4,4,4,4,4,4,4,4,4,4
2864758943,5789,4,4,4,4,4,4,4,4,4,4
2864795521,5790,4,4,4,4,4,4,4,4,4,4
2864814071,5791,4,4,4,4,4,4,4,4,4,4
2864850224,5792,4,4,4,4,4,4,4,4,4,4
2864881489,5793,4,4,4,4,4,4,4,4,4,4
2864920210,5794,4,4,4,4,4,4,4,4,4,4
2864940311,5795,4,4,4,4,4,4,4,4,4,4
2864983884,5796,4,4,4,4,4,4,4,4,4,4
2865042156,5797,4,4,4,4,4,4,4,4,4,4
2865052892,5798,4,4,4,4,4,4,4,4,4,4
2865071859,5799,4,4,4,4,4,4,4,4,4,4
2865094215,5800,4,4,4,4,4,4,4,4,4,4
2865145474,5801,4,4,4,4,4,4,4,4,4,4
2865164566,5802,4,4,4,4,4,4,4,4,4,4
2865194150,5803,4,4,4,4,4,4,4,4,4,4
2865229071,5804,4,4,4,4,4,4,4,4,4,4
2865279198,5805,4,4,4,4,4,4,4,4,4,4
2865285751,5806,4,4,4,4,4,4,4,4,4,4
2865316866,5807,4,4,4,4,4,4,4,4,4,4
2865380941,5808,4,4,4,4,4,4,4,4,4,4
2865386956,5809,4,4,4,4,4,4,4,4,4,4
2865410356,5810,4,4,4,4,4,4,4,4,4,4
2865439609,5811,4,4,4,4,4,4,4,4,4,4
2865473000,5812,4,4,4,4,4,4,4,4,4,4
2865505026,5813,4,4,4,4,4,4,4,4,4,4
2865538042,5814,4,4,4,4,4,4,4,4,4,4
2865565664,5815,4,4,4,4,4,4,4,4,4,4
2865619548,5816,4,4,4,4,4,4,4,4,4,4
2865671824,5817,4,4,4,4,4,4,4,4,4,4
2865677631,5818,4,4,4,4,4,4,4,4,4,4
2865716980,5819,4,4,4,4,4,4,4,4,4,4
2865744034,5820,4,4,4,4,4,4,4,4,4,4
2865753045,5821,4,4,4,4,4,4,4,4,4,4
2865776159,5822,4,4,4,4,4,4,4,4,4,4
2865819179,5823,4,4,4,4,4,4,4,4,4,4
2865870213,5824,4,4,4,4,4,4,4,4,4,4
2865888689,5825,4,4,4,4,4,4,4,4,4,4
2865909909,5826,4,4,4,4,4,4,4,4,4,4
2865941615,5827,4,4,4,4,4,4,4,4,4,4
2865987042,5828,4,4,4,4,4,4,4,4,4,4
2866004338,5829,4,4,4,4,4,4,4,4,4,4
2866033295,5830,4,4,4,4,4,4,4,4,4,4
2866100480,5831,4,4,4,4,4,4,4,4,4,4
2866109502,5832,4,4,4,4,4,4,4,4,4,4
2866126715,5833,4,4,4,4,4,4,4,4,4,4
2866175494,5834,4,4,4,4,4,4,4,4,4,4
2866201798,5835,4,4,4,4,4,4,4,4,4,4
2866223021,5836,4,4,4,4,4,4,4,4,4,4
2866270401,5837,4,4,4,4,4,4,4,4,4,4
2866297983,5838,4,4,4,4,4,4,4,4,4,4
2866331987,5839,4,4,4,4,4,4,4,4,4,4
2866356738,5840,4,4,4,4,4,4,4,4,4,4
2866381957,5841,4,4,4,4,4,4,4,4,4,4
2866409232,5842,4,4,4,4,4,4,4,4,4,4
2866448821,5843,4,4,4,4,4,4,4,4,4,4
2866480705,5844,4,4,4,4,4,4,4,4,4,4
2866510338,5845,4,4,4,4,4,4,4,4,4,4
2866537983,5846,4,4,4,4,4,4,4,4,4,4
2866570016,5847,4,4,4,4,4,4,4,4,4,4
2866598961,5848,4,4,4,4,4,4,4,4,4,4
2866626773,5849,4,4,4,4,4,4,4,4,4,4
2866657986,5850,4,4,4,4,4,4,4,4,4,4
2866693025,5851,4,4,4,4,4,4,4,4,4,4
2866729364,5852,4,4,4,4,4,4,4,4,4,4
2866768028,5853,4,4,4,4,4,4,4,4,4,4
2866801754,5854,4,4,4,4,4,4,4,4,4,4
2866819597,5855,4,4,4,4,4,4,4,4,4,4
2866848823,5856,4,4,4,4,4,4,4,4,4,4
2866929199,5857,4,4,4,4,4,4,4,4,4,4
2866938012,5858,4,4,4,4,4,4,4,4,4,4
2866948071,5859,4,4,4,4,4,4,4,4,4,4
2866967167,5860,4,4,4,4,4,4,4,4,4,4
2867004087,5861,4,4,4,4,4,4,4,4,4,4
2867046774,5862,4,4,4,4,4,4,4,4,4,4
2867065824,5863,4,4,4,4,4,4,4,4,4,4
2867103361,5864,4,4,4,4,4,4,4,4,4,4
2867151762,5865,4,4,4,4,4,4,4,4,4,4
2867160496,5866,4,4,4,4,4,4,4,4,4,4
2867204233,5867,4,4,4,4,4,4,4,4,4,4
2867224692,5868,4,4,4,4,4,4,4,4,4,4
2867276316,5869,4,4,4,4,4,4,4,4,4,4
2867285270,5870,4,4,4,4,4,4,4,4,4,4
2867319684,5871,4,4,4,4,4,4,4,4,4,4
2867340321,5872,4,4,4,4,4,4,4,4,4,4
2867397364,5873,4,4,4,4,4,4,4,4,4,4
2867419516,5874,4,4,4,4,4,4,4,4,4,4
2867438155,5875,4,4,4,4,4,4,4,4,4,4
2867476985,5876,4,4,4,4,4,4,4,4,4,4
2867542231,5877,4,4,4,4,4,4,4,4,4,4
2867562985,5878,4,4,4,4,4,4,4,4,4,4
2867571915,5879,4,4,4,4,4,4,4,4,4,4
2867599375,5880,4,4,4,4,4,4,4,4,4,4
2867634718,5881,4,4,4,4,4,4,4,4,4,4
2867665778,5882,4,4,4,4,4,4,4,4,4,4
2867704183,5883,4,4,4,4,4,4,4,4,4,4
2867746540,5884,4,4,4,4,4,4,4,4,4,4
2867751958,5885,4,4,4,4,4,4,4,4,4,4
2867780112,5886,4,4,4,4,4,4,4,4,4,4
2867816718,5887,4,4,4,4,4,4,4,4,4,4
2867869207,5888,4,4,4,4,4,4,4,4,4,4
2867874018,5889,4,4,4,4,4,4,4,4,4,4
2867906968,5890,4,4,4,4,4,4,4,4,4,4
2867940549,5891,4,4,4,4,4,4,4,4,4,4
2867992780,5892,4,4,4,4,4,4,4,4,4,4
2868010815,5893,4,4,4,4,4,4,4,4,4,4
2868033790,5894,4,4,4,4,4,4,4,4,4,4
2868066646,5895,4,4,4,4,4,4,4,4,4,4
2868112871,5896,4,4,4,4,4,4,4,4,4,4
2868133082,5897,4,4,4,4,4,4,4,4,4,4
2868180505,5898,4,4,4,4,4,4,4,4,4,4
2868186173,5899,4,4,4,4,4,4,4,4,4,4
2868225883,5900,4,4,4,4,4,4,4,4,4,4
2868260677,5901,4,4,4,4,4,4,4,4,4,4
2868306765,5902,4,4,4,4,4,4,4,4,4,4
2868340510,5903,4,4,4,4,4,4,4,4,4,4
2868350264,5904,4,4,4,4,4,4,4,4,4,4
2868380410,5905,4,4,4,4,4,4,4,4,4,4
2868411405,5906,4,4,4,4,4,4,4,4,4,4
2868457525,5907,4,4,4,4,4,4,4,4,4,4
2868476460,5908,4,4,4,4,4,4,4,4,4,4
2868505656,5909,4,4,4,4,4,4,4,4,4,4
2868539318,5910,4,4,4,4,4,4,4,4,4,4
2868575019,5911,4,4,4,4,4,4,4,4,4,4
