steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
2884927861,5951,4,4,4,4,4,4,4,4,4,4
2884954340,5952,4,4,4,4,4,4,4,4,4,4
2884999376,5953,4,4,4,4,4,4,4,4,4,4
2885012910,5954,4,4,4,4,4,4,4,4,4,4
2885050366,5955,4,4,4,4,4,4,4,4,4,4
2885079466,5956,4,4,4,4,4,4,4,4,4,4
2885134762,5957,4,4,4,4,4,4,4,4,4,4
2885144002,5958,4,4,4,4,4,4,4,4,4,4
2885175850,5959,4,4,4,4,4,4,4,4,4,4
2885203148,5960,4,4,4,4,4,4,4,4,4,4
2885233657,5961,4,4,4,4,4,4,4,4,4,4
2885266654,5962,4,4,4,4,4,4,4,4,4,4
2885297850,5963,4,4,4,4,4,4,4,4,4,4
2885359221,5964,4,4,4,4,4,4,4,4,4,4
2885365609,5965,4,4,4,4,4,4,4,4,4,4
2885391583,5966,4,4,4,4,4,4,4,4,4,4
2885429074,5967,4,4,4,4,4,4,4,4,4,4
2885490495,5968,4,4,4,4,4,4,4,4,4,4
2885497788,5969,4,4,4,4,4,4,4,4,4,4
2885528108,5970,4,4,4,4,4,4,4,4,4,4
2885545496,5971,4,4,4,4,4,4,4,4,4,4
2885591874,5972,4,4,4,4,4,4,4,4,4,4
2885613077,5973,4,4,4,4,4,4,4,4,4,4
2885633972,5974,4,4,4,4,4,4,4,4,4,4
2885675583,5975,4,4,4,4,4,4,4,4,4,4
2885704679,5976,4,4,4,4,4,4,4,4,4,4
2885734859,5977,4,4,4,4,4,4,4,4,4,4
2885766896,5978,4,4,4,4,4,4,4,4,4,4
2885817844,5979,4,4,4,4,4,4,4,4,4,4
2885827908,5980,4,4,4,4,4,4,4,4,4,4
2885864253,5981,4,4,4,4,4,4,4,4,4,4
2885888933,5982,4,4,4,4,4,4,4,4,4,4
2885940104,5983,4,4,4,4,4,4,4,4,4,4
2885954753,5984,4,4,4,4,4,4,4,4,4,4
2885983160,5985,4,4,4,4,4,4,4,4,4,4
2886015001,5986,4,4,4,4,4,4,4,4,4,4
2886060818,5987,4,4,4,4,4,4,4,4,4,4
2886104621,5988,4,4,4,4,4,4,4,4,4,4
2886116979,5989,4,4,4,4,4,4,4,4,4,4
2886148705,5990,4,4,4,4,4,4,4,4,4,4
2886179344,5991,4,4,4,4,4,4,4,4,4,4
2886204656,5992,4,4,4,4,4,4,4,4,4,4
2886233117,5993,4,4,4,4,4,4,4,4,4,4
2886261861,5994,4,4,4,4,4,4,4,4,4,4
2886300517,5995,4,4,4,4,4,4,4,4,4,4
2886352981,5996,4,4,4,4,4,4,4,4,4,4
2886361714,5997,4,4,4,4,4,4,4,4,4,4
2886416963,5998,4,4,4,4,4,4,4,4,4,4
2886424487,5999,4,4,4,4,4,4,4,4,4,4
2886455856,6000,4,4,4,4,4,4,4,4,4,4
2886485897,6001,4,4,4,4,4,4,4,4,4,4
2886538230,6002,4,4,4,4,4,4,4,4,4,4
2886547869,6003,4,4,4,4,4,4,4,4,4,4
2886578971,6004,4,4,4,4,4,4,4,4,4,4
2886614355,6005,4,4,4,4,4,4,4,4,4,4
2886656778,6006,4,4,4,4,4,4,4,4,4,4
2886673125,6007,4,4,4,4,4,4,4,4,4,4
2886699872,6008,4,4,4,4,4,4,4,4,4,4
2886780354,6009,4,4,4,4,4,4,4,4,4,4
2886789191,6010,4,4,4,4,4,4,4,4,4,4
2886795964,6011,4,4,4,4,4,4,4,4,4,4
2886826990,6012,4,4,4,4,4,4,4,4,4,4
2886892008,6013,4,4,4,4,4,4,4,4,4,4
2886901881,6014,4,4,4,4,4,4,4,4,4,4
2886923392,6015,4,4,4,4,4,4,4,4,4,4
2886969245,6016,4,4,4,4,4,4,4,4,4,4
2887003252,6017,4,4,4,4,4,4,4,4,4,4
2887024727,6018,4,4,4,4,4,4,4,4,4,4
2887042778,6019,4,4,4,4,4,4,4,4,4,4
2887077566,6020,4,4,4,4,4,4,4,4,4,4
2887129982,6021,4,4,4,4,4,4,4,4,4,4
2887141018,6022,4,4,4,4,4,4,4,4,4,4
2887175508,6023,4,4,4,4,4,4,4,4,4,4
2887203372,6024,4,4,4,4,4,4,4,4,4,4
2887241995,6025,4,4,4,4,4,4,4,4,4,4
2887276816,6026,4,4,4,4,4,4,4,4,4,4
2887296313,6027,4,4,4,4,4,4,4,4,4,4
2887352112,6028,4,4,4,4,4,4,4,4,4,4
2887389434,6029,4,4,4,4,4,4,4,4,4,4
2887396574,6030,4,4,4,4,4,4,4,4,4,4
2887422263,6031,4,4,4,4,4,4,4,4,4,4
2887484985,6032,4,4,4,4,4,4,4,4,4,4
2887505088,6033,4,4,4,4,4,4,4,4,4,4
2887510107,6034,4,4,4,4,4,4,4,4,4,4
2887551302,6035,4,4,4,4,4,4,4,4,4,4
2887600166,6036,4,4,4,4,4,4,4,4,4,4
2887604631,6037,4,4,4,4,4,4,4,4,4,4
2887636235,6038,4,4,4,4,4,4,4,4,4,4
2887674984,6039,4,4,4,4,4,4,4,4,4,4
2887716945,6040,4,4,4,4,4,4,4,4,4,4
2887738463,6041,4,4,4,4,4,4,4,4,4,4
2887764886,6042,4,4,4,4,4,4,4,4,4,4
2887796589,6043,4,4,4,4,4,4,4,4,4,4
2887831135,6044,4,4,4,4,4,4,4,4,4,4
2887858582,6045,4,4,4,4,4,4,4,4,4,4
2887889272,6046,4,4,4,4,4,4,4,4,4,4
2887920667,6047,4,4,4,4,4,4,4,4,4,4
2887960550,6048,4,4,4,4,4,4,4,4,4,4
2887992073,6049,4,4,4,4,4,4,4,4,4,4
2888024525,6050,4,4,4,4,4,4,4,4,4,4
2888064135,6051,4,4,4,4,4,4,4,4,4,4
2888082901,6052,4,4,4,4,4,4,4,4,4,4
2888109170,6053,4,4,4,4,4,4,4,4,4,4
2888134223,6054,4,4,4,4,4,4,4,4,4,4
2888194565,6055,4,4,4,4,4,4,4,4,4,4
2888203078,6056,4,4,4,4,4,4,4,4,4,4
2888233120,6057,4,4,4,4,4,4,4,4,4,4
2888264256,6058,4,4,4,4,4,4,4,4,4,4
2888304873,6059,4,4,4,4,4,4,4,4,4,4
2888323114,6060,4,4,4,4,4,4,4,4,4,4
2888358387,6061,4,4,4,4,4,4,4,4,4,4
2888428295,6062,4,4,4,4,4,4,4,4,4,4
2888437191,6063,4,4,4,4,4,4,4,4,4,4
2888449997,6064,4,4,4,4,4,4,4,4,4,4
2888501972,6065,4,4,4,4,4,4,4,4,4,4
2888542059,6066,4,4,4,4,4,4,4,4,4,4
2888549157,6067,4,4,4,4,4,4,4,4,4,4
2888581261,6068,4,4,4,4,4,4,4,4,4,4
2888610349,6069,4,4,4,4,4,4,4,4,4,4
2888686870,6070,4,4,4,4,4,4,4,4,4,4
2888695297,6071,4,4,4,4,4,4,4,4,4,4
2888710443,6072,4,4,4,4,4,4,4,4,4,4
2888731637,6073,4,4,4,4,4,4,4,4,4,4
2888785120,6074,4,4,4,4,4,4,4,4,4,4
2888791004,6075,4,4,4,4,4,4,4,4,4,4
2888825566,6076,4,4,4,4,4,4,4,4,4,4
2888859097,6077,4,4,4,4,4,4,4,4,4,4
