steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
2896696922,6187,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2896710268,6188,-2,0,7.1633789063,-1.8135742188,-6.5269531250,-0.6097560976,1.1585365854,-0.7317073171,5.9999700001,-35.5498222509,-41.8497907510
2896728020,6189,-2,0,7.1227050781,-1.8901367188,-6.4886718750,-0.3963414634,1.5853658537,-0.8841463415,4.0499797501,-35.8498207509,-44.0997795011
2896764993,6190,-2,0,7.2686523438,-1.9571289063,-6.6106933594,-0.6707317073,1.3719512195,-0.1524390244,4.0499797501,-35.8498207509,-44.0997795011
2896804890,6191,-2,0,7.1609863281,-1.9571289063,-6.6250488281,-1.1280487805,1.0975609756,-0.0914634146,4.0499797501,-35.8498207509,-44.0997795011
2896825362,6192,-2,0,7.0772460938,-1.8805664063,-6.5867675781,-1.2195121951,1.3719512195,-0.8841463415,5.3999730001,-34.1998290009,-42.4497877511
2896858079,6193,-2,0,7.1322753906,-1.8494628906,-6.6202636719,-0.4573170732,1.4939024390,-1.3109756098,5.3999730001,-34.1998290009,-42.4497877511
2896887074,6194,-2,0,7.1992675781,-1.9547363281,-6.6202636719,-0.4573170732,1.3719512195,-0.9146341463,5.3999730001,-34.1998290009,-42.4497877511
2896932106,6195,-2,0,7.2327636719,-1.9547363281,-6.6130859375,-1.0975609756,1.0060975610,-0.5487804878,4.7999760001,-34.3498282509,-43.0497847511
2896942717,6196,-2,0,7.2327636719,-1.9547363281,-6.6130859375,-1.4634146341,0.7012195122,-0.2439024390,4.7999760001,-34.3498282509,-43.0497847511
2896997587,6197,-2,0,7.0437500000,-1.8949218750,-6.6250488281,-1.0060975610,1.4634146341,-0.8536585366,4.7999760001,-34.3498282509,-43.0497847511
2897014964,6198,-2,0,7.0700683594,-1.8446777344,-6.6561523438,-0.2134146341,2.0121951220,-1.2500000000,4.7999760001,-35.0998245009,-42.5997870011
2897040469,6199,-2,0,7.1944824219,-1.8805664063,-6.5628417969,-0.4268292683,1.5853658537,-0.4573170732,4.7999760001,-35.0998245009,-42.5997870011
2897069839,6200,-2,0,7.2160156250,-1.9906250000,-6.5676269531,-1.5853658537,1.3719512195,-0.5182926829,4.7999760001,-35.0998245009,-42.5997870011
2897113129,6201,-2,0,7.1418457031,-1.9332031250,-6.5676269531,-1.6463414634,1.6463414634,-0.4268292683,5.6999715001,-34.9498252509,-43.4997825011
2897154158,6202,-2,0,7.1585937500,-1.8087890625,-6.5293457031,-0.6707317073,1.9512195122,-0.0914634146,5.6999715001,-34.9498252509,-43.4997825011
2897169543,6203,-2,0,7.1896972656,-1.8709960938,-6.5197753906,-0.3963414634,1.6768292683,0.0609756098,5.6999715001,-34.9498252509,-43.4997825011
2897208092,6204,-2,0,7.2423339844,-1.9978027344,-6.5245605469,-1.2804878049,0.6402439024,0.1524390244,4.9499752501,-36.4498177509,-42.4497877511
2897229311,6205,-2,0,7.1801269531,-1.9738769531,-6.5245605469,-1.7378048780,0.3353658537,-0.1524390244,4.9499752501,-36.4498177509,-42.4497877511
2897287070,6206,-2,0,7.0939941406,-1.8805664063,-6.6178710938,-0.9146341463,0.7926829268,-0.7317073171,4.9499752501,-36.4498177509,-42.4497877511
2897295761,6207,-2,0,7.1442382813,-1.8949218750,-6.6178710938,-0.1524390244,1.0365853659,-1.1890243902,5.9999700001,-34.7998260009,-42.2997885011
2897325204,6208,-2,0,7.1585937500,-1.9403808594,-6.5819824219,-0.4268292683,0.8841463415,-1.1890243902,5.9999700001,-34.7998260009,-42.2997885011
2897404130,6209,-2,0,7.1274902344,-1.9714843750,-6.5532714844,-1.0975609756,1.3109756098,-0.9756097561,5.9999700001,-34.7998260009,-42.2997885011
2897414526,6210,-2,0,7.1298828125,-1.9020996094,-6.5891601563,-1.2804878049,1.5243902439,-0.7317073171,5.9999700001,-34.7998260009,-42.2997885011
2897420668,6211,-2,0,7.1466308594,-1.9092773438,-6.5987304688,-1.0670731707,1.4329268293,-0.7621951220,5.6999715001,-35.2498237509,-43.1997840011
2897450094,6212,-2,0,7.1035644531,-1.9332031250,-6.5700195313,-1.1890243902,1.6463414634,-0.5487804878,5.6999715001,-35.2498237509,-43.1997840011
2897479561,6213,-2,0,7.1203125000,-1.8949218750,-6.6011230469,-1.4024390244,1.9512195122,-0.4878048780,5.6999715001,-35.2498237509,-43.1997840011
2897527082,6214,-2,0,7.1490234375,-1.8925292969,-6.5700195313,-1.1280487805,1.6768292683,-0.8536585366,5.6999715001,-35.6998215009,-40.9497952510
2897549406,6215,-2,0,7.2136230469,-1.9044921875,-6.5173828125,-1.0365853659,1.5243902439,-0.7621951220,5.6999715001,-35.6998215009,-40.9497952510
2897576963,6216,-2,0,7.2303710938,-1.8997070313,-6.5508789063,-1.0365853659,1.5548780488,-0.2743902439,5.6999715001,-35.6998215009,-40.9497952510
2897649152,6217,-2,0,7.1896972656,-1.9284179688,-6.5628417969,-1.2195121951,1.2500000000,-0.1524390244,6.7499662502,-35.5498222509,-43.0497847511
2897659860,6218,2,0,7.1394531250,-1.8997070313,-6.5030273438,-1.3719512195,1.0975609756,-0.5792682927,6.7499662502,-35.5498222509,-43.0497847511
2897671872,6219,2,0,7.1250976563,-1.8757812500,-6.5389160156,-0.7012195122,1.1890243902,-1.1890243902,6.7499662502,-35.5498222509,-43.0497847511
2897708249,6220,2,0,7.1801269531,-1.9044921875,-6.5484863281,-0.6402439024,1.1280487805,-1.3719512195,6.7499662502,-35.5498222509,-43.0497847511
2897754263,6221,2,0,7.1825195313,-1.9068847656,-6.5317382813,-0.9146341463,1.0060975610,-1.2195121951,6.7499662502,-35.5498222509,-43.0497847511
2897758867,6222,2,0,7.1155273438,-1.9092773438,-6.5843750000,-1.3109756098,1.0060975610,-0.9756097561,6.7499662502,-35.5498222509,-43.0497847511
2897791973,6223,2,0,7.1729492188,-1.8566406250,-6.5987304688,-0.8841463415,1.2804878049,-1.0975609756,6.1499692502,-36.1498192509,-42.4497877511
2897869294,6224,2,0,7.1657714844,-1.8590332031,-6.4838867188,-0.5182926829,1.5853658537,-1.1585365854,6.1499692502,-36.1498192509,-42.4497877511
2897876117,6225,2,0,7.2040527344,-1.9427734375,-6.5173828125,-1.5548780488,1.2195121951,-0.5487804878,6.1499692502,-36.1498192509,-42.4497877511
2897884573,6226,2,0,7.1681640625,-1.9379882813,-6.5341308594,-1.5548780488,1.4329268293,-0.5792682927,6.1499692502,-36.1498192509,-42.4497877511
2897918072,6227,2,0,7.1753417969,-1.8470703125,-6.5269531250,-1.0060975610,1.4024390244,-0.5487804878,6.1499692502,-36.1498192509,-42.4497877511
2897949155,6228,2,0,7.1657714844,-1.8351074219,-6.5891601563,-0.5182926829,1.1890243902,-0.5487804878,6.1499692502,-36.1498192509,-42.4497877511
2897982434,6229,2,0,7.1920898438,-1.8973144531,-6.5341308594,-0.8841463415,0.8841463415,-0.3353658537,4.7999760001,-36.5998170009,-41.8497907510
2898053152,6230,2,0,7.1968750000,-1.9260253906,-6.4862792969,-1.3109756098,0.7317073171,-0.2439024390,4.7999760001,-36.5998170009,-41.8497907510
2898062244,6231,2,0,7.1322753906,-1.9260253906,-6.5508789063,-1.1280487805,1.0060975610,-0.4878048780,4.7999760001,-36.5998170009,-41.8497907510
2898074813,6232,2,0,7.1179199219,-1.8853515625,-6.5676269531,-0.7317073171,1.3414634146,-0.9451219512,4.7999760001,-36.5998170009,-41.8497907510
2898107439,6233,2,0,7.1203125000,-1.8662109375,-6.5700195313,-0.6097560976,1.5243902439,-1.0060975610,4.7999760001,-36.5998170009,-41.8497907510
2898133057,6234,2,0,7.1490234375,-1.8925292969,-6.5508789063,-0.9451219512,1.5548780488,-0.9756097561,4.7999760001,-36.5998170009,-41.8497907510
2898166552,6235,2,0,7.1705566406,-1.8901367188,-6.5843750000,-1.1280487805,1.5853658537,-0.7012195122,4.7999760001,-36.5998170009,-41.8497907510
2898196848,6236,2,0,7.1562011719,-1.8949218750,-6.5748046875,-1.1280487805,1.6158536585,-0.8231707317,5.9999700001,-36.2998185009,-43.3497832511
2898270809,6237,2,0,7.1609863281,-1.8638183594,-6.5293457031,-1.0060975610,1.6158536585,-0.4878048780,5.9999700001,-36.2998185009,-43.3497832511
