steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
2984417616,7106,4,4,4,4,4,4,4,4,4,4
2984459678,7107,4,4,4,4,4,4,4,4,4,4
2984478470,7108,4,4,4,4,4,4,4,4,4,4
2984507192,7109,4,4,4,4,4,4,4,4,4,4
2984537851,7110,4,4,4,4,4,4,4,4,4,4
2984574727,7111,4,4,4,4,4,4,4,4,4,4
2984607285,7112,4,4,4,4,4,4,4,4,4,4
2984659588,7113,4,4,4,4,4,4,4,4,4,4
2984665377,7114,4,4,4,4,4,4,4,4,4,4
2984697141,7115,4,4,4,4,4,4,4,4,4,4
2984735968,7116,4,4,4,4,4,4,4,4,4,4
2984763634,7117,4,4,4,4,4,4,4,4,4,4
2984814842,7118,4,4,4,4,4,4,4,4,4,4
2984823745,7119,4,4,4,4,4,4,4,4,4,4
2984869016,7120,4,4,4,4,4,4,4,4,4,4
2984889052,7121,4,4,4,4,4,4,4,4,4,4
2984931193,7122,4,4,4,4,4,4,4,4,4,4
2984957051,7123,4,4,4,4,4,4,4,4,4,4
2984976230,7124,4,4,4,4,4,4,4,4,4,4
2985009906,7125,4,4,4,4,4,4,4,4,4,4
2985078470,7126,4,4,4,4,4,4,4,4,4,4
2985085864,7127,4,4,4,4,4,4,4,4,4,4
2985104005,7128,4,4,4,4,4,4,4,4,4,4
2985135100,7129,4,4,4,4,4,4,4,4,4,4
2985177898,7130,4,4,4,4,4,4,4,4,4,4
2985196621,7131,4,4,4,4,4,4,4,4,4,4
2985232422,7132,4,4,4,4,4,4,4,4,4,4
2985312377,7133,4,4,4,4,4,4,4,4,4,4
2985322332,7134,4,4,4,4,4,4,4,4,4,4
2985327337,7135,4,4,4,4,4,4,4,4,4,4
2985360806,7136,4,4,4,4,4,4,4,4,4,4
2985409642,7137,4,4,4,4,4,4,4,4,4,4
2985417287,7138,4,4,4,4,4,4,4,4,4,4
2985453508,7139,4,4,4,4,4,4,4,4,4,4
2985478624,7140,4,4,4,4,4,4,4,4,4,4
2985528580,7141,4,4,4,4,4,4,4,4,4,4
2985551203,7142,4,4,4,4,4,4,4,4,4,4
2985576111,7143,4,4,4,4,4,4,4,4,4,4
2985602906,7144,4,4,4,4,4,4,4,4,4,4
2985649947,7145,4,4,4,4,4,4,4,4,4,4
2985667730,7146,4,4,4,4,4,4,4,4,4,4
2985704967,7147,4,4,4,4,4,4,4,4,4,4
2985721887,7148,4,4,4,4,4,4,4,4,4,4
2985763684,7149,4,4,4,4,4,4,4,4,4,4
2985794931,7150,4,4,4,4,4,4,4,4,4,4
2985824987,7151,4,4,4,4,4,4,4,4,4,4
2985876648,7152,4,4,4,4,4,4,4,4,4,4
2985888635,7153,4,4,4,4,4,4,4,4,4,4
2985944980,7154,4,4,4,4,4,4,4,4,4,4
2985953545,7155,4,4,4,4,4,4,4,4,4,4
2985999664,7156,4,4,4,4,4,4,4,4,4,4
2986015170,7157,4,4,4,4,4,4,4,4,4,4
2986041184,7158,4,4,4,4,4,4,4,4,4,4
2986069946,7159,4,4,4,4,4,4,4,4,4,4
2986126225,7160,4,4,4,4,4,4,4,4,4,4
2986135176,7161,4,4,4,4,4,4,4,4,4,4
2986177804,7162,4,4,4,4,4,4,4,4,4,4
2986197248,7163,4,4,4,4,4,4,4,4,4,4
2986231233,7164,4,4,4,4,4,4,4,4,4,4
2986259111,7165,4,4,4,4,4,4,4,4,4,4
2986302699,7166,4,4,4,4,4,4,4,4,4,4
2986345036,7167,4,4,4,4,4,4,4,4,4,4
2986359133,7168,4,4,4,4,4,4,4,4,4,4
2986399039,7169,4,4,4,4,4,4,4,4,4,4
2986422822,7170,4,4,4,4,4,4,4,4,4,4
2986465967,7171,4,4,4,4,4,4,4,4,4,4
2986502899,7172,4,4,4,4,4,4,4,4,4,4
2986519066,7173,4,4,4,4,4,4,4,4,4,4
2986537725,7174,4,4,4,4,4,4,4,4,4,4
2986626261,7175,4,4,4,4,4,4,4,4,4,4
2986635074,7176,4,4,4,4,4,4,4,4,4,4
2986642895,7177,4,4,4,4,4,4,4,4,4,4
2986659999,7178,4,4,4,4,4,4,4,4,4,4
2986712091,7179,4,4,4,4,4,4,4,4,4,4
2986731685,7180,4,4,4,4,4,4,4,4,4,4
2986759031,7181,4,4,4,4,4,4,4,4,4,4
2986789013,7182,4,4,4,4,4,4,4,4,4,4
2986822680,7183,4,4,4,4,4,4,4,4,4,4
2986852872,7184,4,4,4,4,4,4,4,4,4,4
2986884051,7185,4,4,4,4,4,4,4,4,4,4
2986944248,7186,4,4,4,4,4,4,4,4,4,4
2986949383,7187,4,4,4,4,4,4,4,4,4,4
2986982869,7188,4,4,4,4,4,4,4,4,4,4
2987028418,7189,4,4,4,4,4,4,4,4,4,4
2987054851,7190,4,4,4,4,4,4,4,4,4,4
2987071580,7191,4,4,4,4,4,4,4,4,4,4
2987105332,7192,4,4,4,4,4,4,4,4,4,4
2987134316,7193,4,4,4,4,4,4,4,4,4,4
2987179645,7194,4,4,4,4,4,4,4,4,4,4
2987223320,7195,4,4,4,4,4,4,4,4,4,4
2987232772,7196,4,4,4,4,4,4,4,4,4,4
2987256066,7197,4,4,4,4,4,4,4,4,4,4
2987293128,7198,4,4,4,4,4,4,4,4,4,4
2987329095,7199,4,4,4,4,4,4,4,4,4,4
2987352196,7200,4,4,4,4,4,4,4,4,4,4
2987406307,7201,4,4,4,4,4,4,4,4,4,4
2987422180,7202,4,4,4,4,4,4,4,4,4,4
