steady_timestamp,sequence,battery,flags,TMS-ch1
2984417616,7106,-2,0,32169.0000000000
2984459678,7107,-2,0,63420.0000000000
2984478470,7108,-2,0,94671.0000000000
2984507192,7109,-2,0,125922.0000000000
2984537851,7110,-2,0,157173.0000000000
2984574727,7111,-2,0,188424.0000000000
2984607285,7112,-2,0,219675.0000000000
2984659588,7113,-2,0,250926.0000000000
2984665377,7114,-2,0,282177.0000000000
2984697141,7115,-2,0,313428.0000000000
2984735968,7116,-2,0,344679.0000000000
2984763634,7117,-2,0,375930.0000000000
2984814842,7118,-2,0,407181.0000000000
2984823745,7119,-2,0,438432.0000000000
2984869016,7120,-2,0,469683.0000000000
2984889052,7121,-2,0,500934.0000000000
2984931193,7122,-2,0,532185.0000000000
2984957051,7123,-2,0,563436.0000000000
2984976230,7124,-2,0,594687.0000000000
2985009906,7125,-2,0,625938.0000000000
2985078470,7126,-2,0,657189.0000000000
2985085864,7127,-2,0,688440.0000000000
2985104005,7128,-2,0,719691.0000000000
2985135100,7129,-2,0,750942.0000000000
2985177898,7130,-2,0,782193.0000000000
2985196621,7131,-2,0,813444.0000000000
2985232422,7132,-2,0,844695.0000000000
2985312377,7133,-2,0,875946.0000000000
2985322332,7134,-2,0,907197.0000000000
2985327337,7135,-2,0,938448.0000000000
2985360806,7136,-2,0,969699.0000000000
2985409642,7137,1,0,1000950.0000000000
2985417287,7138,1,0,1032201.0000000000
2985453508,7139,1,0,1063452.0000000000
2985478624,7140,1,0,1094703.0000000000
2985528580,7141,1,0,1125954.0000000000
2985551203,7142,1,0,1157205.0000000000
2985576111,7143,1,0,1188456.0000000000
2985602906,7144,1,0,1219707.0000000000
2985649947,7145,1,0,1250958.0000000000
2985667730,7146,1,0,1282209.0000000000
2985704967,7147,1,0,1313460.0000000000
2985721887,7148,1,0,1344711.0000000000
2985763684,7149,1,0,1375962.0000000000
2985794931,7150,1,0,1407213.0000000000
2985824987,7151,1,0,1438464.0000000000
2985876648,7152,1,0,1469715.0000000000
2985888635,7153,1,0,1500966.0000000000
2985944980,7154,1,0,1532217.0000000000
2985953545,7155,1,0,1563468.0000000000
2985999664,7156,1,0,1594719.0000000000
2986015170,7157,1,0,1625970.0000000000
2986041184,7158,1,0,1657221.0000000000
2986069946,7159,1,0,1688472.0000000000
2986126225,7160,1,0,1719723.0000000000
2986135176,7161,1,0,1750974.0000000000
2986177804,7162,1,0,1782225.0000000000
2986197248,7163,1,0,1813476.0000000000
2986231233,7164,1,0,1844727.0000000000
2986259111,7165,1,0,1875978.0000000000
2986302699,7166,1,0,1907229.0000000000
2986345036,7167,1,0,1938480.0000000000
2986359133,7168,1,0,1969731.0000000000
2986399039,7169,1,0,2000982.0000000000
2986422822,7170,1,0,2032233.0000000000
2986465967,7171,1,0,2063484.0000000000
2986502899,7172,1,0,2094735.0000000000
2986519066,7173,1,0,2125986.0000000000
2986537725,7174,1,0,2157237.0000000000
2986626261,7175,1,0,2188488.0000000000
2986635074,7176,1,0,2219739.0000000000
2986642895,7177,1,0,2250990.0000000000
2986659999,7178,1,0,2282241.0000000000
2986712091,7179,1,0,2313492.0000000000
2986731685,7180,1,0,2344743.0000000000
2986759031,7181,1,0,2375994.0000000000
2986789013,7182,1,0,2407245.0000000000
2986822680,7183,1,0,2438496.0000000000
