steady_timestamp,sequence,battery,flags,utc_timestamp
2984417616,7106,-2,0,1679392003460545
2984459678,7107,-2,0,1679392003502607
2984478470,7108,-2,0,1679392003521399
2984507192,7109,-2,0,1679392003550121
2984537851,7110,-2,0,1679392003580780
2984574727,7111,-2,0,1679392003617656
2984607285,7112,-2,0,1679392003650213
2984659588,7113,-2,0,1679392003702517
2984665377,7114,-2,0,1679392003708306
2984697141,7115,-2,0,1679392003740069
2984735968,7116,-2,0,1679392003778897
2984763634,7117,-2,0,1679392003806562
2984814842,7118,-2,0,1679392003857771
2984823745,7119,-2,0,1679392003866674
2984869016,7120,-2,0,1679392003911945
2984889052,7121,-2,0,1679392003931981
2984931193,7122,-2,0,1679392003974122
2984957051,7123,-2,0,1679392003999979
2984976230,7124,-2,0,1679392004019159
2985009906,7125,-2,0,1679392004052835
2985078470,7126,-2,0,1679392004121399
2985085864,7127,-2,0,1679392004128792
2985104005,7128,-2,0,1679392004146934
2985135100,7129,-2,0,1679392004178029
2985177898,7130,-2,0,1679392004220827
2985196621,7131,-2,0,1679392004239550
2985232422,7132,-2,0,1679392004275351
2985312377,7133,-2,0,1679392004355305
2985322332,7134,-2,0,1679392004365260
2985327337,7135,-2,0,1679392004370266
2985360806,7136,-2,0,1679392004403735
2985409642,7137,1,0,1679392004452570
2985417287,7138,1,0,1679392004460215
2985453508,7139,1,0,1679392004496436
2985478624,7140,1,0,1679392004521547
2985528580,7141,1,0,1679392004571508
2985551203,7142,1,0,1679392004594132
2985576111,7143,1,0,1679392004619040
2985602906,7144,1,0,1679392004645835
2985649947,7145,1,0,1679392004692876
2985667730,7146,1,0,1679392004710659
2985704967,7147,1,0,1679392004747896
2985721887,7148,1,0,1679392004764815
2985763684,7149,1,0,1679392004806612
2985794931,7150,1,0,1679392004837860
2985824987,7151,1,0,1679392004867916
2985876648,7152,1,0,1679392004919577
2985888635,7153,1,0,1679392004931564
2985944980,7154,1,0,1679392004987909
2985953545,7155,1,0,1679392004996474
2985999664,7156,1,0,1679392005042593
2986015170,7157,1,0,1679392005058098
2986041184,7158,1,0,1679392005084113
2986069946,7159,1,0,1679392005112875
2986126225,7160,1,0,1679392005169153
2986135176,7161,1,0,1679392005178105
2986177804,7162,1,0,1679392005220732
2986197248,7163,1,0,1679392005240177
2986231233,7164,1,0,1679392005274162
2986259111,7165,1,0,1679392005302040
2986302699,7166,1,0,1679392005345628
2986345036,7167,1,0,1679392005387965
2986359133,7168,1,0,1679392005402062
2986399039,7169,1,0,1679392005441968
2986422822,7170,1,0,1679392005465751
2986465967,7171,1,0,1679392005508896
2986502899,7172,1,0,1679392005545827
2986519066,7173,1,0,1679392005561994
2986537725,7174,1,0,1679392005580653
2986626261,7175,1,0,1679392005669190
2986635074,7176,1,0,1679392005678003
2986642895,7177,1,0,1679392005685824
2986659999,7178,1,0,1679392005702927
2986712091,7179,1,0,1679392005755020
2986731685,7180,1,0,1679392005774613
2986759031,7181,1,0,1679392005801960
2986789013,7182,1,0,1679392005831942
2986822680,7183,1,0,1679392005865609
2986852872,7184,1,0,1679392005895801
2986884051,7185,1,0,1679392005926980
2986944248,7186,1,0,1679392005987177
2986949383,7187,1,0,1679392005992312
2986982869,7188,1,0,1679392006025798
2987028418,7189,1,0,1679392006071347
2987054851,7190,1,0,1679392006097780
2987071580,7191,1,0,1679392006114509
2987105332,7192,1,0,1679392006148260
2987134316,7193,1,0,1679392006177244
2987179645,7194,1,0,1679392006222573
2987223320,7195,1,0,1679392006266248
2987232772,7196,1,0,1679392006275701
2987256066,7197,1,0,1679392006298994
2987293128,7198,1,0,1679392006336056
2987329095,7199,1,0,1679392006372024
2987352196,7200,1,0,1679392006395125
2987406307,7201,1,0,1679392006449235
2987422180,7202,1,0,1679392006465109
2987447433,7203,1,0,1679392006490361
2987475831,7204,1,0,1679392006518760
2987534993,7205,1,0,1679392006577916
2987546053,7206,1,0,1679392006588982
2987577932,7207,1,0,1679392006620860
2987600071,7208,1,0,1679392006642999
2987654048,7209,1,0,1679392006696976
2987670117,7210,1,0,1679392006713046
2987701257,7211,1,0,1679392006744186
2987736059,7212,1,0,1679392006778987
2987767861,7213,1,0,1679392006810790
2987794249,7214,1,0,1679392006837178
2987893367,7215,1,0,1679392006936296
2987894946,7216,1,0,1679392006937874
2987901258,7217,1,0,1679392006944187
2987939355,7218,1,0,1679392006982283
2987947230,7219,1,0,1679392006990159
2988004072,7220,1,0,1679392007047001
2988008825,7221,1,0,1679392007051754
2988044062,7222,1,0,1679392007086991
2988072810,7223,1,0,1679392007115739
2988131465,7224,1,0,1679392007174393
2988137941,7225,1,0,1679392007180870
2988175075,7226,1,0,1679392007218004
2988206739,7227,1,0,1679392007249668
2988236962,7228,1,0,1679392007279890
2988261805,7229,1,0,1679392007304733
2988291780,7230,1,0,1679392007334708
2988322827,7231,1,0,1679392007365755
2988371784,7232,1,0,1679392007414713
2988387994,7233,1,0,1679392007430923
2988417867,7234,1,0,1679392007460796
2988468691,7235,1,0,1679392007511619
2988526244,7236,1,0,1679392007569172
2988548803,7237,1,0,1679392007591731
2988559598,7238,1,0,1679392007602527
2988606242,7239,1,0,1679392007649170
2988614979,7240,1,0,1679392007657908
2988636407,7241,1,0,1679392007679336
2988666928,7242,1,0,1679392007709857
2988714612,7243,1,0,1679392007757540
2988735008,7244,1,0,1679392007777936
2988771273,7245,1,0,1679392007814201
2988789811,7246,1,0,1679392007832740
2988850750,7247,1,0,1679392007893678
2988854726,7248,1,0,1679392007897655
2988886117,7249,1,0,1679392007929045
2988916256,7250,1,0,1679392007959185
2988977250,7251,1,0,1679392008020178
2988986174,7252,1,0,1679392008029103
2989009014,7253,1,0,1679392008051943
2989060402,7254,1,0,1679392008103331
2989083321,7255,1,0,1679392008126250
2989102633,7256,1,0,1679392008145561
2989212664,7257,1,0,1679392008255593
2989220036,7258,1,0,1679392008262965
2989224973,7259,1,0,1679392008267902
2989229382,7260,1,0,1679392008272310
2989260398,7261,1,0,1679392008303326
2989310378,7262,1,0,1679392008353306
2989320896,7263,1,0,1679392008363825
2989360872,7264,1,0,1679392008403801
2989383982,7265,1,0,1679392008426911
2989426701,7266,1,0,1679392008469630
2989453936,7267,1,0,1679392008496864
2989473232,7268,1,0,1679392008516160
2989537846,7269,1,0,1679392008580774
2989546066,7270,1,0,1679392008588995
2989580136,7271,1,0,1679392008623065
2989595068,7272,1,0,1679392008637997
2989657235,7273,1,0,1679392008700161
2989668548,7274,1,0,1679392008711477
2989696029,7275,1,0,1679392008738958
2989725344,7276,1,0,1679392008768273
2989786360,7277,1,0,1679392008829288
2989805154,7278,1,0,1679392008848082
2989828764,7279,1,0,1679392008871692
2989848298,7280,1,0,1679392008891227
2989896859,7281,1,0,1679392008939788
2989920377,7282,1,0,1679392008963305
2989950108,7283,1,0,1679392008993036
2990025431,7284,1,0,1679392009068360
2990029894,7285,1,0,1679392009072823
2990050681,7286,1,0,1679392009093610
2990075325,7287,1,0,1679392009118253
2990135301,7288,1,0,1679392009178230
2990139847,7289,1,0,1679392009182776
2990169249,7290,1,0,1679392009212178
2990200051,7291,1,0,1679392009242980
2990247850,7292,1,0,1679392009290779
2990261908,7293,1,0,1679392009304837
2990298263,7294,1,0,1679392009341191
2990320268,7295,1,0,1679392009363196
2990400176,7296,1,0,1679392009443104
2990427587,7297,1,0,1679392009470516
2990440130,7298,1,0,1679392009483059
2990446010,7299,1,0,1679392009488939
2990489061,7300,1,0,1679392009531989
2990512858,7301,1,0,1679392009555787
2990558931,7302,1,0,1679392009601860
2990595267,7303,1,0,1679392009638196
2990606896,7304,1,0,1679392009649824
2990633685,7305,1,0,1679392009676613
2990662885,7306,1,0,1679392009705813
2990718860,7307,1,0,1679392009761788
2990739275,7308,1,0,1679392009782204
2990757519,7309,1,0,1679392009800447
2990809547,7310,1,0,1679392009852475
2990844842,7311,1,0,1679392009887771
2990855870,7312,1,0,1679392009898799
2990886117,7313,1,0,1679392009929045
2990916098,7314,1,0,1679392009959027
2990961714,7315,1,0,1679392010004642
2990982253,7316,1,0,1679392010025182
2991030130,7317,1,0,1679392010073058
2991087889,7318,1,0,1679392010130818
2991093602,7319,1,0,1679392010136531
