steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
2993100069,7345,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2993132337,7346,-2,0,7.1059570313,-1.6197753906,-6.5843750000,-0.8536585366,1.4939024390,-1.1890243902,6.2999685002,-36.2998185009,-41.8497907510
2993162334,7347,-2,0,7.0341796875,-1.7011230469,-6.6346191406,-0.5792682927,1.1890243902,-0.8536585366,6.1499692502,-35.6998215009,-43.1997840011
2993198614,7348,-2,0,7.0916015625,-1.7465820313,-6.7279296875,-0.9146341463,1.5548780488,-0.6402439024,6.1499692502,-35.6998215009,-43.1997840011
2993227366,7349,-2,0,7.0844238281,-1.6867675781,-6.7207519531,-1.3719512195,1.5853658537,-0.6707317073,6.1499692502,-35.6998215009,-43.1997840011
2993272819,7350,-2,0,7.1107421875,-1.6676269531,-6.6848632813,-1.2500000000,1.7987804878,-0.6707317073,6.4499677502,-36.4498177509,-41.9997900010
2993312303,7351,-2,0,7.1227050781,-1.6748046875,-6.7016113281,-1.0975609756,1.9512195122,-0.4573170732,6.4499677502,-36.4498177509,-41.9997900010
2993321180,7352,-2,0,7.1203125000,-1.7083007813,-6.6848632813,-1.1280487805,1.5548780488,-0.1524390244,6.4499677502,-36.4498177509,-41.9997900010
2993354065,7353,-2,0,7.0700683594,-1.7154785156,-6.6585449219,-1.3719512195,1.5243902439,0.1829268293,6.4499677502,-36.4498177509,-41.9997900010
2993383687,7354,-2,0,7.0700683594,-1.7154785156,-6.6585449219,-1.4634146341,1.7987804878,-0.0304878049,6.4499677502,-36.4498177509,-41.9997900010
2993438539,7355,-2,0,7.0939941406,-1.6867675781,-6.7016113281,-1.1280487805,2.1036585366,-0.3963414634,6.4499677502,-36.4498177509,-41.9997900010
