steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
1405366994,12228,4,4,4,4,4,4,4,4,4,4
1405379325,12229,4,4,4,4,4,4,4,4,4,4
1405407917,12230,4,4,4,4,4,4,4,4,4,4
1405465457,12231,4,4,4,4,4,4,4,4,4,4
1405473003,12232,4,4,4,4,4,4,4,4,4,4
1405499829,12233,4,4,4,4,4,4,4,4,4,4
1405533085,12234,4,4,4,4,4,4,4,4,4,4
1405585579,12235,4,4,4,4,4,4,4,4,4,4
1405595616,12236,4,4,4,4,4,4,4,4,4,4
1405623288,12237,4,4,4,4,4,4,4,4,4,4
1405656830,12238,4,4,4,4,4,4,4,4,4,4
1405702777,12239,4,4,4,4,4,4,4,4,4,4
1405720322,12240,4,4,4,4,4,4,4,4,4,4
1405753022,12241,4,4,4,4,4,4,4,4,4,4
1405785018,12242,4,4,4,4,4,4,4,4,4,4
1405821432,12243,4,4,4,4,4,4,4,4,4,4
1405843188,12244,4,4,4,4,4,4,4,4,4,4
1405875596,12245,4,4,4,4,4,4,4,4,4,4
1405905872,12246,4,4,4,4,4,4,4,4,4,4
1405938992,12247,4,4,4,4,4,4,4,4,4,4
1405968160,12248,4,4,4,4,4,4,4,4,4,4
1406010865,12249,4,4,4,4,4,4,4,4,4,4
1406054834,12250,4,4,4,4,4,4,4,4,4,4
1406058897,12251,4,4,4,4,4,4,4,4,4,4
1406111856,12252,4,4,4,4,4,4,4,4,4,4
1406128020,12253,4,4,4,4,4,4,4,4,4,4
1406175904,12254,4,4,4,4,4,4,4,4,4,4
1406184007,12255,4,4,4,4,4,4,4,4,4,4
1406221892,12256,4,4,4,4,4,4,4,4,4,4
1406252979,12257,4,4,4,4,4,4,4,4,4,4
1406299043,12258,4,4,4,4,4,4,4,4,4,4
1406310495,12259,4,4,4,4,4,4,4,4,4,4
1406343117,12260,4,4,4,4,4,4,4,4,4,4
1406374648,12261,4,4,4,4,4,4,4,4,4,4
1406414373,12262,4,4,4,4,4,4,4,4,4,4
1406439534,12263,4,4,4,4,4,4,4,4,4,4
1406472218,12264,4,4,4,4,4,4,4,4,4,4
1406525715,12265,4,4,4,4,4,4,4,4,4,4
1406541916,12266,4,4,4,4,4,4,4,4,4,4
1406564899,12267,4,4,4,4,4,4,4,4,4,4
1406592854,12268,4,4,4,4,4,4,4,4,4,4
1406671959,12269,4,4,4,4,4,4,4,4,4,4
1406678382,12270,4,4,4,4,4,4,4,4,4,4
1406685963,12271,4,4,4,4,4,4,4,4,4,4
1406715933,12272,4,4,4,4,4,4,4,4,4,4
1406761737,12273,4,4,4,4,4,4,4,4,4,4
1406782976,12274,4,4,4,4,4,4,4,4,4,4
1406822911,12275,4,4,4,4,4,4,4,4,4,4
1406874629,12276,4,4,4,4,4,4,4,4,4,4
1406883297,12277,4,4,4,4,4,4,4,4,4,4
1406908148,12278,4,4,4,4,4,4,4,4,4,4
1406962248,12279,4,4,4,4,4,4,4,4,4,4
1406968750,12280,4,4,4,4,4,4,4,4,4,4
1407004072,12281,4,4,4,4,4,4,4,4,4,4
1407030978,12282,4,4,4,4,4,4,4,4,4,4
1407061925,12283,4,4,4,4,4,4,4,4,4,4
1407119892,12284,4,4,4,4,4,4,4,4,4,4
1407130228,12285,4,4,4,4,4,4,4,4,4,4
1407156907,12286,4,4,4,4,4,4,4,4,4,4
1407186010,12287,4,4,4,4,4,4,4,4,4,4
1407235889,12288,4,4,4,4,4,4,4,4,4,4
1407244660,12289,4,4,4,4,4,4,4,4,4,4
1407294747,12290,4,4,4,4,4,4,4,4,4,4
1407320716,12291,4,4,4,4,4,4,4,4,4,4
1407361790,12292,4,4,4,4,4,4,4,4,4,4
1407369251,12293,4,4,4,4,4,4,4,4,4,4
1407406908,12294,4,4,4,4,4,4,4,4,4,4
1407439623,12295,4,4,4,4,4,4,4,4,4,4
1407479657,12296,4,4,4,4,4,4,4,4,4,4
1407497751,12297,4,4,4,4,4,4,4,4,4,4
1407546565,12298,4,4,4,4,4,4,4,4,4,4
1407590766,12299,4,4,4,4,4,4,4,4,4,4
1407600412,12300,4,4,4,4,4,4,4,4,4,4
1407619791,12301,4,4,4,4,4,4,4,4,4,4
1407650125,12302,4,4,4,4,4,4,4,4,4,4
1407713420,12303,4,4,4,4,4,4,4,4,4,4
1407723499,12304,4,4,4,4,4,4,4,4,4,4
1407756940,12305,4,4,4,4,4,4,4,4,4,4
1407776270,12306,4,4,4,4,4,4,4,4,4,4
1407833430,12307,4,4,4,4,4,4,4,4,4,4
1407848331,12308,4,4,4,4,4,4,4,4,4,4
1407879573,12309,4,4,4,4,4,4,4,4,4,4
1407962184,12310,4,4,4,4,4,4,4,4,4,4
1407969993,12311,4,4,4,4,4,4,4,4,4,4
1407984017,12312,4,4,4,4,4,4,4,4,4,4
1408005212,12313,4,4,4,4,4,4,4,4,4,4
1408032865,12314,4,4,4,4,4,4,4,4,4,4
1408067918,12315,4,4,4,4,4,4,4,4,4,4
1408090751,12316,4,4,4,4,4,4,4,4,4,4
1408134351,12317,4,4,4,4,4,4,4,4,4,4
1408184705,12318,4,4,4,4,4,4,4,4,4,4
1408190207,12319,4,4,4,4,4,4,4,4,4,4
