steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
1421084410,12488,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1421119121,12489,-2,0,8.3046386719,1.1986816406,-5.1895019531,-0.9756097561,-0.9756097561,-1.4939024390,-18.8999055005,-13.6499317503,-36.8998155009
1421169282,12490,-2,0,7.8117675781,1.0431640625,-5.6632324219,-1.4939024390,1.8292682927,-0.3048780488,-19.7999010005,-14.5499272504,-35.9998200009
1421183038,12491,-2,0,7.9672851563,1.1005859375,-5.7828613281,-1.1890243902,1.7682926829,-0.2743902439,-19.7999010005,-14.5499272504,-35.9998200009
1421216161,12492,-2,0,7.9816406250,1.0670898438,-5.8115722656,-0.6097560976,1.0670731707,-0.1219512195,-19.7999010005,-14.5499272504,-35.9998200009
1421249268,12493,-2,0,7.9816406250,1.0670898438,-5.8115722656,-0.1829268293,1.0365853659,-0.0914634146,-18.8999055005,-14.0999295004,-35.3998230009
1421296693,12494,-2,0,7.9385742188,1.0144531250,-5.7780761719,-0.5792682927,1.0975609756,0.0914634146,-18.8999055005,-14.0999295004,-35.3998230009
1421315546,12495,-2,0,7.8548339844,0.9881347656,-5.7661132813,-0.9146341463,1.8902439024,-0.5182926829,-18.8999055005,-14.0999295004,-35.3998230009
1421331568,12496,-2,0,7.9170410156,0.9977050781,-5.7661132813,-1.1280487805,1.9512195122,-0.2439024390,-18.8999055005,-14.0999295004,-35.3998230009
1421372641,12497,-2,0,7.9816406250,1.0024902344,-5.7541503906,-1.1585365854,1.8292682927,-0.3353658537,-18.8999055005,-14.0999295004,-35.3998230009
1421421865,12498,-2,0,7.9457519531,1.0144531250,-5.7661132813,-1.2500000000,2.6219512195,-0.6707317073,-18.8999055005,-14.0999295004,-35.3998230009
1421431753,12499,-2,0,7.9050781250,1.0048828125,-5.7469726563,-1.4024390244,3.1402439024,-0.6097560976,-19.1999040005,-14.8499257504,-37.1998140009
