steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
1354441588,11277,4,4,4,4,4,4,4,4,4,4
1354489045,11278,4,4,4,4,4,4,4,4,4,4
1354508026,11279,4,4,4,4,4,4,4,4,4,4
1354535638,11280,4,4,4,4,4,4,4,4,4,4
1354566642,11281,4,4,4,4,4,4,4,4,4,4
1354608815,11282,4,4,4,4,4,4,4,4,4,4
1354631412,11283,4,4,4,4,4,4,4,4,4,4
1354663867,11284,4,4,4,4,4,4,4,4,4,4
1354691915,11285,4,4,4,4,4,4,4,4,4,4
1354728995,11286,4,4,4,4,4,4,4,4,4,4
1354756721,11287,4,4,4,4,4,4,4,4,4,4
1354807610,11288,4,4,4,4,4,4,4,4,4,4
1354820900,11289,4,4,4,4,4,4,4,4,4,4
1354845158,11290,4,4,4,4,4,4,4,4,4,4
1354880116,11291,4,4,4,4,4,4,4,4,4,4
1354920089,11292,4,4,4,4,4,4,4,4,4,4
1354965369,11293,4,4,4,4,4,4,4,4,4,4
1354972743,11294,4,4,4,4,4,4,4,4,4,4
1355009369,11295,4,4,4,4,4,4,4,4,4,4
1355036516,11296,4,4,4,4,4,4,4,4,4,4
1355084549,11297,4,4,4,4,4,4,4,4,4,4
1355092342,11298,4,4,4,4,4,4,4,4,4,4
1355133018,11299,4,4,4,4,4,4,4,4,4,4
1355161750,11300,4,4,4,4,4,4,4,4,4,4
1355200268,11301,4,4,4,4,4,4,4,4,4,4
1355225271,11302,4,4,4,4,4,4,4,4,4,4
1355254054,11303,4,4,4,4,4,4,4,4,4,4
1355285360,11304,4,4,4,4,4,4,4,4,4,4
1355317977,11305,4,4,4,4,4,4,4,4,4,4
1355347131,11306,4,4,4,4,4,4,4,4,4,4
1355377864,11307,4,4,4,4,4,4,4,4,4,4
1355429136,11308,4,4,4,4,4,4,4,4,4,4
1355469046,11309,4,4,4,4,4,4,4,4,4,4
1355476616,11310,4,4,4,4,4,4,4,4,4,4
1355505311,11311,4,4,4,4,4,4,4,4,4,4
1355552868,11312,4,4,4,4,4,4,4,4,4,4
1355571548,11313,4,4,4,4,4,4,4,4,4,4
1355598555,11314,4,4,4,4,4,4,4,4,4,4
1355625787,11315,4,4,4,4,4,4,4,4,4,4
1355674131,11316,4,4,4,4,4,4,4,4,4,4
1355694239,11317,4,4,4,4,4,4,4,4,4,4
1355725448,11318,4,4,4,4,4,4,4,4,4,4
1355750251,11319,4,4,4,4,4,4,4,4,4,4
1355790645,11320,4,4,4,4,4,4,4,4,4,4
1355820652,11321,4,4,4,4,4,4,4,4,4,4
1355856663,11322,4,4,4,4,4,4,4,4,4,4
1355895097,11323,4,4,4,4,4,4,4,4,4,4
1355915273,11324,4,4,4,4,4,4,4,4,4,4
1355945573,11325,4,4,4,4,4,4,4,4,4,4
1355974962,11326,4,4,4,4,4,4,4,4,4,4
1356022759,11327,4,4,4,4,4,4,4,4,4,4
1356032280,11328,4,4,4,4,4,4,4,4,4,4
1356085396,11329,4,4,4,4,4,4,4,4,4,4
1356108001,11330,4,4,4,4,4,4,4,4,4,4
1356147988,11331,4,4,4,4,4,4,4,4,4,4
1356159653,11332,4,4,4,4,4,4,4,4,4,4
1356191691,11333,4,4,4,4,4,4,4,4,4,4
1356225451,11334,4,4,4,4,4,4,4,4,4,4
1356264126,11335,4,4,4,4,4,4,4,4,4,4
1356282836,11336,4,4,4,4,4,4,4,4,4,4
1356327908,11337,4,4,4,4,4,4,4,4,4,4
1356344456,11338,4,4,4,4,4,4,4,4,4,4
1356379703,11339,4,4,4,4,4,4,4,4,4,4
1356409566,11340,4,4,4,4,4,4,4,4,4,4
1356446838,11341,4,4,4,4,4,4,4,4,4,4
1356492840,11342,4,4,4,4,4,4,4,4,4,4
1356506706,11343,4,4,4,4,4,4,4,4,4,4
1356537852,11344,4,4,4,4,4,4,4,4,4,4
1356568096,11345,4,4,4,4,4,4,4,4,4,4
1356621614,11346,4,4,4,4,4,4,4,4,4,4
1356630046,11347,4,4,4,4,4,4,4,4,4,4
1356658020,11348,4,4,4,4,4,4,4,4,4,4
1356685917,11349,4,4,4,4,4,4,4,4,4,4
1356739069,11350,4,4,4,4,4,4,4,4,4,4
1356762879,11351,4,4,4,4,4,4,4,4,4,4
1356793297,11352,4,4,4,4,4,4,4,4,4,4
1356816526,11353,4,4,4,4,4,4,4,4,4,4
1356855296,11354,4,4,4,4,4,4,4,4,4,4
1356875560,11355,4,4,4,4,4,4,4,4,4,4
1356915571,11356,4,4,4,4,4,4,4,4,4,4
1356967874,11357,4,4,4,4,4,4,4,4,4,4
1356970411,11358,4,4,4,4,4,4,4,4,4,4
1357005457,11359,4,4,4,4,4,4,4,4,4,4
1357033150,11360,4,4,4,4,4,4,4,4,4,4
1357085682,11361,4,4,4,4,4,4,4,4,4,4
1357095433,11362,4,4,4,4,4,4,4,4,4,4
1357126595,11363,4,4,4,4,4,4,4,4,4,4
1357162770,11364,4,4,4,4,4,4,4,4,4,4
