steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
1354441588,11277,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1354489045,11278,-2,0,8.4051269531,0.0813476563,-5.1105468750,-1.0975609756,1.4024390244,-0.2134146341,-26.5498672507,-19.1999040005,-32.6998365008
1354508026,11279,-2,0,8.6443847656,-0.6412109375,-4.4597656250,-0.7926829268,-0.1524390244,-0.3963414634,-26.2498687507,-19.1999040005,-32.9998350008
1354535638,11280,-2,0,8.7376953125,-0.7177734375,-4.5267578125,-0.7012195122,0.1829268293,-0.4268292683,-26.2498687507,-19.1999040005,-32.9998350008
1354566642,11281,-2,0,8.7209472656,-0.7082031250,-4.5530761719,-1.0975609756,0.1219512195,-1.1890243902,-26.2498687507,-19.1999040005,-32.9998350008
1354608815,11282,-2,0,8.7305175781,-0.6627441406,-4.5315429688,-1.5243902439,0.0304878049,-1.4939024390,-25.9498702506,-20.2498987505,-32.5498372508
1354631412,11283,-2,0,8.7305175781,-0.6627441406,-4.5315429688,-1.3414634146,0.7012195122,-1.1890243902,-25.9498702506,-20.2498987505,-32.5498372508
1354663867,11284,-2,0,8.6707031250,-0.6316406250,-4.5674316406,-0.8536585366,1.0975609756,-1.1280487805,-25.9498702506,-20.2498987505,-32.5498372508
1354691915,11285,-2,0,8.7544433594,-0.6292480469,-4.5506835938,-0.5182926829,0.8231707317,-0.8231707317,-25.9498702506,-20.2498987505,-32.5498372508
1354728995,11286,-2,0,8.7329101563,-0.6459960938,-4.5291503906,-0.4878048780,0.6097560976,-0.6707317073,-25.9498702506,-20.2498987505,-32.5498372508
1354756721,11287,-2,0,8.7257324219,-0.6579589844,-4.5674316406,-0.7012195122,0.8536585366,-0.6402439024,-25.9498702506,-20.2498987505,-32.5498372508
1354807610,11288,-2,0,8.6898437500,-0.6699218750,-4.5387207031,-0.9756097561,1.2195121951,-0.8231707317,-26.6998665007,-19.7999010005,-33.2998335008
1354820900,11289,-2,0,8.7640136719,-0.6507812500,-4.5219726563,-1.0670731707,0.9451219512,-1.0670731707,-26.6998665007,-19.7999010005,-33.2998335008
1354845158,11290,-2,0,8.7161621094,-0.6340332031,-4.5650390625,-0.7012195122,1.0365853659,-1.1890243902,-26.6998665007,-19.7999010005,-33.2998335008
1354880116,11291,-2,0,8.6730957031,-0.6292480469,-4.5315429688,-0.3658536585,1.6158536585,-1.0975609756,-26.6998665007,-19.7999010005,-33.2998335008
1354920089,11292,-2,0,8.7137695313,-0.6842773438,-4.4908691406,-0.4878048780,1.9817073171,-0.9451219512,-26.6998665007,-19.7999010005,-33.2998335008
1354965369,11293,-2,0,8.7520507813,-0.6866699219,-4.4956542969,-0.9146341463,2.0731707317,-0.9756097561,-26.6998665007,-19.7999010005,-33.2998335008
1354972743,11294,-2,0,8.7209472656,-0.6890625000,-4.4765136719,-1.2500000000,1.7378048780,-1.1585365854,-25.0498747506,-19.6499017505,-34.1998290009
1355009369,11295,-2,0,8.7831542969,-0.6412109375,-4.4406250000,-1.3719512195,1.3109756098,-1.4939024390,-25.0498747506,-19.6499017505,-34.1998290009
1355036516,11296,-2,0,8.7879394531,-0.6316406250,-4.4621582031,-0.8841463415,1.0975609756,-1.6463414634,-25.0498747506,-19.6499017505,-34.1998290009
1355084549,11297,-2,0,8.7233398438,-0.6125000000,-4.4836914063,-0.6097560976,1.0670731707,-1.8597560976,-25.0498747506,-19.6499017505,-34.1998290009
1355092342,11298,-2,0,8.7975097656,-0.5957519531,-4.4860839844,-0.3963414634,0.5487804878,-1.9207317073,-25.0498747506,-19.6499017505,-34.1998290009
1355133018,11299,-2,0,8.7616210938,-0.6292480469,-4.4645507813,-0.5182926829,0.5487804878,-1.7987804878,-25.0498747506,-19.6499017505,-34.1998290009
1355161750,11300,-2,0,8.6874511719,-0.5981445313,-4.4645507813,-0.8841463415,1.2500000000,-1.4939024390,-25.0498747506,-19.6499017505,-34.1998290009
1355200268,11301,-2,0,8.7520507813,-0.5766113281,-4.4525878906,-0.4573170732,1.8292682927,-0.7317073171,-26.9998650007,-19.6499017505,-32.6998365008
1355225271,11302,-2,0,8.7855468750,-0.5813964844,-4.4645507813,-0.3658536585,1.3109756098,-0.7317073171,-26.9998650007,-19.6499017505,-32.6998365008
1355254054,11303,-2,0,8.7807617188,-0.6125000000,-4.4597656250,-0.6707317073,0.9146341463,-1.0670731707,-26.9998650007,-19.6499017505,-32.6998365008
1355285360,11304,-2,0,8.7329101563,-0.6029296875,-4.4812988281,-1.1280487805,0.3963414634,-1.4024390244,-25.7998710006,-20.0998995005,-34.9498252509
1355317977,11305,-2,0,8.7305175781,-0.5718261719,-4.5004394531,-1.4939024390,0.3048780488,-1.1890243902,-25.7998710006,-20.0998995005,-34.9498252509
1355347131,11306,-2,0,8.6563476563,-0.5191894531,-4.5411132813,-1.0975609756,0.7926829268,-1.0365853659,-25.7998710006,-20.0998995005,-34.9498252509
1355377864,11307,-2,0,8.7185546875,-0.5502929688,-4.5435058594,-0.7621951220,1.5548780488,-0.3353658537,-26.3998680007,-20.5498972505,-32.5498372508
1355429136,11308,4,0,8.7424804688,-0.6005371094,-4.4908691406,-0.7926829268,1.5243902439,-0.2439024390,-26.3998680007,-20.5498972505,-32.5498372508
1355469046,11309,4,0,8.7041992188,-0.6077148438,-4.4741210938,-0.8231707317,1.8597560976,-0.5487804878,-26.3998680007,-20.5498972505,-32.5498372508
1355476616,11310,4,0,8.7161621094,-0.5885742188,-4.4860839844,-0.9451219512,1.9512195122,-0.4268292683,-27.1498642507,-20.5498972505,-33.8998305008
1355505311,11311,4,0,8.7496582031,-0.5981445313,-4.4190917969,-0.7926829268,1.8902439024,-0.4573170732,-27.1498642507,-20.5498972505,-33.8998305008
1355552868,11312,4,0,8.7664062500,-0.6077148438,-4.4501953125,-1.0670731707,1.6768292683,-0.9146341463,-27.1498642507,-20.5498972505,-33.8998305008
1355571548,11313,4,0,8.7592285156,-0.5837890625,-4.4741210938,-1.1890243902,1.1280487805,-0.8231707317,-26.3998680007,-20.5498972505,-33.5998320008
1355598555,11314,4,0,8.7305175781,-0.5598632813,-4.4286621094,-1.0365853659,0.7926829268,-0.5487804878,-26.3998680007,-20.5498972505,-33.5998320008
1355625787,11315,4,0,8.7329101563,-0.5837890625,-4.4597656250,-0.8536585366,0.8536585366,0.0000000000,-26.3998680007,-20.5498972505,-33.5998320008
1355674131,11316,4,0,8.7353027344,-0.6531738281,-4.4717285156,-1.2500000000,0.8231707317,0.0609756098,-26.3998680007,-19.4999025005,-33.8998305008
1355694239,11317,4,0,8.7329101563,-0.6579589844,-4.4238769531,-1.5548780488,0.9451219512,-0.3963414634,-26.3998680007,-19.4999025005,-33.8998305008
1355725448,11318,4,0,8.6922363281,-0.5957519531,-4.4765136719,-1.2195121951,1.3719512195,-0.9756097561,-26.3998680007,-19.4999025005,-33.8998305008
1355750251,11319,4,0,8.6826660156,-0.5933593750,-4.4789062500,-0.7317073171,1.2500000000,-1.0975609756,-25.6498717506,-19.7999010005,-36.1498192509
1355790645,11320,4,0,8.7735839844,-0.5861816406,-4.4717285156,-0.5792682927,0.8536585366,-1.0060975610,-25.6498717506,-19.7999010005,-36.1498192509
1355820652,11321,4,0,8.6946289063,-0.5718261719,-4.4717285156,-0.5792682927,1.1585365854,-1.0670731707,-25.6498717506,-19.7999010005,-36.1498192509
1355856663,11322,4,0,8.7257324219,-0.6148925781,-4.4717285156,-0.8841463415,1.1890243902,-0.7012195122,-25.6498717506,-19.7999010005,-36.1498192509
1355895097,11323,4,0,8.7353027344,-0.6125000000,-4.4693359375,-1.0975609756,1.2500000000,-0.6097560976,-25.4998725006,-19.1999040005,-32.9998350008
1355915273,11324,4,0,8.7113769531,-0.5742187500,-4.4478027344,-0.9451219512,1.4634146341,-0.9146341463,-25.4998725006,-19.1999040005,-32.9998350008
1355945573,11325,4,0,8.6994140625,-0.5766113281,-4.4812988281,-0.7012195122,1.4634146341,-1.0060975610,-25.4998725006,-19.1999040005,-32.9998350008
1355974962,11326,4,0,8.7448730469,-0.5550781250,-4.4597656250,-1.0060975610,1.3414634146,-0.9451219512,-26.5498672507,-19.1999040005,-33.4498327508
1356022759,11327,4,0,8.7257324219,-0.5383300781,-4.4525878906,-0.9451219512,1.4634146341,-0.6402439024,-26.5498672507,-19.1999040005,-33.4498327508
1356032280,11328,4,0,8.7209472656,-0.5790039063,-4.4597656250,-1.0670731707,1.4024390244,-0.3048780488,-26.5498672507,-19.1999040005,-33.4498327508
1356085396,11329,4,0,8.7161621094,-0.5861816406,-4.4597656250,-1.1280487805,1.3719512195,-0.1219512195,-27.8998605007,-19.7999010005,-33.2998335008
1356108001,11330,4,0,8.7281250000,-0.6005371094,-4.4454101563,-1.3719512195,1.0365853659,-0.3048780488,-27.8998605007,-19.7999010005,-33.2998335008
