steady_timestamp,sequence,battery,flags,TMS-ch1
1379307937,11701,-2,0,32169.0000000000
1379356692,11702,-2,0,63420.0000000000
1379381894,11703,-2,0,94671.0000000000
1379411731,11704,-2,0,125922.0000000000
1379439836,11705,-2,0,157173.0000000000
1379470597,11706,-2,0,188424.0000000000
1379525524,11707,-2,0,219675.0000000000
1379540703,11708,-2,0,250926.0000000000
1379566916,11709,-2,0,282177.0000000000
1379596829,11710,-2,0,313428.0000000000
1379650420,11711,-2,0,344679.0000000000
1379668114,11712,-2,0,375930.0000000000
1379697850,11713,-2,0,407181.0000000000
1379724681,11714,-2,0,438432.0000000000
1379796854,11715,-2,0,469683.0000000000
1379805638,11716,-2,0,500934.0000000000
1379823003,11717,-2,0,532185.0000000000
1379841093,11718,-2,0,563436.0000000000
1379886835,11719,-2,0,594687.0000000000
1379910695,11720,-2,0,625938.0000000000
1379949266,11721,-2,0,657189.0000000000
1379967912,11722,-2,0,688440.0000000000
1380000589,11723,-2,0,719691.0000000000
1380044292,11724,-2,0,750942.0000000000
1380064368,11725,-2,0,782193.0000000000
1380091328,11726,-2,0,813444.0000000000
1380118645,11727,-2,0,844695.0000000000
1380168622,11728,-2,0,875946.0000000000
1380190640,11729,-2,0,907197.0000000000
1380239877,11730,-2,0,938448.0000000000
1380243730,11731,-2,0,969699.0000000000
1380286782,11732,4,0,1000950.0000000000
1380318318,11733,4,0,1032201.0000000000
1380354749,11734,4,0,1063452.0000000000
1380368025,11735,4,0,1094703.0000000000
1380415674,11736,4,0,1125954.0000000000
1380444718,11737,4,0,1157205.0000000000
1380484658,11738,4,0,1188456.0000000000
1380500658,11739,4,0,1219707.0000000000
1380541820,11740,4,0,1250958.0000000000
1380601879,11741,4,0,1282209.0000000000
1380605376,11742,4,0,1313460.0000000000
1380623985,11743,4,0,1344711.0000000000
1380653668,11744,4,0,1375962.0000000000
1380705629,11745,4,0,1407213.0000000000
1380734921,11746,4,0,1438464.0000000000
1380755389,11747,4,0,1469715.0000000000
1380789959,11748,4,0,1500966.0000000000
1380827156,11749,4,0,1532217.0000000000
1380846698,11750,4,0,1563468.0000000000
1380877244,11751,4,0,1594719.0000000000
1380907964,11752,4,0,1625970.0000000000
1380953467,11753,4,0,1657221.0000000000
1380973836,11754,4,0,1688472.0000000000
1381012262,11755,4,0,1719723.0000000000
1381047001,11756,4,0,1750974.0000000000
1381071409,11757,4,0,1782225.0000000000
1381094646,11758,4,0,1813476.0000000000
1381129261,11759,4,0,1844727.0000000000
1381182680,11760,4,0,1875978.0000000000
1381188607,11761,4,0,1907229.0000000000
1381230737,11762,4,0,1938480.0000000000
1381254688,11763,4,0,1969731.0000000000
1381298866,11764,4,0,2000982.0000000000
1381319003,11765,4,0,2032233.0000000000
1381351958,11766,4,0,2063484.0000000000
1381383979,11767,4,0,2094735.0000000000
1381426809,11768,4,0,2125986.0000000000
1381439052,11769,4,0,2157237.0000000000
1381470615,11770,4,0,2188488.0000000000
1381504867,11771,4,0,2219739.0000000000
1381543217,11772,4,0,2250990.0000000000
1381558850,11773,4,0,2282241.0000000000
1381611922,11774,4,0,2313492.0000000000
1381648862,11775,4,0,2344743.0000000000
1381685389,11776,4,0,2375994.0000000000
1381689535,11777,4,0,2407245.0000000000
1381719709,11778,4,0,2438496.0000000000
1381776903,11779,4,0,2469747.0000000000
1381799697,11780,4,0,2500998.0000000000
1381815586,11781,4,0,2532249.0000000000
1381842440,11782,4,0,2563500.0000000000
1381896856,11783,4,0,2594751.0000000000
1381926908,11784,4,0,2626002.0000000000
1381941949,11785,4,0,2657253.0000000000
1381968389,11786,4,0,2688504.0000000000
1382004066,11787,4,0,2719755.0000000000
1382034526,11788,4,0,2751006.0000000000
1382064470,11789,4,0,2782257.0000000000
1382094913,11790,4,0,2813508.0000000000
1382131848,11791,4,0,2844759.0000000000
1382158032,11792,4,0,2876010.0000000000
1382191708,11793,4,0,2907261.0000000000
1382215985,11794,4,0,2938512.0000000000
1382256032,11795,4,0,2969763.0000000000
1382286913,11796,4,0,3001014.0000000000
1382334213,11797,4,0,3032265.0000000000
1382363004,11798,4,0,3063516.0000000000
1382375551,11799,4,0,3094767.0000000000
1382413114,11800,4,0,3126018.0000000000
1382441803,11801,4,0,3157269.0000000000
1382490285,11802,4,0,3188520.0000000000
1382501775,11803,4,0,3219771.0000000000
1382534728,11804,4,0,3251022.0000000000
1382568521,11805,4,0,3282273.0000000000
1382601804,11806,4,0,3313524.0000000000
1382631361,11807,4,0,3344775.0000000000
1382660815,11808,4,0,3376026.0000000000
1382719918,11809,4,0,3407277.0000000000
1382726804,11810,4,0,3438528.0000000000
1382746139,11811,4,0,3469779.0000000000
1382778977,11812,4,0,3501030.0000000000
1382834191,11813,4,0,3532281.0000000000
1382855420,11814,4,0,3563532.0000000000
1382877295,11815,4,0,3594783.0000000000
1382906897,11816,4,0,3626034.0000000000
1382932760,11817,4,0,3657285.0000000000
1382990083,11818,4,0,3688536.0000000000
1383009591,11819,4,0,3719787.0000000000
1383035918,11820,4,0,3751038.0000000000
1383077813,11821,4,0,3782289.0000000000
1383099076,11822,4,0,3813540.0000000000
1383130756,11823,4,0,3844791.0000000000
1383159174,11824,4,0,3876042.0000000000
1383185911,11825,4,0,3907293.0000000000
1383230783,11826,4,0,3938544.0000000000
1383253516,11827,4,0,3969795.0000000000
1383284082,11828,4,0,4001046.0000000000
1383319068,11829,4,0,4032297.0000000000
1383347817,11830,4,0,4063548.0000000000
1383379234,11831,4,0,4094799.0000000000
1383408452,11832,4,0,4126050.0000000000
1383439790,11833,4,0,4157301.0000000000
1383466414,11834,4,0,4188552.0000000000
1383510357,11835,4,0,4219803.0000000000
1383540842,11836,4,0,4251054.0000000000
1383566780,11837,4,0,4282305.0000000000
1383593759,11838,4,0,4313556.0000000000
1383623874,11839,4,0,4344807.0000000000
1383656578,11840,4,0,4376058.0000000000
1383683904,11841,4,0,4407309.0000000000
1383718778,11842,4,0,4438560.0000000000
1383748450,11843,4,0,4469811.0000000000
1383785164,11844,4,0,4501062.0000000000
1383829866,11845,4,0,4532313.0000000000
1383846666,11846,4,0,4563564.0000000000
1383873548,11847,4,0,4594815.0000000000
1383917256,11848,4,0,4626066.0000000000
1383946872,11849,4,0,4657317.0000000000
1383971781,11850,4,0,4688568.0000000000
1384009421,11851,4,0,4719819.0000000000
1384029291,11852,4,0,4751070.0000000000
1384066831,11853,4,0,4782321.0000000000
1384110519,11854,4,0,4813572.0000000000
1384124513,11855,4,0,4844823.0000000000
1384156003,11856,4,0,4876074.0000000000
1384212453,11857,4,0,4907325.0000000000
1384214735,11858,4,0,4938576.0000000000
1384247357,11859,4,0,4969827.0000000000
1384304441,11860,4,0,5001078.0000000000
