steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
1984345420,15350,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1984369317,15351,-2,0,8.7257324219,-0.4521972656,-4.4358398438,-0.6097560976,1.0365853659,-0.7317073171,-25.6498717506,-20.5498972505,-35.0998245009
1984389157,15352,-2,0,0.3086425781,-0.0239257813,-0.1459472656,-0.2743902439,2.5000000000,-0.3963414634,-25.4998725006,-20.3998980005,-34.9498252509
1984431595,15353,-2,0,8.7951171875,-0.6101074219,-4.1846191406,-0.7621951220,2.7134146341,-0.8841463415,-25.4998725006,-20.3998980005,-34.9498252509
1984471488,15354,-2,0,8.8381835938,-0.5813964844,-4.2229003906,-0.9451219512,4.0243902439,-0.4573170732,-25.4998725006,-20.3998980005,-34.9498252509
1984498091,15355,-2,0,8.8549316406,-0.5718261719,-4.1535156250,-1.0670731707,4.2378048780,-0.1219512195,-25.9498702506,-20.9998950005,-33.5998320008
1984536659,15356,-2,0,8.9578125000,-0.5479003906,-4.1439453125,-0.7621951220,3.9024390244,-0.7317073171,-25.9498702506,-20.9998950005,-33.5998320008
1984598052,15357,-2,0,8.9745605469,-0.5455078125,-4.1343750000,-0.6097560976,3.4756097561,-0.3048780488,-25.9498702506,-20.9998950005,-33.5998320008
1984603250,15358,-2,0,8.9171386719,-0.5598632813,-4.0625976563,-0.5792682927,3.3231707317,0.1524390244,-25.9498702506,-20.9998950005,-33.5998320008
1984608952,15359,-2,0,8.9410644531,-0.5837890625,-4.0219238281,-0.8536585366,2.7134146341,0.2439024390,-25.9498702506,-20.9998950005,-33.5998320008
1984650172,15360,-2,0,9.0032714844,-0.5957519531,-4.0697753906,-1.0975609756,1.5853658537,0.3658536585,-25.9498702506,-20.9998950005,-33.5998320008
1984696452,15361,-2,0,8.9721679688,-0.6005371094,-4.0889160156,-1.2804878049,0.8841463415,0.4573170732,-24.2998785006,-23.0998845006,-34.4998275009
1984705792,15362,-2,0,8.9410644531,-0.5694335938,-4.0769531250,-1.2804878049,0.6097560976,0.1219512195,-24.2998785006,-23.0998845006,-34.4998275009
1984735854,15363,-2,0,8.9027832031,-0.5909667969,-4.1271972656,-1.2804878049,0.4878048780,-0.4878048780,-24.2998785006,-23.0998845006,-34.4998275009
1984773066,15364,-2,0,8.9267089844,-0.5790039063,-4.1104492188,-1.0975609756,0.3048780488,-0.6402439024,-25.1998740006,-21.7498912505,-34.3498282509
1984820248,15365,-2,0,8.8740722656,-0.5239746094,-4.1104492188,-0.7317073171,0.8231707317,-0.4878048780,-25.1998740006,-21.7498912505,-34.3498282509
1984832886,15366,-2,0,8.8668945313,-0.5407226563,-4.1702636719,-0.2439024390,1.5853658537,-0.6402439024,-25.1998740006,-21.7498912505,-34.3498282509
1984863606,15367,-2,0,8.8740722656,-0.5622558594,-4.1511230469,-0.1829268293,2.3475609756,-0.0304878049,-24.2998785006,-19.6499017505,-34.9498252509
1984902876,15368,-2,0,8.8908203125,-0.6244628906,-4.0817382813,-0.7621951220,2.7134146341,0.2439024390,-24.2998785006,-19.6499017505,-34.9498252509
1984936672,15369,-2,0,8.9195312500,-0.6340332031,-4.0506347656,-1.5853658537,2.3475609756,-0.0609756098,-24.2998785006,-19.6499017505,-34.9498252509
1984964267,15370,-2,0,8.9530273438,-0.6196777344,-4.0697753906,-1.7073170732,1.7682926829,-0.1219512195,-24.8998755006,-20.9998950005,-33.8998305008
1984990322,15371,-2,0,8.9793457031,-0.5766113281,-4.1008789063,-1.3109756098,1.1585365854,-0.1829268293,-24.8998755006,-20.9998950005,-33.8998305008
1985018184,15372,-2,0,8.8094726563,-0.5502929688,-4.0530273438,-0.8231707317,2.2256097561,-0.6402439024,-24.8998755006,-20.9998950005,-33.8998305008
1985055434,15373,-2,0,8.9314941406,-0.5646484375,-4.0793457031,-0.3353658537,2.8048780488,-0.0914634146,-24.8998755006,-20.9998950005,-33.8998305008
1985083104,15374,-2,0,9.0224121094,-0.6148925781,-4.1200195313,-0.4268292683,1.9817073171,0.0000000000,-24.8998755006,-20.9998950005,-33.8998305008
1985115495,15375,-2,0,8.9219238281,-0.6388183594,-4.0697753906,-0.6707317073,1.6768292683,-0.0304878049,-24.8998755006,-20.9998950005,-33.8998305008
1985167380,15376,-2,0,8.8453613281,-0.6077148438,-4.0314941406,-0.7926829268,2.3170731707,0.0914634146,-24.8998755006,-20.9998950005,-33.8998305008
1985174155,15377,-2,0,8.8932128906,-0.6053222656,-4.0362792969,-0.7621951220,2.5000000000,0.0609756098,-25.1998740006,-21.4498927505,-35.3998230009
1985214124,15378,-2,0,8.9745605469,-0.6125000000,-4.0171386719,-0.9756097561,1.9817073171,-0.0914634146,-25.1998740006,-21.4498927505,-35.3998230009
1985239672,15379,-2,0,8.9841308594,-0.6483886719,-4.0362792969,-0.8841463415,1.4329268293,0.0304878049,-25.1998740006,-21.4498927505,-35.3998230009
1985293010,15380,-2,0,8.9482421875,-0.6436035156,-4.0410644531,-1.3109756098,0.9756097561,-0.0304878049,-26.2498687507,-21.8998905005,-34.9498252509
1985300511,15381,4,0,8.8812500000,-0.6101074219,-3.9908203125,-1.1890243902,1.7073170732,-0.3048780488,-26.2498687507,-21.8998905005,-34.9498252509
1985331743,15382,4,0,8.9362792969,-0.6125000000,-4.0123535156,-0.8231707317,2.4695121951,0.5182926829,-26.2498687507,-21.8998905005,-34.9498252509
1985359261,15383,4,0,8.9602050781,-0.6268554688,-4.0075683594,-0.8536585366,2.2560975610,-0.3048780488,-26.2498687507,-21.8998905005,-34.9498252509
1985413167,15384,4,0,8.9889160156,-0.6507812500,-3.9525390625,-0.9451219512,1.6768292683,-0.4878048780,-26.2498687507,-21.8998905005,-34.9498252509
1985426759,15385,4,0,8.9482421875,-0.6364257813,-3.9836425781,-1.0975609756,1.5548780488,-0.2134146341,-26.2498687507,-21.8998905005,-34.9498252509
1985455253,15386,4,0,8.9625976563,-0.6196777344,-3.9860351563,-1.0365853659,1.4024390244,-0.2743902439,-23.5498822506,-21.8998905005,-34.4998275009
1985489106,15387,4,0,8.9602050781,-0.6627441406,-3.9310058594,-1.1890243902,0.9756097561,-0.2134146341,-23.5498822506,-21.8998905005,-34.4998275009
1985531019,15388,4,0,8.9649902344,-0.6603515625,-4.0027832031,-1.4329268293,0.2743902439,-0.2439024390,-23.5498822506,-21.8998905005,-34.4998275009
1985546704,15389,4,0,8.9434570313,-0.6412109375,-4.0219238281,-1.3414634146,-0.1219512195,-0.7317073171,-24.4498777506,-20.9998950005,-34.3498282509
1985591873,15390,4,0,8.9051757813,-0.6220703125,-4.0003906250,-0.6707317073,0.2743902439,-0.9146341463,-24.4498777506,-20.9998950005,-34.3498282509
1985613008,15391,4,0,8.9003906250,-0.6244628906,-4.0578125000,-0.5792682927,0.7621951220,-0.9756097561,-24.4498777506,-20.9998950005,-34.3498282509
1985650832,15392,4,0,8.8836425781,-0.6292480469,-4.0578125000,-0.8536585366,0.9451219512,-1.0975609756,-25.0498747506,-20.3998980005,-35.5498222509
1985670261,15393,4,0,8.9195312500,-0.6459960938,-4.0099609375,-1.3719512195,1.1890243902,-0.7012195122,-25.0498747506,-20.3998980005,-35.5498222509
1985702844,15394,4,0,8.9003906250,-0.6388183594,-4.0482421875,-1.4024390244,1.4329268293,-0.6097560976,-25.0498747506,-20.3998980005,-35.5498222509
1985733501,15395,4,0,8.9171386719,-0.5933593750,-4.0602050781,-0.9451219512,1.5853658537,-0.5182926829,-25.0498747506,-20.3998980005,-35.5498222509
1985765855,15396,4,0,8.9267089844,-0.5885742188,-4.0267089844,-0.7926829268,1.7073170732,-0.5182926829,-24.2998785006,-20.3998980005,-34.9498252509
1985805568,15397,4,0,8.9099609375,-0.5933593750,-4.0195312500,-0.6097560976,1.7682926829,-0.4573170732,-24.2998785006,-20.3998980005,-34.9498252509
1985878112,15398,4,0,8.9338867188,-0.6220703125,-4.0075683594,-0.7317073171,1.3109756098,-0.6097560976,-24.2998785006,-20.3998980005,-34.9498252509
1985886863,15399,4,0,8.9386718750,-0.6459960938,-4.0219238281,-0.7012195122,0.9756097561,-0.2743902439,-24.2998785006,-20.3998980005,-34.9498252509
1985895680,15400,4,0,8.9267089844,-0.6172851563,-4.0123535156,-0.7926829268,1.2804878049,-0.3658536585,-24.2998785006,-20.3998980005,-34.9498252509
1985925528,15401,4,0,8.8692871094,-0.6220703125,-4.0338867188,-0.7012195122,2.0731707317,-0.7621951220,-24.2998785006,-20.3998980005,-34.9498252509
1985964282,15402,4,0,8.9578125000,-0.6148925781,-4.0003906250,-0.5792682927,2.1951219512,-0.7317073171,-24.7498762506,-20.3998980005,-33.7498312508
1986000643,15403,4,0,9.0080566406,-0.6436035156,-4.0075683594,-0.7621951220,1.3414634146,-0.1829268293,-24.7498762506,-20.3998980005,-33.7498312508
1986025584,15404,4,0,8.9602050781,-0.6388183594,-4.0219238281,-1.0365853659,1.1890243902,-0.3963414634,-24.7498762506,-20.3998980005,-33.7498312508
1986048151,15405,4,0,8.9219238281,-0.6436035156,-3.9979980469,-1.1280487805,1.0975609756,0.0304878049,-25.7998710006,-21.5998920005,-34.1998290009
1986073987,15406,4,0,8.8549316406,-0.5981445313,-3.9908203125,-0.8841463415,1.4024390244,0.0304878049,-25.7998710006,-21.5998920005,-34.1998290009
1986123145,15407,4,0,8.9171386719,-0.6268554688,-4.0219238281,-0.6402439024,1.0670731707,-0.2439024390,-25.7998710006,-21.5998920005,-34.1998290009
1986145901,15408,4,0,8.9554199219,-0.6436035156,-4.0314941406,-0.7317073171,0.8231707317,-0.4573170732,-25.7998710006,-21.5998920005,-34.4998275009
