steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
2014555549,16037,4,4,4,4,4,4,4,4,4,4
2014596721,16038,4,4,4,4,4,4,4,4,4,4
2014653519,16039,4,4,4,4,4,4,4,4,4,4
2014659299,16040,4,4,4,4,4,4,4,4,4,4
2014705693,16041,4,4,4,4,4,4,4,4,4,4
2014709060,16042,4,4,4,4,4,4,4,4,4,4
2014754573,16043,4,4,4,4,4,4,4,4,4,4
2014785752,16044,4,4,4,4,4,4,4,4,4,4
2014823561,16045,4,4,4,4,4,4,4,4,4,4
2014853255,16046,4,4,4,4,4,4,4,4,4,4
2014872978,16047,4,4,4,4,4,4,4,4,4,4
2014903055,16048,4,4,4,4,4,4,4,4,4,4
2014934076,16049,4,4,4,4,4,4,4,4,4,4
2014963342,16050,4,4,4,4,4,4,4,4,4,4
2015000773,16051,4,4,4,4,4,4,4,4,4,4
2015054953,16052,4,4,4,4,4,4,4,4,4,4
2015067009,16053,4,4,4,4,4,4,4,4,4,4
2015103186,16054,4,4,4,4,4,4,4,4,4,4
2015124393,16055,4,4,4,4,4,4,4,4,4,4
2015174900,16056,4,4,4,4,4,4,4,4,4,4
2015195644,16057,4,4,4,4,4,4,4,4,4,4
2015211874,16058,4,4,4,4,4,4,4,4,4,4
2015244724,16059,4,4,4,4,4,4,4,4,4,4
2015315957,16060,4,4,4,4,4,4,4,4,4,4
2015323227,16061,4,4,4,4,4,4,4,4,4,4
2015339991,16062,4,4,4,4,4,4,4,4,4,4
2015399258,16063,4,4,4,4,4,4,4,4,4,4
2015413053,16064,4,4,4,4,4,4,4,4,4,4
2015435824,16065,4,4,4,4,4,4,4,4,4,4
2015467291,16066,4,4,4,4,4,4,4,4,4,4
2015495764,16067,4,4,4,4,4,4,4,4,4,4
2015533218,16068,4,4,4,4,4,4,4,4,4,4
2015560892,16069,4,4,4,4,4,4,4,4,4,4
2015593508,16070,4,4,4,4,4,4,4,4,4,4
2015645957,16071,4,4,4,4,4,4,4,4,4,4
2015650192,16072,4,4,4,4,4,4,4,4,4,4
2015691897,16073,4,4,4,4,4,4,4,4,4,4
2015718273,16074,4,4,4,4,4,4,4,4,4,4
2015748135,16075,4,4,4,4,4,4,4,4,4,4
2015771488,16076,4,4,4,4,4,4,4,4,4,4
2015821889,16077,4,4,4,4,4,4,4,4,4,4
2015843272,16078,4,4,4,4,4,4,4,4,4,4
2015886154,16079,4,4,4,4,4,4,4,4,4,4
2015916737,16080,4,4,4,4,4,4,4,4,4,4
2015936159,16081,4,4,4,4,4,4,4,4,4,4
2015967193,16082,4,4,4,4,4,4,4,4,4,4
2016003699,16083,4,4,4,4,4,4,4,4,4,4
