steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
1932800532,14661,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1932838992,14662,-2,0,8.9530273438,-0.3301757813,-3.9932128906,-1.3719512195,1.0060975610,-0.2134146341,-23.6998815006,-19.0499047505,-35.8498207509
1932871740,14663,-2,0,8.8262207031,-0.0645996094,-4.0458496094,-1.3719512195,2.7743902439,-0.7012195122,-22.9498852506,-19.7999010005,-35.3998230009
1932928892,14664,-2,0,8.9003906250,-0.0167480469,-4.1463378906,-1.1280487805,3.2317073171,-0.2439024390,-22.9498852506,-19.7999010005,-35.3998230009
1932938759,14665,-2,0,8.9937011719,-0.0478515625,-4.1583007813,-0.4573170732,2.8048780488,-0.6097560976,-22.9498852506,-19.7999010005,-35.3998230009
1932965653,14666,-2,0,8.9195312500,-0.0334960938,-4.1248046875,-0.1829268293,2.0121951220,-1.2804878049,-24.1498792506,-19.4999025005,-33.8998305008
1932995150,14667,-2,0,8.9578125000,-0.0239257813,-4.1439453125,0.3048780488,1.0975609756,-1.0060975610,-24.1498792506,-19.4999025005,-33.8998305008
1933040288,14668,-2,0,8.9458496094,-0.0143554688,-4.1463378906,0.3353658537,0.4573170732,-0.4268292683,-24.1498792506,-19.4999025005,-33.8998305008
1933063125,14669,-2,0,8.9075683594,-0.0909179688,-4.1056640625,0.0609756098,0.0304878049,0.2134146341,-24.1498792506,-19.4999025005,-33.8998305008
1933082013,14670,-2,0,8.9075683594,-0.0909179688,-4.1056640625,-0.8231707317,0.1829268293,0.7621951220,-24.1498792506,-19.4999025005,-33.8998305008
1933143013,14671,-2,0,8.9147460938,-0.1172363281,-4.1559082031,-1.6768292683,0.7926829268,0.8536585366,-24.1498792506,-19.4999025005,-33.8998305008
1933161375,14672,-2,0,8.8764648438,-0.0669921875,-4.1391601563,-1.9512195122,2.0426829268,0.6707317073,-24.4498777506,-19.0499047505,-35.0998245009
1933179194,14673,-2,0,8.8118652344,-0.0430664063,-4.0865234375,-1.5243902439,3.5975609756,0.7621951220,-24.4498777506,-19.0499047505,-35.0998245009
1933210797,14674,-2,0,8.9171386719,-0.0598144531,-4.0697753906,-1.3414634146,3.7804878049,0.7317073171,-24.4498777506,-19.0499047505,-35.0998245009
1933266334,14675,-2,0,8.9649902344,-0.0837402344,-4.0769531250,-1.2500000000,3.0792682927,0.2134146341,-23.3998830006,-18.7499062505,-35.0998245009
1933280238,14676,-2,0,9.0176269531,-0.0861328125,-3.9932128906,-1.1280487805,2.0731707317,0.0609756098,-23.3998830006,-18.7499062505,-35.0998245009
1933309139,14677,-2,0,9.0056640625,-0.0980957031,-4.0243164063,-0.9146341463,1.4634146341,0.1829268293,-23.3998830006,-18.7499062505,-35.0998245009
1933336891,14678,-2,0,8.9841308594,-0.0741699219,-4.0267089844,-0.7926829268,0.8231707317,0.1524390244,-24.8998755006,-19.4999025005,-35.3998230009
1933410584,14679,-2,0,8.9793457031,-0.1196289063,-4.0267089844,-0.8231707317,0.0914634146,0.1219512195,-24.8998755006,-19.4999025005,-35.3998230009
1933416568,14680,-2,0,8.9506347656,-0.1722656250,-4.0817382813,-1.3109756098,0.0304878049,0.0000000000,-24.8998755006,-19.4999025005,-35.3998230009
1933434020,14681,-2,0,8.8788574219,-0.1291992188,-4.1104492188,-1.3109756098,0.7012195122,-0.0304878049,-25.9498702506,-19.4999025005,-35.3998230009
1933461122,14682,-2,0,8.9003906250,-0.1339843750,-4.0793457031,-1.3414634146,0.9756097561,-0.1524390244,-25.9498702506,-19.4999025005,-33.5998320008
1933510831,14683,-2,0,8.8333984375,-0.0717773438,-4.0410644531,-1.4024390244,1.6158536585,-0.5182926829,-25.9498702506,-19.4999025005,-33.5998320008
1933531737,14684,-2,0,9.0319824219,-0.1172363281,-4.0937011719,-1.4329268293,1.0670731707,0.5487804878,-25.9498702506,-19.4999025005,-33.5998320008
1933566666,14685,-2,0,8.9865234375,-0.1196289063,-4.0721679688,-1.7073170732,0.6097560976,1.4024390244,-25.9498702506,-19.4999025005,-33.5998320008
1933585178,14686,-2,0,8.9314941406,-0.1315917969,-4.0314941406,-1.9817073171,0.6707317073,1.5243902439,-25.9498702506,-19.4999025005,-33.5998320008
1933633478,14687,-2,0,8.9147460938,-0.1363769531,-4.0793457031,-1.9817073171,0.6402439024,1.0365853659,-25.9498702506,-19.4999025005,-33.5998320008
1933653077,14688,-2,0,8.9243164063,-0.1244140625,-4.1176269531,-1.5548780488,0.5182926829,0.3963414634,-23.2498837506,-19.6499017505,-34.4998275009
1933682072,14689,-2,0,8.9027832031,-0.1172363281,-4.0960937500,-0.9451219512,1.0670731707,-0.0304878049,-23.2498837506,-19.6499017505,-34.4998275009
1933707759,14690,-2,0,8.9075683594,-0.1459472656,-4.0721679688,-0.5487804878,1.6158536585,-0.3048780488,-23.2498837506,-19.6499017505,-34.4998275009
1933751568,14691,-2,0,8.9578125000,-0.1818359375,-4.0721679688,-0.6707317073,1.5853658537,-0.5182926829,-23.5498822506,-18.4499077505,-34.4998275009
1933780339,14692,4,0,8.9027832031,-0.1722656250,-4.0171386719,-0.9756097561,1.5853658537,-0.6707317073,-23.5498822506,-18.4499077505,-34.4998275009
1933807958,14693,4,0,8.9075683594,-0.1722656250,-4.0769531250,-1.1890243902,1.3719512195,-0.7317073171,-23.5498822506,-18.4499077505,-34.4998275009
1933869420,14694,4,0,8.9434570313,-0.1172363281,-4.0793457031,-0.9756097561,1.8902439024,-0.8536585366,-24.8998755006,-19.0499047505,-34.6498267509
1933874218,14695,4,0,8.9243164063,-0.1315917969,-4.0506347656,-0.4268292683,2.0121951220,-0.2134146341,-24.8998755006,-19.0499047505,-34.6498267509
1933902929,14696,4,0,8.9506347656,-0.1746582031,-4.0554199219,-0.3658536585,1.4634146341,-0.4573170732,-24.8998755006,-19.0499047505,-34.6498267509
1933932127,14697,4,0,8.9386718750,-0.2057617188,-4.0482421875,-0.7926829268,1.1280487805,-0.7317073171,-24.7498762506,-19.6499017505,-34.9498252509
1934010565,14698,4,0,8.9123535156,-0.1818359375,-4.0147460938,-1.1280487805,0.7317073171,-0.9756097561,-24.7498762506,-19.6499017505,-34.9498252509
1934014108,14699,4,0,8.9123535156,-0.1339843750,-4.0793457031,-0.6097560976,1.2500000000,-0.8841463415,-24.7498762506,-19.6499017505,-34.9498252509
1934030606,14700,4,0,8.8884277344,-0.1363769531,-4.0937011719,-0.5182926829,1.5548780488,-0.8841463415,-24.8998755006,-19.7999010005,-35.3998230009
1934060243,14701,4,0,8.9506347656,-0.1770507813,-4.0506347656,-0.8536585366,1.7378048780,-1.0670731707,-24.8998755006,-19.7999010005,-35.3998230009
1934101557,14702,4,0,8.8932128906,-0.1459472656,-4.0673828125,-0.8231707317,2.6219512195,-1.4634146341,-24.8998755006,-19.7999010005,-35.3998230009
1934122048,14703,4,0,8.9243164063,-0.1291992188,-4.0386718750,-0.5792682927,2.5914634146,-0.7621951220,-24.8998755006,-18.2999085005,-35.0998245009
1934151701,14704,4,0,8.9889160156,-0.1411621094,-3.9932128906,-0.7621951220,1.8902439024,-1.1890243902,-24.8998755006,-18.2999085005,-35.0998245009
1934181903,14705,4,0,8.9841308594,-0.1650878906,-3.9884277344,-1.0975609756,1.4024390244,-1.3109756098,-24.8998755006,-18.2999085005,-35.0998245009
1934235528,14706,4,0,8.9745605469,-0.1507324219,-3.9908203125,-1.1890243902,0.7926829268,-0.9756097561,-24.8998755006,-18.2999085005,-35.0998245009
1934250256,14707,4,0,8.9793457031,-0.0980957031,-4.0027832031,-0.9146341463,0.3048780488,-0.7926829268,-24.1498792506,-19.7999010005,-34.3498282509
1934276859,14708,4,0,8.9506347656,-0.1028808594,-4.0147460938,-0.7926829268,-0.0609756098,-0.2743902439,-24.1498792506,-19.7999010005,-34.3498282509
1934328914,14709,4,0,8.9362792969,-0.1435546875,-4.0410644531,-1.0365853659,-0.2439024390,-0.2134146341,-24.1498792506,-19.7999010005,-34.3498282509
1934343997,14710,4,0,8.9051757813,-0.1507324219,-4.0745605469,-1.1890243902,0.0000000000,-0.4268292683,-23.9998800006,-18.1499092505,-35.9998200009
1934372827,14711,4,0,8.8932128906,-0.1124511719,-4.0625976563,-1.1280487805,0.4268292683,-0.7317073171,-23.9998800006,-18.1499092505,-35.9998200009
1934402320,14712,4,0,8.8884277344,-0.1124511719,-4.1152343750,-1.0060975610,1.0060975610,-0.8536585366,-23.9998800006,-18.1499092505,-35.9998200009
1934452197,14713,4,0,8.9003906250,-0.1100585938,-4.0937011719,-0.7926829268,1.3414634146,-0.5792682927,-24.4498777506,-19.0499047505,-34.6498267509
1934462773,14714,4,0,8.9267089844,-0.1387695313,-4.0554199219,-0.8536585366,1.3414634146,-0.4573170732,-24.4498777506,-19.0499047505,-34.6498267509
1934494107,14715,4,0,8.9195312500,-0.1507324219,-4.0697753906,-1.1585365854,0.9451219512,-0.3658536585,-24.4498777506,-19.0499047505,-34.6498267509
1934523542,14716,4,0,8.9291015625,-0.1363769531,-4.0793457031,-1.2195121951,0.9146341463,-0.3658536585,-22.9498852506,-18.7499062505,-35.0998245009
1934572234,14717,4,0,8.9243164063,-0.1220214844,-4.0554199219,-1.0670731707,1.0670731707,-0.2439024390,-22.9498852506,-18.7499062505,-35.0998245009
1934595508,14718,4,0,8.8956054688,-0.1220214844,-4.1032714844,-0.9451219512,1.3719512195,-0.3048780488,-22.9498852506,-18.7499062505,-35.0998245009
1934653147,14719,4,0,8.9051757813,-0.1722656250,-4.0817382813,-0.9756097561,1.5243902439,-0.1219512195,-24.2998785006,-20.3998980005,-34.9498252509
1934655199,14720,4,0,8.9051757813,-0.1459472656,-4.0171386719,-1.1585365854,1.5548780488,-0.4268292683,-24.2998785006,-20.3998980005,-34.9498252509
1934687115,14721,4,0,8.9267089844,-0.1674804688,-4.0291015625,-1.2195121951,1.4939024390,-0.4878048780,-24.2998785006,-20.3998980005,-34.9498252509
1934719255,14722,4,0,8.9554199219,-0.1698730469,-4.0793457031,-1.3109756098,1.3109756098,-0.6707317073,-24.1498792506,-19.0499047505,-33.5998320008
1934749216,14723,4,0,8.8788574219,-0.1387695313,-3.9597167969,-1.0975609756,1.4939024390,-0.8536585366,-24.1498792506,-19.0499047505,-33.5998320008
1934801824,14724,3,0,8.9458496094,-0.1220214844,-4.0267089844,-0.7621951220,1.5243902439,-0.7012195122,-24.1498792506,-19.0499047505,-33.5998320008
1934812393,14725,3,0,9.0032714844,-0.1268066406,-4.0721679688,-0.5182926829,0.7926829268,-0.4268292683,-24.1498792506,-19.0499047505,-33.5998320008
1934835659,14726,3,0,8.9099609375,-0.1650878906,-4.0314941406,-0.7317073171,0.4268292683,-1.0365853659,-24.1498792506,-19.0499047505,-33.5998320008
1934869263,14727,3,0,8.9051757813,-0.1579101563,-4.0530273438,-1.1280487805,0.2134146341,-1.0365853659,-24.1498792506,-19.0499047505,-33.5998320008
1934935322,14728,3,0,8.8645019531,-0.1172363281,-4.0769531250,-0.9756097561,0.4878048780,-0.9451219512,-24.1498792506,-19.0499047505,-33.5998320008
1934940018,14729,3,0,8.9147460938,-0.1052734375,-4.0649902344,-0.6402439024,0.8231707317,-0.7317073171,-25.0498747506,-19.6499017505,-33.7498312508
1934965402,14730,3,0,8.9123535156,-0.1268066406,-4.1008789063,-0.7317073171,1.0365853659,-0.5792682927,-25.0498747506,-19.6499017505,-33.7498312508
1934995744,14731,3,0,8.8979980469,-0.1435546875,-4.0937011719,-1.2195121951,1.1585365854,-0.2439024390,-25.0498747506,-19.6499017505,-33.7498312508
