steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
1942983228,14891,4,4,4,4,4,4,4,4,4,4
1943021402,14892,4,4,4,4,4,4,4,4,4,4
1943080386,14893,4,4,4,4,4,4,4,4,4,4
1943086690,14894,4,4,4,4,4,4,4,4,4,4
1943112813,14895,4,4,4,4,4,4,4,4,4,4
1943145377,14896,4,4,4,4,4,4,4,4,4,4
1943202834,14897,4,4,4,4,4,4,4,4,4,4
1943219253,14898,4,4,4,4,4,4,4,4,4,4
1943237935,14899,4,4,4,4,4,4,4,4,4,4
1943265087,14900,4,4,4,4,4,4,4,4,4,4
1943315479,14901,4,4,4,4,4,4,4,4,4,4
1943335577,14902,4,4,4,4,4,4,4,4,4,4
1943368151,14903,4,4,4,4,4,4,4,4,4,4
1943398038,14904,4,4,4,4,4,4,4,4,4,4
1943439012,14905,4,4,4,4,4,4,4,4,4,4
1943459020,14906,4,4,4,4,4,4,4,4,4,4
1943489152,14907,4,4,4,4,4,4,4,4,4,4
1943517151,14908,4,4,4,4,4,4,4,4,4,4
1943554077,14909,4,4,4,4,4,4,4,4,4,4
1943615324,14910,4,4,4,4,4,4,4,4,4,4
1943625546,14911,4,4,4,4,4,4,4,4,4,4
1943660938,14912,4,4,4,4,4,4,4,4,4,4
1943690222,14913,4,4,4,4,4,4,4,4,4,4
1943709275,14914,4,4,4,4,4,4,4,4,4,4
1943744169,14915,4,4,4,4,4,4,4,4,4,4
1943791684,14916,4,4,4,4,4,4,4,4,4,4
1943795744,14917,4,4,4,4,4,4,4,4,4,4
1943837931,14918,4,4,4,4,4,4,4,4,4,4
1943867903,14919,4,4,4,4,4,4,4,4,4,4
1943899356,14920,4,4,4,4,4,4,4,4,4,4
1943928455,14921,4,4,4,4,4,4,4,4,4,4
1943957658,14922,4,4,4,4,4,4,4,4,4,4
1944012783,14923,4,4,4,4,4,4,4,4,4,4
1944024038,14924,4,4,4,4,4,4,4,4,4,4
1944059726,14925,4,4,4,4,4,4,4,4,4,4
1944084133,14926,4,4,4,4,4,4,4,4,4,4
1944141725,14927,4,4,4,4,4,4,4,4,4,4
1944149288,14928,4,4,4,4,4,4,4,4,4,4
1944171608,14929,4,4,4,4,4,4,4,4,4,4
1944204449,14930,4,4,4,4,4,4,4,4,4,4
1944290199,14931,4,4,4,4,4,4,4,4,4,4
1944305507,14932,4,4,4,4,4,4,4,4,4,4
1944314152,14933,4,4,4,4,4,4,4,4,4,4
1944330634,14934,4,4,4,4,4,4,4,4,4,4
1944385353,14935,4,4,4,4,4,4,4,4,4,4
1944396623,14936,4,4,4,4,4,4,4,4,4,4
1944426912,14937,4,4,4,4,4,4,4,4,4,4
1944456639,14938,4,4,4,4,4,4,4,4,4,4
1944500286,14939,4,4,4,4,4,4,4,4,4,4
1944520299,14940,4,4,4,4,4,4,4,4,4,4
1944553008,14941,4,4,4,4,4,4,4,4,4,4
1944577045,14942,4,4,4,4,4,4,4,4,4,4
1944622962,14943,4,4,4,4,4,4,4,4,4,4
1944655288,14944,4,4,4,4,4,4,4,4,4,4
1944681743,14945,4,4,4,4,4,4,4,4,4,4
1944711673,14946,4,4,4,4,4,4,4,4,4,4
1944737646,14947,4,4,4,4,4,4,4,4,4,4
1944770589,14948,4,4,4,4,4,4,4,4,4,4
1944807140,14949,4,4,4,4,4,4,4,4,4,4
1944835083,14950,4,4,4,4,4,4,4,4,4,4
1944891002,14951,4,4,4,4,4,4,4,4,4,4
1944903328,14952,4,4,4,4,4,4,4,4,4,4
1944925415,14953,4,4,4,4,4,4,4,4,4,4
1944965400,14954,4,4,4,4,4,4,4,4,4,4
1944984041,14955,4,4,4,4,4,4,4,4,4,4
1945021581,14956,4,4,4,4,4,4,4,4,4,4
1945052815,14957,4,4,4,4,4,4,4,4,4,4
1945089334,14958,4,4,4,4,4,4,4,4,4,4
1945117905,14959,4,4,4,4,4,4,4,4,4,4
1945147169,14960,4,4,4,4,4,4,4,4,4,4
1945207804,14961,4,4,4,4,4,4,4,4,4,4
1945217146,14962,4,4,4,4,4,4,4,4,4,4
1945238111,14963,4,4,4,4,4,4,4,4,4,4
1945265212,14964,4,4,4,4,4,4,4,4,4,4
1945325370,14965,4,4,4,4,4,4,4,4,4,4
1945338008,14966,4,4,4,4,4,4,4,4,4,4
1945360931,14967,4,4,4,4,4,4,4,4,4,4
1945391650,14968,4,4,4,4,4,4,4,4,4,4
1945448116,14969,4,4,4,4,4,4,4,4,4,4
1945465929,14970,4,4,4,4,4,4,4,4,4,4
1945495330,14971,4,4,4,4,4,4,4,4,4,4
1945560990,14972,4,4,4,4,4,4,4,4,4,4
1945565378,14973,4,4,4,4,4,4,4,4,4,4
1945584118,14974,4,4,4,4,4,4,4,4,4,4
1945614442,14975,4,4,4,4,4,4,4,4,4,4
1945669502,14976,4,4,4,4,4,4,4,4,4,4
1945682425,14977,4,4,4,4,4,4,4,4,4,4
1945712149,14978,4,4,4,4,4,4,4,4,4,4
1945744228,14979,4,4,4,4,4,4,4,4,4,4
1945793233,14980,4,4,4,4,4,4,4,4,4,4
1945806025,14981,4,4,4,4,4,4,4,4,4,4
1945838109,14982,4,4,4,4,4,4,4,4,4,4
1945874401,14983,4,4,4,4,4,4,4,4,4,4
1945914121,14984,4,4,4,4,4,4,4,4,4,4
1945927340,14985,4,4,4,4,4,4,4,4,4,4
1945959161,14986,4,4,4,4,4,4,4,4,4,4
1945990932,14987,4,4,4,4,4,4,4,4,4,4
1946031107,14988,4,4,4,4,4,4,4,4,4,4
1946050386,14989,4,4,4,4,4,4,4,4,4,4
1946079143,14990,4,4,4,4,4,4,4,4,4,4
1946135482,14991,4,4,4,4,4,4,4,4,4,4
1946171114,14992,4,4,4,4,4,4,4,4,4,4
1946185159,14993,4,4,4,4,4,4,4,4,4,4
1946212294,14994,4,4,4,4,4,4,4,4,4,4
1946273260,14995,4,4,4,4,4,4,4,4,4,4
1946281831,14996,4,4,4,4,4,4,4,4,4,4
1946302022,14997,4,4,4,4,4,4,4,4,4,4
1946337154,14998,4,4,4,4,4,4,4,4,4,4
1946386972,14999,4,4,4,4,4,4,4,4,4,4
1946406645,15000,4,4,4,4,4,4,4,4,4,4
1946426011,15001,4,4,4,4,4,4,4,4,4,4
1946453981,15002,4,4,4,4,4,4,4,4,4,4
1946512164,15003,4,4,4,4,4,4,4,4,4,4
1946525433,15004,4,4,4,4,4,4,4,4,4,4
1946554424,15005,4,4,4,4,4,4,4,4,4,4
1946582254,15006,4,4,4,4,4,4,4,4,4,4
1946618812,15007,4,4,4,4,4,4,4,4,4,4
1946647999,15008,4,4,4,4,4,4,4,4,4,4
1946679370,15009,4,4,4,4,4,4,4,4,4,4
1946707184,15010,4,4,4,4,4,4,4,4,4,4
1946742190,15011,4,4,4,4,4,4,4,4,4,4
1946773421,15012,4,4,4,4,4,4,4,4,4,4
