steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
2080256057,16939,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2080268363,16940,-2,0,8.9578125000,-0.2272949219,-3.9812500000,-1.0060975610,1.8292682927,-0.1219512195,-25.1998740006,-19.0499047505,-32.5498372508
2080302112,16941,-2,0,8.8405761719,-0.2655761719,-4.0386718750,-0.8841463415,1.0060975610,-0.4268292683,-24.1498792506,-19.0499047505,-35.8498207509
2080329423,16942,-2,0,8.8740722656,-0.2583984375,-4.1224121094,-1.1280487805,1.4634146341,-0.3963414634,-24.1498792506,-19.0499047505,-35.8498207509
2080384489,16943,-2,0,8.9003906250,-0.2464355469,-4.1439453125,-1.0365853659,1.7073170732,-0.1829268293,-24.1498792506,-19.0499047505,-35.8498207509
2080397065,16944,-2,0,8.9291015625,-0.2416503906,-4.0960937500,-1.0060975610,1.8292682927,-0.2134146341,-24.7498762506,-19.1999040005,-34.1998290009
2080428434,16945,-2,0,8.9267089844,-0.2416503906,-4.1319824219,-0.8536585366,1.7682926829,-0.3658536585,-24.7498762506,-19.1999040005,-34.1998290009
2080455730,16946,-2,0,8.9291015625,-0.2655761719,-4.0889160156,-0.9756097561,1.8902439024,-0.3048780488,-24.7498762506,-19.1999040005,-34.1998290009
2080503299,16947,-2,0,8.9195312500,-0.2751464844,-4.0721679688,-0.9451219512,1.8292682927,-0.1829268293,-24.8998755006,-19.4999025005,-34.6498267509
2080522633,16948,-2,0,8.9195312500,-0.2751464844,-4.0721679688,-1.2500000000,1.7073170732,-0.2134146341,-24.8998755006,-19.4999025005,-34.6498267509
2080572169,16949,-2,0,8.9602050781,-0.3110351563,-4.0817382813,-1.4634146341,1.4024390244,-0.4573170732,-24.8998755006,-19.4999025005,-34.6498267509
2080583666,16950,-2,0,8.9578125000,-0.2583984375,-4.1032714844,-1.1585365854,1.4634146341,-0.4268292683,-24.8998755006,-19.0499047505,-33.2998335008
2080626071,16951,-2,0,8.7927246094,-0.2272949219,-4.0171386719,-0.7621951220,3.0792682927,-0.7926829268,-24.8998755006,-19.0499047505,-33.2998335008
2080651433,16952,-2,0,9.0008789063,-0.2440429688,-4.0721679688,-0.4878048780,2.8963414634,-0.1829268293,-24.8998755006,-19.0499047505,-33.2998335008
2080686108,16953,-2,0,9.0774414063,-0.2847167969,-4.0721679688,-0.5182926829,1.6768292683,0.0304878049,-25.1998740006,-19.7999010005,-33.5998320008
2080742079,16954,-2,0,8.9721679688,-0.2775390625,-3.9932128906,-0.9756097561,1.3109756098,-0.6097560976,-25.1998740006,-19.7999010005,-33.5998320008
2080745981,16955,-2,0,8.8812500000,-0.2775390625,-4.0123535156,-1.1890243902,1.3719512195,-0.7317073171,-25.1998740006,-19.7999010005,-33.5998320008
2080767159,16956,-2,0,8.8956054688,-0.2583984375,-4.0267089844,-1.0060975610,1.4024390244,-0.7926829268,-25.1998740006,-19.7999010005,-33.5998320008
2080798548,16957,-2,0,8.9841308594,-0.2105468750,-4.0267089844,-0.7317073171,1.5243902439,-0.6402439024,-25.1998740006,-19.7999010005,-33.5998320008
2080855941,16958,-2,0,8.9913085938,-0.2703613281,-4.0410644531,-0.6097560976,1.2500000000,-0.6097560976,-25.1998740006,-19.7999010005,-33.5998320008
2080862385,16959,-2,0,8.9219238281,-0.2895019531,-4.0338867188,-1.1280487805,1.8292682927,-0.7621951220,-25.4998725006,-19.1999040005,-33.5998320008
2080898542,16960,-2,0,8.9314941406,-0.2775390625,-4.0147460938,-1.3109756098,2.2256097561,0.0609756098,-25.4998725006,-19.1999040005,-33.7498312508
2080937023,16961,-2,0,8.9554199219,-0.2464355469,-3.9932128906,-1.4024390244,2.1951219512,-0.2134146341,-25.4998725006,-19.1999040005,-33.7498312508
2080972327,16962,-2,0,8.9602050781,-0.2536132813,-4.0147460938,-1.1280487805,1.9817073171,-0.3353658537,-25.4998725006,-19.1999040005,-33.7498312508
2080993845,16963,-2,0,8.9673828125,-0.2536132813,-3.9884277344,-0.9756097561,1.7378048780,-0.1219512195,-24.7498762506,-20.0998995005,-34.9498252509
2081022453,16964,-2,0,8.9602050781,-0.2727539063,-3.9788574219,-0.9451219512,1.7073170732,-0.2439024390,-24.7498762506,-20.0998995005,-34.9498252509
2081044164,16965,-2,0,8.9673828125,-0.2918945313,-3.9788574219,-1.0670731707,1.3719512195,-0.4573170732,-24.7498762506,-20.0998995005,-34.9498252509
2081097270,16966,-2,0,8.9889160156,-0.3062500000,-3.9979980469,-1.2195121951,0.9451219512,-0.4573170732,-23.3998830006,-19.0499047505,-33.8998305008
2081114942,16967,-2,0,8.9219238281,-0.2799316406,-3.9740722656,-1.3109756098,0.6707317073,-0.3963414634,-23.3998830006,-19.0499047505,-33.8998305008
2081147213,16968,-2,0,8.9291015625,-0.2560058594,-4.0075683594,-1.0975609756,0.8841463415,-0.6707317073,-23.3998830006,-19.0499047505,-33.8998305008
2081194950,16969,-2,0,8.9554199219,-0.2751464844,-4.0362792969,-0.9756097561,0.8841463415,-0.6402439024,-24.7498762506,-19.1999040005,-34.4998275009
2081235159,16970,3,0,8.9673828125,-0.2775390625,-4.0099609375,-0.8841463415,1.0670731707,-0.4878048780,-24.7498762506,-19.1999040005,-34.4998275009
2081239940,16971,3,0,8.9171386719,-0.2727539063,-4.0195312500,-0.9451219512,1.2195121951,-0.4268292683,-24.7498762506,-19.1999040005,-34.4998275009
2081268537,16972,3,0,8.9410644531,-0.2775390625,-4.0243164063,-1.0670731707,1.4329268293,-0.3963414634,-23.5498822506,-20.0998995005,-34.1998290009
2081326074,16973,3,0,8.9195312500,-0.2847167969,-3.9764648438,-0.9756097561,1.7073170732,-0.3048780488,-23.5498822506,-20.0998995005,-34.1998290009
2081335120,16974,3,0,8.9530273438,-0.2942871094,-3.9740722656,-0.9451219512,1.6158536585,-0.4573170732,-23.5498822506,-20.0998995005,-34.1998290009
2081363890,16975,3,0,8.9578125000,-0.2679687500,-4.0267089844,-0.8841463415,1.3109756098,-0.5792682927,-24.4498777506,-19.0499047505,-34.3498282509
2081392116,16976,3,0,8.9697753906,-0.3062500000,-3.9621093750,-0.9451219512,1.1585365854,-0.3658536585,-24.4498777506,-19.0499047505,-34.3498282509
2081447148,16977,3,0,8.8979980469,-0.2775390625,-3.9716796875,-1.0670731707,1.5243902439,-0.2439024390,-24.4498777506,-19.0499047505,-34.3498282509
