steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
2089315201,17167,4,4,4,4,4,4,4,4,4,4
2089357212,17168,4,4,4,4,4,4,4,4,4,4
2089375915,17169,4,4,4,4,4,4,4,4,4,4
2089408416,17170,4,4,4,4,4,4,4,4,4,4
2089433948,17171,4,4,4,4,4,4,4,4,4,4
2089479696,17172,4,4,4,4,4,4,4,4,4,4
2089529770,17173,4,4,4,4,4,4,4,4,4,4
2089538640,17174,4,4,4,4,4,4,4,4,4,4
2089564882,17175,4,4,4,4,4,4,4,4,4,4
2089591950,17176,4,4,4,4,4,4,4,4,4,4
2089629754,17177,4,4,4,4,4,4,4,4,4,4
2089660918,17178,4,4,4,4,4,4,4,4,4,4
2089716042,17179,4,4,4,4,4,4,4,4,4,4
2089731961,17180,4,4,4,4,4,4,4,4,4,4
2089751028,17181,4,4,4,4,4,4,4,4,4,4
2089786050,17182,4,4,4,4,4,4,4,4,4,4
2089833507,17183,4,4,4,4,4,4,4,4,4,4
2089842187,17184,4,4,4,4,4,4,4,4,4,4
2089880973,17185,4,4,4,4,4,4,4,4,4,4
2089908529,17186,4,4,4,4,4,4,4,4,4,4
2089956248,17187,4,4,4,4,4,4,4,4,4,4
2089967435,17188,4,4,4,4,4,4,4,4,4,4
2090009816,17189,4,4,4,4,4,4,4,4,4,4
2090033979,17190,4,4,4,4,4,4,4,4,4,4
2090073877,17191,4,4,4,4,4,4,4,4,4,4
2090099901,17192,4,4,4,4,4,4,4,4,4,4
2090127741,17193,4,4,4,4,4,4,4,4,4,4
2090183738,17194,4,4,4,4,4,4,4,4,4,4
2090206189,17195,4,4,4,4,4,4,4,4,4,4
2090223800,17196,4,4,4,4,4,4,4,4,4,4
2090250061,17197,4,4,4,4,4,4,4,4,4,4
2090307296,17198,4,4,4,4,4,4,4,4,4,4
2090317920,17199,4,4,4,4,4,4,4,4,4,4
2090345993,17200,4,4,4,4,4,4,4,4,4,4
2090375214,17201,4,4,4,4,4,4,4,4,4,4
2090434935,17202,4,4,4,4,4,4,4,4,4,4
2090441065,17203,4,4,4,4,4,4,4,4,4,4
2090471321,17204,4,4,4,4,4,4,4,4,4,4
2090501992,17205,4,4,4,4,4,4,4,4,4,4
2090528329,17206,4,4,4,4,4,4,4,4,4,4
2090564905,17207,4,4,4,4,4,4,4,4,4,4
2090598499,17208,4,4,4,4,4,4,4,4,4,4
